 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,C21,H22,C23,N24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,O37,H38
N1,0.0,2.0506736482769634,1.79851505605378,2.8877980766797924,0.09410833954662934,0.1877129774746698,0.009081504377327798,0.026643148570252184,0.05696607424384116,0.04482305979242085,0.19732027252431458,0.038775298253774085,0.04907907744476031,0.06531712077873553,0.006168069533137033,0.0011680819110749807,0.000674946847655053,0.00010086763799488363,0.00019029715761309518,0.00026433100046902025,0.0003632909418585101,9.886489307264767e-05,3.099041295755167e-05,3.2071189571464265e-05,6.928740144962475e-07,4.590166570582477e-05,1.7370303175237578e-05,4.6343737514220606e-07,5.395328068119598e-06,7.661169953987468e-08,6.335161235590525e-06,4.57583636537251e-08,2.1577690693053153e-05,1.788940606761713e-08,0.0010909521146346413,0.0006723811321876355,0.00021562096774219858,1.4703312350872189e-05
H2,0.0,0.0,0.02727619060283315,0.10395401222105216,0.007673682433540385,0.03106063451655372,0.0007620833698933627,0.0020319705830826873,0.0018787518379639323,0.0003415794112291426,0.004021976200545785,0.0012071554174879484,0.006265257890524456,0.007862269059812244,0.0007477524720965745,3.5140189956317514e-05,0.0003608192178764513,7.341735585875142e-05,9.225272331381262e-06,1.5754848002647037e-05,4.9236911197403366e-05,1.4865253988638472e-05,2.4201286034086777e-06,5.42351568388888e-06,1.0673083528089933e-08,9.527648711094017e-07,6.332161965882932e-07,1.9099027159796833e-07,1.981572070874904e-07,3.2425104823374795e-09,5.47671265449523e-07,7.226677034566364e-10,2.5059319752607223e-07,8.513464155868178e-09,8.586096185458914e-05,0.00015784904612725636,2.4055714094917136e-05,2.425934091165871e-06
H3,0.0,0.0,0.0,0.10312845505132007,0.03606176650204129,0.008516202964512942,0.004757157200051987,0.00026417703131609294,0.0010879456952679334,0.00023133343501458015,0.008355300908720276,0.0013726847140966836,0.01456264080436076,0.009673768580481523,0.0014603332343777753,0.0008005858976631863,0.0001799596479208354,1.0531810643366057e-05,1.2275422183183338e-05,0.0005119320587976262,0.0013907723988748621,0.00021291926198685474,7.442959622283585e-05,6.795737042353256e-05,8.716235140315831e-07,0.00016856538727250125,5.3141312254090245e-05,1.9255265759632323e-07,1.8911119524234188e-05,1.3380728525191898e-08,1.977837324973475e-05,1.1650926690087715e-07,7.496007668772453e-05,9.651565546775487e-09,0.00014000121090740336,6.390202869932526e-05,5.001803526927251e-05,6.263249894278289e-06
C4,0.0,0.0,0.0,0.0,1.738915281481038,2.8051382703099286,0.08520210292064734,0.088829966600664,0.1934634816945871,0.013629261127945602,2.612324550829099,0.28766776963725954,0.22573503085590957,0.012380850662950027,0.03658527168027098,0.002800322387465526,0.003168943853749634,0.0006799334099465426,0.00133138745416983,0.0002726144105278383,0.00026662030168767004,0.0003574349446346936,4.719643706699306e-05,3.332194890473539e-05,1.0965384050765081e-06,2.0749757031979232e-05,1.4743517601972789e-05,4.3935882481083155e-06,3.85366184363356e-06,1.9563480768702846e-07,4.5743640190165635e-06,1.4022334338115172e-07,7.4810107354161826e-06,1.282090749121778e-07,0.004597703921769197,0.00032051775377174574,0.0013337728689681028,0.000264790686790084
H5,0.0,0.0,0.0,0.0,0.0,0.0832767294256952,0.034036627171498024,0.0038987636675797965,0.02337479573905188,0.0005358170837697074,0.11107333824070897,0.020294461704092326,0.02105247756039952,0.0007091775689729296,0.001926268457145941,0.00022761180340369336,0.0006728615376951907,5.014866695196574e-05,0.00013315606167374483,5.160076015886528e-05,0.00017308013674965927,0.000204899925994928,7.054828672581337e-06,2.3001745774964277e-05,5.532640523497889e-08,5.039875879520039e-06,3.3055526098557664e-06,7.703092201882811e-07,1.4527758726012863e-06,7.985927319431596e-08,1.5082086645135107e-06,4.5118122571352615e-09,1.9755335097793036e-06,2.903749907190445e-08,0.00043541717108253053,1.7572749770100593e-05,0.0001235538819555071,4.217202977452317e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8563068616130025,1.8606056957714479,2.738902224370095,0.053644045638287174,0.192399912050623,0.05187311836413382,0.027660394241045994,0.0021491076885488125,0.004045988586849625,0.000505505506095183,0.0008863804549570503,0.00016141952769932466,8.625344038737381e-05,0.00019221081600794,0.0009381140287802459,0.001628508123541872,3.845312415980129e-05,9.157204398096974e-05,2.1685135341842354e-06,4.759751168770254e-05,1.604458846551915e-05,8.928575292443952e-07,7.541897179844104e-06,6.256313933583613e-08,3.902664381563725e-06,3.2773968672294984e-07,1.321944965310129e-05,3.324203949883753e-07,0.0005683506738067556,8.923130750024266e-05,0.00017306551323562763,3.107840057425815e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025522513311631467,0.09333297236668314,0.0017892500331870842,0.007205965463844333,0.0011756314826366632,0.0005595842395587081,1.0863931177995667e-05,9.348868176006775e-05,1.8231126875267734e-05,4.0445569941649495e-05,1.8521284637085245e-06,1.6401753281103382e-05,0.0002467776146843903,0.001017755067446835,0.0022987074488372006,6.263990347266102e-05,0.00012967414034958935,2.110757410855868e-06,7.64581707350942e-05,2.0759268268610853e-05,7.035464655302803e-08,1.3303785987073269e-05,1.6091802335083116e-08,5.701896991006095e-06,7.09550867616926e-07,1.794725687376264e-05,6.346246697042091e-07,1.8480563771960945e-05,1.2839657665963955e-06,5.242986228504165e-06,1.124974441601978e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08637419421737313,0.024268972924404997,0.01680757301576996,0.02986504435600823,0.003149704178413648,1.4914108473096377e-05,0.0002500404609577789,2.1609355481899684e-05,4.395219024411201e-05,6.936538732738029e-06,5.713980015142894e-06,7.992741527518277e-06,1.7962898387957615e-05,7.41265681056813e-05,1.946547893982853e-06,2.2342830859889418e-06,1.790459425166091e-08,1.0903749383395223e-06,6.341019829214645e-07,4.9047470529473e-08,1.4888935984114227e-07,1.2351658362774742e-08,1.283888463321503e-07,2.0561288227582963e-09,4.929949938281553e-07,2.1571089359184725e-09,3.984721778826916e-05,2.1952717741857697e-05,5.477569564704687e-06,1.6847667960728785e-06
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67683247505675,0.04779109524412993,0.009910107214741188,0.00848922290168247,0.0008767586848322795,0.0020247622871484294,0.00011931039586787762,0.00023791854508357912,7.469900476753111e-05,3.256439021981361e-05,5.2750466101342264e-05,0.0002991275343650207,0.0009021282114204388,9.18942142838497e-06,2.7691960224549006e-05,7.2202846079783e-07,1.0395179055197601e-05,3.836609665450186e-06,3.82986974911681e-07,2.1424105720035946e-06,1.336415000885438e-08,9.616738188417129e-07,5.42739567732653e-08,2.6053583076779407e-06,6.89241683726749e-08,0.0002942893184529338,1.8471796100733018e-05,9.604248570470666e-05,2.7066586590573927e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025286865259956937,0.0010792989445158607,0.0005643057307174182,0.00014590250627977142,8.692700330659164e-05,3.983298070719954e-05,1.6878441109424713e-05,3.6489405423889565e-06,7.390474678015124e-06,1.4794480447388736e-06,1.1546940008599904e-06,1.609802367408264e-06,3.941318666988991e-07,1.953859138925651e-07,2.283265065905482e-08,8.776702986601492e-08,8.617735569593776e-08,3.934929670990073e-08,2.5650900514762043e-08,2.949045452282917e-09,5.0677777529983814e-08,9.767542330507695e-11,2.1786947357327335e-08,2.076288030394835e-10,7.862731771668408e-06,1.3949879029695467e-06,1.7979609439056077e-06,2.9374640231338844e-07
