,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21C,22H,23C,24N,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37O,38H
1N,0.0,1.0162969826674215,1.0181537098280975,1.4608897892881907,2.070707836623913,2.4589963493113864,2.7116888786316644,3.393322691440062,3.2130423413815716,2.5097581561216034,2.579478296490283,3.702732646811062,2.8320182798308835,2.415400935362229,4.27154282742003,4.798708648091367,5.122179835876234,6.145880297044176,5.13064290291607,5.14784864978941,4.7492866625199355,4.313028719577822,6.1181007153532905,5.504302715253349,5.7630199187278475,6.295053557511001,7.151513261590715,7.356762632139288,7.417460919930172,7.79705211966973,8.139126544363192,9.005662993600113,8.255496896201192,9.186638176134787,4.822531330983142,4.4491034691771345,6.156804876590021,6.596691077190689
2H,0.0,0.0,1.6539677998232236,2.078212459670704,2.331273008692438,3.356638918302691,3.6975839274445317,4.1921473740347315,4.023134033702703,3.2325692295443655,2.9208071464201826,4.083419164174857,2.892727013304772,2.280831334206769,4.242299148893079,4.723841942070797,5.332144596279599,6.274379248304351,5.489129946868235,5.4494515407822295,5.262353397888407,4.991432275074793,6.306513284352103,5.984886728875608,6.334326565377045,6.593743207564744,7.185915029124157,7.3103983758782904,7.652975252023168,8.09418371302386,8.150915284976431,8.937339835881064,8.357909386982206,9.263667348705544,4.525207977734157,3.9920708842967274,5.846982610849427,6.182470594556105
3H,0.0,0.0,0.0,2.07238321442958,2.941895888391954,2.782267695904543,2.6188708235997162,3.739928691786785,3.712795260098373,2.9949996011045235,2.7968088636819255,3.9485891039242538,2.7413262564860443,2.2117859022244417,4.094757956453633,4.819521074414366,4.733941692907668,5.781632669455651,4.837322478278556,4.4921523595076085,3.9736081998540214,3.621083855338087,5.358995932583357,4.586250206581416,4.807559814089114,5.395356982971585,6.450508351694689,6.775854724573404,6.477306030333921,6.810438132192222,7.360841643635317,8.269562797212718,7.3718125738550935,8.283694460097253,4.577309077500387,4.17059747886514,5.91398248122693,6.326457784894957
4C,0.0,0.0,0.0,0.0,1.0969499816333779,1.5379904032465528,2.1728425141700813,2.1557516373512517,2.8243315414026844,2.7818098095584993,1.551384250271345,2.4267794637223887,2.4702322110023363,2.612628520166929,3.843709104227203,4.122147517347806,4.622775951975711,5.624450190231193,4.366767624658886,4.971782724064135,4.659925340825715,4.0580126253684385,6.1821749825413965,5.698110080367932,6.0407238947166375,6.5455843968469924,7.237346650619994,7.316772744489008,7.814049907193496,8.286213524036656,8.383006558195747,9.245999385153244,8.635324376720845,9.642143169729346,4.787856779465187,4.771524327612223,6.021952575830975,6.639819344918195
5H,0.0,0.0,0.0,0.0,0.0,2.140731490221432,3.0561647939692693,2.492431436901848,2.9257181027748684,2.9714985008757546,2.1271320183369573,2.731730074191778,3.103461238941012,3.2615603720248867,4.376216595271741,4.424996438597326,5.341658865972164,6.2603810071631365,5.060220620420008,5.881313482332484,5.692081230295694,5.10709823973475,7.095529190078778,6.763836099337717,7.132683586502307,7.555080037429317,8.061668235466119,8.036606201286821,8.82094850145284,9.327046628931909,9.240335119465644,10.049408081680577,9.577347310265722,10.585855995809267,5.261850019500188,5.240029909264475,6.439445687568024,7.041294510095708
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0977170492475068,1.0914958987839536,1.8353279033979342,2.368825801134869,2.5006767791476907,2.8865973926096347,3.5855802271766124,3.84994762049818,4.835011348420279,5.1207253793778955,5.2065652030940885,6.241052722173657,4.703729986759438,5.39888176997801,4.769003116550457,3.892576007622232,6.682311962485173,5.769111482902708,5.916726031517305,6.8495564102496065,7.894118360241018,8.082752096472724,8.135069463861406,8.481423886511681,9.014494753681435,9.958434700117607,9.119997316519898,10.122962090948336,5.96694056335398,6.051002957573215,7.153772984069071,7.842105850812815
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7688716913661808,2.435141551242912,2.76114299262265,2.8173073397910278,3.2633853177827685,3.637937477909522,3.8527441802998976,4.810170764539097,5.278345566976972,4.9120152798459875,5.979403641548907,4.440524787112843,4.831773059724918,3.9902224749615742,3.047408264970416,6.056147068587122,4.879797531679191,4.929018362459311,6.05528167892049,7.352190973887884,7.6654129357022915,7.310254009486835,7.581763606593492,8.398062280025956,9.391286964505008,8.380039473460238,9.360440179395003,5.920991588958939,6.002045104145477,7.100012984298185,7.776752055974331
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3923531296401226,3.282422540997597,2.6133122040879044,2.4965362892320786,3.881900474641238,4.3837916111874895,4.930021693856435,5.024313055564082,5.189207381985784,6.142527506039579,4.496722383340033,5.590430442042231,5.063176161490551,4.143610917525142,6.969184818283514,6.194889943949278,6.400813552487644,7.2576145650912665,8.1516799070941,8.251046416497227,8.599939785435613,9.00557561795494,9.34854290069396,10.27036663516128,9.545641072066372,10.581320919900604,6.229046995345641,6.505082155690011,7.299487022179422,8.075578514263437
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3516812353800056,4.171401446753978,4.568756322169694,5.20995170983154,5.275630139918648,6.550742596338211,6.814036411117462,7.020123773281472,8.063096868310163,6.538662002155925,7.123910244291295,6.37303837080597,5.473796050259558,8.332205067435494,7.195344220977463,7.166110205679721,8.344471211646713,9.565838646650088,9.808083594371354,9.5433190273892,9.756835016029099,10.612976697428907,11.574127798347012,10.602788538278336,11.554829465215386,7.557675087127943,7.466970396148264,8.80131353583573,9.421569508607504
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.290301863152271,5.007546804949648,5.050887649071745,4.8552693161253035,6.479727811500246,6.883086266685899,7.08421394045343,8.153663537802464,6.802200715095434,7.0387662966100635,6.29122343632189,5.531168966033823,8.100855157584776,6.9562616777323125,6.90693157623898,8.032957128776262,9.294943064704155,9.59378589423416,9.134165842077701,9.305655111257582,10.247392612443777,11.19453272647053,10.175083853148793,11.075072580450259,7.2537714825354955,6.952878593978062,8.566154585772658,9.069844280291054
