,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30N,31H,32C,33C,34H,35C,36H,37C,38H,39C,40H,41C,42O,43O,44H
1N,0.0,1.0203804210175171,1.0220703475017627,1.464012645977995,2.0810459661504326,2.4440607904123888,2.6144895103089554,2.6643834339612917,3.85462359687398,4.597941979361149,4.23211242668808,4.42951646625802,4.582896068419414,5.264267235477959,5.670409659142054,5.992816546167806,2.4817178816109973,2.8208994837745562,3.6419490928572538,3.874521783765745,4.873729279458483,5.648032210580006,5.579301788442345,5.263883980157916,6.591651596872526,5.856612673569547,5.796349868258797,5.511252756433985,6.717971360432318,6.588702384940131,6.965721991446399,7.1170105880844865,7.4936401094604745,7.5409331772088235,8.165351521886718,8.660670371557138,8.475402387673991,9.198365866439959,8.77661369640081,9.676675577222635,5.113824003528897,4.631464384647153,6.36906769895842,6.675732538704622
2H,0.0,0.0,1.617914825264291,2.037031778303604,2.3007087335588334,3.3272125779660495,3.493216661165347,3.638455375580685,4.614348636013652,5.453380833806886,4.925286364057643,4.980723347169831,5.087244668339318,5.658818524926448,6.099998254752524,6.304982056263447,2.7433097058427824,3.063201188427285,3.744992952949735,3.971592099631406,4.860086443573599,5.614383533639001,5.74831507363213,5.438643413476933,6.678162311253401,6.252334438576482,6.370820386926482,6.117363560674778,7.139090925025002,7.262714484847407,7.729060448915921,7.703784900019665,7.798176095908371,7.7044520025745,8.776642437219474,9.356329637874875,8.83922012948161,9.487451501056869,9.281787144049948,10.197737155562422,4.811643475668848,4.118097668751151,6.068372492562905,6.243429863359696
3H,0.0,0.0,0.0,2.0141719741515223,2.8993096930157907,2.7655211860499813,3.122114800580357,2.5766169758521036,4.177110729682424,4.850950835267009,4.379670415814519,5.021167965326465,5.331445942309569,5.814326166236425,6.0710271143312715,6.633029315801031,2.5238868283680027,2.3953093373940093,3.851229831002656,4.3103300695349,4.913054328124522,5.817939825585897,5.373910258993683,4.87650230748741,6.381096245650507,5.683723920302074,5.483295064925955,5.026083336977069,6.70622348935566,6.374644809603886,6.700608904474223,7.067479376953489,7.618975571750605,7.694237968066114,8.210168946997204,8.677193371603034,8.669669268708493,9.461478383708684,8.932293481333524,9.876638006599945,5.110381140448503,4.721654853422847,6.253923746623993,6.55598108950688
4C,0.0,0.0,0.0,0.0,1.097254857872962,1.5445219609060743,2.13454429331059,2.1599853862808844,2.6071788299203797,3.526480707704931,2.9133317766791156,3.1199237258438632,3.5148775914524917,3.8429317360079804,4.208614250406776,4.626507185629662,1.5446783423848127,2.423549932439238,2.4670423432522903,2.5693784939521516,3.847320120009587,4.497157350802185,4.593746789599077,4.515012431823207,5.630971501858159,4.6984260462065395,4.761180923515353,4.708946787300347,5.395500426839214,5.453415107167602,5.925263389560744,5.815854067226205,6.109243145470368,6.205405972811703,6.810996631422775,7.359632888515539,7.0404190818552745,7.756464885870422,7.351667296600301,8.242949885076156,4.444117447408086,4.219445836185139,5.730198480401281,6.209748339815907
5H,0.0,0.0,0.0,0.0,0.0,2.154251230209153,2.437528684015776,3.0536109128864233,2.8506886860904426,3.8176461218352222,3.2884631853946464,2.780341706400764,2.9578188535315553,3.414305525351922,3.9898553318412975,4.01977533577117,2.172577017513469,3.2590758283005483,2.56706156796098,2.2704992757342293,3.983329213183698,4.412731872904489,5.008214866066088,5.117494907523185,5.972037186506168,5.147914066048891,5.417846753369927,5.534538756603903,5.63608208604887,6.014892831161183,6.554248876516938,6.148720612148347,6.1158844659906695,6.127011824677513,7.014563274974856,7.617472006828306,6.962570563248975,7.556036777177971,7.369545875141124,8.200427087294479,4.534773927840495,4.203461106194427,5.875892416793513,6.32256112219174
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0936571169844636,1.0978866933955216,1.539032281772449,2.1546831810600535,2.1839428191829544,2.5460448849520985,2.9785547932304794,3.6127518525142714,3.924168227054874,4.464070657971517,2.5550874773747116,3.252340476844288,3.327409659966163,3.321392611765001,4.668443767982872,5.229376778207601,5.077104212303228,5.04376288670779,6.159777174709007,4.714721890270893,4.434955327247602,4.3992107602029815,5.227020547594752,4.791476576771854,5.054908318602248,5.260876210521426,6.08370905041868,6.441657496514732,6.116150728934912,6.470815286739581,6.815227687356613,7.626716558729807,6.828703164505142,7.642578028699613,5.5918490983372475,5.583539751354908,6.793400390297,7.398296410269066
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768406170872963,2.1644076137134807,2.461776395164188,3.077318136652116,2.785576648597243,2.7555335487639794,4.062800766392383,4.561570837262645,4.7624120115201105,3.473567969127213,4.182555934892645,4.233700570412562,4.075457994737164,5.634250597858719,6.137927410655899,6.146577303036898,6.116347301455426,7.223003338080007,5.7794102533958895,5.478324240548858,5.428528670388848,6.195827930116046,5.7175437155510025,5.887246658881828,6.150066134153112,6.976049375539501,7.342170472096461,6.870196389981747,7.138679122402611,7.598951704994211,8.361888977362025,7.5500683914916715,8.277960061786493,6.479012017590258,6.336271598283097,7.732580316401065,8.286200015872032
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.159996858836178,2.4686370833874642,2.492634809334763,3.4821184306813753,3.996377730492518,4.470931595027164,4.598096524137404,5.3866678483844925,2.8066094278155287,3.086413373776443,3.7957791034185004,4.036818554432534,4.976105324536147,5.676722886821886,5.092824018249181,4.868179871183205,6.186798175601054,4.684851394254512,4.12822421514587,3.8558026324335537,5.376518683456433,4.539881612157644,4.6633491127795335,5.2816909938611785,6.425085353130618,6.84455049803159,6.234146058716951,6.500117425989391,7.208179765205192,8.108225032559902,7.123817175653975,7.971511980352906,5.870991957366417,5.931320328615418,6.974591978475058,7.581771252962462
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979999712603465,1.0938877908922366,1.527904975518727,2.417984042583276,2.460151649571547,2.6257727224353413,3.3655714837941475,3.1020889477339937,3.9393838212801517,3.2932495177509344,3.070783164936061,4.485443561414394,4.787852184484446,4.779344773669514,5.030111272533692,5.790485042546101,4.063921916428248,3.859081593597816,4.167717890378644,4.185542697742482,3.8652735423988953,4.1790028993223665,4.065460135408,4.952741835420479,5.467499149646874,4.73342634395306,5.089402277877318,5.489809434683241,6.306833662843564,5.3921632593476225,6.151730488575569,5.720838531542034,5.964134877314347,6.825235705463696,7.566780649657144
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7646681555405992,2.1221688587981067,2.766723230123129,3.108250716830677,3.2039908744126597,3.9003132887699934,4.097183415557611,4.795777621690221,4.352716595818235,4.145398680018039,5.470664186532146,5.7501093698631225,5.580163269126395,5.800779151127065,6.570776142317309,4.657769880865676,4.201931985376719,4.475513446099097,4.647802457961685,3.895449295903699,3.955844208186261,4.182707593706719,5.471187689161465,6.1376501931529575,4.647023622450156,4.766511610895785,5.812199614923607,6.665458582030929,5.444266103823766,6.090056226699641,6.754685862731695,7.036987540845102,7.80994188646374,8.579158630093469
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.175152885358894,3.294065827755399,2.5230436707739483,2.274333896117788,3.524176337918096,2.8248674009579586,3.5280333088133595,2.823565256861126,2.8049600564093713,3.769918973660238,4.085931343706172,3.8299221035538995,4.1387190307276605,4.816054165743669,2.989499779763139,2.8153908244205663,3.2544322434981185,3.1622707457228083,2.899288197598625,3.373180145491292,3.1109502151995825,4.070290819963829,4.622049330266458,3.975202381559835,4.450849775402569,4.7356869386031395,5.631786730761752,4.694657311128973,5.566599503093787,5.127654493758613,5.568174685629494,6.104133763748603,6.913686192266887
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2215889632357777,1.3821315537147398,2.0850098689011283,2.0349711005047504,3.7315775197829395,4.823444759112045,3.50950409096165,2.851470102679484,4.709403206662544,4.715408726714745,5.353983679227541,5.821256172768271,6.257393613169891,4.756158017107167,4.912387810547312,5.413140916417743,4.559077126140562,4.845925523703814,5.281004207233949,4.6284389298666175,4.903411099386565,5.301187542980676,5.029573580886002,5.485180590440613,5.258073186816415,5.864868276035609,5.315750609967806,5.949281741225411,5.899709506481902,6.058979869585645,7.051339895785529,7.762683888336399
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2768277430859998,3.1634108865617256,2.477419994040691,4.48085650181912,5.601149540655131,4.388975166489939,3.6531451550832017,5.675825600454373,5.673284234244775,6.462947115184568,6.883042134650764,7.372924965583242,5.955116202650176,6.084812612678676,6.510796866914159,5.768606470345458,6.007232194863666,6.3640013986532695,5.810787123830392,6.027667149936911,6.368472724551012,6.105813904335626,6.477952652821584,6.2906141371058935,6.79507190018801,6.326780698320645,6.8471145068524555,6.714187015900193,6.691963754668976,7.938454234138231,8.571926165505836
