 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,N30,H31,C32,C33,H34,C35,H36,C37,H38,C39,H40,C41,O42,O43,H44
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09770628161176442,0.02110849887562427,0.012464281058158333,0.008265487630224388,0.001707349117443302,0.0075877815909208834,0.0002428169061035046,0.01164186642196352,0.00044353634935112574,0.0008926692068982334,6.907086387286654e-06,0.0007781898937573306,3.5730624905472297e-06,0.00046315362271420746,0.009713040265154627,0.01670327004852079,0.0003605574246672294,0.0024054385307785697,0.004443923718893128,6.428431532246037e-05,0.0021026564268085135,0.0002890741499512739,1.2684066779122816e-06,0.00011875144166917373,3.174431360219998e-06,0.00021718225507783018,6.511530694641721e-07,1.9435725786998148e-05,2.6941743487274294e-06,0.0005235502522376034,0.0001377796558272859,4.775358491082571e-05,2.641905948297385e-05
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7991060104542385,3.551719406551684,0.1345053261782131,0.1428978237837042,0.0022996486567325725,0.000991513312623482,0.00487433527078332,0.013815538565872698,0.0006581303596291388,7.748067652024737e-05,0.00011948268521691507,8.338545368191674e-06,3.735540132199233e-05,0.0006182957143542334,0.0007501146998617481,2.0482530381338293e-05,0.0009361627447443677,0.0004873857231057488,3.1053786572865505e-05,0.00045880581980525803,0.0007885562352396291,1.399351245301439e-05,0.00014603539849694647,8.329036009779855e-07,0.0004294719047988338,1.4472948999255664e-06,8.429912077553836e-05,6.216900489963706e-07,0.00014189034970346626,2.366307454086669e-05,3.4069707281925155e-05,9.331206560436733e-06
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5534661614352882,0.0334116919000077,0.03151110993006323,0.0013779660218031231,0.0006385785266942029,0.0019435655736041724,0.005501887587600063,0.00018514922307739934,8.111049839021334e-05,3.5588889234883236e-05,5.172257890651011e-06,1.0827103305466323e-05,0.0002681834525710136,0.0006593888564291189,2.8236722460550645e-05,0.0003880454260973276,0.0002761616194262573,3.364326686361441e-05,0.0002228488788338645,0.0005801067687260658,1.460730578450864e-05,5.528637398048708e-05,4.5630973799504204e-07,0.0002447518450160169,1.700595581799469e-06,5.848691727430855e-05,1.6645457701081057e-07,2.839117906774935e-05,6.799302588289535e-06,4.591332318226726e-06,8.992268447638452e-07
N14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8121730221575065,1.76199182975521,0.002382839180050028,0.0011961990285044993,0.02730563048408044,0.08271774111291275,0.0020409445063319376,0.0005929653916010302,0.00021715934667471126,1.2137803672596092e-05,3.316707803313612e-05,0.0005268696712734666,0.0006661559275825818,1.7171944917127036e-06,0.006508486232058783,0.00037168484263731816,5.436048890139489e-06,0.0025451971686895475,0.006474303264963496,7.042090078557273e-05,0.0005160030075023192,3.0041541760894575e-06,0.0023687077081071817,6.327557342866719e-06,0.00042229366325098605,1.6749909491631243e-06,0.00038794818211973503,4.65144584721397e-05,7.977354238705714e-05,2.2319381728141963e-05
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037772561562799956,0.0003345140567039273,0.0004063738947329698,0.003126780510414817,0.0015512377974307157,0.00026602686593302227,5.661558155667379e-05,0.00015874142291838478,1.0055249999085802e-05,1.041226795139849e-05,0.0010082685402570402,0.002187932961666861,7.4474030860027796e-06,0.023470885718563927,0.0009565428403411902,8.039238612811417e-06,0.0064097454151264,0.022632256675877316,0.00011824206056565423,0.0005166132587984817,2.71921230832195e-05,0.005324962003233402,3.1276932148216474e-05,0.00027476689021888046,2.1277355166660072e-05,9.759903265738057e-05,2.8503948012237323e-05,8.221603222113849e-06,1.5368849661800965e-06
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.367529231985028e-05,6.493955879793845e-05,0.0005158378385710094,0.00030853546745168714,4.940453452806359e-05,6.194941967407885e-06,3.1487264905427637e-06,1.6762984200724418e-07,6.958487053232432e-07,3.6212129379431524e-05,1.6600536642097374e-05,1.2483263200913086e-07,0.00027534846881016595,2.3132591728258767e-05,5.989517097848562e-07,0.00012846732297422392,0.00021013767951061357,2.7243085183314975e-06,2.7059445092625367e-05,1.809858154455668e-07,0.00013225808883110535,1.061012963710084e-06,4.011889654387257e-05,1.2299849583286004e-07,2.3473451150946012e-05,1.917418966379536e-06,4.741937946195485e-06,1.3499905755498531e-06
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.924041788440127,3.4543989955349605,0.13666630653569212,0.25582631191466537,0.02049558620096814,0.0299142386469671,0.006582198200417055,0.0035482988598867227,0.00679608193430381,0.005206766786880673,0.0008214836326236874,0.0006223291029722466,0.0006967096266940753,1.43046983596129e-05,0.0007449338844906783,0.0004933681081413788,0.00015431272243837668,8.293085585861504e-05,1.2197994621043762e-06,7.441664577986784e-05,1.032789585631022e-06,0.0002988821900318239,1.4029864841003103e-06,0.041897499339577704,0.017835436836765625,0.0073988311448662525,0.0009967911849335653
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5334663347509017,0.027573221542476434,0.04740841933397898,0.003942623752577479,0.03995536380437799,0.03664280041049239,0.002887051122569706,0.003772882461723137,0.0039018252713137885,0.0025902872772648466,0.0007830975840973364,0.0003711160996136831,1.0639835148262833e-05,0.0004941875026401865,0.0003390869841362193,4.390460351044734e-05,5.759716640155177e-05,2.9800035482585585e-06,3.924403833971413e-05,1.0231794035364672e-06,0.00020610693653963508,1.4363516687154743e-06,0.023474001646611176,0.006760501221000574,0.002867349690692203,0.0007062931858788923
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.869704513184021,2.79908038960985,0.10582057801416211,0.16265652230801647,0.004013858106778234,0.022950673074957795,0.025848882832507608,0.006039385061523073,0.00025283216584170987,0.0031462413318413818,0.0017245376457653977,3.9420620746577484e-05,0.0005519133719101288,0.0008940647717375072,0.00044017800753315406,8.3369265064831e-05,3.106260530127969e-06,0.0002431917857615984,2.0896434518302698e-06,0.00012141209330454594,4.600255045117407e-06,0.19260388212384175,0.031750157485362626,0.028209649215455587,0.004787967132015236
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1051707385450622,0.011163401166410347,0.01406895673198727,0.000304059370003662,0.0005922549423178491,0.0006592177620045048,0.0002554682836258815,2.9466353581586446e-06,0.0002699930608887069,0.00012658650202401756,3.003703399340196e-07,2.597082904065573e-05,0.0001309658868238195,3.2964829082215985e-05,1.614264395577436e-05,6.500830735944874e-07,3.1276342304265015e-05,1.4752833221720607e-07,1.4322386668319531e-05,4.2254303611599653e-07,0.007261791294319253,0.0007809282692911035,0.0013967155842287138,0.0004251969247859311
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6528868175800475,2.6331528784166713,0.08410170453965371,0.09604305953844827,0.17252885187573846,0.04631607214873429,0.00035968704304822907,0.017846293682550723,0.011453411811898545,0.0004259818171653551,0.0034947801764185216,0.008067156852342994,0.004601195713543671,0.0007821372727271347,3.0187782407820052e-05,0.0022202145609333535,3.4929984022324945e-05,0.0011782230340185162,4.233216747473456e-05,2.6714254817421406,0.2745057076703872,0.20920784624090566,0.054713636105894525
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07928832583642553,0.028394095238646555,0.007371947178407723,0.005409824133667973,0.0007324769732206526,0.00011052869278183053,0.0018518929396804662,0.00025969531143910096,9.866586548445966e-06,0.0002141654698861739,0.009369718747700873,0.009459401192249084,0.0003118231629107848,3.898178619898829e-06,0.0010603298733387057,9.695597123160482e-06,0.0005864528963553939,6.72127863390326e-05,0.11614324347381166,0.03244561254143963,0.009995783872389974,9.607083012252993e-05
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7263356496437132,1.9836445741413353,2.8233239031870503,0.26486875731354387,0.006884497156779856,0.18630138563862642,0.04783517092591462,0.002515736931655632,0.03497003690729597,0.013237710674758124,0.0014899714491993787,0.005359218191911874,0.0011083011731649606,0.003389444803852143,0.00014551730370637728,0.0026918650876870676,4.125090057338632e-05,0.16801546495971936,0.0378423738401958,0.041120612566308196,0.0028942192018595048
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02607186621013291,0.11226291020615498,0.01615132426787702,0.0036045129822552813,0.02351444872153996,0.0013149249046259248,0.00012104179862570952,0.0030913450794973762,0.0014030792900201483,3.045234941456698e-05,0.0006935562270946605,0.00011481979648286789,0.0002397648595708901,1.7930294710089e-05,0.00011828634152466488,2.3691418686855314e-06,0.011232763179495286,0.0011302169626203895,0.0023895833969230784,0.0001658648593125811
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09835346866831762,0.03991198774814286,0.00016110058580576236,0.010223792616521177,0.008099010110857119,0.0003767811897381623,0.002075356844996934,0.0018433118591267839,0.00043513852104215545,0.0004286156727917323,1.2056485723332955e-05,0.0008378541060549693,1.4766174872615778e-05,0.0007786124735102984,4.072104091701334e-06,0.005504533762666686,0.0010109505831106258,0.01887289822480609,0.0007744820992798829
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.240021796535643,0.12089213062403914,3.222931007452202,0.48452458263006387,0.02552416096004384,0.34133160725122813,0.22745055375448278,0.007746684201062948,0.039016713538825076,0.0038240466052608113,0.06983874506105794,0.002892230410924679,0.026072932850918412,0.00034424182619230415,0.02705579897856572,0.006952192187559589,0.006343255296138231,0.00043117146466020717
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7874181396183204,0.3930781852864485,3.369582805768755,0.11161296595475456,0.4598602351327016,0.11001347645378368,0.0007366171789453535,0.07582357055116512,0.0007000642434025206,0.0314899489656954,0.0009302053803934562,0.07876882886077438,0.0009024385434526216,0.0063932758931466716,0.002782662421827037,0.0012728189982490756,0.00032656344147175
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03073720581428807,0.10091244943371946,0.0047814863965920384,0.027860520479060513,0.0029865306335135067,6.43175630716808e-05,0.0028293947294761868,4.3994706953487395e-05,0.0009697540465500865,0.00010959011551281428,0.0009399130996214922,0.00010914877637668852,5.876525331105498e-05,2.8876782674491785e-05,2.0133924153786786e-05,1.4781730925950143e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39092904788250676,0.030949365731096745,3.2625997784304204,3.3669327361606785,0.12880215722122457,0.28587937767657423,0.02708583711137358,0.33638823982719923,0.027485381954670762,0.2306839231234992,0.003849065456362988,0.0028893844878340735,0.0008730670545592234,0.000673716923048101,0.00013578389875834596
N30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9932567700302735,3.036463212299097,0.04449612824193219,0.0040279660769682035,0.2523959948679588,0.007211269460436709,0.05059397010455613,0.0004372899588676038,0.06548955262308884,0.0030054648202717527,0.0020267630863060604,0.0008083976529718179,0.00035050947330889093,0.000128423998457472
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11766475585631997,0.003469684255230976,0.0014153239860545952,0.007270571070807641,0.003330963908996898,0.0005336633716497285,3.8153484446912245e-05,0.0005702425135907241,6.88082576145721e-05,0.0001231229822874491,4.471539580352957e-05,3.1783822030728714e-05,1.313656452506251e-06
C32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28835759402160843,0.027515583316852332,3.720035480737351,0.1358198965399744,0.22848023372591325,0.004040580671361482,0.3524852434213424,0.028332278086248275,0.0006609507208379384,0.00023491428806450554,0.00016595273419406364,2.5054823045822516e-05
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0797123788377068,0.3071528175537984,0.003625829168105499,4.083126742619266,0.132978065299856,0.32490763151311897,0.02622385472406563,0.0010949777807012784,0.0006158394345745916,0.00018680155699012102,2.2593331702513986e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035837857288201214,0.0007697829839432568,0.12814468630960896,0.008500992708982746,0.027490444941898895,0.0011177171198870628,0.0005210601050702479,0.00036565469188920563,6.096561580626325e-05,1.2973953520845072e-05
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0784777537656756,0.313854665554112,0.025975877574512696,3.7727120742687843,0.13237772567042438,0.00017222785535356278,7.030376494464308e-05,3.783990737989129e-05,1.8975821125533088e-06
H36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027520813192682514,0.0010595660243803984,0.12572055773223534,0.008443282691910081,1.4076997153500415e-05,2.8435780817792633e-06,4.860540859907836e-06,8.68595504410763e-08
C37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7781259440229433,3.629638304993999,0.12518532632791568,0.00028519839471113917,0.00017724704083324494,4.7431894118377116e-05,6.642430153025458e-06
H38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1238892408486385,0.008113342524860734,2.860196888665456e-06,2.0627009705842525e-06,9.103961366996316e-07,4.9444184524460866e-08
C39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1304647868235187,0.00019570957088266283,8.900123730447296e-05,3.017005337027645e-05,2.360425048753001e-06
H40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.086378554177486e-06,2.94718957727369e-06,7.795809542354704e-07,3.136556192551154e-08
C41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.704702451452875,3.2955680449909397,0.16124737722855798
O42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5069921898512556,0.0668996664746524
O43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7726216605589105
H44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
