 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,N30,H31,C32,C33,H34,C35,H36,C37,H38,C39,H40,C41,O42,O43,H44
N1,0.0,1.9417377097045925,1.9383463395815368,3.007627870002376,0.08661523563835993,0.2068765656844622,0.01564530138314435,0.008709493262112122,0.035366993881304765,0.0025325929372506106,0.0005975310479161555,0.003370186089109023,0.0009580689519028962,0.0004757277985369124,5.301124251166911e-05,1.990184749112167e-05,0.2339709866456938,0.05523590993376769,0.03662072740641564,0.002571855648115684,0.007316651113940295,0.00047107581511185437,0.0007444605390383024,0.00015716421742961728,6.876046752812837e-05,0.0001298000242477837,9.160566676280624e-05,1.702807452585997e-05,2.2961677515795365e-05,2.4379818672745635e-05,2.4078938634097824e-06,2.848097630059332e-05,1.3098675876274668e-05,1.5152722216305037e-05,2.911398031241186e-06,1.352559947376264e-07,2.5129855738131868e-06,4.478945381247712e-08,2.14803935383312e-06,8.434519738198532e-08,0.00085263447789094,0.00015691345296129505,0.00026163491258837657,6.791721802246187e-05
H2,0.0,0.0,0.027227185638368567,0.10913052676037638,0.008197000492263351,0.032050544639141254,0.0006976457909868561,0.0009144123256623615,0.004539013582775753,0.0007311002768823904,6.682346443120935e-05,0.0002910382409120338,0.00013791422572917433,0.00011220477565199172,2.7453535713650723e-06,2.0352365186493415e-06,0.007311668487191558,0.002594630851918023,0.00043008770068464486,4.480306473908513e-05,0.00013029271423381505,1.6186502032056183e-06,3.0467817085488846e-05,6.522142094622652e-06,4.943025339487761e-06,1.282541822544836e-05,5.27041859621491e-06,4.560302193645782e-07,1.6702327199080713e-06,2.445456858901629e-06,2.670274272809081e-07,4.103646326414356e-06,1.6442150855278115e-06,7.175811500559348e-08,6.162412309329568e-07,1.514792558054978e-08,3.431187654001633e-07,8.814429186543293e-10,1.263275678176079e-06,2.7187787576821165e-09,6.836899457751677e-05,0.0002550578053172048,2.811718194772883e-05,1.3966884540028701e-06
H3,0.0,0.0,0.0,0.10848838639705782,0.03448232163168741,0.007968893524254672,0.00016935324539346652,0.004516712278383572,0.0005630273430619059,8.945080560351926e-05,3.390007767700709e-05,0.0010822031593918924,0.00023551420326806127,0.00012762617363237805,1.50323994474455e-06,8.573850201587518e-06,0.023015530292700426,0.05817745383344797,0.0040855367643825025,0.000747185172542908,0.000367451015040543,3.710516982691203e-05,0.00016863618723927942,5.519129761144548e-05,1.5862320258186458e-05,1.5959403101506453e-05,5.892135033103152e-06,9.02450749018513e-07,3.7530258377715953e-06,1.386305596651205e-06,8.242001836578083e-08,2.9163708072932337e-06,1.4191886860137615e-06,5.645035705548196e-07,3.1632115249369264e-07,4.665309893958636e-08,2.202422996200326e-07,7.429999504537932e-09,8.630584571456268e-07,1.158653617494565e-08,4.665384027013886e-05,3.367564637113407e-05,3.2390473957422117e-06,8.142026495239207e-07
C4,0.0,0.0,0.0,0.0,1.939523025183744,2.7127336824331225,0.09288695503044209,0.08209214225816441,0.15041720842197137,0.026884149118495237,0.005688277172454459,0.021020213297088974,0.007715600775101514,0.0024318374627552847,7.377182210166477e-05,0.00030294836151179005,2.5823659978597266,0.27511118184014716,0.22610552287968114,0.018159470505081043,0.035336946185379636,0.0014960173182192449,0.003902913575561884,0.0018910754706391586,0.0008908889008454324,0.0005540592636995023,0.0003443031417442455,6.509123865106048e-05,7.382104201281159e-05,6.63844616700382e-05,4.987314591642367e-06,5.86005152768132e-05,3.32587235984394e-05,2.4382419705260006e-05,8.6695785201929e-06,4.867814080711241e-07,8.159099156940242e-06,1.67311470899989e-07,1.5197196958943726e-05,8.037820031780996e-08,0.0038583613218818313,0.0007901360858304368,0.000748571293950076,0.00010383829815707735
H5,0.0,0.0,0.0,0.0,0.0,0.08285669720101929,0.005769641242894252,0.03502767327953227,0.006072708857608244,0.0006093168574581309,3.655143291969587e-05,0.012734710951808115,0.007396813886927145,0.0007843250896296672,9.792265607933004e-06,5.569688878592771e-05,0.09481769291348874,0.022812373803997255,0.012202033935444723,0.009483821899166633,0.0014737918512692794,3.648823055990569e-05,0.0005463284463229634,4.401896019357032e-05,7.034417150864058e-05,3.64253301952111e-05,2.4117307649396125e-05,8.482003146736972e-06,3.89000977984999e-06,4.073011536709359e-06,5.077088134353147e-07,2.687873204010316e-06,1.4698901966703204e-06,2.865291932607761e-07,3.7114360473822217e-07,3.669360526536991e-08,8.437629428481586e-07,1.0886175516588992e-08,1.8839541038317975e-07,8.313261634640412e-09,0.00011783924588670835,6.689706467000178e-05,8.773795420635722e-06,1.0608529843469938e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9548520857621554,1.9371500201265763,2.776041622939282,0.09539828751171331,0.08318345813220795,0.1796833801612314,0.04398165200340712,0.030607196334574163,0.0018517569627234387,0.00299748330399241,0.17377754151137476,0.03477191806068443,0.02680926659251942,0.0008742998081535669,0.00302796221599666,0.00023535075011726914,0.0007881444461585452,9.424846793537611e-05,0.0001681733806678798,0.0005541869502052182,0.0007066557295413722,9.277077845537551e-05,0.00029600328669221465,0.00036832240698417285,2.1490327320683456e-05,0.0004857236277392013,5.261194248960821e-05,4.03163085471725e-06,7.206539160720116e-05,9.153583198084903e-07,4.666963298463611e-05,9.657266775153772e-08,3.506373432392296e-05,1.3446764857150129e-07,0.0010932439006688666,0.00024260648814065228,0.0001307306864187785,1.7975803186631722e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023758822891261078,0.08897064619466266,0.005687782670606323,0.03265769980260025,0.009089172096144571,0.013528542368621665,0.0017741095853098798,0.0005018541278538624,6.160006968891629e-05,0.029478643625268308,0.005388364601430995,0.0029585465967810753,7.905291860854646e-05,0.0005673800643184457,3.5905581798445496e-05,7.424466718142231e-05,4.1840053136121824e-05,2.7704856075061457e-05,0.0001737243370347752,0.00015360189962376758,2.3097178623032733e-06,0.00010756986364368615,9.326077535909416e-05,3.0427569615021355e-06,0.00013880184197812007,2.031713838523963e-05,1.3858783758369242e-06,1.620263539980904e-05,1.5413196363667225e-07,1.2415777245422532e-05,1.6464293928208917e-08,5.489186078122543e-06,6.823462461724716e-08,6.45511882706451e-05,1.5601359927286396e-05,7.71545397393325e-06,4.945785225807242e-08
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09369325172093568,0.004748154189061715,0.004733914841388964,0.028091101821377196,0.004486489566649321,0.0030864651749604732,8.151579600879089e-05,0.0009298476872696693,0.008449338293395892,0.00467100414083732,0.0010039901139031748,0.0003103059628384308,0.00012071922145939773,9.408837468694031e-06,2.448769682894536e-05,6.930291036821856e-06,1.1130687129767836e-06,5.6684633886305846e-05,0.00022179918292053458,8.036574264780327e-05,3.431168326017975e-05,3.208346032734788e-05,3.3218138506541095e-07,3.777807744831385e-05,7.459938747400585e-06,1.36313609955252e-07,6.641671119744785e-06,2.508570284831535e-08,9.206820959173356e-06,6.981164735186951e-08,1.2161281097489152e-05,1.6690234749816568e-08,2.574552820933107e-05,2.100074337574309e-05,6.201923987814162e-06,7.123421983390443e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9960350608299773,1.968542145616781,2.6664260990751236,0.2998595859483468,0.223260854422827,0.01552210025950429,0.04338968742816418,0.01685489124014422,0.003304848603195548,0.015147279556564017,0.0014824301137736917,0.0012456005115067115,2.3381120851984072e-05,0.0006620689468224417,8.921972615039131e-06,0.00024698570319281465,0.005963046072111261,0.007656426793447121,0.0001882903506091882,0.0020288386330539476,0.0039437646098137435,0.00013939830456766167,0.002517247674454659,0.00017292370038803073,1.5828863570988005e-06,0.0002952494671517314,3.967235999047247e-06,0.0003000121911443665,4.1029401565140233e-07,0.00011683869515570489,1.1691676489178349e-06,0.0007518390837861766,0.0001340541388780911,0.00010663298688073919,4.2491949297063236e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026784758422089716,0.10672789597535326,0.024782413747429177,0.022756287129492292,8.025115244580938e-05,0.0009053607336044767,0.0016589652429210844,0.0006218249627927275,0.001278564511927871,0.00019695866110613913,0.00014739314836220707,4.434152464760643e-06,2.7085130966053583e-05,1.7104898497599663e-07,9.695993576919193e-07,0.00018074724467487258,0.0001853429982712207,1.0459915194438452e-05,6.052617809926275e-05,0.0002008632981904679,2.699194364708113e-05,8.98827834328042e-05,5.360153413125346e-06,1.7394982698704098e-07,1.6720291869942727e-05,1.4187713306412775e-06,2.796380720093694e-06,4.68517269425206e-08,3.215166977321715e-06,2.3378359914616453e-08,7.717191976630566e-05,1.4146455839081362e-05,1.5373461038081793e-05,6.050743381669221e-06
