,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27C,28H,29C,30H,31C,32H,33C,34H,35C,36O,37H,38C,39O,40O,41H
1N,0.0,1.021345734846904,1.0216841554629472,1.4711303024470674,2.083426833623931,2.452321964646614,2.5973790072991263,2.7100826094784907,3.8334756114639332,4.200026337803343,4.130220738673256,5.285847870870057,5.643657561677213,5.857529915524738,6.646374585778666,5.082894129998275,2.4695010987066954,2.956909725537473,3.456011687094547,3.705149046956809,4.70397121866628,4.835993588352507,5.2477371303483835,5.5238473899805,6.2525780843427805,4.681585180878538,4.236886699401584,4.31606098623589,5.142194542980578,5.806846023532788,4.316597073256059,4.461055539341212,5.216328816031724,5.917200722462541,4.8244806580118045,5.470433243184791,5.45222014275293,5.864874808681198,6.031310644258914,6.992777666264914,7.7115555198946115
2H,0.0,0.0,1.6207574382361725,2.0470251540267554,2.368365084597566,3.3439311360272312,3.5488320497185932,3.634293210776826,4.593325951786525,4.832186857999453,4.778186697300915,6.171959932389855,6.543022487199922,6.659568991527518,7.573464483424837,6.011210509242616,2.6531211792781826,3.1972821078244493,3.343554644111068,3.587879695263522,4.484999974253833,4.731513852612089,4.732361820796393,4.935809730994858,5.7608944610695785,4.012170485332252,3.360979004244566,3.428160346555484,4.566661606269292,5.364589808791212,3.375413291287306,3.4624193342221585,4.587539138806269,5.387698202540799,4.035119908177275,4.731041779417015,4.651365468032702,5.7305758444205885,5.952302713087133,6.846382246036397,7.595096847560986
3H,0.0,0.0,0.0,2.0244963878229045,2.9174074826004155,2.675710645759446,2.9369488174412397,2.5004247213934305,4.12150811154744,4.388986808007261,4.6465661818311625,5.420498433022582,5.44458210315036,5.633856219679593,6.424173747433242,4.739249185543933,2.591094693082466,2.620088967728714,3.784726154281217,4.257512826852114,4.853937919694931,4.759338372901239,5.414591764825377,5.872531432253473,6.329872804008667,4.723012084926425,4.452067290068296,4.763584532049817,4.9000708516900895,5.484818056557408,4.38493906345201,4.657611984889809,4.845147877506888,5.394143591731081,4.588687105435439,5.1311491075972215,5.235245817595109,6.117293383836336,6.446920745620828,7.120429697377577,7.903289704610397
4C,0.0,0.0,0.0,0.0,1.0992840687790766,1.5381749917344438,2.1465359350368756,2.14265957528282,2.56549343918862,2.8193927252094477,2.8347837818675474,4.236832707961555,4.74627868415998,4.83462681898132,5.800477386611807,4.4291937404078165,1.538474697487774,2.4137994362511006,2.4660624423821496,2.6106025888516338,3.8352491109552864,4.035481906352633,4.728055376283841,4.977205829628037,5.709184917877094,4.5950897545416876,4.446220739002175,4.395905576967476,5.21595689123676,5.702485151017393,4.949512502594295,5.268195082268355,5.656387452198943,6.402928238864478,5.534927206464203,6.419461867779326,6.515709348831484,4.759036885831913,4.800141268180722,5.939165879487004,6.568187465475998
5H,0.0,0.0,0.0,0.0,0.0,2.1657344098999816,2.51384067564381,3.0535046556491197,2.7750269162318317,3.0998960338564134,2.5982434093742057,4.505948973479249,5.360750054212065,5.457536166959456,6.386047752604649,5.202852133280936,2.176642437900568,3.293375941308558,2.522275617468157,2.230862777233622,3.968915661585428,4.436238375687753,4.7714057720637015,4.774643330469482,5.80445013566282,4.800370572055493,4.493057648004545,4.174441400431611,5.666832836690087,6.217477499529264,5.1296734846829315,5.323815868098841,6.190911389937092,7.045060218179908,5.951573650365939,6.891776331846379,6.886620821454838,4.684476721264777,4.486881737234275,5.974393363160744,6.500885205082018
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0947527534731178,1.0968449625764412,1.5322432166600402,2.185811035366817,2.1739491408532166,2.8404756585837307,3.387462492810634,3.704603500128173,4.387265203536129,3.093772953482183,2.5293698299595806,3.0126945507103238,3.5596687392740445,3.676463924741647,4.81696436871809,4.824844324700678,5.963926152010418,6.283221052793499,6.85408096364059,5.946084229426319,5.93650566806385,5.924818796400184,6.413430005106582,6.744646224796409,6.392105074346312,6.716279368729056,6.840867979423478,7.453705687238902,6.830829074315862,7.620449549932886,7.753839428300539,5.517857483622153,5.467293390397039,6.618490750600194,7.1621183954692285
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7682405624235806,2.1674563046460014,3.0868464010462238,2.5101131860536205,3.027926032643179,3.8263350554697686,4.387331756940341,4.681491371792894,3.477357348618709,3.460610773897995,3.9764116562851184,4.447915880230375,4.434904965464891,5.7840282223788435,5.859505900784522,6.833595184966359,7.06788100210147,7.77838203450042,6.716280637007021,6.517491609596078,6.433633146503705,7.215201610508342,7.640140654182496,6.839515236336711,7.006200281671546,7.513107373602053,8.131727020117438,7.334060985493718,8.002209871629006,8.02259961447131,6.48509485278162,6.338109796296928,7.637608688716691,8.156501088379434
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1677231755300386,2.5444039542369095,3.079316602777569,3.0491037626099087,2.967141884721157,3.2763356689672825,3.9633820103875324,2.3871309411994437,2.7029934596382916,2.7053811628260154,3.9439757157764017,4.3055005837388105,5.01724984547696,4.785176655861985,6.171651038753236,6.6617087827812504,6.978676378622526,6.036316232992514,6.158364671811114,6.333839741887286,6.2624889153475,6.501861576354248,6.497609307263731,6.911229691286374,6.597777764911267,7.069302023793941,6.7106052747646014,7.416885204805535,7.644398926762835,5.8380058306418645,5.98110374179745,6.7961328335450775,7.411561081794379
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0970540138651235,1.0968277871353571,1.8367914123283524,2.8224781991108387,2.9900047813264146,3.7812787666344123,3.0597573114118664,3.0985667937412336,3.665156808367426,3.721109832209185,3.649662232812259,4.830754726578442,4.892585577303518,6.193912353182565,6.44335587673936,6.988329933492527,6.534973034279427,6.704271776424896,6.58484909920004,7.104355405868593,7.285464538699466,7.400034714176469,7.79681065188698,7.766117885337333,8.402421254438513,7.904424609623764,8.830856611506169,9.014410334101012,5.10675918063815,4.845381031292207,6.163690772343192,6.530178452765357
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7641097160659147,2.4181178144538498,2.9115107480752958,2.660149610392752,3.9142964609284685,3.252745550305748,2.763974369948215,3.223194422222148,3.204927132185365,3.262296713931488,4.076722821305492,4.0597142120290926,5.5471297895306755,5.874498235454713,6.23277779858249,6.047490240185077,6.42809717112333,6.3727411184083245,6.576741814753919,6.626852728291147,7.247486804219551,7.777382366419452,7.378967612581568,7.993042403722666,7.689357398860904,8.710478385094225,8.991916820621144,4.232717672714652,4.071231501912243,5.1878869952658935,5.549944131404754
