 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,C27,H28,C29,H30,C31,H32,C33,H34,C35,O36,H37,C38,O39,O40,H41
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07996352333346779,0.030351827619373717,0.005035345076844555,0.007650106595086137,0.000689872249908019,0.00027292201465667354,0.003211035005857288,0.001418892820190143,0.00038287987507179544,1.0597873308038075e-05,0.0003746800879208534,2.1563894824216945e-05,0.0002400601787754253,4.986901677694888e-05,8.170896683035167e-06,0.11094900688055942,0.026461616136115973,0.010506639763560144,0.0008410513920726892
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9919161806822379,2.027414137134378,2.6931639785773682,0.24107108977567665,0.015332973782279824,0.23172912817019237,0.013273995537391725,0.03623311356227632,0.00231096497601313,0.03594804194122872,0.002413092826287766,0.020616126533213458,0.005158496940774207,0.00027051684218959426,0.1986083733166767,0.04412165360247304,0.030219649701906284,0.001823622167848038
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02462130374304139,0.09849549402130764,0.01868967973649005,0.007703581980430307,0.024370692747971656,0.0007567287039427217,0.0016368510887057042,5.793257309494315e-05,0.0027568440584959664,0.0007204707716308434,0.0014908115979130887,0.00034499546293054184,1.34335405201913e-05,0.012788645047753677,0.002813235877634823,0.0010003864904857274,0.00013293505692302254
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09277445824435349,0.027394194173182673,0.0005018649699157773,0.01593304456116762,0.0036469115179544875,0.0029070945890987687,0.0004956687439852114,0.0016631617269269316,4.390183154012739e-05,0.003968274443544972,0.0009824394873808595,5.278614435666462e-05,0.008490821169697016,0.0014791852155024987,0.010982002216935793,0.00021576459262218073
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.792144208247517,0.1254186783505693,3.588895318116305,0.12388131507180167,0.32878672841300827,0.025464135671116717,0.32783461288494653,0.026512289716215998,0.26442005949739295,0.05415088689952938,0.0013543141529086533,0.029244664793949215,0.007503596896411779,0.004978762410757245,0.00040570623813940276
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0016072143431893,0.3362263447723715,0.028856233515653362,3.7535140981832056,0.12568992186660588,0.30000732913739103,0.003943877641253035,0.3402385072514248,0.04251836079985183,0.002672747206784787,0.006869840333946359,0.0020528096631664966,0.0012373771445607917,0.0002307579889040401
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029286618909083906,0.001709254417803896,0.13179586052791414,0.008474536093189045,0.003540258403232577,0.00042127678581271866,0.026629811436907458,0.0032564347140612293,0.0002089756148984101,0.0001857683617461081,7.637310193775448e-05,4.184665517437125e-05,1.6333335239870905e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03170061197416,0.2985021659250401,0.0039696932487502945,3.85772925255664,0.1328038844414563,0.34395708407405345,0.042295502262880355,0.0038647996470282386,0.005326172893980963,0.0021030301460356338,0.0006573061839816874,0.0001612594276525492
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003517631739347271,0.0004185569789580956,0.13198414816641324,0.008668413416887955,0.026697084807050242,0.0030920582801525764,0.001299913463525204,0.00027250989631100175,0.00016812871877269764,4.823515150986779e-05,1.792985451887219e-06
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0202236134602267,0.3255517697701452,0.02807018390069782,3.600599735070835,0.3135753672159611,0.03027411157581561,0.0014664491832470927,0.0003548854809942714,0.0002598416133399728,5.014878438069914e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027742900637379497,0.0019088615119491337,0.12803954929642947,0.01256447445050557,0.016689742658065443,8.935932470111041e-05,3.138137581804035e-05,2.5928966684851673e-05,1.5720014001630034e-07
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9923230030469576,3.692633958712454,0.29800661322758226,0.033909271815143804,0.0010173331727224288,0.0003988968379251695,0.0001448725043083493,2.3541352798028825e-05
H34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13634971218128977,0.01258457428229931,0.0012854345402988354,8.017345614197424e-05,2.7557775701847476e-05,1.043968805680695e-05,9.103905986851402e-07
C35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.257152834739117,0.13632941854400382,0.0018516405679457337,0.0007760462999538559,0.00021360329764361086,9.612324457564103e-05
O36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8575379917210884,0.0005126174220154434,0.00021710188275783637,6.259088187557382e-05,2.6810105595687084e-05
H37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1853943014727975e-05,4.573168604915523e-06,3.3026326455853905e-06,8.03966417883828e-08
C38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.939316117586337,3.4783881639562813,0.17593335108369956
O39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5153480761649919,0.06506869038134089
O40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7415854875743835
H41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
