,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.0199240690670022,1.023635562658145,1.4689321581933017,2.090667882807974,2.4993932213266565,2.6976431962364846,3.411022327013828,3.190613017830341,4.230140254951241,3.2139050794040505,3.538250686942497,4.742659632736045,2.926164402280591,1.9605099286993666,3.6873167781854,2.4740557018031324,2.7633635522527276,3.666321942388984,3.9526057468789584,4.933564212052331,4.936238288172885,5.801288340279266,6.081827206361052,6.776170227405251,5.563227259533879,4.676576606538373,6.8217138010940035,6.993130690521046,7.71893707311287,6.977077328197086,5.770165086378076,6.017488404689344,6.738788468729474,5.0616582410202655,5.920195492471352,5.987599304875166,7.041672875701247,7.690690816570483
2H,0.0,0.0,1.6221794456315972,2.0474066028741906,2.275844180680817,3.362947426536686,3.6805423590105217,4.171674859570899,3.977607407309109,5.020416010296753,3.764182671403932,4.365175524122662,5.58405914126327,3.648054037485976,2.639958308223397,4.352203596505217,2.8010507163077882,3.063705965311833,3.859789977290522,4.176710090246736,5.105521334966504,5.182303775358154,5.715320131488287,5.940885255629632,6.735356916397329,5.259815233733974,4.272561691590628,6.371421578071523,6.509851791670501,7.338628367468992,6.407168312936466,5.544535017780364,5.650352640117976,6.584357538562307,4.979724822841741,6.236003282251011,6.362969915195269,7.366593000424467,8.06927623082029
3H,0.0,0.0,0.0,2.012966741203596,2.888047309973175,2.864002446993516,2.687092124998253,3.7194190643511535,3.8010633234714026,4.781223465844947,4.045022209461289,4.006264868722984,5.133388258865478,3.3392576287326072,2.4330166628204997,3.9418143484139367,2.4603189156288967,2.2756783390199624,3.8036360721415723,4.302132574087346,4.867123292414261,4.644810498310227,5.77829394280381,6.23588164136964,6.66757389006396,5.464057403683528,4.683126836266204,6.802418366372542,7.130360748597668,7.630276130618523,6.923162240571055,5.397573238806309,5.613781693323987,6.324316100449994,4.5709677082905396,5.93034913631623,6.166047320760831,6.919402224909722,7.623786778213767
4C,0.0,0.0,0.0,0.0,1.0979740103751072,1.5487849114315557,2.164408547188828,2.1504729936375617,2.6237953763830113,3.4696123296344172,2.6803413875734377,3.5721699146488572,4.72185105165705,3.5179325802057857,2.801017714998341,4.446483909392227,1.5440286325579708,2.4167096104156083,2.4639020556657485,2.574225646476664,3.8344829337463424,4.0284643587090505,4.850727222948343,5.033428484471913,5.817163718554843,4.9674836626106265,4.1883795162727155,6.27613694996073,6.350048852653285,7.106006958462841,6.651974955819972,5.400268162827885,5.889799163602346,6.2750291378428305,4.74057752412027,4.623894288432797,4.567114054652629,5.823117908685897,6.396045281458328
5H,0.0,0.0,0.0,0.0,0.0,2.160292034956473,3.0579461388994154,2.538176801939396,2.7738285863612964,3.550133632626473,2.402920173178493,3.903230122827151,5.044119797636031,3.9269900837199314,3.2510738100757597,4.904277904686682,2.169240482945249,3.2296895114480675,2.5925192346330985,2.381510900852594,4.0482602677573345,4.500065630180343,4.851706545244651,4.797114224715866,5.885432807122088,4.9979136099713575,4.139605727290548,6.133549708084812,6.022057422131685,7.023943256165403,6.525081585741077,5.713335360765439,6.185842460505129,6.612697043534813,5.234440012141515,4.764168250070937,4.547460330696771,6.057827217621881,6.579103935400911
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0978005549783239,1.097412753452055,1.5502112234031167,2.1716548732888383,2.18149752513229,2.6313926645048498,3.5854819730192538,3.101189710479768,2.8171198344409123,4.022173453803978,2.5175229885348163,3.279084218878201,3.194688648608018,3.066301180904762,4.401356516947585,4.536077004452961,5.6956078161755705,5.8704978008093605,6.538864333777246,6.115769418619812,5.4871307978235135,7.488498472739691,7.550495861496211,8.216204073849315,7.980838866212602,6.482011229212017,7.099430828758161,7.2228544993137,5.720848474893049,4.750298234734502,4.458049820608571,5.895349281497304,6.28833462507447
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7527254622995867,2.193187890971588,2.7283180291684532,3.054328483265777,2.716239845796444,3.540798472382551,3.060065361398792,2.8481567651487123,3.8090207860296648,2.794648216404066,3.1584787870785003,3.6858936264271516,3.7896412975407126,4.693093580490393,4.57083130502145,6.076229255468515,6.4244336328919385,6.83251754100304,6.437887863469107,5.884253682092729,7.895605399878567,8.0957952295464,8.56724364157501,8.351923385468114,6.550095331044556,7.148677763743635,7.239986864477383,5.660359220547725,5.075311310525667,4.947248525768656,6.061805187279658,6.484141982337229
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158450616490778,2.2928119811878767,2.7130302508003594,3.455930130418516,4.222505032317142,4.1345048704441645,3.9078283232922937,5.046142550218339,2.6074354177639596,3.494543918136803,2.824161290357887,2.518681570923734,3.8670538780582153,4.11565895300855,5.237465631578935,5.353668974895773,5.995370109940725,5.920259158190052,5.436567975294491,7.275753447177684,7.291988591014055,7.91006166351304,7.901902642676492,6.38265113062306,7.135247320889045,7.008482579442214,5.682592139194352,3.9134230162661003,3.4824907235642373,5.054642315275714,5.345785505412608
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0927139735374238,1.09946401248672,1.536964750840025,2.411344774606182,2.450338904307787,2.5931526723065352,3.3728224906585065,3.934487334820028,4.740768357129166,4.509420874892688,4.147500312710842,5.792956016036811,6.038999755990782,7.011009187581208,7.027853276416584,7.895417169608276,7.430072789490734,6.708384711126151,8.710666820107049,8.647061960982045,9.49939027759522,9.17458009567083,7.91500105852944,8.479992330440139,8.69901932507789,7.198089150495829,6.005632840016214,5.4843552909162305,7.196533497736477,7.475627948154443
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7620679824617038,2.100945008608977,2.4502311183997083,3.31349492951405,3.626768717407836,4.120800921554352,4.589374536090067,5.443400086056342,4.9425579164054305,4.443846001970713,6.1078404645746085,6.402947262980923,7.387988734098402,7.346814917165304,8.198759198738069,7.998852768414559,7.366025793567961,9.272750084581084,9.163347991706878,9.996636843816994,9.831345680381206,8.532683708405598,9.190126876418958,9.234943226810957,7.826806157054881,6.04643498269783,5.360704473067745,7.187600135129891,7.325081489993792
