 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,2.0237089386671494,1.954975082657513,3.0180053993969485,0.08563579820459999,0.17578735573707208,0.009644185125221028,0.02914580753112439,0.01145449671849852,0.001593935034899796,0.0010823081567884474,0.007510866243735703,0.0032009229806288647,0.10511920919779866,0.27015578003552376,0.0028672459357550473,0.21560312007064655,0.05955994353071488,0.03278323762574464,0.0026684270548653632,0.006667828330614481,0.0004941362378798608,0.0010826190994615292,2.6398466030141954e-05,0.0002638918350260644,7.908897593306152e-05,3.0815580540632936e-05,1.4159949587727594e-05,7.99134814544189e-07,5.1365977571382615e-06,2.023414385710076e-06,9.362102040132159e-05,2.6973936861907077e-06,4.471430584240821e-06,9.963549079139433e-05,0.0005853884342716109,0.00014905278726194682,0.00017846836125905152,4.2981226665794736e-05
H2,0.0,0.0,0.028694800764973216,0.10626631808273712,0.009446954958214127,0.030160723069601714,0.0011486426008677775,0.0020443847361242273,0.0008066053398042561,0.0001947232032237789,0.00012144296398552967,0.00027340541195097767,0.0001992786820023129,0.001954596003198472,0.001917589251491103,0.00021537748856537142,0.005755693818884744,0.0023887170599885543,0.00039741006529048217,2.9648495242229345e-05,0.0001559150669043774,9.888664110668799e-06,1.926269331542496e-05,1.048174148365888e-06,7.34612720831862e-06,2.0163934607020373e-05,3.146260868636119e-05,3.3381646488139793e-06,1.7700311616408726e-07,1.4929624141402087e-06,2.998765880057874e-08,2.494307265510365e-06,1.5175723322435886e-07,1.07824647255228e-06,1.8460830717437204e-06,1.958894607223538e-05,6.331995442976357e-06,4.772707169919954e-06,1.099360348533196e-06
H3,0.0,0.0,0.0,0.10428338243639579,0.03214708585185089,0.006420745376576886,0.003316681034461366,0.00011751447977825791,0.0005136475350872027,0.0001453625045464424,0.00010384274161245877,0.000265026488590947,0.00016302776457299828,0.0012609297177770262,0.0042035372644733116,7.187228409422097e-05,0.030415470314795745,0.07858424374391848,0.005185128253496485,0.0006301050456942736,0.0006191182518041627,7.736874506902858e-05,6.306664927369088e-05,1.0456762256527696e-05,8.271590583142086e-06,1.5013852585843424e-05,5.582824773364692e-06,2.855713384652958e-06,6.13917319647328e-07,1.2442579793159325e-06,1.9959208974462683e-07,9.131725039457361e-05,4.917828769990251e-06,3.1775666664568547e-06,4.649842839143936e-05,6.705195977951828e-05,4.4061157858932276e-05,9.410314642188666e-06,1.4426996222116628e-06
C4,0.0,0.0,0.0,0.0,2.0298176082201804,2.7542208542492825,0.08318841837414048,0.0949499530555642,0.1597809633077321,0.019352656907345223,0.021250452237014716,0.008431872582036537,0.003771945581746927,0.007187615601870381,0.015459220341648816,0.000299799457359029,2.7172578602776007,0.2824945575158916,0.22543384434293892,0.01488589263468032,0.035719617029329104,0.004632828417928336,0.0037050658779358703,0.00014261461001119358,0.0010548992398589085,0.00039337555155538606,0.00028780991332411077,7.01590960626719e-05,7.77309396249315e-06,2.910328653005223e-05,9.557138749949345e-06,0.0011021327870135988,9.871215765677732e-06,2.4061773204131498e-05,0.0021045290337466938,0.0031238789179398596,0.0004937463824851163,0.0009668132932163093,0.00020681423732715754
H5,0.0,0.0,0.0,0.0,0.0,0.07833014666176974,0.03441108657808978,0.0028392430120509626,0.013731691865169093,0.00045110431613304414,0.008571950068072542,0.0007284402943479318,0.0005491171901983449,0.00010481867043765636,0.00017419414077290973,1.886491672453694e-05,0.09424293626564384,0.024874753153652063,0.01146950799298252,0.005734936255908929,0.0017978927459427752,0.0003360079643510705,8.063185691087327e-05,1.484763905468256e-05,3.703352824402373e-06,4.570655204227947e-05,3.575896220575636e-05,7.339320040933295e-06,1.0948207569416724e-06,3.6022149423331484e-06,6.728634873720551e-07,0.00014112184095460556,2.8512649512535404e-06,3.7129431649240985e-06,0.00013673386767476536,0.00016451555816798802,6.626703638168419e-05,5.56726294075327e-05,1.806596775444369e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0671422100807906,2.105866641179714,2.827291886430812,0.09564770741936157,0.08126253327250677,0.15954473338543837,0.04107796458578143,0.02461266173903498,0.003975423549468116,0.0013299715177472748,0.19413114052127026,0.037197626486919,0.03283894117376113,0.004134167175300463,0.0033981563190524644,0.0001851109049935129,0.0010001445721337099,2.7057666802665636e-05,8.928524660234416e-05,0.00017865576693396057,0.0001844921172362568,2.4929482407898274e-05,7.494601905744247e-07,1.3013880075352091e-05,5.743597772944753e-06,6.48008953112178e-05,1.780517102423218e-06,3.847922141586579e-06,8.906079930603994e-05,0.0010993590994263502,0.000898849514111788,0.00030706966251344003,7.540927509275264e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0254279703937903,0.07625523069072448,0.001824400570291873,0.026295080004430815,0.016129172161034377,0.0022455619904424573,0.004097262784058309,0.00043595313543232095,0.00017141765216899252,0.007196103905592555,0.0027408198705574094,0.0009051369149895017,9.536927037534504e-05,0.00011180026128321252,2.2200462921340147e-06,3.627188045518537e-05,1.0999969399794196e-06,8.025603211558874e-06,4.2186612039252225e-06,1.6648364595805987e-06,9.010559339772684e-07,8.190799483109856e-08,4.807950320095955e-07,1.2635060109289498e-07,9.575528997718408e-06,2.6677120712470526e-07,4.143055654104444e-07,7.4402926504291145e-06,8.12934256777531e-06,1.062684821506732e-05,9.827272607898507e-07,5.183064100133805e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08761129719979532,0.013019853844749685,0.0013925723969656634,0.018690224580761194,0.0023011886362404033,0.003939744656280553,0.0002891293944118356,0.000263568069601261,0.015398250420659787,0.0030467558267897044,0.010192148325190109,0.004141145373949051,0.0007505120503144003,1.5580659261216212e-05,0.00046717226178594196,5.003648694046348e-06,2.796718142294985e-05,5.214765962091583e-05,1.775256176728135e-05,8.60188330531475e-06,6.032400667876914e-08,5.4455132001418605e-06,1.78242361914549e-06,7.292506826850342e-06,1.5996296975906432e-07,1.2216585185687023e-06,6.028110551392629e-06,0.000921754933836505,0.002847364105024175,0.00034261755477660305,1.6042480101896572e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.859098154765082,1.9304031605727328,2.4328255625524267,0.29560018260054427,0.2230635076315443,0.011674410494137533,0.04632559291969962,0.03174061261912259,0.008451896037439191,0.004759884878292792,0.0005336615902826747,0.0007281830307448167,6.706837832137769e-05,0.00010217681998435368,3.86690974285564e-06,6.730401453935997e-06,2.880506036370689e-05,2.5692348851302782e-05,3.608432885854329e-06,1.6593561769084886e-07,1.8467289317758429e-06,8.701923053244798e-07,1.3024539353187481e-05,2.2308368619050611e-07,4.855748110266234e-07,2.6399851018377163e-05,0.0002110041619352021,5.095181620386191e-05,6.25680365398118e-05,1.880215608363045e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026733674121204754,0.10810334212934225,0.02487642474828533,0.02191152156917242,0.001123383252359611,0.001955900547839118,0.0022188218274279414,0.0008089785171744301,0.0003679735983660448,2.4835477685059004e-05,6.787731599011693e-05,6.766946958114417e-06,4.879107896149648e-06,9.538251051210977e-07,1.4898093025905723e-06,1.2085786689208788e-06,6.069618860848891e-07,1.7732772195078184e-07,2.5360389344086798e-08,1.7104246685661906e-08,2.2101767527260563e-08,6.858904197937221e-07,1.8519151545604018e-08,1.621643797022898e-08,1.1200947109824e-06,2.1506286834505062e-05,1.0041480781985967e-05,5.237144228953383e-06,1.5938228621337203e-06
