,1N,2H,3H,4C,5H,6C,7H,8C,9H,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27H,28C,29H,30H,31S,32C,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.0200602301142847,1.0211596442995536,1.4668040258769635,2.0822721413542054,2.478652595352875,2.5916632594462277,3.8473909893242513,4.2619991676213065,4.0215087143199195,3.0070779303298054,2.6523420662351858,3.465387140069836,3.9649317382253417,5.031229903948103,5.078576218022212,5.343162963075887,5.938742937514435,2.479735505955323,2.8247722625725284,3.639236975741637,3.9390327538448116,4.886790577395033,5.071096570965316,5.33047923151716,4.628668347467155,5.634624910107034,6.656770672366848,7.4356113513093005,6.68538082331892,7.581300617454051,6.936289760800647,5.970760500320466,7.730944699169677,7.055171080768527,6.02726983896733,6.141464629495015,7.187174252977144,7.884236703904249
2H,0.0,0.0,1.6181498183622336,2.0405177652141697,2.273788292272322,3.347133598356501,3.4321578566868833,4.566156911573888,4.93769390710812,4.5457265993709735,3.9973716265370967,3.6444073444528393,4.358947064193642,4.974490683555545,5.838157711527505,5.870798076761972,6.245514857960823,6.675158669049079,2.7763980762180256,3.1239445637924157,3.7584242627139433,4.045030950779842,4.949611888711166,5.284531041022405,5.119424425802741,4.348699210963496,5.285429557151139,6.474284791829354,7.287430113246641,6.628376604179711,7.196743742321952,6.534209048088988,5.508123676210253,7.245918539429934,6.792248452965716,6.116367520115344,6.226592863975456,7.290857714673405,7.992240298420068
3H,0.0,0.0,0.0,2.0194854829620423,2.89340799018744,2.850737736622839,3.1636907703039836,4.259951408152094,4.492123939175389,4.626636616078399,2.862458997495114,2.3071801139549533,3.1182987362189274,3.8735133828121247,5.420916161759322,5.584766089565839,5.550068798535224,6.358493738702716,2.5019749111524234,2.3726531718253168,3.8229136081598445,4.344865241807342,4.870741141607266,4.861007551033871,5.251613543928872,4.455407799149212,5.726649503378358,6.427285846490141,7.279823399533567,6.310635095627366,7.319920419379899,6.499479983046068,5.569725116289548,7.2918396486804244,6.4915353582956055,6.154919697027975,6.455422365345464,7.1953511874770095,7.971943605368622
4C,0.0,0.0,0.0,0.0,1.0983673948847195,1.559349066147016,2.1102520028170333,2.572678912992689,2.902946375049909,2.6875485968989077,2.5723312471336377,2.793743656986693,2.8811235721065023,3.523169047233126,3.9473274137967285,4.1907306177944355,4.385086155814162,4.731869995055044,1.5420232718730948,2.4253179724122496,2.4740410241785433,2.631560070361828,3.8437166434305836,4.094888741276743,4.6139390431193315,4.1769746874272204,4.908215818140897,5.995468429799311,6.618746830680202,6.064923009912399,7.187617196272055,6.869603697396464,6.014453901170739,7.782883993975987,6.980562013793233,4.790422553208437,4.807368070935433,5.995668153810643,6.618975140410319
5H,0.0,0.0,0.0,0.0,0.0,2.1532903529254934,2.403326328835161,2.7250631747379206,3.192314573256745,2.382375402832753,3.4902055374989494,3.7792610768154615,3.860558487574332,4.314040944224,4.08515548824976,4.211912045123176,4.757516996722271,4.725495721168491,2.162899436758405,3.2546514155863013,2.5646323718006987,2.339697035455447,4.013338174735281,4.518258469983207,4.722473933432658,4.4071359586771015,4.771758324394378,6.206062985905841,6.738363855901075,6.4558140807637,7.3473167928615375,7.212110180829266,6.341475194249114,8.092599576284258,7.467396595084289,4.732745327478853,4.511033135812092,6.036125424712652,6.55153449649437
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.099187865330558,1.5433670797158203,2.177795321627985,2.166210211481206,1.536922368414756,2.1815137252566745,2.192730376957979,2.1813191841113566,2.5844983881679164,2.8280170166437832,2.900363930557615,3.527674914562601,2.5751002357372133,3.2874849715748353,3.3515140707291926,3.35716716331859,4.61453466912747,4.648639568414868,5.706575901756856,5.408247647080027,6.093968183273798,6.981822602055527,7.499772592208458,6.911434247187584,8.367994955753066,8.096507781376419,7.320424362048951,9.063216904146593,8.066086568912455,5.32243160587558,5.242653356037515,6.4503865616592835,6.984257630928904
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1521568039996555,3.0660834550159652,2.5255310746924193,2.1436919412362605,2.473750254636922,3.073111405377993,2.4906239014193616,2.7530048693197173,2.5469773163953584,3.1572913373913196,3.747353549415068,3.4647076841825046,4.187490106620776,4.240681207103287,4.113088476068257,5.587812088727969,5.705071882681542,6.599307382201612,6.247566212420182,6.8874290769927455,7.93987632070644,8.474019135490217,7.9228442483456325,9.24599549370448,8.921177789455067,8.075967228881204,9.842486656132195,8.94514311899467,6.2530677794733265,6.0451254564142705,7.4357135869931374,7.924446634212654
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098794478601818,1.100881234062219,2.562705838592189,3.5125187764593293,2.8566509885160998,2.8073733826020626,1.534348600234769,2.184196859989375,2.193899610714951,2.1791564794166325,3.129026418438439,4.0274250272041066,3.3001245948793025,2.997223220692213,4.413504767152002,4.507416214461546,5.753786553491658,5.748782080947965,6.067155551517043,6.978082645626045,7.279151017046511,6.964384889721972,8.542763956394685,8.586349734026506,7.9250766834223185,9.609685726602821,8.568533169230147,4.679272243836466,4.38502715775958,5.769032278970137,6.1275858725012045
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7584181995967096,2.789044532885616,3.8078138478900536,2.6408718340002264,3.1147640284478153,2.1613571242541627,3.081913074007277,2.5202902067695225,2.510372986485894,2.8806133265469147,3.658504511515712,2.8377233596292437,2.6883212556126916,3.6731592568044134,3.6342897563017837,5.129609542963611,5.244273974104759,5.5512905938617125,6.2147879610093435,6.450846234198772,6.1325357511171426,7.876055951017117,8.014015082079046,7.4626520674740044,9.072723511041989,7.928900534107572,3.872333808879572,3.7438796673109813,4.841726402101714,5.228140223597714
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.497510541014234,4.327507351372949,3.813660965385373,3.832962605573798,2.1494957608015652,2.531052102184245,3.078308847582267,2.457277700177429,3.3094445596438575,4.411059547451611,3.1812133584525286,2.570381216081303,4.374223564394516,4.725198516106576,5.6295420742385485,5.703125563372798,5.743586251752416,6.950970761290377,7.18887786752987,7.108372942303161,8.45411131166756,8.639524015433482,7.954325769805822,9.634895287721701,8.755143520869888,4.46220482461401,3.9273909908320244,5.661823246913911,5.92615749143514
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948009557034069,1.095933248446979,1.0951520747257883,3.1612215718711236,3.523331934359973,2.9045033541609953,4.16069290668433,3.103479227024334,3.2581976819452847,4.112259667120428,4.410603268066267,5.103247350677255,4.8046747390326185,6.181099908766307,5.792256479654838,6.789950052316681,7.248359191551602,7.8364078050663295,6.945874523336981,8.641960555009671,8.167018350834331,7.457384314732192,9.135855895262724,7.939923609500109,5.967664235433609,6.13544321021607,6.901833768732541,7.527157238604331
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7722379795282728,1.7619484678005861,4.127280549310731,4.306143586524034,3.8751954379489675,5.170722933280752,3.4263393440839405,3.353306091129254,4.640418040933818,5.035680686665597,5.6466857687211265,5.35073288890958,6.517079145131242,5.9564772387777785,7.1362364455207405,7.577711538463219,8.28240956620479,7.254594279868577,8.80593932831685,8.11493036446583,7.340949131229844,9.013585046465305,7.881992047197992,6.686818558171795,6.92127922688505,7.6309357436263605,8.324234183961444
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7745649854767536,3.5944445835211347,4.211766684569463,3.250086151521974,4.43657786878668,2.8257044003102227,2.7303485657737068,3.7536136300845637,4.226632775694647,4.481166412528895,3.997685643358782,5.58501313620759,5.253515276604178,6.318401479613506,6.4960326631133665,7.0670828327271344,6.087098201290724,7.947707455620428,7.505970334779468,6.901702520397805,8.507688425912846,7.186038655785174,5.387060214452317,5.735658877428344,6.177506667672608,6.855019260650728
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8283088208900597,3.1201406890214582,2.2730294935659985,3.8352428897743067,4.122255653841563,4.304061109666323,5.003830888358471,5.194760901751146,5.953365443664754,5.604128273436879,7.137550046713786,6.818850692645877,7.747034352299001,8.162530999187556,8.683756479035058,7.818573624161785,9.626320101912198,9.191216672881446,8.515376257772864,10.172767615180094,8.916172829515604,6.6610822531351985,6.751658523636839,7.541089129357077,8.09246051495163
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973609521807466,1.0954861388638333,1.096227265315922,4.6128048228942955,5.395944128594499,4.795521528320604,4.442940080305208,5.799003168567008,5.787450998526279,7.211590547449574,7.246566721142371,7.537541325390051,8.362198208574808,8.592069233071918,8.281771858382612,9.989292086273085,10.044923261328815,9.408791060524138,11.081212248738447,9.962056085698412,5.883487573528184,5.495943590918481,6.850833861207913,7.089013674198351
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7705243501347714,1.7710625408305931,5.1554999099539405,5.98077235133884,5.445183603523815,5.029690580798767,6.590919584719361,6.662059278000728,7.920357675000907,7.874960144951989,8.172187912212246,9.161944285124537,9.440351793532862,9.131329644698372,10.714624793147031,10.699914442197086,9.986130928052603,11.704038471783662,10.669039791161977,6.730743598360188,6.260162615414199,7.781074778133151,8.013598457828756
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7665718883292272,4.927629346229867,5.4940677208321205,5.262630751983863,5.090896125521162,6.146473853489698,5.93896993706949,7.580626662811692,7.571521228645208,8.04190493007962,8.61888103122832,8.880807151450194,8.399065565901537,10.27478791193677,10.229052862961447,9.633283283780486,11.27599033924501,10.030581492109176,6.329325675859492,6.112030201710558,7.172922685127083,7.467281177208124
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.232560824921432,6.077068969599003,5.147692780218746,4.666862977699618,6.00912862604808,6.045230568751493,7.4810319146879465,7.668103540670223,7.7432646092009545,8.57445852424369,8.667150119305727,8.540643738119408,10.261286071937297,10.498816687526823,9.927879995874214,11.551843706254099,10.43578172491959,5.811715540428068,5.289330430274504,6.695240893605911,6.785502040991265
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2318346248000045,1.363159047954405,2.0772280846885525,2.461412586807953,2.6279832316712395,3.228349936918275,2.8363666959297347,3.7324508163161227,4.517643616735361,5.166915648540298,4.529750552292761,5.804524763682965,5.568943802936226,4.831638353533296,6.553694254735415,5.619697257783487,3.657576804501764,4.006053791037216,4.738822641278169,5.481100621626062
20O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.268623238933873,3.176853147040225,2.7867225843449717,2.5624896489711495,3.2732496467411565,2.6570739428232444,4.031662293961528,4.277316953875843,5.080267870817674,4.049878450125098,5.457282289853482,4.925442096622751,4.228578431922086,5.90674322551083,4.798983513739605,4.201161460512526,4.822641768862377,5.038556256711818,5.899065025537355
21N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0128664028940344,1.4539220003546431,2.084156644984081,2.4886831096131075,2.5649339233182546,2.820012058546178,3.8546819700710175,4.283115563705445,4.082598567725494,5.295888109956823,5.4988554852825065,4.90117489269154,6.511484747581646,5.661819573963693,2.3909205024030675,2.681249795272617,3.592496622049384,4.258663391245169
