 ,N1,H2,H3,C4,H5,C6,H7,C8,H9,H10,C11,H12,H13,H14,C15,H16,H17,H18,C19,O20,N21,H22,C23,H24,C25,H26,H27,C28,H29,H30,S31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,1.8852936538458551,1.8747468865811294,3.029493233984399,0.08409865023366458,0.19750108204687758,0.018059705418900673,0.032548286104392546,0.00064055314058864,0.001730810615819589,0.02622372331425009,0.014380034250282225,0.0006602719802761836,0.0022245840855279475,0.00554039563087555,0.00012298543496513936,0.00017170867284521663,0.001030882648130449,0.2334259430214846,0.05471295976886269,0.037189114398670245,0.002257372314608652,0.006880535061812659,0.0004896867178147968,0.000934617218193115,8.809970310375004e-05,1.1868137367976317e-05,0.0002678763474729118,2.9268563473960896e-06,2.3187447019124008e-06,0.0001201838520858492,4.060472268266335e-06,1.925350155529415e-06,1.571468035255208e-06,1.5613032644523628e-07,0.0009407367551381163,0.00010973218700482956,0.0002852434322970915,7.679626886425428e-05
H2,0.0,0.0,0.027836671936432245,0.1087188711969923,0.009328869115468708,0.02943763946610689,0.0005631745596219595,0.0034463104311956982,5.7844090183500896e-05,5.156038198617097e-05,0.003091817616821868,0.0008552147770910512,8.391779392113996e-05,3.262509663359836e-05,0.0011362091756084158,2.820777260370555e-05,3.604288226122243e-05,0.00023080350670379168,0.006609847311859096,0.0019272703926623835,0.0004143159054500467,4.640741475259169e-05,0.00014757461137349104,1.8159340488210773e-05,2.3428458735486046e-05,1.1967906043519605e-05,7.168018989478497e-07,2.3086787971360323e-06,4.456175159983644e-07,1.7333965107724225e-07,2.0436696813730393e-06,1.475760472713361e-07,1.944983769597286e-07,6.955733078406467e-08,1.1570530311644234e-08,1.0779248201142622e-05,2.400955834924723e-06,3.9313329933676755e-06,1.0731127833008003e-06
H3,0.0,0.0,0.0,0.10249987562781748,0.03229167726158044,0.0050866532725918345,0.000131636592273221,0.0008133739939943929,6.461673480662178e-05,0.00040523195948538593,0.008715739220392704,0.008673909345268571,5.482656348654302e-05,0.0005279044214769879,0.0002307283646313385,1.3462806105035696e-05,1.8371884498380453e-05,1.2567676047181564e-05,0.024596640527884128,0.059772019254417774,0.004193088336035045,0.0006101643455633798,0.0005072271270126771,5.807970443738597e-05,5.783402553449779e-05,1.678090222489992e-05,2.946538653736397e-06,8.39658982287883e-06,7.542865985143976e-07,9.311345670059978e-07,2.5086871126012156e-06,9.305014470051276e-08,2.657642328429688e-08,9.369817588478213e-09,3.12861698770206e-08,8.140558485525418e-05,4.589599610294037e-05,1.0508199303593813e-05,3.123057572551602e-06
C4,0.0,0.0,0.0,0.0,1.9286348256144752,2.405902380996914,0.09530270129070373,0.16720492789575186,0.0045256017129367,0.015688710719889976,0.15486011283260542,0.0075943358452412735,0.006955325889838937,0.030997755106614733,0.03171539956072236,0.0006311437427026778,0.0009504899665979671,0.0030658852181304486,2.647422838052742,0.2709710776051236,0.22931491756581165,0.014313934841149845,0.03523529868874756,0.0033985716601232507,0.0035902953236070234,0.0010568243445960857,9.59283977839398e-05,0.0007907507793957491,1.5006736088007955e-05,1.6789274932538234e-05,0.0002482838669067289,1.4569041589196363e-05,4.696078959476324e-06,3.0785601423666265e-06,9.227354560437107e-07,0.0042095200110366104,0.00043810334622487734,0.0011986708501651039,0.00025518420039682965
H5,0.0,0.0,0.0,0.0,0.0,0.08538243071015139,0.005389778584963034,0.011845908637147184,0.00015754777822474253,0.008399872005766973,0.02751163940067336,0.0007636324564899155,0.00041499316712201306,0.0010043832483743742,0.0011272245334601472,4.181827391458448e-05,0.00028352567216316515,5.266844188867026e-05,0.09752198049379812,0.02396538663537362,0.011892131011039364,0.008168189120122404,0.001715674028410774,0.0003290593100575556,0.00017417502201300117,0.00010140682687631575,1.3497968784470515e-05,1.939404357220731e-05,4.047914815119569e-06,8.147467585928325e-06,4.462500664770275e-06,6.136935961631451e-07,5.561121891872745e-07,1.0843376507807534e-07,1.05103426406572e-07,9.091477521327995e-05,0.00012705091230458265,3.451000285414896e-05,1.273681347568889e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.8800499718759105,2.767237140894531,0.0816627738512592,0.08169517359665357,2.7841737614777426,0.08615260017039983,0.08286055252548596,0.09150828308638936,0.16535598713484773,0.010282292887752842,0.005582028920759763,0.028557952513250662,0.1783417489528617,0.03280949046432234,0.026524807073582984,0.001372101544312776,0.0032275201696968236,0.0003463624091588624,0.000984041910722544,0.00024924555363203815,2.76583367204708e-05,7.728172147727919e-05,4.6770868384893305e-06,2.857252780152919e-06,3.4731064283616275e-05,1.9553457398790997e-06,9.48915369169967e-07,1.6802376867630642e-07,2.9585725047631684e-07,0.0005805710879137616,0.00011759997952449919,0.00018405720860105446,5.919120432773539e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08257997206519896,0.03620856688645935,0.0029464578087443627,0.08322148269153451,0.004833488377202322,0.034876112539110826,0.004769726753195869,0.012052378172877853,0.005770098382414934,0.00010194332940227646,0.0006011191354993173,0.02965687850141774,0.004276433578347838,0.003261824285127668,4.6754671922055735e-05,0.0006971764370040656,8.575916531383676e-05,8.009956049126465e-05,1.1267039969897752e-06,2.663408688041713e-06,2.7609268213879545e-06,7.593928879057188e-07,3.331671871720232e-08,1.5871842450332352e-06,9.727455019259423e-08,6.93024939657505e-08,1.4979124607350514e-09,2.5728965180604746e-08,0.00017668778377588623,2.0894036619756307e-05,4.350572861866464e-05,1.1062207716072692e-05
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8536772152830212,2.049030424619667,0.15414112211010278,0.030584936676219643,0.008618017886484086,0.006760795402812603,2.506117898930344,0.08176599101851134,0.08203113112936133,0.09078859009243323,0.016328077864848328,0.0035697981376813515,0.017857392700197816,0.00845907140277602,0.0013352782329180413,0.00018572585327492064,0.0007772967496678385,5.532929621576699e-05,1.2875633012887633e-05,0.00016316259050258575,1.2887409941431116e-06,6.166709221044897e-07,6.919823771438238e-05,2.8177773266913064e-06,1.7724023857468296e-06,6.970336210443406e-07,1.6108905387390848e-07,0.0003303423294297725,0.0004752689671553151,5.591315279250553e-05,7.418727609564968e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021617443376395595,0.010470584345202871,0.0005029275240724385,0.00457940667282819,0.000147145485277278,0.08144881944738325,0.03388528771551358,0.005229973542937971,0.0038749273126537087,0.00648932628116361,0.0005030136403522123,0.012651357713551192,0.0014822348334155855,0.0006499128330414994,0.00011600907681685868,0.00037387761556262333,4.24696900118704e-05,1.4818067580524286e-05,5.14985552007019e-05,3.026883482304399e-06,5.10110745643999e-07,1.1302251062716984e-05,4.910941955316162e-07,3.910244390503692e-07,9.120131094775275e-08,2.8134479190811135e-08,0.00038369238976287967,0.0005180661856314384,8.19858091595238e-05,2.150564320846371e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029820202450421496,0.0018474242910329064,0.0003876406362088858,0.0008208433316623243,0.08540448191863059,0.004166657712772581,0.03314199164250575,0.005612996684794869,0.0012915659775627475,0.0003364423698319907,0.0023663231236714655,0.005838197439036241,0.0003336496918522336,1.4263162870564727e-05,0.00010946843397752204,5.098981442408501e-06,6.803902738994339e-07,2.679182596732055e-05,1.0794221783072544e-07,4.998175826553819e-07,1.3648453615733303e-05,4.300459075512464e-07,2.876488696124113e-07,1.20085801524894e-07,1.0348304879670422e-08,6.459799855296211e-05,0.00017790803045891757,2.082825318139303e-05,2.616989305259665e-06
