,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19H,20C,21H,22H,23C,24H,25H,26C,27H,28H,29N,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.018378675798477,1.0204785759240165,1.4500414024840622,2.078430378724336,2.4576635712195256,3.40915625437484,2.658046035606483,3.218632252788577,3.672092580089142,2.5127936245392837,2.8419067739685753,3.7143288557974192,4.008696575535599,4.968593715908235,5.134656755740157,5.49910662373908,6.4998835342323025,4.9895099040548345,5.8497305674303375,5.081630582208033,6.651158515943234,6.623709194677872,7.474623350482372,6.10953653727723,7.342275498289251,6.7918032979012075,8.067528824658192,8.327474737102747,8.983453267032326,7.950056283674208,8.956124208634188,6.101830576186162,6.177359686194894,7.278856177731424,7.973512622307299
2H,0.0,0.0,1.6252473890657886,2.0362362055978163,2.4531675137489057,3.3472281208566796,4.195891264158511,3.626076050692582,4.090855955179955,4.332476850129876,2.6313826221190917,2.721423001911875,3.823958700150176,4.263535442244945,4.966981298979459,5.207780578131464,5.205003210906896,6.217237820203488,4.58741867630105,5.441612995012391,4.682649180161857,6.335776748502454,6.012824979405955,6.886768116715722,5.395032307577693,6.689206863012704,6.130014127902067,7.4982517851959924,7.556123624197794,8.227560983884503,7.104703877007915,8.181382165220331,6.2086066033038225,6.395797578679836,7.326550538312719,8.078318430194145
3H,0.0,0.0,0.0,2.0209334680287925,2.9205652600325798,2.6111083414611023,3.636518888260748,2.904653740229697,2.717663366907267,3.179526644583348,2.778014177316767,2.7856229728378805,4.096087782699958,4.501884316307203,5.201740415946419,5.151391298492688,5.772203413847411,6.6875417934891015,5.165734889335897,6.349325376670879,5.70572781601943,7.184308691288316,7.102449868296954,7.861899951429557,6.527714118198824,7.966603030111481,7.509674878436231,8.717783494415658,8.90682960367915,9.491852295464103,8.4876260651905,9.602225264553098,6.41024938389204,6.594008889198047,7.5065503465185985,8.23930283032264
4C,0.0,0.0,0.0,0.0,1.1018618542672152,1.5462857853417122,2.193255495035937,2.1503120665308573,2.870388175566329,3.0724593727593965,1.5461644700478325,2.43909061758734,2.469503972397155,2.6111952067538966,3.8344091888472884,4.095980402485345,4.632445408058066,5.629302913932386,4.373196815165801,5.0108739192077465,4.260716491815422,5.663013013736378,6.052553238458325,6.869410041945224,5.75701890335647,6.812165867432435,6.331823683012346,7.388598050904396,7.98984444781362,8.599531768566836,7.783264882695973,8.633577853093458,4.79504904853532,4.7730016073118895,6.031204879562728,6.656637027508424
5H,0.0,0.0,0.0,0.0,0.0,2.1294202333261714,2.4606772104967054,2.4209258969288974,3.7910428380835706,4.04096479688656,2.1487076284708504,3.2025074300516847,2.589027301123639,2.4298701073326017,4.0350748005553525,4.55114192382671,4.764327061403148,5.813548379670459,4.6671559981777415,4.813709857289366,3.9092547225795884,5.3626073577376046,5.880251244987189,6.786905866728162,5.697885797851689,6.418788120551188,5.821287144703728,6.92515523704531,7.652416695571951,8.339787039882019,7.518464782728668,8.194789313276432,4.784371372798125,4.5638799148528255,6.0892394864239305,6.627387022057141
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0941814780959318,1.0934641959232594,1.8410130686438568,2.4184580013545722,2.547088126651008,3.40279069841586,3.1533003657786685,3.0047974872504946,4.402216352115245,4.458981549481717,5.548528881539796,6.429622485893666,5.420896171228822,6.096667487519493,5.431108964004687,6.592096627242058,7.301875174360796,8.037797567262942,7.105214870492243,8.111700989580259,7.67648261030862,8.580697022149396,9.371338368031815,9.937070803670814,9.230518615104998,10.02106613909293,5.0790816352064745,4.882302143312696,6.30234514294169,6.802385593548495
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7693277171713333,2.4369629448833217,2.6729166119557775,2.7872407112210937,3.7944406049841586,2.892711539441447,2.4770699932770928,4.036416880638863,4.150587679564401,5.359506319335328,6.172431464384514,5.44469686635955,5.890486652351645,5.285913386560312,6.216483711687044,7.236473203091006,7.920872640255475,7.20221050675367,8.030461839006769,7.651895746140157,8.368639370535966,9.387362387718643,9.913235390707056,9.365048483589733,10.0246338613724,4.408631209218385,4.052196008273574,5.635808990829917,6.021312707120308
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3600977883674075,3.309733264252891,3.4769735583595476,4.329456077922565,4.0847965287574866,3.8054685555124954,5.407867379888227,5.534415079910674,6.511756190977409,7.435298735392433,6.377686581119117,6.91649345362441,6.146438589904099,7.395452172068907,8.088885528731586,8.894445511360004,7.875338468802553,8.770696414225869,8.227341009018497,9.24253529402747,10.016025969303447,10.653134998065461,9.853972956517442,10.597464654599683,6.006208158603849,5.669047564611816,7.268963274137062,7.712019999295243
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3512856413440393,3.3793806442737093,3.6866384397540006,4.197798816729983,4.328021151319571,5.101283637257386,4.747728611561899,6.245061129645268,6.964272631583447,5.950503223680214,7.133795857059731,6.656129833232109,7.705527425408248,8.258687925444843,8.855560919554748,7.947648614221063,9.281231391621237,8.971724795521194,9.814392599776465,10.451853986914731,10.916388172089373,10.230151833657656,11.203072113646433,5.908741583158386,5.950433582177868,6.927419989481535,7.489695611723098
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9088378861915776,3.0152075515863266,3.575478703688094,3.89642290458788,4.157729103833964,3.6087342497189483,5.307556257838818,5.897140037531542,5.037527219463664,6.390235706679012,6.097717091362687,6.944538571785846,7.517294667882937,7.986450746829954,7.250579496308401,8.676170856067166,8.516333607064356,9.17812830869863,9.840598220476126,10.198655757815109,9.661966275917907,10.658570802743837,5.014786826098173,5.269480252081617,5.886098717109638,6.505158609284179
