 ,N1,H2,C3,H4,C5,H6,H7,C8,H9,H10,C11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,O22,H23,C24,H25,H26,H27,C28,O29,O30,H31
N1,0.0,1.9371901545239254,2.91121732587544,0.09844589839119189,0.2322206698142168,0.004507549545562206,0.026078890479953376,0.2078782827679427,0.007664585768201393,0.011453284950174503,2.6292389653047556,0.0837047883425922,0.10163963659000252,0.1789853048973984,0.05209239548050967,0.025833270226766583,0.002755977710791724,0.004663182788979078,0.0004478406817373104,0.0009802180408808314,0.00016083308254200013,9.310659556821532e-05,6.500528487873858e-05,0.00019235366537403986,0.00027845939317905355,1.31432124794717e-05,1.9359357134707267e-05,0.000434974955225903,9.584681472782353e-05,0.00013352365727048454,2.3570083356960758e-05
H2,0.0,0.0,0.10545884942339134,0.034083129674846946,0.007469023023751187,0.0019561257376292662,0.0004252403633855373,0.004587193280091828,3.424114210748286e-05,0.00020532438732767666,0.09721923980352076,0.012392789005930327,0.024173038806545977,0.03089911198804518,0.0670734246364314,0.005064282761654049,0.0007724274693343691,0.0005801709216317619,8.682056465714183e-05,5.395478989356217e-05,1.6603552095428853e-06,1.6295902797835993e-05,1.1419385915312219e-05,3.817610298617602e-05,1.96342220997181e-05,1.0859427175491376e-05,9.548479672494281e-06,8.530021771246954e-05,4.836387285955812e-05,9.050154026413182e-06,1.735064072194703e-06
C3,0.0,0.0,0.0,2.0024980177849,2.6446283942621824,0.07852629480733708,0.07705643182445754,0.2080003867450096,0.019622729975265374,0.0038623501107977187,0.2653002648747906,0.024010710429033688,0.007673934354058387,2.4406445069190985,0.2802471844180964,0.23556649382084752,0.017667267227792327,0.03631547116166792,0.004858235321052007,0.003750006313167409,0.0008148430669079332,0.00047237680534503723,0.00022624679226201927,0.0011835174200467702,0.000452743477872275,0.00013999580675627676,0.000377489543109899,0.0034305156760083,0.0004255922968774972,0.0010535857183564673,0.00021732159566789644
H4,0.0,0.0,0.0,0.0,0.07424196037431097,0.029377446282311093,0.00701824267157658,0.005076450014327438,0.000339065794960014,0.0004350785972759841,0.006975157367812956,0.00013759116357436874,0.0017587706118038504,0.09585542404764147,0.020649203967886498,0.01364409254674448,0.01020062452163617,0.0022551058676778535,0.00035139508556514265,6.644631625762898e-05,2.222627497294738e-05,1.4968229175238434e-05,1.0974702549626514e-05,8.401621959985839e-05,3.0401218469089386e-05,1.778446657074717e-05,2.424352926144735e-05,0.0001109285917511027,0.00011144229487869417,4.3777347898843466e-05,1.308356470675065e-05
C5,0.0,0.0,0.0,0.0,0.0,2.0946573965548265,1.7662757551477704,2.6598656596184007,0.08081239191298062,0.08099586620421473,0.18997857461214865,0.011833504697975616,0.009191323202112578,0.1852031288347944,0.042219725550128095,0.027123275221689697,0.0005748779543477411,0.0034558672545521307,0.00030012275814883527,0.0007094650092984434,4.174730347350497e-05,0.00010918582971657098,7.89856480070128e-05,0.0003271816990146059,0.00032150999818858494,1.5390460659459038e-05,1.8477822218976314e-05,0.0006841102561799817,9.833333847893144e-05,0.0002216448716440833,6.939592142563011e-05
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.026127746562960796,0.0801212942231957,0.012924080529790105,0.021017076486154584,0.0034644010745004117,1.2322709850298708e-05,0.00033445012087596204,0.020020638249304,0.012685124933020209,0.0024152805467900773,0.00014306902857486037,0.00017174819825171994,1.969559764036788e-05,2.0678098341830875e-05,4.939674607795652e-06,4.350794818641646e-06,7.136510912886251e-06,3.065100082799699e-05,1.7091666506763303e-05,1.3704292048499767e-05,5.629325194878021e-06,3.858693737357477e-05,1.1516350542861709e-05,7.930703856295906e-06,2.1949781943142455e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07385906137876574,0.0033533420507643186,0.010693133985233194,0.021017498912189625,0.0001972920844395265,4.154417048196635e-05,0.0026139185173197355,0.000621878908051432,0.0005599898123085367,0.0001330119190536827,4.354030443542989e-05,1.0916539193273067e-05,3.3603674614246515e-05,2.7942720961515732e-06,2.1367430730334647e-06,2.921692815016641e-06,8.819048374020255e-06,2.8864295911201765e-06,9.626386252570285e-07,6.969055739158847e-07,2.164956874128876e-05,4.3662161967716884e-05,7.0677337753455305e-06,1.0668205148167687e-06
C8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093239086789646,2.0814311381645116,2.7034018058876477,0.07329375730485599,0.07784272273445092,0.030761884832445352,0.007241140636259455,0.0055641316463976576,0.00018082043027201067,0.0009512444171246304,4.638956144720208e-05,0.00010293573278707946,5.64158899418743e-06,1.9794687609223094e-05,8.33969864355577e-06,4.337483118506402e-05,3.9777987552502836e-05,1.741252492859502e-06,2.354983018371115e-06,0.00020528491679835947,1.4577530869322453e-05,7.32773709751916e-05,1.9659440817942908e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02560135084854709,0.07395778602257996,0.011128072961660518,0.011714383550792018,0.0024105452317375597,0.0009983090659163585,0.0005984540271489758,2.806350501005639e-05,0.00010760745025328866,5.500703639249593e-06,1.4156010440524724e-05,2.880802199012322e-07,2.6744249663757103e-06,1.167343397723286e-06,2.039082738658493e-06,1.0497166555989423e-06,1.1003795341579803e-07,3.817358908975166e-07,3.160852300210237e-05,1.6254683560257277e-06,9.4606336076275e-06,3.0238359625123223e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07773411817364795,0.00861405387438019,0.013149037906924788,0.0011501861054028506,0.0005584919137718858,7.655952778318209e-05,4.505254539877157e-06,9.632728375619237e-06,3.0694906727468663e-07,9.146650212787932e-07,6.161711718633e-08,3.6619005761018286e-07,2.337165661003837e-08,5.0167158904823594e-06,2.2266434847040273e-06,8.458675846423347e-07,4.785969955900526e-07,2.3802543174245017e-06,2.8369137139439005e-07,6.426489690403159e-07,2.7661330626038705e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8889908501309427,2.078218317327474,0.036119416349078365,0.0076666364708446455,0.0064558837326754576,0.000516016204798464,0.0014473780306788198,8.9504159981324e-05,0.00022591857206785693,5.215509840117427e-05,2.2274105506411845e-05,9.055001272129104e-06,3.7614227235749365e-05,2.4783028969910248e-05,1.6055415772431303e-06,4.444580941065368e-06,0.0001448693272726176,1.4988751427372216e-05,4.896496648371107e-05,1.3689368679292713e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025542929491428445,0.002459510698824774,0.0006736216633062009,0.0010217227803140938,9.016300218722684e-05,0.00017831629626918755,1.5402793784424773e-05,5.7117809548978826e-05,1.0500826668424779e-05,4.315728349135739e-06,3.9529242414904076e-06,7.673200597801966e-06,2.0407865597427133e-06,5.010420331963417e-07,1.512500288791685e-06,9.118610669656135e-06,1.1712625985760283e-06,3.441356704714238e-06,1.13047568417457e-06
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009537432222102016,0.000964024797633467,7.290494891876165e-05,3.954923442850422e-05,3.557713301094445e-05,1.2907105671366992e-05,1.8999143138742625e-06,1.6491237908589085e-07,3.919760491744029e-07,4.822336108212255e-08,2.924191704556378e-06,3.2001377388013452e-06,3.3060897308700987e-07,8.172182919263804e-07,7.547270110652704e-06,1.499143544747561e-06,9.915760754708458e-07,2.787545620996923e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.993781100803797,3.5515487533587953,0.1384035359355935,0.2659704521104831,0.028169990191049266,0.02978599928897857,0.0029833370950687055,0.00456452891227041,0.00376446519666207,0.010508221480285046,0.009042530914278535,0.0007571111856796708,0.0010467750491236494,0.028711308571291838,0.006713255026347897,0.0057386948982958985,0.001216995541156174
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5355553491341452,0.027321730689450208,0.06668720060719871,0.041967602268787374,0.010707641436703066,0.0009380973430258566,0.002540624506738462,0.0042223883969861875,0.014658959864139065,0.004529785655500995,0.0024143446848921,0.005988557801585914,0.009695891298926979,0.004313243863766497,0.0014761062470147746,0.0002948651440178862
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788845159089616,2.6582631147162625,0.09443828819568834,0.17689755095123877,0.024303073824294086,0.03041312577100201,0.03312610078449363,0.018379305926554568,0.0057691487658364515,0.0012835376212565475,0.0006626339962944039,0.19083404699009224,0.05996037414532904,0.0274234494627138,0.005106616702162503
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09877928449275353,0.020299094392008055,0.007298395166903449,0.0004244384589087158,0.0025428787835671818,0.0012934023580544185,0.0005800016280733677,7.46683550023608e-05,5.1112509555917285e-05,0.0001308632594156922,0.036430237235218654,0.08821539132890388,0.005913770165582699,0.00020205037620546484
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9306716840174691,2.693662678999889,0.09042371215548606,0.2165453225827027,0.009724976549168152,0.1655611598986145,0.007781829255761874,0.030889322922915463,0.00658202364466165,2.519573785037012,0.27916489058748595,0.2216832361650238,0.05294383117493895
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08496836432862775,0.0031363672188309266,0.02625173420396487,0.0006239292571248445,0.008024081234623281,9.11679927184661e-05,0.0009805617755616058,0.002765491269521192,0.11257119864537501,0.02930714007754931,0.010218755914788158,0.0006244924719756018
