,1N,2H,3C,4H,5C,6H,7H,8C,9H,10H,11C,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22O,23H,24C,25H,26H,27H,28C,29O,30O,31H
1N,0.0,1.0202990938643186,1.464116744826141,2.1006984173182772,2.40963118524877,2.840402031144834,3.359146091287029,2.457863252494369,3.2024625358349006,3.215373739717934,1.4739303785386555,2.1112838926288053,2.1063047737125156,2.443988508251812,2.81030944643098,3.579216183624226,3.8693162552544798,4.855659501744102,4.95235273378237,5.5483366545188,6.560508973372771,5.917314022704278,5.211781260839919,5.169210230958009,4.254718261775951,6.031315743144312,5.290565068419385,5.927209510008588,5.983274568465171,7.103803522305807,7.776394875895598
2H,0.0,0.0,2.0053169724609465,2.900125674915031,2.741057189877559,2.7685542774209777,3.7834090591251415,2.918091114968431,3.382537897876448,3.8640830679234752,2.0621349936956785,2.2655996645186476,2.911875639963087,2.4411377763499935,2.3258937925186904,3.7464536604652845,4.259284296254093,4.819541387716851,4.707660011669516,5.481967936121993,6.425946460826307,6.0725671559292635,5.471164050211601,4.9289305901390374,4.082229140462877,5.807693138231072,4.851360633962026,6.025060416889961,6.261301372734983,7.085427463956499,7.832857525178559
3C,0.0,0.0,0.0,1.1002592473850428,1.5557917280846545,2.167124872817763,2.227533871034873,2.433155760949303,3.3131244439783125,3.040410048408196,2.345526931121744,3.2434010953462664,2.8918090724725354,1.5258361993460927,2.4052799249491943,2.453861312362899,2.5768011141251685,3.814322923857342,4.0110179401759,4.776547428078299,5.7495776342318745,5.118900798456999,4.495029992378946,4.79303019655673,4.053923270889824,5.759138065348035,4.9823911110640715,4.667376570642112,4.606146195419289,5.897448646663798,6.48846514602566
4H,0.0,0.0,0.0,0.0,2.1879026967447266,3.0524471211793363,2.45172626324725,2.8734355394686646,3.9078300565892246,3.108674865525545,2.7731345146886333,3.808863333892259,2.9137219880415435,2.168841986588188,3.271771123623221,2.537373610622924,2.2787952947772383,3.9909602264084483,4.454271224259222,4.853798256294618,5.863903255429082,4.885229133281771,4.160137835547442,5.0456417054971645,4.283909685107468,5.927693282302145,5.448181038871084,4.6406293517552,4.36279956542821,5.956531430848917,6.449559707955933
5C,0.0,0.0,0.0,0.0,0.0,1.0961848640356442,1.0956455368331157,1.5459734690872478,2.1952513939828915,2.1942422159127513,2.4588576748200905,3.2559704975808335,3.1771434062654347,2.5554250001497207,3.159222347470804,3.4325130325904105,3.413787218244152,4.613190059841447,4.603009825793368,5.856380891525381,6.708575863895061,6.312606459692703,5.798325622125053,6.016454363471854,5.4101247074949415,7.051065770644691,6.038787709373293,5.1901632933145425,4.993724874413288,6.350845944615196,6.833029741220312
6H,0.0,0.0,0.0,0.0,0.0,0.0,1.7728964955516902,2.1880157924736268,2.367500142864005,3.0308866104918533,3.0277350801509053,3.5503241110415122,3.9468214181718277,2.6065821641098648,2.802379968522849,3.616058412837002,3.829507741029565,4.545965029126293,4.276201230088851,5.841426463170058,6.594117819273863,6.527851901098728,6.134025045980523,5.929007398579962,5.4373827351089155,6.999871229508226,5.755643547107353,5.197287861807529,5.195286488416642,6.209226117717733,6.749340797754418
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2197954907229542,2.825331057800649,2.4037782807601134,3.3592236759548326,4.230104199712617,3.874614144815071,3.0489958134072053,3.8274589490376116,3.5350845707917444,3.2515539989461892,4.642637228725156,4.732901766715775,6.002421797886681,6.79035924086514,6.3508762515326325,5.892649668444862,6.423839202918668,5.918155885417016,7.461478252699157,6.517925500950898,4.890590157339914,4.47978393284476,6.055631844300432,6.395177971884933
8C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949847667272234,1.0958192954707888,1.5630660472664126,2.2319867511415983,2.1953230252212466,3.7702005720137324,4.2543013607350035,4.759932249100403,4.706318629952643,6.036224779138843,6.044239886490293,7.153915426599891,8.073215882186648,7.523739827048186,6.89033619442917,7.133111683280208,6.376179421171779,8.11114907285922,7.168689858674287,6.680761705258722,6.427023637966166,7.873005004317607,8.352606259081918
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7614792493448073,2.2210796744651313,2.4053827807437593,2.9579556963960294,4.460313735450728,4.713210347864071,5.542451084839337,5.575465280252849,6.7073381275869535,6.5590603579761915,7.880473990992857,8.74528884955828,8.38136617380991,7.80221927399133,7.803147850542984,7.092142456410937,8.805516975082385,7.7046047945886365,7.358388485887952,7.164513403036408,8.469894973442722,8.956594177099443
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2035493406622857,2.9393304558612265,2.3261988288562083,4.474832024700131,5.142651867500314,5.260486353767923,5.000932706452999,6.591461672004555,6.727475141603767,7.72399023566723,8.656453140644626,7.930865987154822,7.2572304612852205,7.833426125715504,7.064312155258366,8.789853334524565,7.975779472185717,7.062032995931798,6.626367956958716,8.302857573290252,8.684101115747913
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0947936985070028,1.0975091724680208,3.6711029883804973,4.0537434575053055,4.770310653904102,4.868172019290655,6.10077553634032,6.170488379467035,6.932482995868466,7.934404140342303,7.246943843231287,6.513552403322762,6.633751689424336,5.726436709537318,7.503795316507105,6.7264012752863485,7.008422462378248,6.894107035095785,8.222296544259772,8.813569296461477
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7618581518279959,4.371860488271499,4.484283442043835,5.589984122868409,5.810498917416782,6.835535121868499,6.782485739995375,7.60904376548159,8.58871357547092,8.028366157759343,7.314713678365153,7.136565563074013,6.221697149108725,7.975650364626185,7.11358848580576,7.846554921014551,7.829853337460236,9.002785921529997,9.6457168754593
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.309006751854714,4.864622636966913,5.2254471644410385,5.1736361075371,6.632896928147427,6.85610845507167,7.368856924858857,8.41591417810647,7.483381421687909,6.663917729336082,7.107157618119225,6.137073147436599,7.902565501709237,7.342725528114921,7.471525872639402,7.241565675883935,8.745845609684368,9.290252506242267
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2274923683296066,1.3696027503891122,2.055603102048528,2.4643723172669167,2.551627640745555,3.430724675679249,4.344667099352866,4.058904318031543,3.6346358807152663,3.4614886166859304,2.9238110154446857,4.5032210072542584,3.560290701077969,3.585437248143696,3.8787374440981224,4.688055407600015,5.408702525272691
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281707795659218,3.1580302140881518,2.813436256118802,2.448424044646249,3.607806750481177,4.386391524032849,4.557239194031411,4.276316518172661,3.275643213745326,2.852872265843277,4.32322297235804,3.008446871920092,4.124293176158905,4.680454655522871,4.982304434990744,5.810476550094853
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0149740152474174,1.4556990915040051,2.0858992973243384,2.503687084799525,3.41140947099869,2.9259105783711066,2.6069091021256714,3.0796335004698676,2.7943485023073835,4.063959065603006,3.4554513111203193,2.4009869397642283,2.6828036184810675,3.605522488162668,4.274567129402516
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0910693965427782,2.8698830596834166,3.1177732518609607,3.971533250792652,3.147922756216114,2.750879771403583,3.9122613772166406,3.604367944746044,4.806854572134496,4.405909101865733,2.4113906361973765,2.2070931339603646,3.747783306590351,4.216010657417085
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0964067878940482,1.5569035411072178,2.152360726028313,2.437477479933233,2.638993913900695,2.5691957928440683,2.8419040625903533,3.5069394160103955,2.824756292769187,1.523201324757795,2.429129749958346,2.379923313312801,3.2137352082478117
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1747255948957047,2.500277842965533,3.3713502289702326,3.613976944983933,2.772652936311986,3.137830070974,3.769788191284707,2.5818499515320785,2.153205979736566,3.143634212102282,2.62802983243935,3.5286519060664356
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0945989132050142,1.4230485464252898,1.9412690688225291,1.527202437048375,2.1770628456526326,2.151344708440469,2.1809946777855425,2.521173491106147,3.4581581448898926,2.931256162962014,3.7816671776656268
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007446740649412,2.8103596694013087,2.15791677602664,3.0759903892254963,2.4772817787958505,2.522103041898658,2.6791998406775956,3.7585432147496083,2.5446330295651904,3.3870577234973878
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723963284502897,2.446584914979642,2.7552684544602712,2.676425386659907,3.3945075776399465,2.8933989882950866,3.4428257522613315,3.4495919442255145,4.053942983641702
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5784301063352233,2.474830504244773,2.9029526551002496,3.5895390630531026,3.271448709470228,3.6111618519969104,4.103936329510709,4.696289184435969
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957528165253392,1.0949100660432645,1.0947476399202072,3.894665528104179,4.809798051352961,4.313971130866422,5.2246390881322045
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.778257043972153,1.7647514292393727,4.255382430223363,4.978190616866954,4.948759139213561,5.825663478970691
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7837559716191869,4.668381366455813,5.579327949826834,4.93321906649755,5.799042025686931
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.202784417301834,5.22759863334999,4.471262762071371,5.43717683580439
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2129436805451501,1.3469764967113012,1.8758147657726016
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2538465453464203,2.293294987628684
30O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764691129577874
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
