 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,H24,H25,C26,O27,N28,H29,H30,C31,O32,O33,H34
N1,0.0,1.943525879391803,1.980720521727573,3.041870542643303,0.0984764303233423,0.19363063276532175,0.016309089541656663,0.03862828860779616,0.0015537584366086543,0.01791435939080331,0.002158445422130617,0.006507584680043754,0.0007244113365121319,0.21076531340043447,0.040268685100979154,0.05371776470522267,0.07543605443674495,0.0067015800859618335,0.0016371350608067603,0.00045985404261610074,3.498420731584684e-05,8.665997395840286e-05,0.00017800258712945272,0.00011291601133933682,6.565414551717996e-05,3.512017887533081e-05,1.5015827870758225e-05,3.16670953606768e-06,4.010404440757398e-07,2.704996583391406e-07,0.0010118184210896053,0.0007993685985627774,0.00022974450788561251,1.8368358545295393e-05
H2,0.0,0.0,0.027748083137346002,0.10623695602673866,0.008119597743298623,0.028878116862062653,0.00044864014837764365,0.004741241238698568,0.0002727293817397225,0.0019601219477888288,2.40302002560977e-05,0.0005737573997135481,0.00013494708021433155,0.004265129193879669,0.0012317002792496812,0.006519030442500018,0.01056404819000778,0.0008269365506237136,9.674362216549603e-05,0.00024477529217570293,6.217155797072493e-06,4.758654941783291e-05,2.8130595521091983e-05,3.3560499126394916e-06,6.114915935384602e-06,4.843981952551424e-06,4.1939502961607644e-06,7.041683766084716e-07,3.460898811979973e-08,5.3134542765675974e-08,0.00016974247539380816,0.0005035103789343687,6.560700775271044e-05,7.32475396003629e-06
H3,0.0,0.0,0.0,0.10061247012065344,0.03487458000059074,0.005259350681205532,0.00012950508579212539,0.0010203998595093022,0.0002903091784942635,0.010047685163950382,0.0009515153496735262,0.009658003055109221,4.960085862193431e-05,0.00857427244000708,0.0012810817496944349,0.012596664911097233,0.006994116474771106,0.0012509460940532957,0.0006144919668111815,0.00014345813802851826,3.647678801588228e-05,1.3958134554847845e-06,1.9925163960765602e-05,2.252081833464814e-06,3.0699311432291765e-05,2.941087012930943e-06,1.912738224474353e-06,4.204998860224407e-07,5.8578123462993403e-08,7.141268687504976e-08,0.00019435857686889157,7.547445952105214e-05,6.424021182993567e-05,1.4610210378629418e-05
C4,0.0,0.0,0.0,0.0,2.0777053242244508,2.623932338144173,0.09375879749667249,0.20953888237393276,0.016610080793553306,0.154445289001693,0.03148035344640454,0.004349654811376391,0.008496424737972186,2.6916184450352305,0.2750665588800741,0.22604340806924875,0.014035131240241583,0.037233910860063,0.004252566677980907,0.0034311305519792445,0.00013569870309360077,0.0009664267109199542,0.0012567719808322386,0.0004024766543759828,0.0006995913772627205,0.00017632395988576022,8.578334781893238e-05,1.8283171229718786e-05,7.763078746503282e-07,1.3541006425032975e-06,0.0036937872583369946,0.00030077214915411044,0.0011293359901335537,0.00022658516172069376
H5,0.0,0.0,0.0,0.0,0.0,0.0915605609193908,0.005624483240303402,0.018188709714991758,0.0021898094780632427,0.02703953515566071,0.0009648279815230865,0.0007753936365173519,0.0005225866355824671,0.11469463284853121,0.02094874912193634,0.022760819289002754,0.0005887346298418805,0.002190048340363404,8.632905422922832e-05,0.0004983588123214089,1.7171246322167377e-05,1.575465419589861e-05,0.00020143058851451734,7.5022318937190136e-06,0.0002230957817388468,2.4897629046449765e-05,1.5952807338792674e-05,2.7176249159932553e-06,2.2042346525807943e-07,1.8832403747559567e-07,0.0007363585746973378,3.577415837052733e-05,0.0001840127494434629,6.897525909788094e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.973734461112803,3.0269686635675686,0.11268654062304861,2.919737473587612,0.0973339185598674,0.09163886307421265,0.08503955371535121,0.17942665968610855,0.03179776491085426,0.02877749866690879,0.0028338719577510885,0.004171342826736091,0.00042050710879060205,0.001256825693921465,1.813990640164853e-05,0.00020400901710782016,0.00042247542581480557,2.1651468775196747e-05,0.0009410543571213292,5.046246467804716e-05,3.214273734085393e-05,5.1534078613219014e-06,1.8510080371791915e-06,5.533003071267473e-07,0.0003895499886316378,0.00010084765870058132,0.00011861886445688197,1.8564831763878686e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09989940159482036,0.02873531725268097,0.08706198454036473,0.005491872052907576,0.003729196225582987,0.034690613615398824,0.026356453930314716,0.003378760535206027,0.004137811667512148,0.00024829796757352973,0.0009607338020685141,0.00011514097341724927,0.00013830310704576743,2.070425964006972e-06,1.8958956746972788e-05,0.00023112730051810804,9.846356664233724e-06,0.0004638709957134335,2.2344751001934782e-05,1.4715731244785424e-05,2.274121630563286e-06,8.886394704532563e-07,2.747906158173663e-07,8.636216449486867e-05,6.693671958157843e-06,3.125614376042751e-05,8.138058996687292e-06
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7216295826969383,0.2181440193176024,0.011465628657984173,0.03348032125248501,0.0075617360086763785,0.025376468029907118,0.0813751032572855,0.005061969468216687,0.0006512492882017051,0.0011841785302023206,0.0005145494368264947,0.00017610932071468466,1.2729270575939644e-05,2.6754120760918987e-05,0.00012809761981190382,3.802016384479856e-05,4.8708859651358516e-05,2.2471704968801687e-05,8.695455910139038e-06,1.3550859571942464e-06,4.651170285585593e-07,1.2198510346284053e-07,0.00015070816515083685,8.283888402601386e-05,1.5050302334618237e-05,4.526844890717641e-06
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009827278467613887,0.00018663327915513506,0.000401749783841554,0.003161520056058409,0.03609157116012318,0.21960351305686587,0.00733566350182091,0.0002114149195586723,0.0007044613856097559,0.00012133137497238877,5.0188367262227196e-05,1.4919444756067435e-05,2.4785275596350687e-06,4.8968242911340276e-05,1.182744464500729e-05,1.193843083213686e-05,1.0340359783866937e-05,6.045461590331591e-06,6.025075390825307e-07,5.325736491812449e-07,6.77220242106813e-08,8.067507510511884e-05,9.404795386225295e-05,9.105302490985956e-06,2.7745765618369944e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0302342740698185,2.0421999711732557,1.991708675749625,0.024479775871474402,0.00879735478272349,0.002633528130443194,0.00010036252591771877,0.00046004005780328483,4.188208934274851e-05,0.00039678247592919713,5.961797743703201e-06,0.00016530834926453686,0.0035042142792375414,2.308112916948879e-05,0.005105968442984388,0.00024666181934551723,0.000157324050616664,4.060059499531865e-05,6.6715283026930194e-06,5.064347840089134e-06,6.343240075751266e-05,1.2424711873126881e-05,2.046400823565997e-05,5.8552724924165744e-06
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024856748516817184,0.024573395773107354,0.0019522995812362165,0.00023157296632503321,0.00015187346562628434,9.69280032614428e-06,2.410482887005294e-05,4.6186783797530495e-07,1.3443626697640099e-05,5.270226832720937e-08,1.9194581766246444e-06,0.0001896328052461982,3.0821692731386463e-07,0.0005961035417234584,1.6813961217998497e-05,6.10012162427509e-06,3.2414850024142794e-06,2.0004625667091602e-07,1.604524375586891e-07,5.521158270793691e-06,4.2005907874287374e-07,1.3759959714976233e-06,6.251876734086892e-07
