,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24H,25H,26C,27O,28N,29H,30H,31C,32O,33O,34H
1N,0.0,1.0163141374860176,1.0165273739934872,1.4587363466248147,2.0709639853158808,2.480432554527037,2.5949660845025067,3.7063538475015716,3.888000188763191,3.0995734652588345,4.053435445042867,2.819996415991792,3.560156119149008,2.568489259157714,3.7014907438288516,2.8331280811948063,2.4024223123196733,4.273439218205468,4.773337801090595,5.165414955324422,5.090115612838623,6.171413281064396,5.396977269070165,5.80408189270118,4.607926583386318,6.601748219775914,7.049992128146367,7.415352235580414,7.271679227900277,8.223255607534865,4.794187745037158,4.414041735502315,6.114308393042725,6.552724334489219
2H,0.0,0.0,1.6550656248415054,2.0793362361039742,2.330880141266149,3.37323288734326,3.4610508889664575,4.461264682630377,4.5516471957722064,4.087886934062336,5.060287900435941,3.7998862311507793,4.452182214328875,2.914952217308928,4.095149756900255,2.8866555487606735,2.2223952721317897,4.208401218477635,4.74030639479392,5.268671151450385,5.1702432800086235,6.1883563970024476,5.7651003627436745,6.174417020700326,5.120066741016455,7.017712795507602,7.380820721056757,7.946092129736468,7.8651894017452015,8.774485483710949,4.407892297325946,3.833346998080131,5.718193629473653,6.030414158909356
3H,0.0,0.0,0.0,2.0772288232618963,2.946009277718306,2.8287905043783668,3.059819556594378,4.1548319954142,4.281257036331533,2.9140540280973344,3.9032506736419665,2.3565497793487613,3.2704491541540457,2.800366541898488,3.9507399609060654,2.7716387584421294,2.279953161469265,4.157226399864323,4.828518431020968,4.77714914596288,4.529704308094579,5.822322335968747,4.98411914399867,5.557090865882079,4.159061428837663,6.0329929957954365,6.373789234225637,6.890395644909583,6.846231495617549,7.628849403333299,4.721317673924207,4.354965660946527,6.05516595762719,6.506005595432021
4C,0.0,0.0,0.0,0.0,1.0975098291964094,1.5578606841874436,2.130752625590667,2.4487187556921324,2.4816837970293593,2.5846143357927427,3.5184774819765887,2.85567439448204,2.873910980255189,1.5452604161503443,2.4313428191816446,2.4725357527013543,2.586440181939039,3.842685797611639,4.037736006028426,4.808389948687922,5.0324316166358996,5.783820940761,4.798690849068346,4.9564863110509245,4.021953921721199,6.133493872998584,6.806236657074898,6.783367531404222,6.4782356435009945,7.666954702550621,4.688642777728085,4.649753586960063,5.894143412312491,6.489615899466776
5H,0.0,0.0,0.0,0.0,0.0,2.126286074080937,2.4202833962211083,2.5629046940583486,2.634340121601548,3.4785191777872457,4.27266634098375,3.841746996948508,3.8146826575471664,2.1167921567241472,2.746719293024072,3.085141968159529,3.181568540471757,4.318469682487504,4.324995746755981,5.49518130286923,5.822403529186963,6.379365777183873,5.574964091333344,5.584363742559476,4.902871353206241,6.990906469122949,7.702063050172177,7.618449966256035,7.2546869515341355,8.541334303008167,5.003498593422889,4.927141897159886,6.13257904976923,6.6732207066241
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0953897297319626,1.4160549711911583,1.9266730905420626,1.534346858874787,2.1573476635136593,2.196547351156233,2.184022255231149,2.545156481403412,2.91378581389324,3.657906881209584,3.920187478259676,4.939400613910809,5.045270616338964,5.6119239876143805,5.850250945134138,6.624755113265241,5.18239506977178,5.270782445068294,4.23427966270988,6.346544935022302,7.1401673812604205,6.72215553611288,6.268725543394965,7.538301175260743,6.016607002777493,6.0910586456984435,7.175071573377217,7.855203978036557
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0219551947459466,2.8009002930706233,2.151473918444224,2.4799898505260485,2.5050868012403282,3.07348151805673,3.458746325197714,3.931596136027269,4.483982092496337,4.556892400583048,5.846327196019443,6.000462611854753,6.579715794741107,6.730935229091814,7.609169886555751,6.223695046585989,6.357107843534517,5.252362271663492,7.3535491882842035,8.09041906989418,7.738824010073813,7.296182308223064,8.51909996759189,6.788652867039315,6.7061434765035415,8.000132705364738,8.610187777240684
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9786312008856611,2.440081494835136,2.6639515239332265,3.3947053343736613,2.747176442681343,2.972850594319293,2.7519010060149713,4.295458556205043,4.789387111335176,5.3485571265590615,5.161363587183322,6.05112061188869,6.50976482630891,6.9587632093601774,5.450497956984025,5.25155658307171,4.618528565283309,6.649838517480177,7.608334793870964,6.820699100139537,6.192923273050371,7.673770240649384,6.534512471866856,6.796196309929932,7.540502315255639,8.291577291944437
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7312770945765195,3.127114763015432,3.7092136347140476,2.6504236161996086,2.457955177283123,1.9127176789394063,3.789315723791892,4.448368121620494,4.655538580629274,4.349182603483599,5.345969815223307,5.923294503520056,6.185397430070165,4.727093548652269,4.41154385102669,4.0125585391429315,5.985542869111103,6.992289828362506,6.158865324425381,5.519880331101808,7.0607446261753255,5.912044569527587,6.3187019148049535,6.820260461593109,7.618447195233314
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0945142017259606,1.09758609732588,1.0972829454698398,3.0898947693199776,3.42645401846383,3.898339449342412,4.186395064650979,5.070610413624267,5.339489762025983,5.318577580955458,5.408996999761094,6.372386435340051,4.6472175987761535,4.917414344907164,3.573546843363151,5.523989026330167,6.265775251607484,5.807941025212991,5.417286071901113,6.505000667335611,6.274555084023717,6.418592035100529,7.420841452448786,8.14715516477184
