,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20C,21H,22C,23H,24H,25C,26H,27H,28C,29H,30H,31C,32O,33O,34H
1N,0.0,1.0200088256778712,1.0226263936575444,1.4659874480560051,2.0878957385372545,2.460289434731317,2.6402109840004893,3.4052634107542104,3.025293935639674,2.610990572831883,3.9128255232150875,3.9073984187275963,4.271689314961758,4.824993370620756,4.899488180964408,5.565229045713572,2.488533316817931,2.798813663726694,3.6890994602534524,4.894339767383239,4.996390476813304,6.027387613788861,6.972440864289964,6.274479220637996,5.788893721392592,6.099002557414499,6.555074820658628,4.359662321949255,4.186914441138843,4.458869069696634,5.42225355983758,5.436087070271044,6.377481027303578,6.866262753372343
2H,0.0,0.0,1.6200199718788748,2.0418116062918186,2.2969756197560365,3.3395600662214453,3.6211774285402742,4.185521043992878,3.853529596475197,3.3833905022184783,4.816485997797809,4.487095304240085,4.720833001108948,5.334419716268659,5.440984823908282,5.958141429853974,2.799848445406981,3.0989690765100906,3.8589175543896848,5.020850060557721,4.970761261428431,6.075731954170731,7.073480700444233,6.14272504393049,5.940682980540649,6.4180333312231035,6.623913530709444,4.488953060906477,4.484120441970135,4.354371431377867,5.783530484283742,5.980976537516209,6.669931229419275,7.267565455353187
3H,0.0,0.0,0.0,2.011932557992392,2.8953746987342504,2.7902602691587934,2.5713738837360394,3.6964241947498837,3.592746249924751,3.2245346699484463,4.307240921620113,4.688949883165729,5.064197528999742,5.646902218066425,5.666670702516673,6.448253255729786,2.4981777105867513,2.333577300927882,3.840477712176138,4.8252928480406805,4.808228202942105,6.13574174796984,6.9974665579431345,6.43369877334065,6.099271777955618,6.349997501403003,6.9679647978998345,4.793958457619088,4.728648636148023,5.01718663472617,5.168037890943737,5.221955501054385,5.972658434233523,6.403166912093668
4C,0.0,0.0,0.0,0.0,1.0939282368070586,1.5474899968173863,2.150459793244711,2.1813745775898123,2.5608312206885744,2.7121945807053875,3.498808057759176,3.2052105520193304,3.241015564292342,4.400963517985948,4.7504294107059355,5.07026178564444,1.5382769681707733,2.409726746256665,2.4931046593268804,3.838001975258641,4.20648797184428,4.83161789530443,5.768922573976803,5.2032133585735965,4.418654178100356,4.667208205961475,5.201555222866824,3.009401450723382,2.762846875111206,3.301337987364642,4.375664585700895,4.2987190888359486,5.504630934753002,6.000025261021413
5H,0.0,0.0,0.0,0.0,0.0,2.1622599425479065,3.0482874417528776,2.5651591486356704,2.7380787865415317,2.9184349815279336,3.7923214286598963,2.827360988770898,2.6283099788311874,3.969353563233108,4.463344665209713,4.464200243770158,2.179129157881555,3.2551181522124106,2.6419913054280273,4.093261126188854,4.521888618066365,4.778898715390967,5.793207461277192,5.022239432984455,4.158100832492972,4.544886249663263,4.751247710598113,2.636571630449635,2.3131256333400576,2.651409344820453,4.879224227702177,4.846702283467107,6.068750679657736,6.640606780252118
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0970261147416742,1.0947604035793095,1.5284511869719228,2.153890444269508,2.169171093467138,2.5511986332898102,2.842518704919027,3.7806123887891463,4.09422924528427,4.588685683000238,2.493381984920336,3.1944231810882604,3.2523959581364266,4.47068078165371,5.065361976165093,5.411834199240668,6.201088544267557,6.023965397329464,4.7678910521653854,4.663585369644084,5.580980997429145,3.579751221292692,2.956839194346019,4.173776779208119,4.5529045088891715,4.057317590563058,5.7565495031335905,6.027471834723494
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7596833439937603,2.1570530863042356,2.549436915801452,2.4151783743572572,3.4787807002404607,3.900331176488961,4.583187636843641,4.72330057252352,5.47287945510849,2.743466720106982,3.0149600150380005,3.709823700181215,4.709442707370015,5.201997559337224,5.851554596015401,6.5466205830977175,6.5225462599379025,5.415625505686141,5.228295494303155,6.33019044982349,4.350758665804483,3.8653865039872537,5.019279858759516,4.518590834872011,3.9733493201371286,5.577675932901231,5.728772541159
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163357992446035,3.060681544218239,2.5732625593999376,2.7306202132441952,2.6462787688782936,4.0468260144249335,4.547891366042861,4.733251148600923,2.643858466738511,3.4621687353687363,2.960140945716233,4.058540439511062,4.843098374699548,4.8138438641460635,5.511616715340056,5.5495180328492735,4.028286546627772,3.7510430173852614,4.841803454866734,3.0769954906924366,2.3631282743105793,3.87425574933289,4.015551765736955,3.3629377494413193,5.298906529705342,5.52351479921014
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097516148443103,1.0991206562100928,1.5287688627393041,2.4361659499516284,2.440201788130002,2.6017763987057494,3.3696982193634106,3.8774585070553518,4.611845979099944,4.57578337592895,5.889900281124789,6.500218752568617,6.678790834740495,7.502429344467827,7.233606233078987,5.818043534391359,5.703462678270478,6.463204837588158,4.574054716326862,3.7322453821899164,4.989761431840911,6.036604231435034,5.464252344466957,7.267521878798205,7.5127199102345115
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7646297932902035,2.159466427176259,3.1734745628276175,2.675882281015008,2.5076095796487388,3.62067912459604,4.1688077227931855,4.770163371113246,5.066936593293476,6.412408443898638,6.876070494999727,7.30512229613568,8.18916511878125,7.75779747570083,6.560612984438015,6.568191202990137,7.206418521435616,5.196128990830991,4.469154220916668,5.456439174901126,6.658461047583092,6.207434457431656,7.8233758812207,8.113735777598402
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1379367970477476,3.0907939310120733,2.716567211052696,2.703707679992432,3.677634888170175,4.659011539060587,5.271188997591208,5.3429404084576655,6.550179367103761,7.2134549873771405,7.350700628591136,8.080325818012252,8.008648154900774,6.461144622641686,6.177860589335181,7.127294244318289,5.365526190803837,4.471434042041102,5.902321110356818,6.467657195032368,5.7267212892901505,7.668363244626426,7.780894063919968
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2274370918138935,1.3677126236683408,2.0850020393441087,2.0478310132134125,4.495090607994778,5.483069766165811,4.831120062087247,6.2077936044070645,6.916292321171134,6.667673272088705,7.52426393035848,7.141215933480222,5.551548229413735,5.49782801817869,5.959175780574409,4.350875228238687,3.3663018899936596,4.598917902789288,6.561752066824238,6.021956533138614,7.878452445171063,8.201541376438701
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264500177927542,3.171944114965151,2.490432357038976,4.255137444148283,5.388118006128429,4.2444812078888035,5.573446953079856,6.3604471822488025,5.792866759038666,6.640146805916636,6.23934875813644,4.5520336873084535,4.5456702237526985,4.8395756939102315,3.457818541147694,2.4307729517879655,3.6825370045665045,6.0498488586470165,5.578208053403791,7.394805867181819,7.779919564991744
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0091701903039378,1.010663724690533,5.786032762844487,6.736440246369289,6.162572737725715,7.557053676428884,8.243054011485567,7.970106599620285,8.834816092478137,8.394386045652649,6.798165431913074,6.750150472579561,7.097276010465418,5.614278837412653,4.629864316637816,5.739300095514424,7.927915363839089,7.3623727912148205,9.242928097797671,9.551138063531372
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.735241140742522,6.214513974838305,7.0452844530191845,6.768831101633153,8.172187730377813,8.794571045028848,8.719222007769623,9.594566471433211,9.146696088450796,7.627981973361033,7.5748512424406105,7.994831789983673,6.382697498497809,5.433406270014559,6.511590867710308,8.487778099473525,7.91012167830349,9.766926609860112,10.044186857697271
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.400064628097471,7.4333102338242645,6.6180624662728045,8.004774949702746,8.716846304792412,8.245581981684813,9.112009627239052,8.606045862112815,6.9816812731358375,6.978669381546025,7.12698356647233,5.871095339510638,4.894320831443772,5.881924164625706,8.474770280408013,7.942500797227038,9.810763569826914,10.158391820476469
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233652763707798,1.3621909875763112,2.4300809489143913,2.714357601752745,3.6612498084836673,4.532607812240643,4.075004388328968,3.6699241658758788,3.9722605151802344,4.607040695246716,2.5518275699490753,2.806728576457642,3.0275518570268827,3.0187569917705073,3.2405476089935235,4.052137028869443,4.640422411680839
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.262219209432686,2.7156010829159496,2.6354194830354856,4.197666445686537,4.91448629344861,4.599817035399842,4.554904093652397,4.795198502267589,5.551958472535048,3.659157743577189,3.994852550451082,4.130457317154286,2.9810639018996854,3.350475977279132,3.678944244064683,4.2144468837679705
