 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,C20,H21,C22,H23,H24,C25,H26,H27,C28,H29,H30,C31,O32,O33,H34
N1,0.0,1.6175106610813188,1.7053096490395467,2.942227019261731,0.08628408747849936,0.193399424444172,0.011097912424638867,0.027316394643749464,0.037655136523835536,0.0401376353309737,0.0013951332716551912,0.003528354259999686,0.0023892210897671073,0.00042600735474592616,0.00011587400288193273,1.757802778479256e-05,0.21290086668173663,0.055637587694251464,0.030504096865150612,0.006478521334252252,0.00020190079871018618,0.0014384974929412403,0.00030241817912268765,7.044889261842435e-06,0.0007769160441279815,1.521304940321766e-05,5.034849986851331e-05,0.004662336611708548,0.0009073178849131613,0.00024844507918997394,0.0007228845744770562,0.00016363056476538518,6.616764917616313e-05,6.648858885682785e-06
H2,0.0,0.0,0.027773643119131997,0.10827636590557921,0.008657756361567293,0.03192449253541774,0.0012659263677634591,0.002185629834617675,0.0015140095951750032,0.0004075254689224206,7.333626696270912e-05,8.255609589158386e-05,0.00013520738207761784,1.3816516225451103e-05,1.4493635376311431e-06,2.4458816305639175e-07,0.006118030799591168,0.0023973733731371683,0.0003348894113357481,0.00012354932334068813,2.6535365285074164e-06,1.8472919330769777e-05,4.593265257257784e-06,7.380681321667026e-07,2.6847700292598198e-05,7.099399716992139e-07,1.1847929641817245e-06,0.00010014654352985541,3.625569544585261e-05,1.3473195899393886e-05,3.047113745058283e-05,2.4314226486632506e-05,4.255682745757383e-06,6.818060862556763e-07
H3,0.0,0.0,0.0,0.10458487127371874,0.033025121153110515,0.007704049347409869,0.004584875343803585,0.0001323056960254032,0.0006594269144792886,0.00024611037715271955,3.030806959647414e-05,0.00032809777654652095,0.0004371242275409415,2.42134140572281e-05,8.713263776494173e-06,8.605680258622073e-06,0.02482097483305179,0.06742716426475792,0.0040388198401954956,0.0005262677737196686,4.8339356701010416e-05,0.00010028221061653131,2.8206621081050542e-06,6.954354654364892e-07,0.00035965682325567183,9.55520432777135e-07,1.6523923976885513e-05,0.0015578837176853932,0.00029776332540132344,5.838319493056687e-05,9.365025324370446e-05,4.471015431384284e-05,9.282803694499187e-06,8.725576718937589e-07
C4,0.0,0.0,0.0,0.0,1.9675021495661664,2.4466220735245554,0.08528619354417821,0.08512037986023047,0.16295978680581572,0.01376059468182822,0.026258445773921446,0.015570714870684621,0.01578853344124717,0.003244742484859023,0.00029103666806140627,0.00020886489289484444,2.6186704418774784,0.27701765407654366,0.20460944577372228,0.03542262638789018,0.0019114323073130546,0.00505219652854208,0.0014212892697578194,3.9997852122164446e-05,0.004719932719914499,8.020080292192588e-05,0.0003396131531840929,0.029116144771897362,0.00832939691889334,0.0016494361401981905,0.004903387050606667,0.0014887407267823727,0.0007978878816018858,6.635791210130026e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07857474586275259,0.033699075158924785,0.002514805411175214,0.00953428006724577,0.0003366044136399182,0.0011866904245885213,0.009878013468826774,0.018912329356421842,0.0019478670093295847,4.504544420647072e-05,0.00010077747449899199,0.09611336447560781,0.02249720264619781,0.007145463730729329,0.0012880908136696512,6.754071696946085e-05,0.0005773479252928482,7.493490501797595e-05,3.7157151215883033e-06,0.0016052599309270832,0.0001778694456506802,5.38940363477014e-05,0.01671907389353877,0.005663231952439451,0.002393167631330906,0.0003293825800050332,1.99710362683847e-05,4.9562335616037956e-05,7.277635180491515e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0403800949956477,1.9141633349321714,2.793191773131706,0.08420866046953912,0.0893266546206064,0.17003911042507636,0.0410302625661578,0.029766115130126586,0.002199944398963094,0.004566589147717126,0.20198951554264144,0.040933347869789374,0.02569755285430289,0.0032168034804963275,0.000576113151776303,0.00041466835304793115,7.711403735499722e-05,1.1929368296970111e-05,0.0005868821676483227,8.55237294377087e-05,6.721095098982666e-05,0.007129956868847737,0.00608038227686003,0.0007271139600915077,0.001647184029739096,0.0020155662402064622,0.00041021078338766837,6.050783702182816e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02457629690703822,0.09569490702937067,0.0027826214246213787,0.006796269339860883,0.026351070552454114,0.0037743161046424056,0.0034327111896542695,0.00010809298504299569,0.0010893556182471897,0.00908873143757516,0.005018669863230629,0.00100030195946621,8.539655556183412e-05,5.14403673457231e-06,2.344450737323811e-05,7.386579485846312e-06,2.819723176505917e-06,8.985085604273912e-05,2.2759657078319506e-05,4.515724575604452e-06,0.0007710324387015799,0.00017770352345491958,0.00015904356035578715,3.8899870754116606e-05,9.661198916366409e-05,9.942972359233693e-06,4.915801017357779e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08587632773940013,0.033021153572306616,0.0024774022961731035,0.012432348402932725,0.013600974009401523,0.0018320813233571043,0.0004895068133294878,4.826748692376981e-05,0.012115767414547562,0.0019845766323327574,0.0027099701631951856,0.00033487567593959433,0.00010878053992358083,9.720906741006452e-05,1.572261943083575e-05,2.1789789304005325e-06,0.0002574453955692668,5.0523916703459903e-05,1.1769520050108895e-05,0.0041597522712713,0.007052349666344604,6.625631642798169e-05,0.0008134099599523825,0.004292259555638944,0.00038686433760237726,2.7331209005554413e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93210368015932,1.7297305142540047,2.704696885785081,0.28338955003846433,0.22847760361591515,0.015101136815745875,0.04305801754079319,0.030591205048931452,0.008740622112711302,0.004489271615695567,0.0007566572558830587,0.00010520373947586759,7.67659181691166e-05,1.4093455979358183e-05,1.5959160011291829e-06,0.00013529152885351226,9.31190558506323e-06,1.3293721017770821e-05,0.0010281017044758978,0.0010598392238914123,8.75823089645511e-05,0.0004166617392606098,0.00023796868805012195,0.0001106127157001896,1.5025264351598011e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024607337818334685,0.10454189438027939,0.02989973975846716,0.012159955425672941,0.0041318114762369795,0.00046404331098992557,0.0026501233038445093,0.00034096231159752577,0.0003861742432906823,8.218541852800243e-05,3.903151726269982e-07,1.681503027595177e-05,6.5769730279718885e-06,6.3781019665754e-07,9.884224026146526e-06,5.546944815915111e-06,7.390914946725502e-08,0.00020388711670582538,0.00021826270791591718,1.595869619186452e-05,1.808589518326187e-05,4.250919321691082e-05,3.207327237797486e-06,9.381237922045926e-07
