 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,C28,H29,H30,H31,C32,H33,H34,H35,C36,O37,O38,H39
N1,0.0,2.019590644720184,1.9212921954838955,3.032890304398781,0.08522934046742647,0.2014158661008877,0.022788505130472925,0.005674808332737813,0.03344996013390883,0.0008510522183018399,0.000932279657603452,0.007337875424375112,0.00047890658612805004,9.144102393054965e-06,6.853289093144976e-05,0.0001958653716672698,0.2365145442419959,0.053163298636454026,0.03700833683977031,0.0025305509597662867,0.006518173597393595,0.0005100683433298947,0.0016837930808869528,3.107900007037756e-05,0.00033441855981752866,0.00013485192169522542,0.00012150457487292154,2.6292906843250474e-05,1.3455251908212063e-06,1.1108385932434572e-05,4.676653163282474e-06,0.00010659516570551975,0.00014941948355662316,1.513496931226932e-06,6.590492676927795e-06,0.0005023428774173222,0.00011293452536369208,0.00013031226075081032,2.5549042600880867e-05
H2,0.0,0.0,0.027053362987589313,0.10711142249978634,0.006880267000309637,0.0323242213468512,0.001354688448842012,0.00042849480982609656,0.004614953409729949,9.255069628300028e-05,1.556068934172039e-05,0.0018883041144391877,6.633819197920943e-05,1.511077320381915e-06,9.87347741610023e-06,4.388018533085791e-05,0.008321253446831656,0.0021534093289636846,0.0006457177650318613,4.091523775029415e-05,0.00017737569259157482,1.0921544556286022e-05,5.798301342974099e-05,1.2181090593976762e-06,2.360833199621659e-05,0.00010227221428238398,0.00016802732059817416,1.9688583157706496e-05,6.199608026946635e-07,7.677852840837218e-06,7.134832857857987e-08,1.0638284305253265e-05,2.5703238821783714e-06,1.7019434594978122e-07,5.366064413925287e-06,2.2903147385511247e-05,1.895211212632475e-06,7.091189061059211e-06,2.502198682918788e-06
H3,0.0,0.0,0.0,0.10619495450150263,0.03630680850323342,0.008829998042362508,0.00027924246813371134,0.0040529819078083396,0.001053357047246184,5.5152873056574236e-05,0.000402455090840137,0.0002487021952675139,4.5635844489133603e-05,1.6461745042661846e-06,1.1202545497912553e-05,1.8031790612438314e-05,0.019263447416492663,0.045329438923039644,0.0033404170694146806,0.0007641266269062807,0.0004963887029444392,7.921725928849987e-05,3.718469358304777e-05,1.0119185043233614e-05,2.296982781757606e-06,8.496130348922826e-06,8.274580530542863e-06,2.0740406511121634e-06,4.0588746652581165e-07,4.981213885812963e-07,8.466245127181082e-08,4.6968043281525595e-05,2.436588613674573e-05,2.6565445321313774e-06,8.058164069346674e-07,4.913642195003565e-05,2.6256453701578586e-05,5.627084042725272e-06,1.050654145240415e-06
C4,0.0,0.0,0.0,0.0,1.915260071508557,2.74389094286376,0.09273137926178876,0.08522166961700095,0.1596617055681069,0.006195257529672427,0.007858611746868638,0.04515291034741946,0.0023964274721579998,4.5747963382636314e-05,0.00036854184248635846,0.0012349582546564708,2.664123904859405,0.2764684675252864,0.2317553061892984,0.017450430207222922,0.03599966977868002,0.005364901626817464,0.0038630305734586035,0.00014024804234535893,0.0010406179908026836,0.00036434473273500023,0.0002461256096919495,7.301514268709397e-05,7.1368323673048906e-06,3.0405765877317137e-05,1.0605464890955929e-05,0.0010522402069439996,0.0021248798604114327,1.0087165939864917e-05,1.6142659585716146e-05,0.003204351002639272,0.0003977242245587209,0.000955540113977596,0.0002139643035934391
H5,0.0,0.0,0.0,0.0,0.0,0.07943811419842506,0.003221392029613135,0.03415108039348502,0.010801209208409768,0.00012946775413213985,0.004530966839679129,0.0014157001140043812,0.0006179456114769888,7.69917006460119e-06,0.00010951095626410279,0.0002671303975374517,0.09218079668109924,0.022361248034841186,0.012449857910422635,0.01061282795282037,0.002001951901123178,0.00034761331968846676,5.0218855898398473e-05,1.5581614574156077e-05,1.048384565982552e-05,2.150999203176518e-05,1.4633499996419275e-05,4.510098337462409e-06,1.1338613608025128e-06,1.4278582181059818e-06,2.743615790112841e-07,0.0001531445765022843,0.00015678440318267484,3.4539833837499145e-06,3.2960660192316027e-06,0.00012724992281021308,9.59869493033505e-05,4.667346621034518e-05,1.2830942614838747e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.005853872661491,2.010991779289016,2.8891843996251043,0.08399366639513572,0.08272429375886792,0.19738252252796856,0.015491788279006546,0.0008911509879883095,0.0014553160129617826,0.005931250774606767,0.18594048467839053,0.03835794001875387,0.029049546037221097,0.00109257043736799,0.0036969883108262103,0.00022024085567240448,0.0006247346141436405,2.49665376159669e-05,4.5476974623204214e-05,0.00013454042812960365,0.00015797709672948912,1.579309740161461e-05,1.0087448760742745e-06,6.862443653110617e-06,3.743699946712198e-06,9.857158657942955e-05,0.0001102039450080472,3.0570837485921487e-06,2.7756028877501393e-06,0.0011981277153076397,0.000392188512295194,0.0002959289276023569,9.296758676080596e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02457603714142853,0.08770450098553306,0.03341355616564878,0.005941770012823699,0.014723231059727393,0.0006086754361401825,0.00027683017792745623,5.2700738756739085e-05,0.00015685560030442858,0.029916062947338506,0.0055159704284284405,0.0036046554530684283,9.72350602046479e-05,0.000791348818925286,8.802830339371681e-05,5.105151847417666e-05,5.452602505506832e-06,1.4108174675842022e-05,8.313921720848327e-06,2.909543081797139e-06,8.430344586862759e-07,6.885295023018045e-08,9.374575082876646e-07,1.3785659347398393e-07,2.1408906644149184e-06,6.2855446190113184e-06,1.3644829954806426e-07,1.682208650155559e-07,0.0002313543239724769,0.00011557062525568984,4.763736333257551e-05,1.1138777884722728e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07992858182241469,0.004095413828642869,0.032952071942571104,0.01064659827014125,0.00666298003274457,6.414391470666025e-05,0.0006392479062731216,0.008628377007035892,0.014559408228378201,0.01153055648071466,0.002185261983363329,0.0004126094548355663,0.00017382146291011757,3.1268230029413147e-05,2.782371883014445e-05,1.6202426542655246e-06,6.147277942680773e-06,3.958983980645314e-06,1.9877073864638106e-06,8.646453166782919e-07,2.1291978247184318e-07,3.4342333088410726e-07,8.033241760685428e-08,3.577969008106141e-05,2.278485123463625e-05,1.4251337774329187e-06,1.6312954642661026e-06,3.083522903457592e-05,1.1391798879767379e-05,4.355314263571053e-06,9.69242993864583e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0105658451304493,2.063046150113011,2.8189729722135035,0.1187647052282016,0.00940226298449498,0.027622177522927838,0.006329512728851405,0.014641788858154398,0.003474704163211967,0.010407395738729022,0.003252476483361466,0.0007704834831673002,3.3915098048731274e-05,0.0004105693555950529,9.800212711796874e-06,3.653264101322051e-05,6.484430246347928e-05,4.559198699527478e-05,9.487243216740882e-06,1.2328733189903573e-07,5.168465424976176e-06,2.411529474999341e-06,1.2294027053522116e-05,1.0926194363269914e-05,4.149547987442048e-07,1.3226835184898533e-06,0.0015574086542536336,0.003943140751765745,0.0004421654498810573,3.7636226060122624e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024805681847534178,0.08905942622624907,0.011480797372448337,0.004796341456109188,0.0005420442099672851,0.0006013030075227022,0.006970357906985525,0.00023980126140543678,0.01096428207232969,0.002403797551671083,0.0007089570471627837,5.9800994808068e-05,0.0005380209731242758,6.664840166203945e-06,1.1982506451069241e-05,7.241678052549716e-05,2.711279215006357e-05,1.1254729123555407e-05,7.759221265501992e-08,7.69495049168789e-06,1.6079393871937242e-06,5.4507912400358904e-06,1.650029809008302e-06,8.917245455375422e-07,1.3492028758665953e-06,0.0037499683419679464,0.012145591865153516,0.001306397173744589,1.9341029486197314e-05
