,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28C,29H,30H,31H,32C,33H,34H,35H,36C,37O,38O,39H
1N,0.0,1.0206034770926322,1.0217027779991483,1.4660034538725273,2.0830149249092864,2.449436042650346,2.5465914074234512,2.7459930448526992,3.8308448725457582,4.233089486092871,4.10375105931078,5.271508524299271,5.699618834617276,5.958113582014736,6.687327675478636,5.148248862054581,2.4845558086459545,2.8626122830825427,3.6003461028420576,3.866277914458136,4.884164744508824,4.9280405900182,5.668188295690868,5.937226819554801,6.659945968310293,5.359536411036514,4.448767768899051,6.588981417214656,6.765166221600804,7.501558452827784,6.712911025789365,5.572218089625864,4.897499563776802,5.782850298910717,6.562315353444098,5.918814520562828,5.993319047153023,7.0652649670123555,7.727212716589317
2H,0.0,0.0,1.6216172527429917,2.0439853440996787,2.336794098290263,3.341863896250098,3.484600736969302,3.6861015498749605,4.591812852339626,4.876872070803787,4.7423866518912945,6.1586038798591645,6.609579504413642,6.77734282466981,7.625800939870785,6.086030874852347,2.721577469081552,3.108386700870714,3.633459057568159,3.925880908583672,4.86556572741295,4.993385837184056,5.376112393035774,5.590814126361074,6.405217534068223,4.8615090131176855,3.8592452353566666,5.944601535448497,6.088435771598288,6.920054086296714,5.967147470304875,5.17364960411206,4.661505210579974,5.263425182313773,6.22620396967713,6.039618677376047,6.193895998959517,7.177788983110626,7.89451317527163
3H,0.0,0.0,0.0,2.0186902628058823,2.911007446756419,2.71621413926582,2.932057184101194,2.588029209792639,4.174158615974506,4.4823005629501,4.67099654265932,5.467439053923193,5.571365152474235,5.817597579477123,6.534909528242231,4.8659208082040575,2.5654890842076687,2.4757236258089894,3.8642214268673425,4.3409848601939105,4.962315064991919,4.779478024071311,5.792015402828709,6.2367994028624,6.700348248193549,5.3943249023795,4.585797799009543,6.69708001694892,7.031512018262436,7.543770855761991,6.771928637207619,5.3191786011733235,4.52412011295604,5.47847786134647,6.272154364043417,6.07120795071153,6.297346782697812,7.095487559598926,7.80926473419762
4C,0.0,0.0,0.0,0.0,1.0988195512235706,1.546075314996713,2.1425934965312576,2.153532960544823,2.584940399486101,2.8445831746788155,2.86250127110173,4.248942707686267,4.768927376635559,4.881253629261449,5.817402008643555,4.439589591547015,1.5408027216470639,2.412411841682082,2.47334068722676,2.592749943247008,3.8423713426665254,4.025019404002765,4.849270647823861,5.054477425154838,5.815190503129326,4.932448970104998,4.155106227665453,6.255743572096542,6.357660289769469,7.0825724061878965,6.616592802766869,5.31932025643708,4.63950640623792,5.796924219698305,6.198103366506209,4.651362887378671,4.599425250654452,5.859190253019753,6.435670880339242
5H,0.0,0.0,0.0,0.0,0.0,2.168873704472298,2.5383156260292634,3.0575612723062084,2.755174026845617,3.047611196064753,2.5938417146953965,4.502203147776305,5.350017211660696,5.438935383281393,6.377682528027692,5.197761148153588,2.176525296435457,3.2772528801640606,2.550491257232776,2.277435703419375,4.00441561905682,4.458076456379969,4.850134727810954,4.810950182145983,5.873272776433795,5.027546914621481,4.1918808107741325,6.197039829216119,6.10752347526586,7.070257223691603,6.603366310423284,5.707740207699197,5.197798534102795,6.2008791562228165,6.593770486887069,4.679269919994621,4.436308294036359,5.98326452790481,6.486411926117309
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0945722834549456,1.0974810686620768,1.5329044858923584,2.1975297402443323,2.170836549673379,2.8355917751008444,3.416446640210377,3.7576433257255193,4.405763331432687,3.12384042074363,2.5264266575758265,3.1316024875079718,3.4066911799612756,3.4059363768959168,4.610781719044948,4.659548076542962,5.889095012987654,6.13211157203449,6.73879262210828,6.194797452503046,5.544888500075477,7.596607876781416,7.723315357390548,8.335142926656479,8.029279749310172,6.443189899632764,5.6263709186617685,7.004866424048952,7.207018895316452,5.062648118488416,4.828783476343415,6.20073248215137,6.629557700155027
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7640435627997957,2.16314273947554,3.090648594533113,2.4868689632515992,3.0295924143783517,3.887412581315955,4.45922496289049,4.7302607576342695,3.5649390887606436,3.4477789123278035,4.028781069409165,4.3476883729765365,4.2487229963618045,5.6325328594382835,5.7172760475518976,6.836670104752934,7.010708792461863,7.735403808007436,7.047114022615445,6.296641468252812,8.393441074410507,8.46940157322358,9.198483273840372,8.753086509572213,7.325372846047611,6.524018769990355,7.7956562578503386,8.150820596150472,6.093080591091565,5.772694184431182,7.2639483596650125,7.665375352816451
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.173967137978619,2.5816826018855896,3.0805932288534854,3.030634087776626,2.9999982633368334,3.364114396226823,3.976176511311386,2.408054152866936,2.675478328706564,2.831236207749522,3.7541894780760887,4.002995971156683,4.747628499408829,4.539125997391156,6.089538907805362,6.511435729589368,6.8478952098615355,6.326822370307965,5.769560271264927,7.803459405714666,8.075894184762893,8.476653619837993,8.199807359511153,6.312222808081339,5.376637728305655,6.852524771487644,7.017695830422453,5.263613769876466,5.215115223066691,6.2472140748563705,6.724467267144529
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0963966654152741,1.0969411977995163,1.83717562475274,2.822012082650152,2.9967002344241407,3.7814506778970154,3.0540554982018273,3.155646644337453,3.930867044216382,3.4925904854959047,3.1987380970495884,4.516144156569888,4.721778612220856,5.901518123702371,6.017090171642435,6.647373842271758,6.567065478114783,6.066132753344611,7.936437751961193,7.960008770639023,8.572951776816293,8.5439000771247,6.971688653658487,6.2234864639406124,7.705138533955486,7.595879316145633,4.488112810417939,3.9596211340401553,5.609785052882693,5.831524043484371
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7597439702108904,2.4183230953426076,2.894120857075083,2.651005456842225,3.9043530603243393,3.2185336845741475,2.8478688379393846,3.587490887316796,2.8952050932794138,2.6682399422840692,3.665089608024336,3.872466704164022,5.116821522402425,5.281671865740937,5.761088208243918,5.946669230786754,5.604050255144841,7.324347193322564,7.383021713722229,7.859166191267209,8.020123214243482,6.342163118240147,5.628753706688415,7.176342658587041,6.854969241831716,3.4689923547388437,2.9886790614086314,4.537310699941222,4.748450615478636
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.362700738220402,3.7487110421832,3.918930853129396,4.603552543124116,4.086711138846775,3.6262525611087426,4.608726342841698,3.717852091993045,3.1420534691043867,4.838677117776569,5.261600252585917,6.078248195462779,5.995104117384289,6.881329497014631,6.784290088920881,6.218936801791195,8.035345972727749,7.909228407148971,8.719049361012903,8.661482751661575,7.404632580486287,6.773153753787575,8.128373526296427,8.066487078527528,4.728099727488682,3.9960546953966536,5.942954790348822,6.095304134442534
12S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8281250471553547,2.4449826002545265,2.3842089137355136,2.4580592311145724,4.82242244094116,5.360250505238377,5.21980954844187,4.954621580766719,6.05328231647792,6.113826549394895,7.524842489462556,7.684378666835678,8.154342307317254,8.26750323146334,7.832648377827876,9.674175204514743,9.733239698862654,10.245745463474186,10.301452556614354,8.535670937263006,7.701776849731017,9.289459123087283,9.0727182782363,5.780274129168929,5.17322126309906,6.6997874741017975,6.7479392054432585
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949907075750418,1.0936517528194993,1.09399336729055,4.907476361338783,5.043479102684971,5.434200878459051,5.477831904195328,5.957557043679007,5.705680654909442,7.503844289911587,7.900354085337652,7.973692253059035,8.21612018294716,7.9413529004169705,9.707134475602539,9.955794101240082,10.157123735102713,10.323182927775072,8.174987731201544,7.236664456238423,8.9422517346823,8.576084603802352,5.720806737627588,5.421214283683626,6.366294689650998,6.4670558101101605
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7787471687951948,1.789431866065194,4.69882985558363,4.807008174231608,5.022672822997526,5.110298782715699,5.308932254549951,5.031656311927098,6.856160266240077,7.283256992232741,7.214181859947578,7.690619664552381,7.547748058040316,9.160792108389087,9.428713606174968,9.516386486141267,9.846180101884045,7.642340153516465,6.748177268218901,8.489549987516062,7.933196448298041,4.918842016432509,4.688785560424882,5.425645474820808,5.484171756212373
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776103625134326,5.998201897142978,6.091022290613489,6.513141115353779,6.529957599120493,6.98364909722713,6.705482683346442,8.53378407686305,8.92951115530892,8.95308271513971,9.27815405066408,9.027041462803505,10.769380671191044,11.023521961728646,11.189316418995734,11.394871780313608,9.196286184421389,8.244119392704878,9.965254602678526,9.552944746157483,6.647977851372829,6.307158117477063,7.195342723147925,7.206999336973352
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.590298975840606,4.528092591620556,5.361011985487494,5.5620152548632085,5.9388207860475655,5.5566458903132165,7.454328460548236,7.949552817154337,7.965272637482423,7.976033345475222,7.655806769694038,9.498947230894116,9.831571661181329,9.986092033519897,10.018609012861825,7.7907815117850765,6.788830815731839,8.464430613109636,8.244843938424912,5.971707216700016,5.845738853143373,6.6342303472753645,6.882894951763627
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2295519826782606,1.3683291722135882,2.053325530395958,2.4721531981855187,2.513564746066948,3.5447075441732063,3.980749857162844,4.4293031396341735,3.694381031070407,3.140802168377832,5.145446426313877,5.405950134071322,5.848892835199519,5.602973611218348,3.954195224643581,3.2413742125376235,4.583160395213584,4.7452897782778045,3.515181168145665,3.813688507031851,4.594833645184467,5.297075073568583
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2836212398268496,3.162240044607257,2.828322831214047,2.3727137807799763,3.82801580064819,4.532752477920844,4.548750425316294,3.7353651491397786,3.3445270030942043,5.244830248129686,5.736462119346677,5.854777000329079,5.592154919211519,3.495304691294335,2.5553252561732216,4.04770789233894,4.241443647272374,4.0003348028814525,4.555875894008479,4.813335692925887,5.607081468440987
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0132867506211074,1.4545672152990932,2.062405787831748,2.509814187306628,2.761620147291537,3.4246603198750276,3.1047353699790774,2.74044320764914,4.456957190290342,4.560791328199296,5.0860829406287955,5.130556771347406,3.7732458325908254,3.3474390698698677,4.584773616310516,4.428424512325032,2.4129486068353,2.713736150500777,3.6091636860249885,4.282619289016786
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1004199199130413,2.9160725523559554,3.0059148840022734,2.892737336928767,3.9130657556226196,3.7716943239170773,3.351190981868723,4.944228303327102,4.829666494150837,5.594186168726643,5.668800361689509,4.661103502616025,4.330292392087604,5.4585081031313605,5.2920860863685695,2.5172695180503095,2.3599467313572386,3.8479232152536103,4.3386025863249715
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938060496037536,1.5505195936025296,2.1613515631395543,2.1582027616690547,2.6098174411557924,2.8056795618202264,3.933275120720356,4.187029393924881,4.276030576940409,4.770782999689137,3.1503932445676828,2.877848456682221,4.164535126011401,3.4830466755074596,1.5243821984712735,2.4316539557071537,2.3848092548856696,3.2179057477395543
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1772060335629804,3.0678195270565403,2.507675221144142,2.853284538311248,3.1433305345237903,4.285089136398632,4.775937174642176,4.536154303037157,5.004692962487382,2.8137930594577916,2.268761738936413,3.8365635693991527,3.0518200837256164,2.141770715690523,3.158539181403676,2.5899469290503485,3.4966765951711407
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0995166403279892,1.0978574521417455,1.5414096453827237,2.148179971704338,2.513258145061184,2.7522730241391855,2.7899748157780895,3.478139397339551,2.560316541866471,2.8684971926470375,3.5076842095541,2.801255389025482,2.5159409643779154,3.4158488230162787,2.9760438008305075,3.816070099643415
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635267089825553,2.167719609919124,2.5031852788091684,2.673907538977706,2.4502201143296243,3.0352146119069996,3.6895510939011333,3.4991484312538232,3.8730216975383516,4.322960319338126,3.7862247151066857,2.7253475876709223,3.3021018634423798,3.3440801924949426,3.9963748297889206
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.169270096950154,3.058788744054698,2.780779774813466,3.132418843249974,2.6075565038223756,3.790887849965051,2.7952651677380027,3.2192343823054954,3.7785717702680652,2.587633465619905,2.6910336153105394,3.733440635909576,2.615015937261876,3.4444145890072613
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0992809319991141,1.5374828096615423,2.1937567603751886,2.186430416464586,2.183765482145488,1.5368547486126038,2.1920030648498305,2.1768529736324735,2.1856499789376986,3.9260624834823097,4.80263655367739,4.388132391166054,5.287097306894729
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147283094909331,2.501316624456823,3.072197088894921,2.4955372370902142,2.149422131533821,2.470292079569208,2.520589290731509,3.0728457660594164,4.210985323033611,4.896273366126144,4.949239395822653,5.8154600761877795
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971731134998222,1.0982225621715471,1.0963852409587966,2.533536451503867,3.4931400697817585,2.7278288435359865,2.840260198166546,5.02320299749755,5.842741047442371,5.334200174887456,6.154230506476593
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7730201091152387,1.7727390423548615,3.498262808937711,4.350385263401554,3.744612786661706,3.8477245327644587,5.106271040050477,5.742723722104353,5.536886588225967,6.254755393592099
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7703106322656859,2.8070014942264394,3.8393105349706085,3.0788610980818714,2.6715371837092543,5.182406410118255,6.098588608256649,5.214485284215437,6.0020284882818284
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7718201135814295,3.750788782286692,2.511079697871711,3.1925754376876556,5.9868881924230894,6.805666438901784,6.331415678376938,7.184906474024692
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0944357728856233,1.096789902225618,1.0987758227437747,4.515093581435371,5.556015834587469,4.734726453929757,5.704933687447076
33H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7665461874920185,1.7824763246266908,4.275633148899657,5.283675739932162,4.58540538658978,5.555207006077134
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7699950689102624,5.576777781945842,6.577444588879616,5.830285896873154,6.799233379368405
35H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.611145134256519,5.7560967190078935,4.510362743768128,5.459403792754596
36C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2138023024167461,1.3490097617472776,1.877380612974843
