 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,H8,H8,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,H10,H10,H11,H11,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,C12,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,O13,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,N14,H15,H15,H16,H16,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,C17,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,O18,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,N19,H20,H20,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,C21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,H24,H24,H25,H25,H26,H26,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,C27,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O28,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,O29,H30,H30
1N1S,N1,0.0,0.02364250193323736,0.0014592250568576937,0.0004982679475618035,6.227042851869591e-05,6.848607294829279e-05,0.002889177218875494,0.001120780835853985,2.7638737081225884e-06,3.797149940136524e-05,0.00013133731176043217,1.5291695230235103e-05,3.762083021219276e-07,3.9018848164984465e-06,0.008009636357344307,0.0013897947148895362,0.00787416198515345,0.0013432048155047616,0.0011725301920489928,0.0021602384466750113,0.0016070904191303192,0.003893776451537656,0.004198578794473384,0.0006232672040398235,0.0002089422156310583,0.00040579949703811735,0.00022590700873470482,2.2778993136185477e-08,0.00031343330976696393,0.0002639494309415735,1.12338047081606e-05,0.00040265522456611746,0.00016638416816161516,2.1756414189333384e-05,2.934835585199913e-05,0.0002125093207310247,7.372620653978146e-06,8.225040470932754e-07,0.0003077357206404674,2.7703114131583106e-06,2.849809276206372e-05,2.5328105970112702e-05,0.0001628697703408566,9.657252005301764e-06,2.8427615821891017e-06,2.36568535409154e-05,6.784987558938749e-05,3.1633713314022094e-05,8.337556970650084e-05,3.0230282870302716e-06,0.00012421440692222951,8.31970674193272e-05,8.800383298562808e-06,5.332519264578117e-05,8.210793494001223e-07,1.640558349569332e-05,0.00012216260348552055,4.232600294029609e-06,1.3756254828800607e-05,2.595927723891833e-07,3.113245840791201e-05,5.814997343922546e-07,4.2474093575606275e-08,5.148809255950404e-06,5.249857630840182e-07,5.975554876191946e-07,9.717686100252365e-08,2.341243043879615e-08,2.4549452630751034e-05,0.00022655221733414166,1.1687469333998557e-07,1.3153455098446898e-06,1.6212840403539985e-08,1.6565822276159992e-06,2.2253413936024202e-06,1.3383943286982003e-08,1.8886687240815547e-06,4.807455853628184e-06,5.330324986507762e-06,1.9890816660428356e-08,1.7414835590257027e-07,5.158028496543565e-07,1.777530314550635e-06,7.319942803285517e-07,5.853916573705931e-09,9.620433361057223e-08,3.072201217868553e-07,4.6239675621784215e-07,3.350998996065613e-07,1.7563578191825968e-07,2.3320499398238326e-07,3.42752481730102e-07,5.712248807299147e-08,1.8198895834764528e-08,3.330643538745903e-10,3.64002721020551e-08,1.6722543544345214e-08,3.6871813380301433e-09,6.861397481433551e-07,4.077877784780526e-06,3.3171903002227054e-08,4.105524559205875e-06,7.248448286034659e-07,7.729703137560051e-07,7.376967547934044e-08,3.198524534120395e-08,3.272780744856263e-06,3.009025669742371e-07,1.3895700701205271e-09,4.0245584642661925e-14,2.6013410735215015e-07,5.854781813252607e-07,5.037576615851691e-07,7.5166549187155596e-06,1.511303184598134e-06,6.039446325267761e-07,7.942402274196958e-07,3.5683663137664468e-06,6.047127752317749e-06,5.722948183350951e-06,3.244261789214775e-06,3.7987006204609486e-05,0.00013525525099944424,6.472241693167291e-05,1.636038626950942e-05,4.227270199830269e-06,1.4170456811013477e-05,1.3934458191505739e-05,6.951480053807302e-07,3.125390679592499e-08,2.858371292185913e-06,5.629951997709881e-06,0.00010815573278311064,1.2061497675297517e-05,5.865186993858629e-07,3.285265826047379e-07,6.263343942158883e-06,1.3656574875842153e-05,2.48664260626974e-06,1.9114736157788137e-07,3.1456022492326596e-07,1.1865978565006596e-07,2.5963246927385164e-08,5.20154432748221e-07,4.969655173492349e-08,2.9697498635794517e-06,6.431381349036869e-06,1.9741239001280775e-06,1.2245882199390934e-06,1.278319832653807e-06,4.854761479489156e-07,2.1690268947605063e-06,2.6270658437521632e-06,7.931759480328537e-07,5.4143769467884795e-09,1.2601071344708892e-07,1.8218441268091912e-07,4.917731138975867e-09,1.1288726102787194e-06,2.0618782348158504e-07,4.517901414091696e-09,4.1134965633737863e-07,3.3808576804794654e-07,9.324877598970716e-07,3.941093340564805e-08,4.85601241884126e-07,1.8605901390689183e-06,5.760077677052777e-07,2.4871652981595105e-07,7.03091801168565e-08,1.182565434465488e-10,1.5651724666332356e-08,2.6545496772945043e-08,5.996468627200713e-09,6.660775264677454e-09,1.4940739737623332e-06,9.568311726271261e-09,6.097559790418927e-09,3.018552408029507e-08,9.702358183538706e-08,2.881831839829374e-08,2.4856768643388705e-08,7.860345130339397e-08,3.670488268880945e-08,4.785717289124136e-08,7.760753983898638e-10,3.871711562464242e-10,2.6329453478579623e-09,7.353145009547646e-09,5.907673572558281e-09,5.0517006133787845e-09,8.49114267786888e-09,2.1423529616981796e-11,2.510363672492133e-08,1.7807390895185904e-08,1.4036747320034237e-09,2.2705734514794074e-10,1.1724961002101963e-09,6.776310623735071e-10,9.748454710134524e-08,7.179469241336278e-09,8.53706036973989e-08,1.6420223181157212e-08,7.445000171912852e-11,2.0149035329097842e-08,1.4597025088658455e-08,9.412570056710479e-09,1.0928960514355879e-09,4.448270363166529e-10,9.578965037837506e-09,4.13520000741574e-08,6.224763948736722e-08,3.3909786978369993e-07,2.7215342646158547e-08,5.4050119047133194e-08,6.320875822751759e-09,7.143750235805157e-08,1.5602534153558167e-08,3.753407917805873e-08,1.2809978355843299e-09,1.0591213336907934e-08,2.2884892869612372e-09,1.6010542197575361e-09,1.5542052644867965e-09,1.753246159363897e-11,2.391800091317009e-10,1.7711680566634413e-08,1.839003838099984e-08,1.514165015592539e-09,1.5086674132192002e-09,1.5041832224227392e-09,1.376469827008009e-09,1.359234502729123e-09,4.774908524129984e-10,2.2897506390950895e-09,5.310863970819923e-10,8.813463847623382e-11,3.4881997290625577e-10,1.12771747495799e-09,9.734116845905305e-10
2N1S,N1,0.0,0.0,0.027127135592590168,0.008970768322461797,0.003185604921405627,0.2643430665030868,0.047061065183801265,0.018002392731505612,0.002333949258388479,0.0015159357070213542,0.0032123441469793512,0.001218023776960786,1.2177194369078492e-05,3.0318576316190615e-06,0.10650506810291782,0.15854780094741328,0.10586661465097436,0.15847743869980224,0.0035348141412094858,0.0058825884421538355,0.013680881758223684,0.0413499143230478,0.041811257776720456,0.04196239937307933,0.05323850477904202,0.10808238192596908,0.09627693409058713,5.513067727869192e-05,0.018882566396580147,0.015438491241114516,0.0003826949092269327,0.024313594889787016,0.005231091493806961,0.00014762612417307253,0.00019884727474916986,0.002792455538871419,0.000388284715200804,0.0006322583334332776,0.008675578152238295,2.417075046778905e-06,5.998984660493534e-05,0.0001311298597648225,0.0008318089432206577,5.526247732823286e-05,0.0003177040712838419,0.00035559274724983325,0.0007275325487323681,0.0007937882892141701,0.0019085293703655637,0.00020633294617145026,0.003973389539121186,0.0030249235544577147,3.6933789952176e-05,0.0005530057851950154,2.683196850084002e-05,0.00026637460164513627,0.002030739907713297,0.00016667019687721663,0.0001287746681173374,3.267106826987387e-05,2.4499971478242344e-06,1.9864034471295255e-05,1.9773853376925388e-07,0.00021473914928971105,2.2800427257330114e-07,6.5414061971580395e-06,6.154944754754865e-06,1.1822566614583252e-07,0.000361529120326054,0.0021590756832750024,2.0485602245656764e-06,1.3511218745598796e-05,2.582611653423328e-07,2.2360816542832396e-05,7.561382587217835e-05,4.389634331580794e-07,4.848046096439518e-05,4.473476985689118e-05,2.8161649000324473e-05,4.166318584353235e-06,4.539900768874006e-06,2.505426836374447e-05,4.815827122461869e-05,3.540849176331129e-05,2.6355270854594437e-08,9.736339867671973e-08,4.720710328420807e-06,1.8367845219913193e-05,1.0299601083119114e-07,3.9405059526487207e-07,4.135972960117584e-06,1.6561582622642845e-05,1.9131471695743585e-07,8.697386932876583e-07,2.862472103792868e-07,1.6295325855342213e-06,8.541250928750799e-08,7.625744857797656e-08,2.338679264468624e-06,7.700589441217431e-05,4.2197756844331025e-08,0.00010659742725183108,2.085179898658751e-05,2.3480254792929145e-05,3.0479814614459144e-06,1.6807074325608795e-05,2.3025741038740222e-05,1.4133614086642154e-05,7.820971026362145e-08,4.127914476903527e-08,1.0623537624043777e-05,2.3569219561814236e-05,1.312403480113744e-05,0.00012078904807433233,4.556264708543978e-05,2.2073277251344336e-05,3.506152545273977e-05,2.2582764035217195e-05,0.00025610756966987225,0.0003001303305314451,0.00046876003108708986,0.0001805801285423847,0.0010293668406600176,5.5312860801404184e-05,0.0003548082259872132,3.113715763758407e-05,2.374989094278135e-12,1.3115622151227413e-05,9.16621227653458e-06,5.670271850277686e-05,1.5530060263557743e-05,3.0613408724899926e-05,0.0029659705112288215,0.0006328327595186423,0.00010972447794621587,7.742864495119406e-05,0.002733693144725269,0.001087447110603268,0.00027825743575160544,0.00014801168131706177,9.189298268985624e-07,7.97207354796825e-07,2.340113805621158e-06,1.3016196836579397e-05,2.75456214526848e-06,3.5570667624718055e-06,0.00030000532225349374,4.916560798751135e-05,3.613833345328388e-05,3.4968294412962564e-05,0.0002076667130834764,0.00014055626041642455,7.58093911095159e-05,1.992565726016693e-05,3.991355950505593e-05,6.8303475979636374e-06,5.314074921902723e-05,7.422347225061188e-06,5.152547735143287e-05,0.00014921061024919524,3.1604913757199427e-06,1.0630496027008718e-05,4.5741023896539446e-05,6.509384863395695e-05,3.490881244516686e-06,1.1288443437784679e-06,3.395919037529893e-06,8.885494970911623e-07,1.5791874625747937e-06,2.216384109399172e-05,3.3469852687151302e-06,1.6866888525868262e-06,7.994392703380981e-08,2.917421859649494e-10,1.800864573020533e-07,3.406634980906986e-05,1.9247998150895285e-07,8.198674890103064e-07,5.690976157435301e-06,1.1395296365623864e-05,1.6664657587206477e-06,3.956252689896189e-07,3.908736383007039e-06,3.902102790664941e-06,1.087155364842829e-06,4.260265107358663e-07,1.3888344430057487e-07,3.9905995086186863e-07,7.41685218796917e-07,8.015977079889325e-07,2.5652464286096688e-06,5.349348604077875e-07,4.40520351308038e-07,1.3606403395094446e-06,1.0265412653254202e-06,1.7032181265363988e-07,7.639766752554067e-08,9.94572787238468e-07,4.047432677900531e-07,2.0929718012041576e-06,7.186798942626638e-07,2.116905642779443e-06,4.624855520773963e-08,3.6356665233938656e-07,3.156534575943226e-07,2.3429197810731495e-06,8.091195025095033e-07,1.8337985419059066e-07,3.3638336716101946e-07,9.817008546075812e-07,1.635248800813116e-07,2.199189770291099e-06,1.124985065148465e-05,1.927955337599485e-07,1.8538046608895797e-06,3.9196360956950116e-07,3.7663483651861895e-06,4.2172046255117834e-07,7.537375807942226e-07,4.4226844408967736e-12,4.331301077797889e-07,1.2181467368144183e-07,8.49121262191943e-09,8.82017152648018e-08,1.7470852764489564e-08,2.4327883307861953e-07,1.8798335248426667e-06,9.721696558884219e-07,1.7720914957664036e-08,6.929254503518223e-08,2.9388181976841565e-07,6.105754262186736e-07,6.219616466296429e-08,5.665383895347986e-08,5.2022637531123905e-08,1.4696575290074065e-08,4.1978287512733914e-10,5.896196197952008e-09,4.093378525027447e-09,1.82205137200242e-07
3N1P+1,N1,0.0,0.0,0.0,0.010266491899971975,0.014744527711736843,0.029987878947971502,0.16453601763469994,0.012288641119326371,0.01476353367930594,0.007044626583951885,0.0009344095980590161,0.0020925043930601905,0.003663219067395307,0.009504457981512227,0.018722342131893832,0.017833792288573402,0.20703639863172718,0.08001745512551661,0.0037203398867442505,0.018452274112769285,0.005080907787650357,0.03797964751618155,0.05225391620932296,0.003673611171679969,0.017060594020641418,0.008147960198567894,0.02204300985840879,0.03940350063087972,0.013053905146411138,0.0022324157651187893,0.0033302126358922823,0.014034166755232391,0.001114234768150979,0.00012299980619179252,2.768957775733938e-06,0.0009408328548210498,0.0004772861007005247,0.0011760988628237712,0.0001950545554190164,0.00014470655643350483,3.185873255207028e-05,0.0011276741323302808,1.3471055431590884e-05,9.093318751318691e-07,5.9859941958562146e-05,8.51832050654533e-05,4.932529354517712e-05,0.00032132856799327314,0.0003905536081250105,6.188454481037553e-05,0.0004066559158442118,1.0438114618871452e-05,4.668324020440373e-05,0.0013118574014603368,0.0005836316041358813,0.0006965913266818724,0.0025705116722201105,0.00018006552619720395,0.0004960309805706054,3.696300623667881e-05,0.0006173070563288974,0.00025122799174592814,0.00022815810807874648,8.176145303018245e-07,0.0001943305657359229,3.4587527724116995e-06,3.569776554313009e-05,2.816386090520595e-05,0.0009715920551669477,0.006800246975330992,2.288701071329058e-06,6.52137648358142e-05,4.686377592655333e-07,0.000152284710138062,7.088254945664119e-05,1.6393454992158496e-05,9.608575364339345e-05,0.00019838262767102322,0.00014071360085354812,5.562994509489272e-10,2.198007380593836e-05,6.431594565725618e-05,0.0002146598064489691,1.2887415501205979e-05,1.394099968798912e-08,2.569502912663779e-06,1.777033731364952e-05,2.321892689316485e-05,2.0471957000278707e-05,2.690917864978104e-06,1.12921110813069e-05,2.100582438524512e-05,3.098922026545381e-06,2.72881577134676e-06,3.163534549877056e-07,2.6027864483690877e-06,6.195544529186137e-06,4.0486200614253676e-08,1.8183282497474806e-06,7.237092760492558e-05,2.1723107921367557e-05,2.3776742919423555e-05,2.729260193135019e-05,1.5897374026963007e-05,1.2031001835666189e-05,2.0931449888905718e-06,1.7066066638093957e-05,9.98721812428549e-06,7.473471171692836e-06,5.991797940030352e-06,1.7711873734560513e-05,2.6731801573642855e-05,8.889198641170992e-06,8.337928170121245e-06,3.499701206610695e-05,2.506939468727154e-05,0.000532691011503994,0.014226003906186335,0.02241700565113769,0.0024154367576056934,0.0009613217248300998,0.0013803312341282847,0.0004463004138131055,0.006114012872422858,0.00779727897878324,0.001468106507039213,0.0034879852023794733,0.002517596793936816,0.0006957125696864797,0.00019732192385735203,0.00011829507348326551,0.0019781342078992736,0.007705983768860669,0.001087880478383596,0.002040852060814835,0.0009663478825050476,0.001064543277162322,7.3847302459739694e-06,0.0002409838026049549,9.664437592404873e-05,0.00107235049776655,0.0009771119533805717,0.0003408329678458166,0.00021918388437991432,3.160038994476366e-05,0.001294567614230413,0.00032725763874807967,0.0024079927976283777,3.093123152853039e-05,8.072194938391064e-05,0.000720685835663204,2.309436534719822e-05,0.0001470239271679219,0.0009646995962180327,0.0022862053656615977,0.0002777905374817813,0.00010546969066238532,9.895492202494083e-05,0.0006226417989894095,0.00014525815453092505,1.9544509862745585e-05,0.0005913750027142228,0.0009833237319183397,0.00022649599827806455,2.1303112831549953e-05,3.507737411601042e-05,1.2222255410421212e-05,0.00010829668790979241,2.6772846295486374e-07,6.704689937464536e-06,0.00038668785646978066,5.061205462952856e-06,1.6726900887054086e-05,8.542516365395159e-07,0.00012466425856239027,3.979814210719468e-05,2.1505096281515534e-06,7.502889638111299e-05,2.2029606695728177e-05,0.00010652078111039742,5.4565355895430656e-05,8.232045554112943e-06,2.806698390145357e-06,1.4675311751588538e-05,3.0555401846932284e-05,2.8852659498923572e-05,5.500143358494469e-05,2.1404492515531004e-05,2.5304019382943466e-05,8.06208899639671e-09,5.4853690163891855e-05,4.973622424575552e-05,1.9300351969508966e-05,7.030125125151443e-06,1.7961755833795223e-06,1.5703198958938458e-06,8.708660976797233e-07,1.3479747035027856e-05,2.8251263639589297e-07,1.5026030417697456e-05,2.646394810934538e-05,2.5404297421260935e-06,1.2563264054410439e-05,1.7041365921066642e-05,1.4968127226566708e-07,2.415015263035336e-05,5.16711059495023e-07,2.512184132674733e-05,5.979897270691481e-07,2.3562788156406e-05,3.984959495717533e-08,7.950965517089514e-07,5.929758753797643e-06,7.77486640979319e-06,5.659488166998017e-07,1.6762378596268945e-08,3.3297832047196607e-07,8.593768211717645e-06,2.2990665371480645e-08,1.9686872243518394e-07,4.6247392426757017e-07,4.150981007811083e-07,8.773037629694613e-09,1.540642931008307e-07,4.780671745141518e-07,1.2377544312158761e-05,1.5963359860649007e-05,5.679119381429842e-06,1.9507537207807957e-06,1.8529570970926557e-06,1.9377869708847584e-07,1.5658023300169077e-06,4.047606569912432e-07,9.54930766683404e-07,2.8696706988462495e-07,9.9973538356668e-06,3.074669177260958e-06,1.9458654154647093e-07,5.237527414880816e-06,1.1497112471392512e-05
4N1P-1,N1,0.0,0.0,0.0,0.0,0.0043656986003655085,0.011612591908355174,0.011296483943627589,0.2722089869868629,0.0063845454707061045,0.011707308824367324,0.036274752765931506,0.012396137201481805,0.008260399753102332,0.002706429553041678,0.13484272671757003,0.05765861567401043,0.23478492421823383,0.1498434100166497,0.0063056623547605994,0.04028896688344741,0.03948690864514015,0.07816518030407371,0.1030062848187181,0.012953489659616402,0.010712929596822018,0.00337577136976952,0.05926019145886441,0.002527299617675949,0.00028099647356572,0.012603837515701377,0.025881816967642912,0.0022526649747474092,0.008140543492389352,0.0009073373706476318,7.4046700608843e-06,0.0016792158289744563,0.00025219476356230786,2.256188788107849e-05,0.00029075140707712777,0.0008259447643079731,0.00029420647265476774,0.0002576372550713302,2.1702134378465132e-06,1.3665021744158068e-05,3.997201206762391e-05,0.0005177565675347218,0.0012188170624680694,0.0009603706654153221,1.1288471115644683e-05,0.0008449424419572082,0.0012124226434067076,0.0003629696950331329,3.237316859028283e-07,0.00014470461095772436,0.0005825779465249425,0.0001085506233664546,0.00020909333928997853,6.513346729430936e-05,0.00020658111897242648,2.201251323441511e-07,0.0001081188554210577,5.926313026605179e-05,4.0193549203149104e-05,7.72762276168848e-07,8.129584305738291e-07,2.66814591620701e-06,2.6880020449482345e-06,0.00010128592458524821,0.00012908241575138035,0.0016219467585338876,1.8742164265006522e-08,9.978871764459996e-07,1.8136093613563276e-06,6.747114846383795e-06,3.4262402470730535e-07,4.684894028272879e-08,4.3899838992000895e-05,7.623336150341942e-06,2.9924247877843868e-05,7.136783868322283e-06,1.2103097796867246e-05,2.6547990900738228e-05,2.8638209504272538e-05,4.857387054801876e-07,5.358688492940189e-08,2.137901023324673e-06,4.743608339463634e-06,4.21634925462655e-06,1.5854732703157737e-05,1.3018475186754586e-07,1.0730518651413945e-07,4.4445617142230276e-07,1.6627421755011085e-06,2.503403513376412e-07,3.2336235245011835e-08,6.662265406021106e-09,1.83544759124743e-06,1.713773415401576e-06,4.3635116631079995e-08,5.247962870935652e-06,6.714433447463364e-06,3.6709751327634876e-07,3.958800190773104e-06,7.482668369362955e-07,4.60298109050683e-06,8.277795351396833e-07,1.8039308904427287e-06,3.2642336567079155e-07,1.1937549311280549e-06,1.7357888060232085e-07,3.970401031727633e-06,2.6216104060949874e-06,2.765034468055205e-07,5.076486888633269e-06,2.1815539863467848e-06,6.051132559470318e-07,0.00018247771274326752,0.0027852911941992353,0.005903095241077239,0.0001067536435348515,6.619701144572332e-05,4.549538755771465e-05,0.00039436322080721453,0.00201316370489657,0.0018251622533442813,5.631381812931657e-05,0.0031036622649227574,0.004251686666644439,0.0009889163886345198,0.00032698472372771903,1.643896551328794e-06,1.687439771913546e-05,2.2783654074487458e-08,0.0027421070561421956,0.00028322399422764377,3.6721944738360435e-06,4.0367646001904234e-05,0.0011249400089572426,0.000130268959891211,0.0001424860417142959,7.152640400631682e-06,8.458633419272665e-05,1.1565855961848115e-07,5.687768679707439e-05,5.9311041026299804e-05,0.0020429488492634817,0.0007518555685663841,0.00192194500225229,4.8575962764196845e-05,0.00029634482739515633,0.0005718043944278328,8.4940876340589e-05,0.00024086568585213186,0.000799293921491584,0.0009811755788211585,0.0001027995993518882,5.315493372726188e-05,1.0763975643257595e-05,0.0003390209605944605,0.0002653110459123198,7.642612026792506e-06,0.00025524916731800573,0.001055033648995618,3.4038863395480234e-05,3.1694669484494398e-06,2.0719497086041372e-05,7.968919498946292e-05,1.3154962240413681e-05,4.988437265041057e-06,2.4328067662615638e-06,0.00016639478595004142,2.5759658406343533e-08,7.358588883121797e-06,1.0062808764699227e-05,1.65441017134782e-05,1.291923841684195e-05,1.48627215823538e-06,4.096993592161979e-05,2.593386569671452e-05,6.666012149558753e-05,2.7757295969710327e-05,6.01900991359372e-06,1.5741909997757375e-09,1.572698637586356e-05,9.158637207740128e-06,2.7035090033544762e-05,5.44876435821795e-05,2.3425626052508974e-05,1.4360392521783893e-06,2.6233558125809964e-07,5.592626140105139e-05,3.260891463874316e-05,7.744707120505012e-06,3.822328302760525e-07,7.3533314512985726e-06,2.960006644237012e-07,1.6119168710915233e-07,9.242627458938557e-07,2.267410905698597e-06,6.546242989013962e-06,1.6873932793259883e-06,2.2943757072013682e-07,8.060044195623561e-06,1.746814071168501e-07,6.399626162334471e-09,1.3691487488642906e-05,4.396605235434947e-07,3.518554331316537e-05,6.147596658401255e-07,2.2563369341810358e-06,2.8788442740790288e-09,1.3629960893268844e-07,1.1696980961595216e-06,1.6448709816430096e-07,2.8872598489826373e-06,1.4236680279111624e-08,8.660853043629402e-07,4.4719653580216345e-07,1.179932781258941e-06,1.80177073261234e-09,7.682950871057415e-07,1.875039481458174e-07,5.16352146151533e-07,1.0488724999646593e-08,2.5899263378370563e-07,7.762190902926847e-06,6.834241986553025e-06,7.695067960611368e-07,2.2115538906852805e-06,1.012401984912259e-06,1.508673674877059e-08,2.4278177734871065e-07,6.666330900628736e-07,3.481457830911694e-07,7.585900507756094e-08,5.57253866362295e-06,3.145722841546572e-06,4.431416900096963e-08,3.965548346585024e-06,6.0230182765685925e-06
5N1P0,N1,0.0,0.0,0.0,0.0,0.0,0.0012998395639205462,0.019322324608714414,0.007411416895173328,0.27772827370747866,0.0032158459739015655,0.009824623771357732,0.007697105734407517,0.007522605222306744,0.03974432460514721,0.2825620378989675,0.18262635424333595,0.02563476595028913,0.014065586481003312,0.007094548751436447,0.04797700404862981,0.04636904903945016,0.09562589955383016,0.08858462914524967,0.02303688054705022,0.028130229714525168,0.058043482936956714,0.008453923944611308,0.002508418803511603,0.017982452481181133,0.004752805146167605,0.01574383697102366,0.010379244968665269,0.0010070438683746907,1.4258299136482577e-05,0.00023208769009719354,0.008268518444880524,0.00027904877811124607,0.00013504884675707984,0.012546779600497437,0.0004093652755638999,0.0004145683198029104,0.0009493400255085049,0.001169385748226226,0.0008013586782908977,6.846289270523442e-05,0.002192768990131322,0.005765101993071342,0.00233337437268033,0.00227177706419468,0.00012451603105212428,0.0053864532162695156,0.003200280041116166,6.869766300909852e-05,0.0013013647624275926,6.515343666357865e-05,0.00020893759619822205,0.0026934839786334486,0.00034667523230602626,1.1708048992531417e-06,6.320737659182285e-05,3.6468073374429366e-06,3.505232660305779e-05,1.1946149010011453e-05,0.0005275036995839866,3.104909676632239e-05,5.0067683623700177e-05,4.035006835323429e-06,1.7747764595732463e-06,0.00022484758694218954,0.00215399311903397,1.4192518296152201e-06,6.2063443997395495e-06,8.27143264992003e-08,2.9348707621945636e-05,4.8959168989171076e-05,5.97337558083666e-07,4.51195929600523e-05,7.324675832798277e-05,6.703514339090333e-05,5.284411941142153e-06,5.888153375099847e-06,1.5675166666673235e-05,5.55244816193845e-05,4.383429899679214e-05,2.8120769934858458e-08,8.060884004734703e-08,4.344623549368265e-06,2.5288365348874464e-05,2.181380219568041e-06,6.588111687300113e-07,3.822987645119014e-06,2.3197273954167485e-05,1.7540804009286148e-07,1.099820478689395e-06,2.9230353182363444e-07,3.832139732207196e-07,7.2806028761363e-08,7.186193617947367e-08,3.4272072280128185e-06,0.00015258393765771316,1.6639043669108844e-05,0.0001258441218214834,2.962160943376091e-05,4.242134570242584e-05,1.0117550353072602e-08,6.545966297899497e-07,8.153861829729436e-05,2.166178270779362e-05,4.6058888747424476e-07,4.032694225664102e-06,1.7291708313216247e-05,5.0207877762664666e-05,1.7065598725274356e-05,0.0005427083850459979,6.831870826884412e-05,3.289377444382069e-05,2.874122628115927e-06,0.00024335231651351208,0.0001767248125283949,0.0001617810661840302,0.0003775414216571349,0.00012906030973747207,0.00039544338019759095,4.220191750103908e-05,2.2009740185957583e-05,4.522854004207488e-06,0.0007849710405234411,0.001230163660343342,0.0003958964308130586,7.03089000972934e-05,2.8084000351924487e-06,9.012016972365089e-05,1.3901461568543994e-06,0.00023629305000349987,0.0003487812657674283,6.481352449627664e-05,3.2656787050111546e-05,2.3844812120366043e-06,1.4159384296164035e-06,1.6338750397082435e-06,4.01203550148832e-05,5.714894723585218e-05,3.3405137270792196e-05,6.511891146310234e-07,1.4085247028505776e-05,0.00028074984683046367,0.00034022550572920807,0.00046208063780506237,6.383302600987406e-05,0.0001377835753704204,1.085229266895027e-05,0.0001284434942649959,1.5160656168244913e-05,2.3258876709952858e-05,1.2230965129589322e-09,1.2217958070159796e-05,1.790168012894e-05,2.202795672090474e-06,4.790769237761339e-05,1.2730347315415003e-05,7.022330914541186e-07,9.257903350601282e-06,0.00012303199811158905,3.142011785861598e-06,1.5934956021368407e-08,1.12444196620487e-06,1.3332148176559144e-06,5.461609502432907e-07,2.9601271065438084e-06,3.915848018509749e-06,6.377998133633156e-06,1.0457231277349877e-05,1.8915413466658038e-06,2.8249709107530663e-06,2.1943534544988097e-07,5.767348820739926e-08,2.866246306965081e-07,7.084122923828318e-06,7.795163750046186e-06,1.0226271176083657e-05,2.8564242611217594e-06,1.43359225912576e-06,2.073634153276771e-09,2.7525221120150434e-06,8.756063922810142e-07,4.067603837976108e-06,4.382729538399133e-06,6.073301466180681e-07,1.0632850155900542e-09,1.1719576575863755e-07,8.771460185297286e-06,3.8031133851035293e-06,9.584872144863255e-07,4.0060617045867275e-09,1.2431463809470245e-06,9.533644229620108e-08,3.6820781978974537e-09,2.9180354532698516e-07,1.1722483561626973e-07,3.88252986205373e-06,1.0301912900523291e-06,1.1553761858351663e-06,2.2166393041089805e-06,1.112385903390134e-07,1.5403824171755787e-07,2.2936885530899787e-06,2.1409829153995474e-07,3.1947524847808495e-07,6.592218384504633e-07,2.8302003474145465e-07,1.3436941070921193e-07,3.99803050799008e-06,9.735885740713712e-06,4.585370410925549e-06,2.4099247042386196e-09,1.6972163141559804e-07,5.788931720651647e-07,6.259091054339194e-07,8.651502181322712e-09,4.1624399860218375e-07,2.3885221132058376e-06,1.7304726762645828e-08,1.7757587933431296e-07,2.0090018537644028e-10,8.592247802141628e-09,1.5522936980261193e-07,1.204457870773723e-06,3.3416616762593776e-07,5.616329845636869e-08,4.1048856758152397e-08,1.7203636293317004e-08,8.729013289965337e-08,5.8515730039232494e-09,3.313729757259409e-08,1.9165931020026505e-07,4.375483220186993e-08,7.664342493995946e-08,7.293907700045565e-10,1.8018468939118293e-08,3.2131990268524646e-07
