 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,H26,C27,O28,O29,H30
N1,0.0,1.906807521227765,1.9174774750916552,3.1201935924222197,0.08728203549969016,0.1909097325081993,0.009216705947224124,0.027039139897186093,0.03441879150580032,0.0005448165825703288,0.03516995969154124,0.004232261851717545,0.000634553810068092,0.0020703302265191875,0.0013471223499201823,0.00029899955454670835,0.21978540522359225,0.05037743644355122,0.033956592743710184,0.002705538882083136,0.007061366867107455,0.000584909185736282,0.001351844722324469,0.0003137908396553257,5.257791128354672e-05,2.796401230931167e-05,0.0004566749112446533,0.0001584908746221636,0.0001588742034399626,4.2558553587257464e-05
H2,0.0,0.0,0.027642429979493732,0.1087662994943599,0.008647790723452342,0.0318763009336418,0.0010092010655591288,0.0019608871768734826,0.0014594856580096849,3.7528254387630966e-05,0.0003140299591488649,0.0001390812434706179,4.0358910023630123e-05,0.00023109377691521438,0.00023818780746531765,3.445572605031977e-05,0.005994279019211124,0.002552195262363388,0.00042777534094629033,2.726569679745161e-05,0.00016715574425196777,6.9201212429259584e-06,1.32251193846189e-05,2.0481500262459207e-06,8.135969764566653e-07,1.502696758581834e-06,2.4960434525600483e-05,1.0672821148749456e-05,6.482721304212902e-06,1.3354645280738708e-06
H3,0.0,0.0,0.0,0.10684592385735658,0.03498935778152057,0.007436408533342931,0.004109071988638524,0.00014911902235814622,0.0006085856979639592,0.00014001190589985057,0.00021538892165273715,9.680653815524742e-05,1.8046582386355148e-05,4.586813938589618e-05,1.210600050205457e-06,5.296584752123579e-06,0.02348540996740378,0.05906689094929052,0.004082535805006171,0.0007144878854123959,0.0006046180715840732,0.00010331752449954656,5.8604832801512075e-05,8.11805271716537e-06,5.849355471987394e-06,1.1263867360833402e-05,5.302999817979881e-05,3.19698617358144e-05,8.363811477507532e-06,7.153081231781044e-07
C4,0.0,0.0,0.0,0.0,1.9209804216333006,2.583689262985361,0.08407661016605927,0.08696259632250403,0.16950665958124161,0.008046798828194923,0.012300989129776951,0.030042682191992603,0.007228630209416623,0.006516469398779964,0.0028051256130267044,0.00036872059888015674,2.4478065962802282,0.27709611861929784,0.2218754481803094,0.015598738847880766,0.03560722806953437,0.0067349069554824,0.004275365996624911,0.001180231760976591,0.00016333332264450995,0.00013361103675024744,0.00272457295865855,0.0005736866579814787,0.0008749518987535287,0.00019515226225441662
H5,0.0,0.0,0.0,0.0,0.0,0.08061285574803745,0.035354655355604336,0.003011368123464475,0.011861317477196431,0.004850471815227353,0.00029452414179442776,0.0008740092219916562,0.0004723282737645329,0.0004018803732076526,0.0002945678965549092,3.220948883386754e-05,0.09366993365244536,0.025358699406399343,0.011730743069855665,0.006339196334555819,0.0019317877315310206,0.0003073256638748134,8.413185380384824e-05,2.5531730032390954e-06,1.5208128476773553e-05,1.5724964610441816e-05,0.0002021174135549142,5.463224951984813e-05,6.820054858325264e-05,1.977376857431601e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9127120058172784,2.1433106368000665,2.5939461468510623,0.08246302454220755,0.08793853195885803,0.16061334224194226,0.03956595087679815,0.034218628789365796,0.026749874502932425,0.0026363432879481508,0.19816331189325406,0.03878530203160706,0.03153761239707187,0.0038895434128275452,0.0034776680639402313,0.0002509741073457583,0.0009374636386571267,9.806534378853371e-05,4.913909841963715e-05,2.1641987431486598e-05,0.0014686542515869316,0.0021783469701404795,0.000468048388430814,9.719957896925369e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022202317868296406,0.0799855077087086,0.033687416029689166,0.003827019943822396,0.007618370136899699,0.0013944895030120197,0.005660353513674332,0.002532711833465262,6.29845289730202e-05,0.008937289896681966,0.003644012545491293,0.0010031865364643622,8.96657203310891e-05,0.00011621839073994167,3.5527496300424843e-06,3.163378448056697e-05,7.440536818226207e-06,9.586004923178848e-07,1.293931943369131e-06,1.1521249519530485e-05,3.2460941515877195e-05,1.1078020460963955e-06,5.551140025428225e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08127527740299034,0.005962814478664091,0.033085546914933595,0.005090612207078182,0.0008723605838099058,0.008319085149231187,0.016311025163286974,0.0004297306999789807,0.012583527202062239,0.0023857376982112655,0.008777830249750762,0.004067253821129935,0.0007854383856866765,1.4109120433536404e-05,0.000443410853159687,3.908907883887203e-05,3.0952966001418503e-06,4.262882589367578e-06,0.0016041373206865384,0.007262496405083807,0.0006909346641112979,3.438891840779057e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8767052067916985,2.0989491127275524,2.713183974535532,0.3070338813330652,0.22007287063097603,0.008738555103877443,0.044318000916829914,0.02952661718361449,0.008493235972641983,0.004778585238608579,0.0006446766404110127,0.000722316066001899,0.00010726412351302894,0.00010677731951090619,6.298060492904156e-06,7.442867970164357e-06,2.6609645353836697e-06,0.0002546634129087233,0.00016036028882635,8.078870199577926e-05,2.3598552857717614e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027119224726395386,0.11133570249236402,0.029700807618940894,0.017877133137695123,0.00022530454305536018,6.468940945536517e-05,0.0009660393980974735,0.00045856424643475613,0.00012654654136001753,2.6841138259792174e-05,1.536888149278326e-05,4.695613233796081e-06,5.1574546677812805e-06,8.468427350472041e-07,7.127896539671497e-08,6.3333905009344e-08,9.179223041000384e-06,5.936853256449659e-06,2.429533502601444e-06,6.258773344036683e-07
