,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26H,27C,28O,29O,30H
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7350926073736943,4.630346251301638,5.254241946384251,4.90331201154458,4.562882757954383,5.668488835467337,5.8654867418252525,7.094914298164819,7.7580855940530835,7.588900231238309,7.214367509004095,5.217263853162269,4.408090442511761,6.208927531386699,6.166094782364247
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.228199077967867,6.811306738229927,6.587819002297123,6.197195890587767,7.401926146560814,7.583541128153049,8.817163285708816,9.487615112781524,9.296378291416465,8.894451266041024,6.9129686561860915,6.0379737475646165,7.858083992271945,7.726293475892738
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2264848623824236,1.3714842733806232,2.0491814326642337,2.4661870458086486,2.488094301153304,3.568916120735136,4.449120571064692,3.5181566240550795,4.028506162822647,3.463335577339748,3.7203873199307513,4.567894693295432,5.251281951414306
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284113721650678,3.1569745801902367,2.823233312746573,2.3370556027683307,3.877235698663116,4.575328251157544,3.676927160121935,4.596120916540533,3.9241319985424226,4.424530074295536,4.7686971928894115,5.53102422791598
19N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0131077341307777,1.4522120876650895,2.053213176904797,2.4896695688314696,3.42973807831188,2.733395796678715,2.7738535453742807,2.422319198631092,2.7244972844514286,3.619356521123297,4.295951157851794
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097861054269675,2.9202081027785,2.9618881992153816,3.915674372514349,3.3555817012823503,2.8775870283715603,2.5542175309125046,2.42764776275305,3.8741819797785677,4.379081090391424
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0949395678379361,1.5405544358612098,2.1824198575247276,2.162653241714415,2.1875004871615364,1.5268116871358617,2.435516503064174,2.383777235309949,3.2187323409540247
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162580474772248,2.512034536247629,2.4787324234982284,3.0801397817590357,2.143355451259112,3.13899359204873,2.619235333533681,3.5148628115735
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938966133783916,1.0936843639104565,1.0962341448272994,2.5291900118029567,3.463048298062084,2.9484669019647263,3.808740353732851
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7805630937664456,1.778297101433946,2.775746138943661,3.853318282456771,2.6581908560427077,3.516673648063301
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775365455231772,3.4695590158207303,4.377652393329132,3.92734918341287,4.833727650364519
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8039517804473695,3.4447938440034775,3.356161764319338,4.041783830993516
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2133635078661038,1.3492295236980159,1.878500939553119
28O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2542327841879954,2.2931654299278006
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766684960614578
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
