,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26H,27C,28O,29O,30H
1N,0.0,1.019394488607854,1.0218202134213545,1.4597164476869724,2.0848890989477766,2.4674258961585642,2.675772262273671,3.4012346711580306,3.0130240433716846,3.460748126038981,2.6153025607808416,4.3884188180692325,5.1090782598968,5.11784105082604,4.92949128116537,6.055277918994072,2.493754501508106,2.8091689696600737,3.6857029101260768,3.9479042083424427,4.947917357790991,4.906733414550773,5.891458663369152,6.837437268001013,5.606827706361114,6.219736156516268,5.8616866090790145,5.8599378226678605,7.01598607758057,7.627181921625835
2H,0.0,0.0,1.6209636159717924,2.0391356453617577,2.293463337881063,3.3455240047762356,3.6526833385248145,4.172503277295971,3.8417064071391676,4.087936881732504,3.399628478563634,5.28426002656399,5.952521879515115,6.060499344485891,5.862377992962701,7.013449535066874,2.7989104579001793,3.0680779263484346,3.8719925076640815,4.180863493737729,5.114223335217596,5.10450806303304,5.816236344615919,6.791086839532068,5.3655585882003205,6.116226436319292,6.210287382569502,6.316075666632765,7.34821532601376,8.03456442708585
3H,0.0,0.0,0.0,2.013258001910985,2.899336029971323,2.8029722921898412,2.60914700636985,3.712664026782468,3.577477338504105,4.221899105139241,3.1993987497749474,4.77552452600218,5.523193814161292,5.355074872882975,5.091578167717097,6.242660238711225,2.5255263497788407,2.3821463480876854,3.8732938216399924,4.337734964856914,4.935185715716991,4.669443197799824,5.955327525632992,6.802964987360403,5.649347784541486,6.449893334671228,5.876357907218375,6.005985395335959,6.909099383323884,7.551878758197078
4C,0.0,0.0,0.0,0.0,1.0988079580665546,1.5492367893043917,2.154946522751362,2.165358592409988,2.5600021107837057,2.840261648795519,2.7319958367730988,3.9698472111373757,4.9324096680125615,4.438597261897736,4.061200380790042,5.4365779642624394,1.5422009432282913,2.42104497027998,2.465325134604278,2.5636209917304376,3.82280025728682,3.996677331930112,4.868748653716357,5.832777993998705,4.804623616699655,5.095948563908827,4.568745736755421,4.45760176746283,5.802210497888172,6.3513528275347575
5H,0.0,0.0,0.0,0.0,0.0,2.1635592568974094,3.055422403733882,2.5288133364069756,2.746188156375784,2.5800916842826167,2.9711983041773635,4.229411984044277,5.121072144503511,4.797661081044303,4.492167705023312,5.804445544217368,2.1674779998973337,3.2343610545205648,2.5872922555895936,2.364049576054015,4.039185555502256,4.4611645659461265,4.8483818827820375,5.8925720990357,4.779625372339892,4.848315700897475,4.769607261586285,4.557075387711418,6.073138231035655,6.598165706397426
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0988719344854452,1.0996000856821173,1.5336246223378054,2.1687992832281213,2.1597807891084986,2.619459121474118,3.722827251611093,2.906267438781691,2.54109340807152,3.8989031570760764,2.5080659682630397,3.2684445148858474,3.189616296072698,3.0516057124316354,4.369699685804724,4.54177029461503,5.665598766199682,6.530353844102199,5.84943644062553,5.858757346953237,4.631229100539466,4.211991221248991,5.84455493868957,6.1881074789247865
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7665006515979766,2.174113770790277,3.080403035870502,2.5564150418538922,2.847309937151145,3.900948776589281,2.94203501608949,2.5285333541469845,3.820984353005382,2.7505569948803057,3.1092300610014796,3.645742544274985,3.746754135083653,4.613660914860468,4.535501034875852,6.020933833790155,6.7836187341195044,6.18997904175271,6.384489059626015,4.857463854247522,4.565722510480215,5.925226158424691,6.272139640621931
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1836722634205628,2.501293829816942,3.0772333305616777,2.941295075157035,4.1423659956277445,2.79960222830992,2.16132270829345,3.7669695400699474,2.6409632848625417,3.532174640529649,2.849653409264485,2.5171841446182985,3.8715366425898736,4.200990902919604,5.203165091325673,6.00919750359077,5.581076235682828,5.311487592528061,3.8298233026221675,3.2349812774033624,5.055170462256511,5.294084668164475
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1000349867577952,1.092937823780665,1.5301094433645641,2.406220886772313,2.4705266801474752,2.666177536097862,3.39049015131698,3.890538143545327,4.673233921175221,4.514977151593001,4.173194939111586,5.784904220567216,6.0453496124122115,6.988883546730204,7.907291050500374,7.146689981872935,7.039531333241511,5.971159910898273,5.370882251305642,7.220506085684664,7.476768198670606
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754121271510817,2.1236794703594795,2.808618750460427,3.01728070773373,3.2167877893920562,3.897984116872417,4.190925177929032,5.160346413116216,4.5644552769521045,4.022262832964955,5.89327273257616,6.333508872771989,6.943858962309956,7.911746485047581,7.119280260641575,6.826180237302798,6.058806967555335,5.370961474330187,7.367204053496502,7.601521331207328
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1202315328459966,2.5626724855402974,3.2848652460254946,3.5885784939130665,4.099778241866266,4.19044337308098,4.820330980924365,5.037209162191012,4.828099912522992,6.3617517168114395,6.523322638608812,7.510479298419065,8.460503800779346,7.520751495011341,7.6202892003444145,6.746379474764838,6.269862250673378,7.989510521612732,8.328920953452663
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2226749096093277,1.3700965399660823,2.099046991940631,2.0441064516806766,5.127209046108873,5.8123718640456286,5.678184156724805,5.291916494297086,6.796724530996092,7.021590361768002,8.108407871082454,8.945305156663087,8.390019843442188,8.15852165620206,6.702062709759953,5.948054208431201,7.858185499043255,7.952386572435516
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2661803525944237,3.1812815872016853,2.486010319753218,6.205885168169488,6.855796802985862,6.817746012877824,6.417442473867239,7.9841848881936555,8.20092837706575,9.267281371898534,10.130181037652516,9.503674522588911,9.291241558800243,7.919171675264369,7.146842626498281,9.079569208445776,9.16004732185698
14N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.007782082226333,1.0104876057072691,5.264335568677642,5.905011458984573,5.641129724553117,5.254203092477047,6.533721079949192,6.742474586460416,7.929007933612792,8.648369883922905,8.364446631791523,8.00634419306743,6.161909769029526,5.32783107021545,7.194029912286367,7.154841546513619
