 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,O19,H20,C21,O22,N23,H24,C25,H26,C27,H28,O29,H30,C31,H32,H33,H34,C35,O36,O37,H38
N1,0.0,1.7909341025067502,1.8088892821593356,3.0846169462439113,0.08757434557396282,0.2006507974520995,0.028206432445837537,0.004597703700686906,0.03164162671930887,0.004439193407805381,0.00043190597813214104,0.0063210269503890665,0.00021339882710269542,0.0007564615049762274,4.029217894641057e-05,0.001408935692057356,0.00011806377614420605,0.001246635420564024,0.00034910717038526273,1.615455284387224e-05,0.22716297249724496,0.054168185079594616,0.03283971106747695,0.0021866620929292813,0.007033841849140396,0.00017750413290329448,0.0013308224696489124,0.0002855432599107033,0.0001787931090924677,9.442793934777427e-06,8.282027215136822e-05,8.759069003438924e-06,2.514432563049951e-06,1.7246916023783143e-05,0.0008895868553123187,0.00012268220011851794,9.196387997785493e-05,7.1466204009107415e-06
H2,0.0,0.0,0.026916518915512944,0.11084978517966537,0.007812932112059912,0.03245444295163458,0.0015608249560326026,0.000353319355577586,0.004292895272945851,0.0006332699101843087,3.81232197759207e-05,0.001021962821195599,5.0164384154172126e-05,0.00010709585667678656,1.67858850226299e-05,0.00020099386067362612,3.621593033797943e-05,0.00020068484923607688,5.023546067228768e-05,4.501063864514876e-06,0.007772491822401806,0.00419761982473843,0.0005310986835940223,2.0795517076788173e-05,0.0001598103993635247,3.145457075914848e-06,1.2093116262601455e-05,2.80008198982884e-06,2.5953772472275816e-06,2.5463288264582218e-06,2.617604931032247e-06,8.572367162784644e-07,1.745836186728411e-08,6.884839660603603e-07,3.558049920782125e-05,1.9417873862725976e-05,6.2418732292846e-06,1.1036674985032136e-06
H3,0.0,0.0,0.0,0.10570765263222492,0.03594856509624589,0.0070428330353037305,0.00032166069600392255,0.0030373288683711586,0.0007830956900887198,0.0005427657251766416,9.91463830408712e-05,0.00012112608110692591,1.0058440607085828e-05,0.00013678546726725305,1.2327102464126938e-05,4.7894330867714885e-05,3.4447315506724863e-06,1.291248147505808e-05,1.353457301234151e-06,3.00113047302375e-07,0.020210905465429807,0.05339723444618294,0.003641586006698283,0.00041924408736115915,0.0004467021947135441,1.741282777922848e-05,8.904740655069077e-05,8.030256864577368e-06,3.578353210942353e-05,3.009704107048705e-06,1.1483292835068326e-05,2.2447322480800835e-06,3.293681154481476e-07,2.8904378115424123e-06,0.00010425365084987259,2.2676630221818428e-05,3.475397416963233e-05,9.806254457345176e-07
C4,0.0,0.0,0.0,0.0,2.020935714150151,2.667358517054367,0.09376741565060742,0.08073425906828513,0.1689075007490605,0.034443340445347,0.0020698861281989167,0.035374393261705966,0.0005606886015523393,0.004538271939801802,0.00010245147201737304,0.005442491970006652,0.00021410851240211137,0.010978384280122516,0.0028026175344048054,3.048897891988478e-05,2.63208603214836,0.27246733063807616,0.2133865548896696,0.011136221742101826,0.035458564746164045,0.0016926652580284696,0.004153097747354756,0.001446290359616409,0.0006508750329192736,0.00012316514124099953,0.00027311286686212966,2.450806292331187e-05,7.716377084410198e-06,8.692666978671326e-05,0.006201124288180454,0.001383890764209278,0.00105119017935984,7.193192530918768e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07797005472883578,0.0034135092606595308,0.033226172133168363,0.011849798496959218,0.007348153941194369,0.0029801435294498635,0.0011925800233150152,0.00017307551459455617,0.0007433239638474642,3.7121376617488266e-05,0.0007073439581413155,1.990376918792336e-05,0.0004403022115433419,8.909786232802475e-05,1.29987376891183e-05,0.09701888679584458,0.024780801924734197,0.010934780191835358,0.003707521948279613,0.001408789536746946,5.4440636350738814e-05,6.087800654075437e-05,7.323333218733907e-06,4.230175935959757e-05,7.076267578121076e-06,1.9336877183584456e-05,3.2896529924553164e-06,5.081786884630901e-07,1.7645448991299162e-05,0.0005661554511167122,4.499412616598697e-05,8.40864559629173e-05,2.730818566010207e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9398775715814978,2.0129788620312237,2.882886783852735,0.23128127662689274,0.01328050617581189,0.24533542895682742,0.014600394004030903,0.037131391718062845,0.002493858374598368,0.036463479031624266,0.00232000162953927,0.020703641146053775,0.005508133220741521,0.0002827769761292176,0.18003006703158567,0.03744633947075818,0.02483232510984429,0.001346452968085221,0.0028150325944240606,0.0005705897254858483,0.0002499017389085978,5.842320292326342e-05,0.0001489451130096131,6.63231481488058e-05,4.721971042673245e-05,1.7268990357699465e-06,2.0839209498024758e-06,1.8562674674038604e-05,0.001229843167543182,0.0005132278885795621,0.00018799917775202957,2.3161035524466023e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025060180136124544,0.09949205732062061,0.017681260816703626,0.003121866654300476,0.0296923809363403,0.0004523509516951574,0.0019765899831627465,3.948031479250602e-05,0.003100731508133392,0.00044246794516444865,0.005422863031175229,0.0013593143503461969,4.8550655735279946e-05,0.029225623109662147,0.004843982325342888,0.004151859623979681,0.00021539163385897453,0.0005869459811187472,9.681227644220414e-05,5.017777131199885e-05,1.5339267425362735e-05,4.1270981825380915e-05,3.0301576278812803e-05,8.653628151056303e-06,3.872354428224867e-07,2.0603127515173014e-07,1.6890138161418378e-06,0.00028510563739447825,7.73929648099081e-05,4.863659208520499e-05,2.9085532895489763e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09607821605169664,0.023693835242268646,0.0007804040227861186,0.017515631805788523,0.007052297752482062,0.0028614166845579714,0.0007566685017226238,0.0014489741297611936,6.162782824059576e-05,0.0010042951505813136,0.00023188269632457015,1.4210599699637783e-05,0.013932920445912433,0.0051130018033173075,0.0012088695478709166,0.0001345347158780985,0.00011059259748380512,1.668396079068657e-06,1.9438093550094848e-05,7.846285846380141e-06,5.4738564193579364e-06,1.2804825111345508e-06,2.2728791052584185e-06,1.2356912093558492e-07,3.79193374477893e-08,9.146747665944588e-07,4.854060345715894e-05,7.574963182199745e-05,1.2558132554962853e-05,2.306869084645058e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.554364185223328,0.12281495970957024,3.7434258242559135,0.12561187252167194,0.32493740450921105,0.02630176131117601,0.32833893865917496,0.025658642707807378,0.26442648181224726,0.05557893215509563,0.0013841884897214385,0.010771609994327969,0.0031602860776584335,0.011878131452067175,0.02181755065779012,0.0012190894215356185,0.00041105112570027913,0.00018671529448452406,5.884431261682366e-05,0.0008250430900501038,0.0004172820761608742,2.5642405886955322e-05,1.2357706060672768e-06,3.5894896550647815e-06,1.3279447218517149e-05,0.0005376855983036943,0.002102924528771144,0.00019360398886208996,1.9664175353928393e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0244263574866412,0.3319996218514708,0.028774087413913962,4.011794588075336,0.13119682609304562,0.29765969566474115,0.003965545390516523,0.34478040726868786,0.04364880345339475,0.003985049878005076,0.002735316858619774,0.0014345596308205644,0.0034222850140229327,0.007972429849407936,0.0005647475854355377,0.00012978066124502696,0.00010447540856209359,5.84330475184025e-06,0.00042954326237763796,0.001510995618757116,2.2282798212647226e-05,1.6051094249291964e-06,5.956397737261199e-06,1.8690282461708563e-06,0.00013032286903716384,0.00039026533290845156,3.8012637807532945e-05,7.3508848595915666e-06
