,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19O,20H,21C,22O,23N,24H,25C,26H,27C,28H,29O,30H,31C,32H,33H,34H,35C,36O,37O,38H
1N,0.0,1.020493176819369,1.0220711497865225,1.4633313259225789,2.0837608635995233,2.458803796550278,2.5017174698400044,2.7896098875559123,3.8209624806094684,4.464825574330182,4.167940004685488,4.855850582632684,4.89217149171962,5.817204217566385,6.496135670351626,6.127373412227224,6.9734283715133785,6.537039995826949,7.872524862695263,8.348201729511345,2.4845359372104903,2.7914482503247235,3.683355292208885,4.029626391923492,4.896843385591246,5.024254410462671,6.119105864374088,7.007433781156645,6.269154883428193,6.193502615031758,6.4534623981659465,7.408897079513904,6.730654125292312,5.783809691240517,5.4021946183836285,5.673473736543652,6.079369791204817,6.608284151699866
2H,0.0,0.0,1.6127797496429583,2.035466104463059,2.3154461918076743,3.344098582332245,3.4291298508309986,3.733321740497341,4.572789314685546,5.081859310579944,4.701731924894619,5.60552835906112,5.668076069388629,6.385639485741899,6.986512498300693,6.815793521103274,7.663925718275858,7.154784303988004,8.45153020581213,8.95088408574591,2.729326017867202,2.959499475893506,3.8102978451906124,4.247049621625819,4.943287970860109,4.877486714729905,6.145200285486482,7.032882759187388,6.472481428964008,6.526265234814822,6.275630380936364,7.259729533117549,6.420777868125619,5.567941781415314,5.651358287322614,6.111509987137304,6.228020934285429,6.862843397354055
3H,0.0,0.0,0.0,2.0162334023612902,2.905547696977076,2.7644668665458587,2.9305266686500464,2.6815871467539973,4.2097344432736525,5.090422562981512,4.945040188694729,5.034817841107158,4.847726237120936,6.424595087735486,7.1999681656484595,6.383385514580003,7.122547327324025,6.984016343451346,8.339151409414038,8.720848996694988,2.5430360872119766,2.400581244818917,3.889951533762401,4.40430863075136,4.906026942712925,4.970698405757037,6.2790663838772165,7.057686472671548,6.517378952086078,6.3301137820403985,6.778779291600448,7.779820859081714,6.985476428345316,6.244158393821141,5.1689796061768645,5.451927340669309,5.681738902450319,6.124258967238523
4C,0.0,0.0,0.0,0.0,1.0970162112278639,1.5551430585145247,2.1269571438465955,2.1701108461893264,2.591175308157363,3.2951285946526765,3.2358377950271726,3.5803855974507766,3.7386535511979537,4.568545214344369,5.322829708336554,4.7818896998476275,5.636744535424573,5.190006330681172,6.511542634296494,6.961807028044519,1.5426828476119543,2.4230356512845983,2.4828860207865016,2.6451893263891173,3.836708316599699,4.215693598605926,4.9041455053444105,5.843145313364503,4.8863419017360465,4.810867963967553,5.330948514398857,6.220429254799039,5.778220396611566,4.6843524379684265,4.401266730594026,4.561555041061109,5.314465517079771,5.86081785878952
5H,0.0,0.0,0.0,0.0,0.0,2.1640300264313037,2.5348014710217512,3.0583453680063344,2.729463203173346,2.9501920921168625,2.682363881707457,3.8651548316131463,4.280508011149869,4.153760989919915,4.741930626293217,4.852801663232343,5.7953750302820275,4.974094512349018,6.219351790923798,6.779726824783109,2.166685813292179,3.231777927854258,2.6108871074855053,2.4948883716020958,4.0479489172726,4.4327147623612015,4.845264129576672,5.881020290098877,4.7589930207508235,4.8756913506056945,4.996050542605814,5.805681766719869,5.503452882864983,4.18086458521581,4.900045120515011,5.097334676737892,5.896829287726176,6.531034278083128
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.096141322440892,1.0976823254954649,1.51481056041516,2.5357599065599508,2.73038624675948,2.5491331982874796,2.761732162265522,3.8262812768037966,4.700508607039739,3.836088637227761,4.705743620556646,4.339103906327445,5.705064676435575,6.1225031636197125,2.5506617871429973,3.3147116390118945,3.273366064468362,3.1442228975169804,4.536511625852719,5.170994899653329,5.468306132346354,6.354506789487028,5.090075214596854,4.78769102048976,6.146594260931074,6.912248025680762,6.766077314351968,5.582149484282509,4.718944708768709,4.46673307773885,5.756569772051773,6.092401987171825
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611541079738728,2.1559084654592486,2.749486303057944,2.603762160762261,3.3376887265970487,3.6446391410237053,4.097207674466308,4.825071000724978,4.516758905314634,5.4408468541538015,4.823850769594773,6.156515605294729,6.667345353335873,3.4461664183303364,4.139018359808576,4.251398434533521,4.083148868782857,5.572859271092984,6.147086923083807,6.488465348246374,7.409176466282335,6.080079470953255,5.8179381450809,7.055332580080246,7.804384677848391,7.66855904081941,6.393098479628657,5.80275046870773,5.547871697296528,6.80382768850192,7.129872301679018
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156931508430037,3.4223681817344347,3.76311196764706,2.660943136318996,2.4380962829309762,4.587618531923276,5.5460690348160515,4.048543982779663,4.731733464395071,4.839631165731901,6.192205535083152,6.466199216346874,2.7006704321026445,3.093097256345799,3.572302492319105,3.6453667450126095,4.606535318681247,5.218939527584437,5.689305782672217,6.44376522957663,5.3845532618783,4.916252441363386,6.570260287685428,7.37613654411766,7.127901771217389,6.153504778815888,4.4507754941854865,4.110999918849473,5.357848643730071,5.551178273563701
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4061623575487696,2.1592267546148247,1.4003724653912328,2.1566637260184893,2.443916167717117,3.4320002761097728,2.4384951456588455,3.4205315269663754,2.824410742531422,4.190764828146668,4.623639576748328,3.218459528500167,4.188046512984254,3.3268540535473963,2.7819032246677624,4.4924604570775255,5.35441385790432,5.023142249799169,5.912463220005834,4.28334134418865,3.9648789714217987,5.740278433132957,6.312182409089784,6.552557310147948,5.222172474088609,4.678854832537762,4.191372062909544,5.910930769770626,6.214310097462983
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885873826579526,2.401322676355881,3.392484356500862,1.3916009796326678,2.165398887186038,2.7796033742790156,3.8688992415178634,2.4136583086186087,3.6420012225355407,4.327364189424232,4.130869233284378,5.246780598796442,4.026560764926822,3.247630507901289,5.257078389748048,6.104327879392466,5.4980741102260415,6.47051994496423,4.619906838596691,4.528772793432303,5.922039537486027,6.3412017810018355,6.816711325300694,5.249645298267177,5.712485645068164,5.288170650945892,6.996872102872096,7.38341769034757
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3909501492716663,4.2982850989412995,2.1416595509718914,2.4835061337314754,3.868084058327265,4.957358327610372,3.3946778707768184,4.505639508692789,5.277820700426218,4.360392004731356,5.483399816891478,4.417374518602866,3.7204095289957095,5.770427189552514,6.49119381079409,6.091285804516015,7.126520453202266,5.361046753997806,5.3868495455043215,6.3130956287591555,6.775081399032276,7.136300058903426,5.497865314141524,6.388188901234318,6.107959137106923,7.622933854909134,8.082806632550232
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0861627697075222,2.7888455988669882,3.874538768770698,1.3970429791692718,2.157670874395347,2.420996054995875,3.691155101293294,3.8419538426272233,3.679338717317441,4.479340555214331,3.5296421065289416,3.007360945959407,4.3129256911852085,5.309343093834424,4.691219503147019,5.3986841365877964,3.7856360564521947,3.2067837837406663,5.692349401616033,6.169853474488757,6.549481049969919,5.423058546443386,4.135662767073796,3.347156085189726,5.386209185328031,5.52786621111349
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87485212995429,4.960485350375099,2.144476246788489,2.4652696956910556,3.3977593576267915,4.56883889923091,4.547208730257632,3.555624915797326,4.081640694206046,3.559859259491568,3.321350500588826,4.117507509550311,5.069580949828268,4.706934757027907,5.267950231392006,3.9983482521726605,3.248002313608395,5.898797180566429,6.46064586181376,6.649817729783092,5.769327935231974,3.5887113629771585,2.684543510983861,4.717747713573616,4.724482483892316
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857856344572592,2.4185851855821223,3.4078171092342604,1.4001778062461832,2.365634560100207,3.1756186047135,5.170647003668727,6.303265456626195,4.761030884792125,3.8311017111766104,5.784835181964661,6.724877367786259,5.667073317609174,6.566510655931747,4.5349450152316875,4.484456631632274,6.060565294978496,6.245643087872382,7.068068359205792,5.479648935585599,6.210483520130133,5.664082728650242,7.5463858576281995,7.892206337736593
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3965455111926515,4.296794803785542,2.147440412765627,2.5700515915160067,3.5178815315297745,6.016014760851547,7.191645979710463,5.562293584578321,4.5987122133686515,6.598259010199925,7.4948543921516535,6.349097543062751,7.266741019471523,5.217080170799517,5.305160058928559,6.53487978226766,6.6062999291481646,7.551307607120661,5.87981514884123,7.15429008015824,6.665731910937477,8.490851257568613,8.881906658708557
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08933517119711,1.398174027384452,2.429570813178793,2.4556527648867075,4.817254285713653,5.678573524630983,4.3471920995966675,3.628429448024924,4.9373557505735315,6.009194400477896,4.882209999719664,5.505085962165801,3.672691119617981,3.129679639877754,5.835025942721941,6.069843474078134,6.809906261683421,5.647651526956387,4.78964453360273,3.8986766528336814,6.073002810225671,6.178663877934791
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1606100931962575,2.695188727113806,2.302053726688677,5.461256670040231,6.188283719199964,4.918150394545106,4.293702095720709,5.229692352740014,6.3176941528506685,5.060463836510692,5.482568358722924,3.831781607440456,3.1384591953811727,6.160348401014965,6.31229723498309,7.116750096428973,6.155762979729013,4.834311008353768,3.796514275469261,6.031133156528057,5.998737266995625
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3673190856662332,1.9161541823277817,5.463273970877504,6.491000080521895,4.902153392213136,4.000189312122224,5.6422959581170105,6.682849333466981,5.375842679481987,6.107437729781334,4.075233196926585,3.8359768623048525,6.017866995042738,6.107771142132214,7.065009873715893,5.675366011817888,5.805685280137418,5.0662838027714185,7.133734664393636,7.354159141078467
19O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701578779094276,6.716177617261533,7.743674096986673,6.012209333178531,5.077712553425661,6.592546289755529,7.641363571653869,6.053762481058925,6.673063011526884,4.658608248673464,4.499251724304966,6.60533929746244,6.473324074663208,7.6912809042581385,6.349363972525921,6.750834783115587,5.980288136692407,8.054669972402982,8.242417463355574
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.998509441917887,7.937330589369986,6.250883483400263,5.382422376827601,6.648505215968563,7.722683952756481,6.0541884791044,6.531089455649534,4.6381146971949185,4.354968399778298,6.755181991811572,6.584031189867582,7.826783877157214,6.651720516351928,6.627458566821146,5.763249662957336,7.8784612031125985,7.973694761297315
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2295181586097035,1.366879243587368,2.0653269403951984,2.441732667193098,2.7571212899781523,3.7422834288310005,4.56085019475906,4.030827595657853,3.9316301109188663,4.354281767050628,5.335098524758846,4.681355946420627,3.9604230768921647,2.9985578174016965,3.421256476166796,3.8231189518494513,4.451259132577516
22O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2664452427527393,3.1489898480091556,2.746366806912332,2.7428459467481603,4.265555538764199,4.868719677441655,4.787268169712352,4.5866859141382,4.983162649990194,6.020062265862055,5.099627488304444,4.766445675258313,2.924580732271078,3.516762211513968,3.3372111354948673,3.910674371796091
23N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0152525068515204,1.4513599311173517,2.094076949266074,2.445570025405004,3.3713206328892515,2.7433378811994484,2.825930981138213,3.073383681472185,4.007288576933681,3.5571518949251555,2.764389451576267,2.469390996878839,2.9516036143988016,3.5168511030287903,4.243513303201787
24H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1013183404157725,2.9187682794579635,2.4947189059683677,3.530093286341789,2.287612036245945,2.458666518153238,3.0304378550787003,3.7737535081690297,3.7755849069736946,2.582009930891475,3.0361215733015223,3.207401920400121,4.244511796903436,4.893174124283562
25C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0933905808371331,1.5566072763406895,2.1592088693439266,2.437928695009778,2.5049966434906286,2.5651221485760094,3.504637711453577,2.8483182130259586,2.8023151347409954,1.5278850758717555,2.4278589083222726,2.393555291359866,3.2255265558142185
26H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1930545171637266,2.5639725970243443,3.3751879544618975,3.550447163512485,2.7466586286690107,3.776377319724681,2.594782616061908,3.0176791082888794,2.1400801918167516,3.2699421165199896,2.4134361283646313,3.376313322290529
27C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1026384979881987,1.4213408835606256,1.9545840935219096,1.52470979059968,2.1520511704591976,2.1675751376978494,2.173075609590649,2.4857459436290927,3.035885298027588,3.3349611723172554,4.056781872905985
28H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082075970422929,2.3839035802543904,2.1505009248021003,2.502526901164252,2.459783448055263,3.0706457240567855,2.578641708315755,3.153565373044073,3.0860858257475945,3.71213350595188
29O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9761710928356288,2.378905076194219,2.58595866602561,3.336435424141245,2.6819687351520227,2.995360591797126,2.9753380934854072,4.135795963252239,4.655338381502109
30H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.226547605974056,3.5147006726025207,4.081787946774604,3.5308475744939467,2.548251931302868,2.1932418794746567,3.7580092634964672,4.110604222187321
31C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943907262003767,1.0952873253805444,1.0945833071145221,3.856970619578155,4.515237017935942,4.555141222914439,5.3846196692053585
32H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779539480506565,1.7745545176301223,4.6300637635331965,5.1353415983874,5.341794851417209,6.094306965705561
