 , ,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,N1,H2,H2,H3,H3,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,H5,H5,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,H7,H7,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,O8,H9,H9,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,C10,H11,H11,H12,H12,H13,H13,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,C14,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,O15,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,N16,H17,H17,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,C18,H19,H19,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,C20,H21,H21,H22,H22,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C23,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,C24,H25,H25,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,C26,H27,H27,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,C28,H29,H29,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,C30,H31,H31,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,O33,H34,H34,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,C35,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O36,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,O37,H38,H38
1N1S,N1,0.0,0.02356457035761994,0.0011700239882459496,0.00034040217908137826,0.0005880569222145304,5.9501337642986485e-05,0.0018127242914725006,0.000949086404923527,0.0015033986264454402,2.0406674881387477e-05,2.2944758978044044e-05,5.4539359881145e-05,4.9360806258086365e-06,8.218134168830327e-05,0.007920444771997825,0.0013918160284268621,0.007770496926063464,0.0013325148069066595,0.0011545172687584815,0.002086992475430538,0.00029795345241168114,0.003878417235496867,0.005285784630107537,0.0005944124101626702,9.440844292996076e-07,0.00031346787038954993,0.0005410924472364353,0.0002461849766813573,4.002840010564057e-06,1.1372392524910957e-07,1.6363702298349825e-05,0.0006883043001513212,0.00018271855358031885,2.1286969276168577e-05,4.428845896078948e-05,0.00022529332266674196,1.4040831337380766e-05,0.00018269722246833098,9.97507831890232e-09,4.2387317300551786e-07,0.00011325170015363817,0.00028454141838252234,0.0001695392654805783,9.192119914291919e-06,2.3856487303408613e-05,1.7809250999062387e-05,1.4801109270795587e-05,5.592256513076155e-05,7.690942239890752e-05,7.205435482937617e-05,4.89621771053439e-06,2.5490554519613795e-05,3.1342130802913815e-05,0.00013485684449077162,2.4321265678972637e-05,1.38281904762394e-05,9.555434565378107e-06,8.179579402467496e-06,6.454414142709197e-06,4.007781368164931e-07,1.5621339019278313e-06,8.45091839840606e-08,1.7131766278100091e-06,3.5127202815399272e-06,2.9112293191690952e-06,5.320689902332809e-06,2.386378204877193e-06,9.40663329074276e-06,5.713162457787746e-06,5.70315256416265e-05,1.0904274515777246e-05,3.0570127198537023e-06,3.974992232480545e-06,6.75800421623407e-07,2.111724391129499e-06,8.444877748342572e-07,1.3755782285462814e-07,2.844596247442155e-08,1.2095308913606662e-06,9.458924332961249e-07,2.1706691025080715e-05,1.23925495101318e-05,1.5827984958249885e-06,1.315469853047091e-07,3.4547816369912e-06,6.830008625335893e-08,7.893431450967103e-07,4.3513125373984e-06,3.581766570004419e-07,5.979885755236225e-06,7.570749186447401e-06,3.731198217549192e-05,2.814745698753729e-05,6.151647141905414e-05,0.00011572356463740441,8.614138947149463e-06,4.083685337108456e-06,7.2521394097746494e-06,1.4078630313496543e-06,5.4641913937170106e-06,1.5810289454992743e-06,5.094507904868095e-06,4.888151494686355e-05,8.951576027094177e-06,4.019190569559683e-05,6.000700603081555e-09,1.7789056294681416e-07,2.9141948785227356e-06,5.435367569139871e-06,1.4219965685513536e-07,2.523047049063365e-10,6.01018262935682e-11,1.5185170260112457e-08,7.767101292271983e-07,2.620318869245297e-07,3.527015320248239e-06,5.404070043457665e-06,5.9867380950429094e-06,1.4365255385229148e-07,2.354718408259515e-06,6.416552218446725e-07,1.3659496820306316e-06,2.4949418997444184e-07,9.155437963315194e-08,7.132855711633468e-08,5.169726341458514e-09,6.224419979439233e-09,4.3859000209423016e-08,9.943295515846273e-07,8.081277258487063e-07,3.1974328740247415e-10,1.6113504353043595e-07,5.0655654337816713e-08,6.368233684828084e-07,2.1560656993102612e-07,6.372542729060626e-07,5.972473473558892e-07,1.2351027349755128e-06,1.0967794059624225e-06,2.5647362039693533e-08,3.88652998672967e-12,1.2236526616971055e-07,6.53630789770876e-08,5.816574999428781e-11,9.623740471198516e-09,1.2893540533021053e-06,5.676720926661716e-09,7.9272981512446e-09,2.2711810210296335e-10,5.506628486529053e-10,2.934064102788625e-10,3.5832992573148204e-08,2.4294009248748694e-08,1.0778948844603065e-09,4.1342448797720976e-08,7.537564739035219e-10,4.5038735241309524e-09,5.95624102817105e-09,6.195355450877571e-09,2.653014280484811e-09,5.1460795624791444e-09,2.616491578955049e-08,1.182890230211342e-09,1.609551125714148e-08,1.3744897719991656e-09,6.622357107133325e-09,3.2671354510682704e-09,4.0188272709684725e-09,7.793627521124336e-09,3.950324511947656e-10,1.40607578913432e-08,7.90607579403968e-11,1.3080647676133594e-12,2.462197112862441e-13,5.645736655957023e-11,8.849539434585552e-10,1.1772241514940163e-10,1.3887129779455165e-09,4.1480929802162336e-11,7.525291501053744e-11,3.0262170547246114e-10,9.773830633719172e-10,4.380006579651763e-09,9.40532318693954e-10,1.5615730930562677e-10,5.649414269726094e-11,2.584896297008754e-09,3.454234120958688e-11,2.0318413618269915e-10,4.369463124653805e-12,7.251338418612363e-12,4.942191933476892e-10,2.2028401325258073e-10,2.953215449963409e-10,1.1497527929726914e-09,3.5209783977308007e-09,2.525349040993774e-09,6.610267888618182e-13,5.225217591942055e-09,1.2571388374738035e-09,1.2057739251503108e-09,2.144795452352355e-11,3.2721328979690156e-08,3.328032294191985e-11,1.1989631509834453e-11,2.9225039055447155e-10,2.31553359819614e-10,1.0558785790149017e-10,3.869318199178906e-09,3.756381428132727e-09,8.090750291955828e-14,2.0492718633136064e-11,2.241584695639176e-11,9.447775894955157e-12,4.619935545235876e-10,9.36228872205902e-12,3.6029512706647893e-10,1.9351986679794209e-10,2.863522752249992e-10,7.321920847402907e-14,5.5943139010139475e-11,1.351856404596674e-10,1.3177720026291695e-10,1.230987534128758e-12,7.259481904497989e-11,8.444600574364358e-11,1.089392465125627e-10,7.138230007086577e-10,3.217981436876016e-11,6.673173125193443e-11,6.565200383334968e-09,7.353324615877455e-10,4.199671721494269e-10,3.1530933419787743e-10,7.158273973573159e-11,2.7970126215137725e-12,2.7544633240950134e-13,3.6720455842687016e-10,2.3448659680624928e-11,2.255928777117333e-11,5.139377812213297e-11,4.6426418265355096e-11,2.68260413882615e-12,3.380073998471289e-11,2.51050735755598e-10,4.104494522039204e-12,2.2320463255454115e-09,5.477862607961015e-11,1.0432987807007521e-11,3.4872105203476167e-13,1.6787700118925386e-09,2.983446822923952e-12,6.639133687258436e-14,8.481873536858586e-11,2.49877896152384e-12,1.7507001404126754e-10,5.838662886503698e-13,1.3553602684623911e-12,8.273248752743712e-11,4.00892652407947e-11,1.3530998543842543e-09,6.0311755589737e-12,4.846212320330778e-11,1.1175504965876826e-12,5.75951730752422e-10,6.8814398623828765e-12,1.258043669238873e-11,1.751640499314533e-11,9.642162068779214e-12,1.3031617451808586e-11,1.2656542480726785e-14,1.000310945187266e-13,5.564239594080256e-08,6.382786144065733e-08,3.7979705824753296e-08,7.401588542066406e-08,6.151434273071743e-08,1.2354915279733092e-07,2.2941778032858906e-08,7.256564726887405e-08,7.741357332946563e-09,3.117998192969651e-09,2.9155290404148104e-09,2.121312220326743e-08,1.4295521988394455e-09,6.411081221457948e-09,2.226380316217025e-09,8.008460117281402e-09,2.856684822027944e-08,1.2734403087577562e-08,1.6676577896390654e-09,3.4507685597873206e-10,6.61474608421031e-09,2.6359181504176377e-10,7.27484872342643e-09,2.310008420658427e-09,1.3427897682660728e-11,8.109031501835062e-10,1.5206882975071778e-10,3.38588684867247e-10,1.6460851987032399e-09,6.304797794953743e-09,3.417342853140326e-08,1.7649724348700602e-08,1.5907719586039093e-09,1.0584447318606749e-08,9.952696444770481e-10,4.2152259460692676e-10,5.266531655223616e-10,7.140585900344831e-10,2.232519780154263e-09,6.939622765322895e-10,1.2441632724069507e-09,5.6867982545227846e-11,5.530197633163425e-09,1.3765550699318396e-08
2N1S,N1,0.0,0.0,0.02546549674950782,0.005416767642738574,0.009864781666090394,0.2642129472707633,0.0379615103335591,0.012107197266396863,0.021997181162932034,0.0015586293293956555,0.0008680868841257627,0.001898475062264815,0.00014211492465676656,0.0012947237578839754,0.10614170653007182,0.15949927677478426,0.1026748091453844,0.1576921345822191,0.003463486413147976,0.005251600524255551,0.004228674078366357,0.0362709101870351,0.05450361107023127,0.040985936739080575,0.004172795691772091,0.10170159903185372,0.14210191809535955,0.01462846057081757,4.085124262620532e-05,2.7806375129113547e-06,0.0011952170812223883,0.03842764117500974,0.005916831091708374,0.00018357648121414272,0.00025985342086776164,0.0032234473508778727,0.0003241361321029146,0.005690965723058383,0.000237206596986006,0.00012312721564367024,0.0018682406933594464,0.0025620019183945075,0.0008337539549385653,0.00023511418400645745,0.00013227673231441806,0.00031398062721144093,5.422173110503081e-08,0.0010181906709136879,0.0013923825656578792,0.0003148532453605135,6.3985111626863045e-06,0.00020805821334723973,0.0008750075646655198,0.0036839264504333613,0.0004054295022761778,9.916143326460514e-05,0.0006552313176046987,0.0013375474761185835,8.985564530750167e-05,4.0927395492662555e-06,1.0005676445601352e-05,1.3271337426790097e-06,3.9983969926327134e-05,7.459833951117822e-05,7.356047605533433e-05,3.9642941564554945e-05,1.6078673271024968e-05,3.610334605408383e-05,0.0001743233787734333,0.0009543245609111572,0.0002732494890507198,0.00011412633799423588,0.00020990877184301482,0.00043094820129541134,6.386453001550052e-05,5.168684315171035e-05,1.5082572046853926e-06,5.032041896946282e-06,7.489557645312672e-05,9.046823670644244e-06,0.00048007956807927243,5.189731164945144e-05,4.583596287810465e-05,3.0318821417907316e-06,0.00012546444721772687,8.341868126038321e-06,2.8762116529801318e-05,3.000809654052361e-05,4.887981058576685e-06,0.000298423463471309,0.000516402239842062,0.00020484956269939403,0.0011337498110033373,1.636845812402754e-05,0.00011534269859003743,8.273749041443068e-08,4.528324940578088e-06,3.758237673667786e-05,1.6579303694586045e-05,7.018697280658515e-05,1.6031408978323114e-05,2.338267894996804e-05,0.0011994869252065499,0.0006014745436377922,0.0016260876397691248,7.358491828668434e-05,0.000825257555484793,0.0010106160351304183,0.002097944792050388,1.8060416046683514e-05,2.1079337671148224e-05,9.456030553822714e-05,2.3337712717896864e-06,3.339486256415114e-07,4.244265269015557e-06,5.991149837569765e-06,0.00024043109829774423,0.00018077048399467444,5.169113909353484e-06,5.468656927520854e-05,0.0002977095818694764,0.00020653665605063765,2.9530354026974237e-05,1.3817406853355862e-05,4.179983403851395e-08,3.5691121567094086e-06,8.575289425216681e-07,8.595701929681177e-05,3.0166696480815602e-05,0.00010379136302240966,3.3722603176578048e-06,6.101263247515476e-06,6.748510065435198e-06,6.336262770645362e-05,2.528664651846313e-05,3.0201623606451733e-06,3.7427189178984577e-06,1.8115661593043342e-07,1.3222906689591696e-06,4.459767424691563e-06,1.7270396577284686e-06,2.535936627423574e-05,4.217611120793663e-06,4.6885215967407134e-06,9.533517952853288e-07,2.5013412254804024e-05,2.7773377597739568e-08,2.8327138412720387e-08,2.1511520165162779e-07,5.694620317520105e-07,2.7816735133079362e-06,6.379192769578879e-07,1.6647595439955865e-06,6.546552810959838e-08,2.618983677482589e-06,5.725217038232699e-07,3.8465490237449274e-07,4.2630598540149833e-07,8.641861781732985e-07,3.8904457344557386e-07,2.518129091910737e-07,2.6154944876566333e-10,1.2358503687082134e-07,9.419899331675197e-07,1.651598391383402e-08,6.76255911713497e-07,2.92357216213901e-07,3.7394623042530384e-07,8.948131005048765e-07,3.0334881273574865e-09,3.054590136386537e-08,5.1790181476718544e-08,4.407112896842591e-09,7.37702283704067e-08,1.0197085398289119e-09,2.6740756275955846e-09,3.684864635644658e-08,3.277409958979405e-07,2.347642080735568e-10,1.0583011800235909e-08,2.3772055435244965e-09,8.668087758678666e-08,6.282505746746381e-07,1.6317933670961793e-09,1.868156784823327e-08,1.0170450259749941e-08,5.106015787958995e-07,4.138222875482711e-09,3.5078030036217456e-08,5.645974798795805e-10,7.266480750445226e-10,1.1539988342690322e-07,1.3815615318435448e-12,3.421107841461435e-09,4.224650185236101e-09,3.1232256780810985e-09,1.3492497785705382e-08,9.955107405090757e-09,3.042899043848024e-08,9.664987699053995e-08,4.7706469441521904e-08,1.1702850244432739e-08,7.025861323839422e-07,6.028898935639404e-09,7.482964026195305e-09,7.234778331977054e-08,2.4068422810330503e-08,1.8303495830096495e-08,2.719070657519751e-08,2.5956969906815175e-09,1.682074479703033e-10,5.7140754350371026e-09,8.500354642393404e-09,8.16064460451571e-09,2.6144031384234268e-08,4.3793857429363925e-11,7.487622077917422e-09,7.341607322075561e-10,1.2825990935994014e-08,3.220099742407001e-10,9.029731184995171e-09,5.040890815877219e-08,2.8420846343024664e-08,8.174738663768721e-10,7.0892478554185345e-09,5.071116859767244e-09,3.894884414989974e-12,1.0191872679143898e-08,7.263320167538723e-09,1.0308687237170489e-10,2.2552034195655324e-07,1.3146899568994286e-08,7.85865772456873e-09,2.474773008742659e-08,1.8445200922201366e-10,3.961551975351085e-09,1.1273311173454204e-09,2.332996240639318e-09,2.01097960506047e-09,1.3281452826419127e-08,4.642422002376634e-09,2.05746530923534e-12,2.3276935934291032e-11,1.9657235839076748e-09,2.6489919591199396e-08,4.271861975269076e-09,3.231309295692597e-07,1.574784747049307e-09,4.181842427897209e-09,2.446724156612845e-09,2.1002518035828643e-07,1.4206058551735623e-09,7.190656958755426e-10,8.014731101013695e-09,1.3810241838996262e-10,1.6755704601578714e-08,7.736922214007791e-12,1.4579359941535586e-10,5.861958918274013e-09,3.975431539515739e-09,1.003702543300733e-07,1.9306334309021622e-11,2.9484397146006813e-09,9.479839135906332e-10,3.9687126918153126e-08,1.4184946550699351e-09,1.6538990177394908e-09,1.297110463482909e-08,1.8400752033187473e-09,4.0745542495557174e-09,1.0120793092482927e-10,3.233768808286186e-10,4.830102298125638e-07,5.8767147352867255e-06,4.1458854984632865e-06,9.163683821533652e-06,3.044762016735092e-06,3.7736423097456395e-06,3.9347529678934734e-08,1.28571847080039e-06,7.79840826581335e-07,2.8381064898219677e-07,1.588164735277786e-07,2.7765949217606334e-06,1.5171710332495536e-07,7.248924072111862e-07,9.501025965974463e-09,1.2724912368256014e-07,1.1958389150024118e-06,4.163757338915275e-08,2.9424386882581643e-07,4.335480863204566e-09,1.0309102700389872e-06,1.684218631226031e-08,6.584007028465066e-08,3.226676195122735e-07,3.37007961537239e-08,8.435356857461329e-09,1.512091918343117e-08,3.274248512319389e-07,4.214448479089583e-08,7.732201643406711e-07,2.639436849971588e-06,9.209543567756384e-07,8.877592883038687e-09,3.876308474204393e-08,2.3939026938535335e-07,1.2539104909947696e-07,5.0064200340926845e-08,3.709025375719932e-08,4.424273623016006e-07,9.865193817404361e-08,2.1589353127460242e-07,4.120925822803656e-12,5.638980877797906e-07,6.413415287731539e-07
3N1P+1,N1,0.0,0.0,0.0,0.008225956724762895,0.018821457237901296,0.024145207823897064,0.15934587608659712,0.013240030545207393,0.02501453904034623,0.008337078631417638,0.0001518329322205414,0.00020656021709219985,0.00021650378985538232,0.011571060700234614,0.1322622409393852,0.05188118723539947,0.18116072187578958,0.07960428883089765,0.00025689751156399154,0.0017152330230207902,0.0015345222945288839,0.006834913602255188,0.008764683190286782,0.002726159649571791,0.02917062315612684,0.00948366847836457,0.013677046753373556,0.004168546328795264,0.028378608974532593,0.033122985059016896,0.0005240599077591668,0.010774678259508619,0.004544406434311643,0.00034320459435477346,0.00019335387377816815,0.006439659927583108,9.410177598523362e-05,0.006517000787427563,5.445968715678262e-05,0.0006657569167272115,0.002274299041225003,0.0024349162666541524,0.0035666164327725625,0.0005357221933794953,0.0004433697455057395,0.00036557384044066943,0.00011293359328301555,0.0015112711273010948,0.0023827335420909534,0.002083734363090173,1.234058260712878e-05,0.00064459460462718,0.00015211785098268038,0.0020483712388377207,0.0006240361334239886,8.011166435029082e-05,1.791810599627297e-05,2.770292497267235e-05,0.0001399895390870043,0.00013717527898382542,0.00012008124098761286,2.6603782028455925e-06,0.0001889462011748222,0.00030735152413474687,0.00013426718672704396,0.0005992384880126878,6.3334711928320075e-06,4.248587858324271e-05,2.2092044740240624e-06,4.147201861437466e-05,1.9520992378119217e-08,3.225279432506056e-05,3.0467141650447616e-05,2.5075154962195256e-05,3.362667803896713e-05,1.0495673443688958e-06,1.670536394771105e-06,1.2753073603821719e-05,0.00023345159769849744,8.183445911047471e-05,0.00015553756034281108,2.0355822484052766e-05,6.052210537177416e-06,5.686980927510632e-06,8.886805905206074e-05,0.00016293353764496032,0.00024818106518575966,0.009060356228155264,0.008930064887367806,0.001325696844904467,0.004914382064843181,0.0014795579331883246,0.0021577635355094493,0.002871788576807699,0.0018695191063673455,1.236885845745661e-05,0.0004001712025196724,0.0007026617413379288,6.099831038297587e-05,0.0006495872300311678,0.0001036988076243972,0.0018745672628655008,0.0008342355727606332,0.0021764051360970704,0.004282143865301791,0.000843240818846791,9.770228490069144e-05,1.6753984488193652e-05,9.500065250422907e-05,0.0008359540916600405,0.000148197821541185,5.55464116107629e-05,4.221401609338926e-05,0.0009721642715132539,2.357717615586452e-06,0.00023928361694691702,2.015182902637136e-05,0.00011971614637085182,0.00028744714103456914,1.1236002599446238e-06,0.00022040316827842688,5.981788693443235e-05,0.00017069624633681002,0.00012439653757745361,0.0007452410025270417,0.0006841594017628072,9.192716719508276e-05,0.00026269769635778317,0.00019348111685735248,5.2540393851163714e-05,7.1015046112510305e-06,0.0002606813998822233,0.00010875081487826677,0.00016519472611475905,9.607997872773666e-05,2.0555051553294845e-05,2.2175213918451675e-05,8.379068959118996e-06,3.091034804958426e-05,6.956967405380432e-05,2.243356392250817e-05,1.388718526085242e-05,6.5855427493488605e-06,7.05243264729205e-05,5.928556134726648e-05,3.459578939990493e-05,6.26248610968716e-07,3.113430091516989e-05,8.100457526971638e-07,6.556775207222643e-07,7.348761520908909e-05,1.184916250007717e-06,4.098062679425141e-06,7.0870377095744175e-06,5.5085948558186715e-06,7.663497547660825e-08,4.8180150979959535e-09,1.7814288310713522e-05,4.262603460203351e-06,2.3719215323847465e-05,1.3325620144666317e-05,1.6348227524609626e-05,8.116049365902711e-06,2.626048384080093e-06,2.2430274748685974e-08,7.530991164017564e-08,2.325478702935868e-07,3.5634339923262814e-09,3.195021709423429e-07,1.9486149449576828e-07,2.5358324329260995e-08,1.5462965485824043e-07,3.1598097471885467e-09,4.908836943595674e-07,6.832561849634544e-09,5.651609801482493e-06,9.478418183661574e-08,5.714625006536522e-07,4.743967441100949e-10,5.15548048696246e-10,1.8649021704675306e-07,1.8303414339726487e-08,3.225564983555529e-06,3.488939759321852e-08,2.2882402639368138e-09,2.3619071143343717e-09,3.490132485239883e-07,4.195324088129837e-10,8.63908207193731e-08,4.4995654313595423e-08,4.3128957738503004e-08,1.498839030666943e-08,1.6045591078039934e-08,3.274168314248982e-08,1.8485089015030098e-09,2.894529678165725e-07,1.1147949816603386e-06,2.0071366879648167e-07,7.84762153749341e-06,1.3901394702031666e-08,1.5168225342421238e-07,5.0663793160765636e-09,6.700375765333888e-07,5.418436810344929e-10,4.5208281562736374e-13,4.9431394311127974e-08,2.2549214495626302e-08,1.5809871856120594e-08,4.645532949432152e-07,1.6394515967022016e-06,6.034208688276976e-10,1.637898749962119e-08,2.162302292774143e-08,1.40152356387091e-08,3.578129748049719e-08,6.968605248403037e-09,6.302292021587164e-11,1.199040866595169e-14,1.2171506025282497e-08,5.8282183079683136e-08,3.126886016779906e-08,3.6818212922895555e-07,5.936862512712082e-08,3.960844074946124e-08,1.5768950589745145e-09,1.7945152031018097e-09,4.0713232785094533e-10,4.6161992894866444e-08,2.590412329084302e-10,2.221794304091418e-09,1.4246622326297143e-07,3.134026416162783e-08,2.5179759166604754e-08,5.990763440877345e-13,1.0744590994704595e-08,1.0904723635185576e-07,1.1090601770291642e-08,1.951663683996685e-07,5.264050084718974e-09,5.742548914167145e-07,8.026998177257383e-09,1.5176473855404993e-08,2.651356911798075e-10,1.0613892875710462e-08,9.728378502771307e-08,9.260129552046692e-08,1.9574366012520272e-06,1.0261338445616275e-09,4.395245722932373e-08,1.0610111011999379e-08,9.443195589931008e-07,3.299056583472293e-09,5.687550430621968e-10,2.160064815903695e-08,3.3337022031787455e-10,2.421258749052413e-10,9.586553773033302e-12,2.398987675178432e-10,2.7619169618020578e-08,1.530659865522921e-08,4.4585037617395074e-07,1.7704904209381311e-10,9.917175081142204e-09,2.4056299174901596e-09,1.1174354730414393e-07,5.967163430042888e-09,7.396959267325087e-09,9.082814922400928e-08,1.678736438748274e-08,3.527836778260962e-08,4.058078317825675e-10,1.7710544142346407e-09,2.4840910928247695e-07,2.1534353700225495e-06,1.4947588842240123e-06,2.6652202667065694e-08,1.1965596881324814e-05,1.0218308594822645e-06,1.2929657344784573e-11,2.178584208145651e-06,1.949654357513708e-06,2.03873534032617e-06,5.314167333736464e-06,1.458010675525756e-06,1.3702411028049255e-05,1.6457678002623766e-06,4.631555139411603e-10,1.432282470403834e-08,7.044929875021921e-07,5.682633221759659e-07,2.9186849026530126e-07,1.5536331332555164e-08,3.078194086292285e-07,1.2042828703151542e-06,3.26323954968899e-07,1.0412280637694948e-07,1.2123910542172212e-08,5.316127709154017e-07,1.8794892087115045e-08,5.251540091677498e-09,1.4541322568284443e-07,3.6695546246079402e-06,5.7744106150003915e-06,6.306672073463915e-08,1.8190128914241654e-07,3.670816397516319e-07,1.1188668302963833e-07,4.895220566680791e-07,1.514941505575962e-08,5.481715161792522e-07,3.666557874204557e-06,5.068495705362608e-07,4.903952457446792e-07,4.454535360576273e-07,1.9254539775914736e-06,3.842679688226269e-06
