,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33O,34H,35C,36O,37O,38H
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1354215234482967,2.9708994181603283,2.8570909207072246,3.8489961231518097,3.175855817008238,2.892924830617496,3.797704644942312,4.308984651610839,2.935321547415567,2.8684384508011718,4.5439693458527195,5.44231038424128,3.8489541575940263,4.3840496517254985,4.566564668744224,5.726543881543029,5.9153688287773605,2.8000125590592897,2.854904090444224,4.055602744269348,4.625782921522487
18C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0959532350093688,1.5536882089997164,2.158321325653761,2.140825565929039,2.585178467319183,3.4176918238205776,3.461317808556087,3.448423622704264,3.5214868925852874,4.652947645788497,5.456926998696406,4.678525312862225,5.487016607842677,5.177154692410377,6.501370273066753,6.907700404836047,1.531041053469607,2.4491396426879986,2.3877679085041175,3.218952991832532
19H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16300009077468,2.457173109202809,2.414998214169668,3.4991807499709657,4.3525436451432,4.262458945844157,4.3485582946336985,4.260997048131642,5.652060542569175,6.432697300268198,5.6521336663098785,6.422474670564392,6.205845326483462,7.547025183866523,7.943640618640307,2.11464806637284,3.0618026296032963,2.648788448387366,3.5046335865807476
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.094874874643388,1.0956875211508479,1.5150968610641127,2.5453017841077847,2.744627438143003,2.53920770962272,2.738967710723843,3.831285607341202,4.708754886170349,3.829630611600249,4.69749920429688,4.3379326624717445,5.7041217724755136,6.120109585488889,2.5688247758073226,3.584544438043761,2.8923036769148665,3.798056132784528
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635192487401752,2.1546709953835452,2.7094759101601027,2.522968372232394,3.374237080850584,3.6903554499434996,4.074298375343195,4.788962650197106,4.549146759082727,5.486806770807723,4.831088692052848,6.164234813000131,6.688231928613493,2.7709618414653074,3.9203121869663025,2.5472222489264795,3.462219863182911
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1498617942726463,3.396975844301972,3.7292325355804,2.6696437149911763,2.457491830227318,4.560993552467472,5.514260516404495,4.047149084215896,4.7383644369737015,4.823486369215893,6.174515257020303,6.455788207983941,3.4755776372653933,4.465365972575633,3.850354779404613,4.793986259068718
23C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4050749580236825,2.1563268631915737,1.4008404575305387,2.1544914617530546,2.4409505480980322,3.4290320285443032,2.439506410213738,3.4226301177432035,2.8228853172102193,4.1891906880273435,4.624086574613154,3.163482768468703,3.862589614109823,3.5762661489625285,4.277943965738387
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0872031612644417,2.401270331850099,3.391307109201371,1.3914958920645129,2.1645414310729314,2.7825607801910053,3.8717232479374166,2.4147917594681023,3.6426533007051187,4.329535705549429,3.381291714901672,3.9277170868073616,3.482402934829813,3.934849032814063
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3891404973226873,4.293927980800487,2.1429738004911787,2.48545420182522,3.8697100744531827,4.958850998423435,3.3956847363046365,4.506721022537434,5.279810138885966,3.09429376111489,3.7234155560102966,2.8024432057692477,3.1515887128025653
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0878802385614212,2.785361220992097,3.8709973549252967,1.3959445293846857,2.158967564639357,2.41817482642868,3.6885918737562813,3.841487045885203,4.23678051926476,4.741551488146993,4.8786916173730015,5.5617186273532075
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87314077430839,4.958703714177721,2.147551169138636,2.4726243632266325,3.3989642086509395,4.571210243831705,4.552584468930331,4.612648810273658,5.151285146709489,5.364039136491302,6.132415471206577
28C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0857413649255194,2.4187156153411418,3.4072722992413813,1.3997550624192305,2.3653608537016244,3.176118583346786,4.535314612426081,4.826842743791306,4.7118388907932305,5.002425138768526
29H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396166047970227,4.295339452842117,2.146379308765021,2.5687165105271994,3.5169204444388837,5.092977912478901,5.2887040045909925,5.093397160459082,5.205950247948055
30C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0892105116342965,1.3983484743795909,2.4293009426575267,2.4566274967876174,5.211345404467633,5.516064162430838,5.82986673296918,6.372742731024416
31H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160030328145873,2.6935978219458585,2.301484065090759,6.12867235469367,6.369828578922176,6.839319205275935,7.395762945388875
32C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3673153193688579,1.9172767291285902,5.337302778038514,5.553626582339018,5.762549308709609,6.137355238329077
33O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701143995704788,6.55714567009385,6.6415573740279825,6.964959343480351,7.236462425889918
34H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.112734109094592,7.180803034521659,7.635443299980588,7.964306966104092
35C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2096950402429396,1.3576654840909224,1.878258033347169
36O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.250587057980199,2.276035687997107
37O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9765509308985133
38H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
