,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22H,23C,24C,25H,26C,27H,28C,29H,30C,31H,32C,33O,34H,35C,36O,37O,38H
1N,0.0,1.0197234215335227,1.0207500554310953,1.460038177859851,2.0689495642979963,2.4613107769351097,2.5624781748864383,3.721961070975927,3.912603509108354,3.1280378829530324,2.836057249312653,3.6160227310499526,4.060858475650194,2.506232460567668,2.761909775779684,3.7387959965661515,3.976366846329949,4.948558506617695,4.890290816874008,6.119917765781082,6.977250223571606,5.9843232776196755,6.7004197536911025,7.726028903166752,8.093578306386291,6.580696840184439,6.023965799637441,8.516313920050978,9.39484189607234,7.487476718903188,7.675895905759072,8.409821615266369,9.456284067151246,9.450944515501005,5.613195868776008,5.409472933148097,6.835605248390411,7.311512535361999
2H,0.0,0.0,1.6012951826205413,2.019037024804663,2.33320719312965,3.340390936201691,3.4958769426518805,4.45842948967995,4.554894068025043,4.046514446083197,3.750334866723849,4.383053243141094,5.028241159703354,2.643838440860117,2.5518800657757414,3.955075628734855,4.3884504707008345,5.029689359236695,4.778663728822075,6.1350748006042854,6.935407350515119,5.858796451032214,6.890180091281323,8.007881727766607,8.344486808510952,6.806650525846535,6.155640441904297,8.898431998532933,9.815375537067105,7.829636287469167,8.028444246973132,8.82011374687047,9.934581226828147,9.932178132890604,5.863249164976745,5.84671850827324,6.987063252371507,7.5451941858780645
3H,0.0,0.0,0.0,2.026119832981969,2.9130776614647056,2.7425914743843425,2.9731018402250555,4.091413300079587,4.487691557612048,2.873694277574186,2.304880667110154,3.269478058505564,3.8456081857140654,2.6639709763610453,2.687139977897033,3.9200370038006778,4.221961377200884,4.974555347912698,4.853402255530727,6.31209854033904,7.078954406654842,6.312929140066059,6.95975973855333,7.869915430291465,8.117985767614169,7.0172854477772,6.579909051327644,8.706431703470802,9.514774434742142,7.9410503173681555,8.233539410840176,8.74001518444151,9.798777595810249,9.877439581805868,5.399049383578123,5.082630534648971,6.579848445528646,6.953223431527302
4C,0.0,0.0,0.0,0.0,1.1019827551393497,1.5512226512197043,2.1322170635633295,2.4669676486375196,2.6826546081686264,2.587124472064503,2.8365850343343437,2.8844308016772278,3.519205953861739,1.551931584466658,2.420681904061604,2.47697513196483,2.5672372862241244,3.8363075536142577,4.025140807022631,4.888111233268214,5.826857675333292,4.81013539331094,5.313718948438807,6.344331125657435,6.790645410292121,5.144673496522924,4.64044252248158,7.089274068308136,7.990204383211239,6.033590263943207,6.258255190430707,6.952774165812024,8.011960243950895,8.021795828704875,4.588185194273148,4.447471696391032,5.868816582247059,6.398431097942163
5H,0.0,0.0,0.0,0.0,0.0,2.1388789620599726,2.452301637005467,2.612214273062937,2.41780766476572,3.487560710006815,3.840388403439953,3.8153192810386187,4.2822033914494195,2.1390964042427427,3.01047656284563,2.7841269492359055,2.7921716672726076,4.160506955932334,4.381695895745514,4.909838760403949,5.916147331627815,4.6294437901757615,5.24803162141065,6.410101793543396,6.985664183464325,4.835704175548866,4.14697653888572,7.0920734464492785,8.066533401471045,5.699945183566579,5.77698818922459,6.781871901354825,7.819406703617619,7.721871517835214,5.158870238570935,5.1743566873921365,6.398280611461672,7.025362957613648
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0984566746319655,1.441078439462009,1.9685865442493915,1.524188131829689,2.1679848329186195,2.1757177369863796,2.152969136015862,2.614420419661047,3.639024551543169,3.0008995952887356,2.57651540618273,4.360709811346378,4.846510263443344,5.37569519445173,6.343312969816143,5.5264780394643855,5.423132235436335,6.220401418246545,6.725761483456644,5.166502871208802,4.882873619532018,6.719596212241453,7.526159425132356,5.7518890116641685,5.931693356817918,6.506575247411794,7.394007038356954,7.387033612996308,4.739118644487532,4.260306301880005,6.095330961128817,6.458309401919933
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0832752988324446,2.2579532610049595,2.1524714511514076,2.4970915132600067,3.073472204314983,2.4685497923252644,3.5124769776606786,4.443583041762242,4.025609219868934,3.587356967537527,5.420882531509521,5.864656149428444,6.378172081865139,7.3752900559117585,6.442098363887051,6.367725815586722,7.184229992414862,7.749467720992626,5.951707350677638,5.58331833289242,7.581218473159074,8.387703733227616,6.417542326419863,6.435170472303923,7.2271893358493875,8.005269622066633,7.889290760458858,5.836959664287902,5.324506495282959,7.193191090652554,7.542996764523837
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709822789050427,2.3782194836335346,3.343933406955725,2.6426878061947767,2.613335083047409,3.0950542654814353,4.297976250919088,2.8281306738439422,1.9939525685195292,4.1045330493991266,4.855367230734558,4.7800985939057155,5.797514268697225,4.995316774310368,4.4673476919261965,5.196393511394324,5.851867851568906,4.028318212276357,3.8763041575350514,5.509790489883187,6.334064002913425,4.417269009826278,4.567958730377953,5.156491041379122,5.986738595106917,5.950337553072728,4.5017227101992665,4.10494018342818,5.818512792901992,6.2099643799438535
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2162766784348658,4.080025861730812,3.573001039407963,3.4368189115962693,3.478555930934813,4.683933960315416,3.2390345976459898,2.453286834509503,4.554655960796121,5.2745558832289134,5.0154709083213485,6.086454221507483,5.0502278052510094,4.638903106589823,5.498052387193715,6.26984176829544,3.9270065145840056,3.588363254160073,5.738230886378967,6.631652739040831,4.244725431196077,4.184803988075785,5.175695650326494,5.956803317086714,5.776469736125671,5.181467872734357,4.9340108175650155,6.462952828645792,6.940669286997531
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0955853888893072,1.0947661268630529,1.094691116436482,3.1236220303570885,3.911426973664035,3.4636914434056396,3.1219461726665707,4.530980351926335,5.000261977494241,5.764616513516779,6.5861329365017065,6.152786878332221,5.84918733857484,6.383875409160931,6.694969023087559,5.8883327527314,5.832979430461414,6.899177792073871,7.547776777298009,6.441634861805076,6.790069568214495,6.925862387999945,7.7816678194983755,7.9224903347094715,4.41889700887486,3.619778605576643,5.727635655000718,5.874411797804237
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7847839086624382,1.7714482564379388,3.4361503333884174,3.9376235596939897,4.104457832886138,3.9732746325022736,5.12144458592042,5.391409309944163,6.4797181209788475,7.249166531181038,6.814529664444208,6.743249551788885,7.316496460948913,7.549100898954671,6.841043616636768,6.711245867620234,7.91547944958125,8.555572980981127,7.4769349410134565,7.820710901617207,7.990489551929301,8.870954717327926,9.013414433243673,5.000357256400675,4.213405887475008,6.2521325857323715,6.3655765031472855
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7738737117630834,2.8385354528696833,3.558802347116384,2.925764517973938,2.684571915783694,3.73385318345229,4.237555205681555,5.028253841063202,5.751000427812254,5.552749268506517,5.178528988131042,5.609889048368506,5.79897032702649,5.449656745265015,5.525437556350061,6.231052808070673,6.835713048720394,6.087983400725265,6.600151114248969,6.452604397753209,7.390422055802279,7.654545036057043,3.4011075386544247,2.5394948469602676,4.678148943950456,4.7858144780124805
13H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.139850541671705,4.987813105967756,4.285437070019347,3.7481817613666153,5.306720045450866,5.898104315721263,6.427334253635185,7.249647493672237,6.88873557034706,6.285945993330569,6.659047386809568,7.0084815456555845,6.24595997194346,6.297684738615478,6.972450655283612,7.5282728269133425,6.577196281489237,6.868491755472428,6.932298369755983,7.622806935878297,7.741184836152619,5.038260555592356,4.101475071406615,6.310575547212402,6.3494981683396565
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2278257003416175,1.368202441255102,2.0366094066074343,2.4482891674738076,2.4878266390798536,3.6646665737697224,4.48320184926782,3.669910314925309,4.40536769528741,5.430067598290871,5.709045791079501,4.5992475562864366,4.2137100408655375,6.403451371101993,7.285289946673216,5.713514097733567,6.1747910405667525,6.527988236644631,7.733914340895834,7.9010467139079505,3.3150528520666063,3.461205070539094,4.494167980365943,5.109425984210021
15O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.285917153292223,3.151661993996585,2.7983316133489646,2.327608352389007,4.08674468974064,4.689147534353377,4.028479742274078,5.130716339626416,6.13040213969565,6.240804016767595,5.512124334928999,5.113339982230114,7.241953992557256,8.088027064982866,6.7260073096185495,7.2439627584363295,7.505127773428323,8.762575399047373,8.982802148762005,3.6004163895766403,3.8842605582707654,4.556945950737626,5.176426108466399
16N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0188151467000768,1.4456834770967715,2.044665526882931,2.4910021863975786,3.40578840825596,2.712958555087942,3.0599327332751294,4.0682417148355885,4.406570555414252,3.362778062049303,3.176739968429704,5.049062915157014,5.9438207868155235,4.498496869015047,5.091030594437431,5.231001446092099,6.47722650416284,6.7136691780787325,2.4514993133796064,2.786720908506604,3.645889901663701,4.325216730230807
