 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,H22,C23,C24,H25,C26,H27,C28,H29,C30,H31,C32,O33,H34,C35,O36,O37,H38
N1,0.0,1.943961461051598,2.015432524101305,3.0463997494975676,0.09449210962971333,0.19614198104044678,0.019042065630720972,0.038269472294602036,0.0018726009293308365,0.01849350185744758,0.006543042515057884,0.0006457009492250032,0.0021315743356440375,0.22302370566847443,0.04796522198874949,0.03412983860165898,0.0019489775936338827,0.007299546916367361,0.00047082491297367746,0.0010317158618286804,0.00023009197629708655,5.0032875227090656e-05,5.795623476785583e-05,1.3968486377372025e-05,6.728627598429071e-07,2.780677783302543e-05,4.864589791653273e-06,4.6058618399930085e-06,4.294089439582649e-08,5.2733542394989286e-06,7.945818358834345e-08,8.99139212097444e-06,2.2003285655020077e-06,7.093949316860915e-09,0.0006796742955099688,7.064653449714853e-05,0.00022417107310233886,7.101893803229675e-05
H2,0.0,0.0,0.027435606390628475,0.11594687077467958,0.006810686520172249,0.03388063424221144,0.0006507597513023544,0.004935978137747266,0.00014881004569233802,0.0019300049838471,0.0006690856497291175,0.00011621145545359646,2.8425567377476924e-05,0.01227325567472659,0.029361132546418367,0.002151599006483651,7.577750868614785e-05,0.00037609478742184344,3.936997146936072e-05,2.2997485191855738e-05,1.1647725721708468e-06,1.5887721755980522e-06,1.5640296148311528e-05,4.2031254556818e-06,3.50939559634611e-08,4.95202449957155e-06,2.2116252194059882e-06,1.2027061253583327e-06,4.5338640175529576e-08,8.08006857200283e-07,7.893111275691922e-08,1.836518684017463e-06,5.216951446396223e-07,2.9477611462880304e-09,5.240473969547743e-05,8.572298289322156e-06,1.302784742862606e-05,1.7907497773528291e-06
H3,0.0,0.0,0.0,0.10616478009595576,0.03721312469900728,0.007173101109701818,0.00019204121398996854,0.0009789435022327098,0.0007295564328149151,0.011139066315304924,0.011380940906850823,7.152979515034907e-05,0.0009813494604649087,0.012542706993649677,0.01684565834118379,0.0016556239693658048,0.0001454377092520165,0.0003074993967018269,2.1542170337118804e-05,6.313982521466421e-05,1.064611817103156e-05,3.0060573583678973e-06,7.847841209773776e-06,2.6442307611285187e-06,6.92223962595051e-08,4.507887211513406e-06,1.5053853388291571e-06,3.648560594760042e-07,1.4218126009879484e-08,6.054522334597578e-07,2.24662131120823e-08,1.199745856328427e-06,3.145767758505613e-07,3.789239366724928e-09,2.0032447521911578e-05,1.3695138649572058e-05,2.423634322901158e-06,1.0283300699853726e-07
C4,0.0,0.0,0.0,0.0,2.080377043577766,2.7365399783646573,0.09556956527617211,0.20011853240650848,0.01298127854831399,0.15291582568363127,0.004980410691223014,0.008197323738655893,0.03210106050111494,2.6003607285018826,0.2809310580554362,0.21162559811146042,0.011803005702828329,0.03467728924971744,0.006244865690052448,0.003926224863988886,0.0011478115631009533,0.000109871465445055,0.0003322622457758162,4.0650676435383115e-05,4.354307307385952e-06,0.00010518053354936774,2.3950142036932576e-05,1.4566308066676914e-05,2.591349921310382e-07,2.2550517980793328e-05,5.903474027402211e-07,1.868440033800378e-05,4.681462664871128e-06,5.599715313664433e-08,0.0033539338519944506,0.0005285811351095626,0.0008927459297758955,0.00018349496990766045
H5,0.0,0.0,0.0,0.0,0.0,0.09183058902732744,0.005211405106507083,0.013622454714880772,0.009310292929311847,0.0270311992686868,0.0010793619832891732,0.00045385130010022756,0.001262730231967435,0.0988868886769847,0.028238152756457913,0.012311953158602673,0.0005076693910595065,0.0014565941022335327,2.664823347120482e-05,0.000360239423092823,3.4260223539250845e-05,1.8113171083466995e-05,2.027779053470624e-05,4.334108782089174e-06,5.759250172321373e-07,2.3478259263187695e-05,3.257758696340041e-05,1.7222991955945233e-06,7.106457133865263e-08,4.1520421437679644e-06,6.201192623844776e-07,2.846320793503665e-06,8.330782145238302e-07,1.9098991277388677e-08,0.0006383449682219045,4.5391740126632385e-05,8.73636927914978e-05,2.02306202377045e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.054254546991582,2.9466813772855125,0.10672419151488222,2.9366757910253782,0.1012132529979397,0.09115112760594823,0.10066530100189208,0.15381674514999963,0.03699812474947203,0.022427291787520398,0.014260375657802249,0.0025085547877777004,0.0007291061100856977,0.0004835992814032075,7.658636130458696e-05,9.868750122210557e-06,0.00012904461995053018,3.439767124292781e-05,4.820145211859028e-07,0.00022009037602734038,4.938715342928113e-05,2.6715523528744733e-05,6.066016511319106e-08,7.564610297663976e-05,1.9213429505171575e-06,2.0825471163471443e-05,4.407643318993237e-06,2.9289356606732042e-08,0.000716721200428011,0.0010464563814974875,0.00014874295511617397,3.0388987637519627e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09641545890690206,0.009088670754762829,0.08681179824805918,0.00370200723590397,0.033694617468345456,0.00581535705734737,0.02793070885721538,0.004381658569381663,0.0037406011209650813,0.0048287933971127295,0.00045502578782818937,0.0001195599057388641,5.036370870303841e-05,1.2608727595342373e-06,6.008002650936817e-07,4.019164879753845e-05,9.339163487220858e-06,9.131426614850113e-08,4.3722686795311105e-05,1.858582913794038e-06,8.345364103212738e-06,4.663577302110866e-09,1.122529133479322e-05,9.059329286742468e-09,3.1993979392463956e-06,7.341187931997339e-07,7.2640169435089774e-09,0.00019125878509074212,0.000393368812503625,4.621069727439586e-05,9.757394716203294e-06
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9132007809320626,0.19311504501504662,0.029727693115319975,0.007144747421369724,0.009855666792818019,0.011905079048968037,0.0037568804627940017,0.06928577835157307,0.1750847143033657,0.007833793593260793,0.001611944670170562,0.0004103488828061108,4.486070411480192e-05,9.239615866740714e-06,0.0006897138229973593,6.69243122436991e-05,1.2433075978757202e-06,0.0010570422881324426,0.00021950276214133257,0.00011618635220447815,1.2130730686621405e-07,0.0003294680691084684,5.286889364519709e-06,2.6250029328767077e-05,3.875648551199262e-06,1.2319350617406855e-07,0.0002958938662463717,0.0003802654019882806,0.00010269603480263234,1.9165067379756096e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03406677047212159,0.0032671068738274744,0.0012025029907751783,0.0006107237165753343,0.0007908864650411074,0.00040406640652945747,0.0018485223131372575,0.002616943446358766,0.0004506802977444213,0.00010702994179845327,2.5653659602498102e-05,2.430845753798039e-06,4.2051719988389635e-06,0.0001343973209787519,0.00011179997682320142,3.5908622231239917e-06,0.000984252405648256,0.00020204183895011774,0.00013908449261601508,7.2340400336656785e-09,0.0005767488959766975,5.5001440479873764e-06,3.9091045964667614e-05,1.0769057311121877e-05,5.987480844460435e-08,3.809012668309908e-05,2.1313261108768522e-05,1.5087683208236946e-05,1.572055411624973e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0664224280286545,2.0915422975463738,2.112145684710329,0.01991187768430655,0.0029916620114439213,0.007715199134632103,0.0016473041667901533,0.0007333977411633358,7.032988494459769e-05,0.00028897606531887166,3.3042603115540636e-05,1.3674383267159307e-05,2.4277812303685753e-05,9.031785076676901e-06,1.8172758368129038e-06,3.4777120249240845e-05,2.4590607179075796e-05,3.2435377861489423e-06,1.788620185294576e-08,1.007997259103166e-05,6.510726655584165e-07,4.0022565381409025e-06,8.750100263243965e-07,1.7437141619502938e-08,0.0027471074118328997,0.013973186812457267,0.0012084831417526476,0.00017094452931842863
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026649279465486675,0.024753973047829003,0.0003439324717138259,3.4666036585528914e-05,0.00031744259362564975,0.00011609266258982842,4.179747575672188e-05,8.31180100036022e-06,7.146087892762054e-06,1.7760432307056817e-06,8.107083522279623e-07,4.040664215443357e-06,9.6293336215858e-07,1.2609284039122315e-07,7.838171910301561e-06,5.196075001379086e-06,1.1123785498279304e-06,2.497237749921055e-09,3.179433746947069e-06,2.2519545694876797e-07,8.716082489090837e-07,1.4665103331701346e-07,1.7711270228204512e-09,6.27181983692271e-05,0.00023094624045572054,1.274298402109686e-05,6.406713008999532e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02615194805815868,0.007915435669323845,0.0004614759746564001,0.006811598094238036,0.001884400675043807,0.000588798936996815,2.4445628310720835e-05,0.00030805334411887486,1.2686448260135208e-05,4.487564218003115e-06,1.1867819468047713e-05,3.6568760944932777e-06,8.53271233669517e-07,1.7677514540292982e-05,2.788101007622501e-06,3.1072428886558257e-06,8.054328315409975e-09,3.637339096584924e-06,4.973994705004259e-08,1.9281743919297156e-06,4.586405317752451e-07,6.15084938537791e-09,0.006580490651190596,0.04526108438819043,0.0025762235622249774,9.571317769330179e-05
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015696100847182315,0.00015315787036607187,0.00015149423447358146,4.223064272323995e-05,2.208352318411322e-05,2.1313446652015955e-06,2.2528105381169894e-06,2.8008379060473487e-07,8.655444008187629e-07,5.828039817412645e-07,2.3240512425637405e-07,2.2151572576234457e-08,5.61880960980865e-07,5.154146449637409e-07,6.844956623730525e-08,6.71085631509527e-10,3.5934951347904587e-07,1.4772766121495806e-08,9.909827514142933e-08,2.650258956737872e-08,1.3002310339516043e-10,7.184804159177105e-05,0.0002141707555786132,8.95025858260734e-06,6.139587095166377e-06
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.942513715106061,3.4550208515963954,0.14029297383277828,0.28008264634588786,0.027925474365551928,0.035043340746733265,0.003751162242450201,0.0009578214224217341,0.003102361782223395,0.0006371755111804767,2.6510160692438944e-05,0.0017634811013955143,0.0004920971463380219,0.00032010425640643936,1.451400228225097e-06,0.0003947065255520965,5.535727679362168e-06,0.0002559403764663959,6.559793370669587e-05,8.747376534223861e-07,0.035921373495498565,0.0060899655327787405,0.007081530555752641,0.0013286138077496235
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5391704670344228,0.02333951140738355,0.07435680360866834,0.059378454108753975,0.009166300323009177,0.001335268476133633,0.0003982592118410011,0.0026885719169597866,0.0006387570287936517,1.8977013991006153e-05,0.0015102229682711424,0.0005448871729479832,0.00017530275271989554,3.1986087161151033e-06,0.0003027831158481237,7.154621817662132e-06,0.00024594672987007793,6.276207747468038e-05,7.537838935256502e-07,0.012045947169057214,0.0022309063280916003,0.0021956821268866306,0.0005188144666060657
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7434629176474399,2.889298666299796,0.0988044308392464,0.18078807545334669,0.02529784206293295,0.008723784951204294,0.018838859108778278,0.0028752333020458654,0.00014575749462819587,0.012733128863692558,0.00434580048045774,0.0017009656771706655,5.58710553266728e-06,0.001898645884305411,3.8899867194519544e-05,0.0012853774209119762,0.00034258118051604114,4.37588211799067e-06,0.2008661848923823,0.03303631584222996,0.030274399915539596,0.004896838240159185
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09767981336560139,0.02955100851536363,0.0051902547410282995,0.0004350091497777875,9.475855958118728e-05,0.010471381048770656,0.0009048354121145019,8.799019660665763e-06,0.013427673660643236,0.0011114017580442503,0.0014440477760565562,1.8723609296333876e-06,0.0010263559920237197,6.7420498883752344e-06,0.0010215663602679559,0.00022833751947226588,8.504025590383435e-07,0.00716007025039056,0.00778290943604143,0.0010790128186634051,6.311584193041675e-05
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9425677728390798,2.4190514921992685,0.09370332715888874,0.09485564441768624,0.16862785168462863,0.033519666043277274,0.0005155236499172489,0.03648262020464396,0.000832847169009332,0.003924164513866429,0.00015549126743308328,0.0045238449074430365,0.00019078794707194646,0.011453950467846141,0.002931184424363756,2.6426634308740482e-05,2.690395935764096,0.27249189799871565,0.21404019076980701,0.053436421042035276
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09152201918818514,0.004595851480033497,0.00636382340625663,0.023233511281683716,0.0031229431586888845,5.6235753123301535e-05,0.003108511021070348,0.0001418646585800154,0.00042406203678135856,2.9908550841950543e-05,0.0007365635561003003,3.970554498011758e-05,0.0008634559399374186,0.00022813438532820474,7.739057975353347e-06,0.1164298959403085,0.032446275160773475,0.010845918450295478,0.0002309675724472271
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.966935612575497,1.8783664262582245,2.8043428782130624,0.23205774037025206,0.013285164803316318,0.23879555717944928,0.014654897032624126,0.03627797348931916,0.002409076378377506,0.03735421109267881,0.00229330727438648,0.021195774716405186,0.005701362960455605,0.00027585107615646365,0.17534712634294392,0.0413154708663431,0.03157789893892636,0.002578635380850791
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026223242835624605,0.09390843959218032,0.016125301727429653,0.004368572552584604,0.026967112013474015,0.0005862353178123225,0.0016808650809939651,5.506875503291653e-05,0.003017106152381266,0.0005710348783354302,0.0032273064410848207,0.0007873697159560544,5.9334461044668885e-05,0.00749150459456116,0.0012126694208451916,0.01626768690841507,0.0005171149046385715
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09874547538453426,0.02571660094003758,0.0007122514452200246,0.017693601963112426,0.0064379040789874775,0.0029008009506024113,0.0006860049513888189,0.0017016177775783792,5.3197072261923495e-05,0.002275312516532013,0.0005444279983670697,1.289948343385916e-05,0.02766769233369648,0.004331179460700385,0.0038232447932048386,0.0002758374541091957
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.363814609218022,0.1198225094440275,3.5740327353193573,0.12237667539949881,0.3312641848843686,0.026241279949920315,0.332247120138318,0.025507992605922514,0.2617075681330436,0.05522582807236019,0.0013331479287035375,0.01774445790584686,0.0031411088407806154,0.003682541581203999,0.00046661458163543834
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8788850581257475,0.3265516447629524,0.028805850051011772,3.8759242727236165,0.13227225567189027,0.29233062919510927,0.003965597379997687,0.34709490366630713,0.04449771937487676,0.0039034221868397,0.01007290311365766,0.0015455962857398031,0.00918186238395688,0.0005978643562843944
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028352792672928895,0.0016899482183558856,0.13156246378915726,0.008615120050116332,0.0034915122292480394,0.00040716116962835613,0.02633515170682199,0.0030857373703148117,0.0012863378811580617,0.0041769101845674506,0.0011210714809085642,0.015963226743723524,0.000544272713765448
C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7525435316493374,0.29825367688089865,0.003953877097759628,3.809342526512097,0.1258800374646225,0.343992925449477,0.045209788263718534,0.0027014626766466154,0.002852481694670811,0.0004621464688676219,0.0005721274100766727,9.416880999191246e-05
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003546853513332171,0.00042711020531061017,0.1322629682374814,0.008487921003708987,0.026425987712699994,0.003301169234685042,0.0002070456463940662,0.0004597830482211407,5.970920781717126e-05,8.680993741483345e-05,9.651059743598367e-06
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7508162908451192,0.32136372691947324,0.02753805890576211,3.511614934606288,0.30085068676141524,0.03396702943072438,0.001206792462045636,0.0006054499822165244,0.001308225611282618,0.00011608400059581747
