,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14C,15H,16C,17H,18H,19C,20H,21H,22C,23H,24H,25C,26O,27O,28H
1N,0.0,1.0193343760822196,1.022283807603367,1.461324880675499,2.084116925189789,2.4677000819600248,3.416810115151319,2.774804514328052,3.156297664817285,2.6659619895532485,2.4871670578668184,2.7773372929534412,3.706243836753351,4.9014731666773015,4.9446407373070125,6.014631999760945,6.98124529165948,6.191865432456643,5.829107303645603,6.2241117192946325,6.558623469389996,4.3826907192675595,4.30654282679742,4.384707133381693,5.501737428053622,5.559541290532969,6.440531312776497,6.9586787042259965
2H,0.0,0.0,1.6201726743493634,2.0371697659051757,2.2579561009458304,3.3249428409083635,4.184823869898178,3.551331005268463,4.16915250621908,3.6476189127829324,2.8320873776053745,3.0934769006559675,3.926548972424325,5.071929919666298,4.9751828451649205,6.084067283036186,7.096400204918363,6.078496955939166,5.994870704361017,6.5486239728479445,6.6304657751833,4.552055991028948,4.648032595077189,4.327201772684304,5.901962388119877,6.130156437792312,6.778407128938406,7.401285979498147
3H,0.0,0.0,0.0,2.0056030111072567,2.877929386596848,2.873074502747357,3.765336568364088,3.409808433379486,3.020589412847265,2.5318647609866782,2.4672674606523555,2.286297545040908,3.8210289272374847,4.79469001043784,4.7059724112345425,6.086796496724343,6.972858123013158,6.310789833163414,6.108513237957075,6.449122719512275,6.942997935844259,4.7825084414758186,4.801007422601893,4.924803607147379,5.2303695983249625,5.345883640814254,6.015397905218266,6.486419017905651
4C,0.0,0.0,0.0,0.0,1.0978842539474394,1.550550355213065,2.195545252940948,2.1626301428749093,2.869706270180352,3.017453770252535,1.5427650742677428,2.4151895458226416,2.498022470182912,3.8470048786080167,4.159791805711078,4.829728065497599,5.7946054929741795,5.134251989373842,4.463822859317653,4.8020124487246125,5.211106500011337,3.014078235441142,2.864535384112726,3.1873284779649387,4.4540492210463025,4.41828701871156,5.566140046898389,6.087577145312698
5H,0.0,0.0,0.0,0.0,0.0,2.1345134462390116,2.5542289196367554,2.359464099254215,3.78341914090769,3.898237164381657,2.169695298837488,3.224445355393098,2.650392190676054,4.089781957130636,4.463830237414119,4.758085448122461,5.7959988624652565,4.9255566922190965,4.201483629536023,4.682656282127357,4.752930886593278,2.6651418572480225,2.509645652511029,2.515531832703955,4.94016609475212,4.949286887078322,6.110044403353547,6.707788774129393
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0942516595517384,1.0933778516590367,1.8382431334166158,2.3821497342358007,2.552313171297974,3.337148516407894,3.2444369839070504,4.5216349066857795,5.0736604438706205,5.449522840994043,6.291096634229706,5.991939497765038,4.807631303832382,4.813727771043558,5.577750252878198,3.504836719138806,2.8957789922536645,3.961185194551388,4.700020259745488,4.252836985804317,5.904172042067339,6.21237412615557
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7736738825625218,2.364765673020347,3.2836627903318165,2.7171025751107942,3.6251979498983924,2.952025000871676,4.128896251923657,4.8775997186997575,4.880509214167287,5.637165535104738,5.552647633704974,4.078174655020661,3.914729543884036,4.8510963773770746,2.9765810589669788,2.207677591900298,3.648923460627003,4.175977776044953,3.5683304464251884,5.461346449072696,5.718827354675701
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4198111275420295,2.594465362613949,3.474759590968184,4.304789855072511,4.1107935122864525,5.470740310366439,6.032960628762395,6.261769804350294,7.143253469957262,6.738635171011087,5.4537679563314905,5.482977890543887,6.0821526808532385,4.09460019554494,3.3441028608037726,4.367245006117876,5.73710335782242,5.2547539123252704,6.970300480381158,7.2816162340880535
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3504617816812023,3.4214846367478113,3.6168704293793486,4.338868424024271,5.289260357636555,5.715039427259204,6.4810624181561725,7.165010927610089,7.139524794797517,6.0788983573635385,5.9028103026399625,6.989242385283001,4.976964211365933,4.458882793971318,5.590095835862463,5.014347851187009,4.4330918098908,5.993683987557476,6.0753356065678314
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.879690275292597,3.9565837890127016,5.0260229893438195,6.075288768127361,6.335752956667001,7.316098406723768,8.094721156151017,7.831726634314627,6.967886654588459,6.9471480146588505,7.830839186753922,5.697399758043478,5.238514821229816,6.105298155087021,6.0110278028059465,5.5986370740574705,6.930961957015826,7.096861660316479
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2293975629951424,1.3672370201405595,2.435333082051943,2.6593781730299835,3.653428643123754,4.5478417474602555,4.009956144184629,3.7018393574261417,4.075862070524807,4.609368491475117,2.554426327424858,2.8575914584580873,2.971303939816804,3.096375717669674,3.3520503106088895,4.108674724250309,4.7188504537798845
12O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.261612099169187,2.716661402445009,2.539228829334543,4.176053772338209,4.924426412108621,4.501571242874638,4.581147156949809,4.907196935813277,5.544624803246309,3.6547083589734073,4.0340583279728905,4.074084939383517,3.1172836428716155,3.5498848765939544,3.7871373305871874,4.367742083616044
13N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4608212113160741,2.1115218711946553,2.3587848759140724,3.302731843530369,2.8205861526984646,2.3626449346203566,2.8372336323512037,3.299810838304432,1.4714196093695104,2.1342581985270868,2.124690359034899,2.4562251771699515,2.8247420174859235,3.6014603356780355,4.2968390594054915
14C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0920004136088248,1.5462153450191702,2.2099479831968636,2.167198508868576,2.4152813445416226,2.8074347150855705,3.3890824960492383,2.4437808645151207,3.2564489846685816,3.1085279628886964,1.5299233110044652,2.438936698227902,2.3789660635664167,3.21421785912286
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.214341833053947,2.7641983022771397,2.4003902084216873,3.3564519315296115,3.865427959186195,4.21766157773626,3.267073440502713,4.146362377835541,3.6906240058980884,2.1424873766230097,3.2333324786324376,2.461725566145245,3.4026670104900583
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0938320479996373,1.0963244566487065,1.5378874930504653,2.1702669040842815,2.2103456099052097,2.415580524519929,3.345991152395606,2.920403775753197,2.5328873659231013,3.2497966346268408,3.2188622066129313,4.002030536711707
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7698172272020525,2.214089145018358,2.458981778938291,2.7219806128315236,3.389984950421258,4.2039130369880935,3.964452389024355,2.6465419039466083,3.3634852789990735,2.986358301980181,3.6627748394358277
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183115217332796,3.0705032293184837,2.4706348127799616,2.818240754942278,3.8730079308794183,2.9134675412202404,3.433797052430175,4.26754800417339,3.9496470545549296,4.824771059439806
