 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,C14,H15,C16,H17,H18,C19,H20,H21,C22,H23,H24,C25,O26,O27,H28
N1,0.0,1.9274579333181467,1.6219881797593674,3.0491548142959313,0.08584126203922304,0.19981137011233485,0.02809779727645323,0.0072563341426684635,0.05123016030174037,0.021012294662005715,0.22415607721721637,0.058297844905871546,0.031723754393209125,0.006689309529383666,0.00021007708392628555,0.0015176829008818615,0.000320358333761539,6.2238779536816224e-06,0.0007753194776395078,1.765169337153427e-05,4.7101429002660566e-05,0.004801466797701992,0.0006827484209009915,0.000379561469790235,0.0005154434045583078,0.00011429933698985095,6.285040265045783e-05,8.706702333216576e-06
H2,0.0,0.0,0.028503972694851498,0.11097860008269655,0.010368192459787595,0.03112393299917582,0.0015123038410436163,0.00020287443743605138,0.004272666655453228,0.0004886454844026389,0.00546634513389066,0.002279470379365711,0.00034029467923757384,0.00012816183586816798,5.465725172904001e-06,2.1713816529156382e-05,3.764616375301344e-06,5.584564453098295e-07,3.260946889971361e-05,9.033143097969543e-07,6.455407417504944e-07,0.0001282599016089181,2.4696075150654195e-05,2.7182932210711996e-05,2.1163256239242756e-05,9.307596430474518e-06,2.9608352282162187e-06,4.452749968741898e-07
H3,0.0,0.0,0.0,0.10870950799057677,0.03062389144952693,0.006256818809592279,8.300352296286562e-05,6.512487387277943e-05,0.01737382909322638,0.0025794548158195596,0.029063463421662217,0.07395695810247327,0.0044377306832290575,0.0006026998549378826,5.6135309044025306e-05,0.00010911169462535231,5.900092502342247e-06,3.4531851511587774e-07,0.0004163654455632271,1.9500401875482964e-06,1.6018886565882795e-05,0.001593686316602283,0.00021320834592009064,0.00012483825916342894,4.9267285948007e-05,1.5516572832940945e-05,5.4885978256757895e-06,1.1206839258814938e-06
C4,0.0,0.0,0.0,0.0,1.9202197432308306,2.730126509899019,0.08387235965238249,0.09118710745594494,0.1761583497587209,0.005540940487970936,2.7202877269957964,0.27688719318717997,0.2024411429436639,0.03494742354497951,0.0023837221859783764,0.004995522331020241,0.0013949333532310426,3.82521710098338e-05,0.004988408557878243,0.00013229405609638256,0.0003366477636359555,0.02723737203814358,0.005459848658831756,0.0031031884006009758,0.0038757921779424553,0.0010748266041755439,0.0007299903102790661,7.568338464658542e-05
H5,0.0,0.0,0.0,0.0,0.0,0.08718219300650198,0.002177685860236922,0.007905919029237651,0.03839120174876942,8.833975293076612e-05,0.09393631736017793,0.023556842457499227,0.007641476651021106,0.001359037417716813,7.737229743720597e-05,0.0005124256154788176,7.056190996146405e-05,3.481706085217695e-06,0.0017762455382517306,0.00027963229887806307,2.8844419758256024e-05,0.016653985578956254,0.0025021546331602806,0.005170961870497814,0.000417185795814623,3.149900075927192e-05,6.003800578235907e-05,9.27942793294001e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.931454640068931,2.116231594805619,2.8009001461252225,0.05218947392479212,0.1744419779878834,0.03859952774656686,0.022734368251740522,0.0027369032795156456,0.000515542868385177,0.0005986426108828685,0.00010654878602633922,1.25879490455727e-05,0.0011544653777652708,0.00013899005887529903,9.790456433345085e-05,0.012595080366583855,0.011383545539926487,0.0009532896921431444,0.0012519150191646067,0.0010587015342293365,0.0002800464489984972,4.915181508546862e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026643733505407274,0.08316909827472763,0.024432277102773625,0.009060230977818495,0.0016748979233356387,0.002182806677975213,0.0002844007848965546,7.075159245806262e-05,0.00027829018333869193,4.522468682255365e-05,4.393071014519023e-06,0.0007105617242229023,7.698500293074062e-05,4.753902162080159e-05,0.008503712525993912,0.014577839010780247,0.0002539191026591503,0.00044059011044250695,0.002118524141611955,0.00020828699136044015,1.799565318783003e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090448676516241,0.005557781370476356,0.026774257530236767,0.005028666090836631,0.003198192963531743,0.000524780682639614,0.00012577594119500546,2.5252212195514545e-05,4.040346031963793e-06,1.8969470660934462e-07,6.506240643533445e-05,1.3679661052812264e-06,8.068614294032272e-06,0.00042127072120301534,0.0002620098080978739,7.539711870085952e-05,0.0002805708961806097,5.022596825943193e-05,6.590894694891158e-05,1.1241442957166115e-05
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8488652032254373,0.023058782351599846,0.015332267391885488,0.0026001129735845757,0.00034763402821105793,9.369263587655219e-05,0.00011821130520937861,2.228342219479096e-05,8.200704278316095e-06,0.00023627141196570084,4.5246452600289366e-05,2.8910052066177805e-05,0.0020264840985942806,0.001239507762091141,0.0003615560747908253,0.0006616634471186267,0.0016677876813479195,0.00017878811914388143,6.670413347786841e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009708422447649578,0.00017353706248890433,0.00027186442516557996,1.9050412249033144e-05,6.553538605125198e-07,2.0206610905404432e-05,5.822237203023661e-06,6.51618683455979e-07,4.1731587025140016e-05,4.9823804921800274e-06,2.875091011933506e-07,0.00048430114441688765,0.0005339419878058749,2.0059465855926106e-05,4.531826977727249e-05,0.00013907917177191642,2.1949232738682767e-05,1.6910488032095827e-07
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.335035044574844,3.5187064541184685,0.28391905605485523,0.019949587977623473,0.030431810880625354,0.003536712032820244,0.00022702642027616626,0.028787029181632423,0.00019717923250750502,0.0030186140192787203,0.23645026234715444,0.015200196099734997,0.021137372131013965,0.04149932546891491,0.008648140908559393,0.006371821610627798,0.0007629292929418607
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367476294174829,0.08423516674246456,0.030195188448054022,0.010244330547949806,0.0010512165941333196,0.000291343904430863,0.008183882792100798,0.00016480151671127707,0.0021295402841765565,0.05487620989729827,0.006275839421751805,0.011013469374011042,0.02818080165762296,0.005082404692574441,0.003464904497688208,0.0005301152726692182
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.826988982989642,0.09092059979512257,0.2031712189134537,0.022216867417565345,0.003136794088673067,0.20648839698073276,0.0030155586469768902,0.022829979907719178,2.539379911382572,0.08911406988225945,0.09479645267363201,0.19278652045730585,0.03151888295556966,0.028082157737592775,0.004698795588930715
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0822222996711073,2.7544923458982735,0.08026071729828121,0.08836291215648617,0.19818297617091907,0.004810373848168847,0.02605279865298904,0.21700298215436506,0.018600018037689958,0.00965714335340695,2.7321629731151478,0.27530344840799476,0.22207089973033778,0.055052966348644095
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08026387100788468,0.0015813613932382786,0.010037324370404832,0.022054680028737228,0.0005290233521551002,0.0005531744086588741,0.019258150301071475,0.000897075619988863,0.00023899609644906228,0.10572656447116735,0.024784442923122874,0.013130757048219865,0.0009319120665098879
C16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9947109509929626,2.0351469037820356,2.742239813382499,0.08428347369743261,0.07790136301601491,0.19757226040247347,0.02266318852577942,0.004246896875802486,0.19061031862246736,0.04174383652441971,0.02390653179529932,0.001897262777800779
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026541106185334007,0.07875465391833769,0.007819793344723935,0.0010575215299255536,0.026610735605727243,0.0006085616637492297,5.713402288010094e-05,0.01619691201022766,0.0023986974806091688,0.004192210369059923,0.00013755606493237593
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0813057380623824,0.031097250963562972,0.007678962899936748,0.005486746911416818,0.00028960682044365527,0.0008446589729773635,0.024680725962358485,0.0060943328437134126,0.0019050632357896502,0.0005992543746082823
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9610218464724614,1.983719443467332,2.7315554715572636,0.08117089580925074,0.08091980116645614,0.015095156029548501,0.010277615690450922,0.0037630282866101677,0.00020653483633781278
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02621192728780497,0.08435640125941934,0.010407944100489619,0.025931549492127726,0.005449989826740387,0.011836318036508198,0.001090438917134784,2.1956871439465786e-05
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08389224490256053,0.0014526521161652983,0.008025403070230253,0.0020969174271696644,0.0007283057080781363,0.000672416939005549,1.0514180851295407e-05
