,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26O,27H,28C,29O,30O,31H
1N,0.0,1.0196700679628574,1.021847154214189,1.4629926613225503,2.0901564959945316,2.4676479124333843,2.5083870808285407,2.832771073173434,3.800502766613547,4.335055637822247,4.985130050428088,5.387581325419687,5.593914322863125,6.437970388185975,5.961744128739542,6.937607528703463,2.4858866307438645,2.77614999402692,3.7027424756225376,3.9944985327338918,4.927679721887291,4.897325376202837,6.045680737256983,6.91264548135294,5.849877421174611,6.577290823735469,7.192930738473639,5.644625296750613,5.435378427464392,6.925048744521698,7.418399303711224
2H,0.0,0.0,1.6149104327830865,2.034023036659865,2.2760111751739895,3.3338895611787716,3.3868206430620758,3.7906915945503634,4.517677971207557,4.83437560943269,5.7471473333688685,6.216438840024476,6.101575924820121,6.847288840262786,6.609358478557131,7.591299038615972,2.8008480109732017,3.0114573577852597,3.9251877040530685,4.266698985949282,5.102097168697059,4.966702094205439,6.068330343547069,6.910625420546809,5.700777747604167,6.704060738900575,7.407300862420655,6.044266394083461,6.020295439553534,7.2589135100425475,7.852113297766518
3H,0.0,0.0,0.0,2.015190947347132,2.8938493991663568,2.8473251927231003,3.0325506662878965,2.8207338307802985,4.256000836646467,5.015144143640406,5.269212952920509,5.477044137270925,6.204340545600608,7.1181477527061014,6.382316702207854,7.31232447107741,2.4922070910742384,2.3308749512710487,3.8475874854504766,4.339219207714742,4.868817073280841,4.672783309527848,6.139428714718252,6.8981818315493175,6.044566458211667,6.808192145605682,7.341617506720449,5.454437016112488,5.2209551871568305,6.679871614540393,7.118156075454976
4C,0.0,0.0,0.0,0.0,1.0959181179893451,1.5537171365978488,2.1260905184488386,2.1843902715797787,2.563330496337339,3.097259996320799,3.735211947097428,4.235096936367067,4.2838792071376215,5.151318073744035,4.627867337023432,5.593224464760561,1.5410874137736803,2.426532075490817,2.468888598638139,2.5893923732470654,3.8234967974081964,4.0635489653155386,4.881478859355303,5.826395745735634,4.787715627389245,5.2402722023880965,5.838243841118487,4.512503926683993,4.31197953417348,5.834250967850183,6.341185135316988
5H,0.0,0.0,0.0,0.0,0.0,2.1485781340276597,2.5292570298063084,3.0548084631103203,2.6684989594006927,2.6660411784755667,3.947016347267963,4.663796281644445,3.890749890038424,4.59524202282591,4.540425090192598,5.5222049148065935,2.163346926816714,3.2060738442037366,2.6252549760960244,2.452597478270116,4.055367669112346,4.4187012579546225,4.803391853127263,5.827243904952739,4.53528175643753,5.021157213754893,5.737293104416208,4.94170090628326,4.877383662117045,6.221317900937511,6.811565830690418
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0964723666657348,1.0975036976681556,1.5003432454734713,2.5166021290207823,2.5941721054594216,3.0591039402355213,3.585865544380384,4.589161564763262,3.6693269739458554,4.619451266733365,2.542182611418457,3.3781784240576327,3.1646817204980784,3.0014078842238767,4.417784063360907,4.868242924351523,5.532390782053926,6.481972574474116,5.675973343152299,5.594206816310136,6.018937348155222,4.63243035886366,4.049979398483639,5.992568483420452,6.294110311777644
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7655704799602696,2.14259092896067,2.8565510217342385,3.2648369714206424,3.7766731420694226,3.991238458776119,4.914157743482312,4.224254365070961,5.177679977288164,3.4390870196078813,4.188784517692558,4.166579848110379,3.9534441032106544,5.473884236212663,5.881089766433867,6.5456179300854425,7.5207201975773215,6.6023914265146795,6.573497796188051,7.034519055201118,5.727870359742346,5.112026723867471,7.087578856679602,7.371302636014691
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1389843454473465,3.4117678711965493,2.736809707791089,2.791778745456636,4.287988014472992,5.349011596340398,4.037154343645174,4.875282949587262,2.699571675020217,3.2078314610212577,3.4361020337377246,3.488819742675166,4.451439281420557,4.797753247049162,5.751070972691122,6.589514958445967,6.045157914774589,5.911261171370005,6.201966643739513,4.381450926877074,3.624997404301306,5.705356577089988,5.879262251726245
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3868659680956044,1.3749075931126271,2.243078708702607,2.1550911729280036,3.2102142298904437,2.194945428899565,3.175331671567779,3.1943190390503844,4.242273544328233,3.16813835746883,2.5862713385038494,4.315362055065978,5.060522758395082,5.156453650478918,6.145752281688434,5.403484042116419,4.845726450707569,5.199845692275191,4.384027768339283,3.7849115901032038,5.676708516042179,5.942718027645529
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2608305358748733,3.3190661382493483,1.3157847154510953,2.1391082305146463,2.2177277973852054,3.1851965521413366,3.8453039226549066,5.032022449610207,3.5687757230365853,2.72133160354674,4.770252069200439,5.600024734661999,5.248272123094698,6.309895674638122,5.309758090153562,4.733165399866006,5.225367981511114,5.105899188415793,4.738681155050553,6.321340788074607,6.700893568109453
