 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,N10,C11,H12,C13,H14,N15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,O26,H27,C28,O29,O30,H31
N1,0.0,2.039289081301507,1.8698032295969078,2.875454285875338,0.08716916006811293,0.20171289387636043,0.02770222490547447,0.003999118719349437,0.030832696181384553,0.003635217944415625,0.006237168593079989,6.17279805960047e-05,0.0008080458561262466,1.7824189877724272e-05,0.0020044897043598464,0.00020942879616969723,0.22432679893020405,0.05496534573990222,0.034569522610613065,0.002298878246218994,0.0075383589858180194,0.0004196751749337979,0.0014701796019525315,0.00033367218675472987,6.792262984078867e-05,0.00011080758009318625,2.5205517426574175e-06,0.0003774848009102244,8.047837476252845e-05,0.00011795783214983702,3.7490945985485524e-05
H2,0.0,0.0,0.02710468669657695,0.1099842405555237,0.009876520149034507,0.02997398598782086,0.0013429920121208472,0.0003287688285222856,0.0037580127995939794,0.00034893598029273054,0.0011741690520501447,9.541966966564175e-06,0.0001398801250828141,5.381002217141884e-06,0.0002563699584725576,3.762272330920524e-05,0.005911813032569824,0.003087611228999032,0.0005376566489500023,1.9700124549437703e-05,0.00016281489097491608,4.9644025010842086e-06,1.3046826185303395e-05,2.0324750125144675e-06,1.360731113564384e-06,2.6992918462642734e-06,5.47313883103584e-08,3.1821840718038175e-05,9.365056368504376e-06,8.88961218936668e-06,1.971529890232304e-06
H3,0.0,0.0,0.0,0.10794212464922492,0.032764426990126605,0.005299623379368512,0.0002360535684449161,0.0018269546049005658,0.0007953557016803225,0.0006262119913648112,0.0001294889415009992,7.856788586613206e-06,0.0001437582601312437,9.942868852474973e-06,5.911601507024855e-05,1.782964518426411e-05,0.02654791657006561,0.0672566489776818,0.0044328714437843475,0.00034270198653607586,0.0006480145666258874,7.816751806921651e-05,0.00011491755345205412,1.451901624527352e-05,2.3195747977933223e-06,4.102815167794649e-05,2.6249776727826912e-06,2.2152867883984406e-05,5.203552525201438e-06,4.687188366103712e-06,1.3375933494153003e-07
C4,0.0,0.0,0.0,0.0,1.7809792958765116,2.7595549479867474,0.09400971340100694,0.07760677694721307,0.1758559414182358,0.030451741796568704,0.04161682190554203,0.0002905319380692717,0.007394869449872998,0.00014424539852964102,0.009996544572861005,0.0006332563743312036,2.5680937574164244,0.27825492867934193,0.21742921409234225,0.012723914153450977,0.034680746610911306,0.005321251739592525,0.004348967547565641,0.0013357575952051004,0.00018866712847653844,0.00035234415070883873,2.7516962521900723e-05,0.003150499504922827,0.0006813777231534507,0.0008106854007792347,0.00016094227460750066
H5,0.0,0.0,0.0,0.0,0.0,0.0807783727121667,0.0034560508450929284,0.032139349986384014,0.013531258135382807,0.024368399183812728,0.0022553481586737867,7.920650414705577e-05,0.0018798703774862702,4.774584261180159e-05,0.0013228580626081232,9.823096705696699e-05,0.0997214037855172,0.025710117128620258,0.010456429646938714,0.003870151552873402,0.0016129161673219539,8.800861108770874e-05,7.522658525394021e-05,1.3898636970210987e-06,1.6678608363074332e-05,2.2091763437148693e-05,1.1615626847039096e-06,0.0004994305037120395,3.864897200644979e-05,9.845115580664476e-05,2.5765356366891368e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9984310880512188,1.9217676638432972,2.8499074125991366,0.1905667356535444,0.24613834697928524,0.004311641197213056,0.047334620167168634,0.002409789567208387,0.04350317382609745,0.002416467629249519,0.18232867872942987,0.038887998556259004,0.02691097492538702,0.0017213472135078067,0.0028959000572337246,0.00048274788867763707,0.00041134799816000545,5.629285280672747e-05,3.435209769797609e-05,6.753659168574899e-05,3.0682569980289287e-06,0.0013811879732566756,0.0009963367247683153,0.00032767627891483464,7.824458287264413e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024768004214391626,0.10283208143156397,0.013030263710621992,0.043182930691247234,0.00020437716664223338,0.004732860956804696,4.513055347232786e-05,0.008136721986004236,0.00029678620447270987,0.028042539428883462,0.004472171467043373,0.004932135961223105,0.00041506894050402643,0.0006043865573852614,0.00013657197583416547,5.762773531459153e-05,2.6742941527935216e-07,6.440529692230967e-06,1.3727317857314958e-05,7.010885934022326e-07,0.000368717518078876,0.00011016715628386908,9.113357711720838e-05,2.1216174981741887e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11023462450438548,0.02256099212029694,0.011311684121215526,0.00187553815811059,0.0033968235051826667,0.0009396900078388892,0.001526635302405266,0.00012807302879314086,0.013815239501022258,0.003592119243920111,0.0010076982666678003,5.125246981885212e-05,0.00013223413647422966,1.9162370059611078e-05,2.3877143330297557e-05,3.917556218979712e-06,1.2881868551861686e-06,2.6082333067778407e-06,1.2213377709180406e-07,0.00016608165228970684,0.0009483554200052646,7.463116536299275e-05,5.372662706504272e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4303454498711368,3.8328208165994195,0.11969165611705268,0.5435088148170176,0.03677922864224481,0.4929835750599364,0.029149812444790313,0.01182249162787044,0.003767816879000671,0.019873674244843847,0.02905695122357599,0.0017712322034469374,0.0005369924879541355,0.00025753189204122395,6.168209749835007e-05,7.797136744702726e-06,0.00024043182986394074,5.617340407382265e-06,0.0012903490092806835,0.0033375621571797437,0.00033612445090107357,5.0114169589665636e-05
N10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4145375259371804,0.026178595311337816,4.147586407972203,0.11042978146293803,0.5337274416686767,0.030085614329495414,0.003462416488359904,0.0014312744901495283,0.008889167095839645,0.026276095795124688,0.0010748903154315093,0.0002466718195667239,6.852352609551526e-05,4.8287493805698745e-06,2.3162653965957958e-06,0.00011646830840127131,1.5907792734193293e-06,0.0002366000386870848,0.0004993448686151924,5.674491902367407e-05,8.567993753594294e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0311921583542043,0.629764529493334,0.029335342527443853,3.454912656452103,0.10787663790751445,0.0037120673435852014,0.001983428372935095,0.007328877049286003,0.005704703585922566,0.0007958150588650015,0.00019349604374319096,8.774012481510551e-05,2.0430222638090356e-05,8.637115350929037e-06,0.00010084835778850776,1.841387350132173e-05,0.00397971968621999,0.016496926952831698,0.0010398167394458785,5.4467341188968454e-05
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030546412467447492,0.000885304989200586,0.098577835082726,0.00458255461681345,2.847785784632073e-05,5.3992452004880676e-06,4.937078201128209e-05,4.327645410429071e-05,9.868229078335844e-05,1.3478855593218597e-05,1.6760614102606652e-05,2.1004472383623352e-07,4.4198663342598365e-06,7.972969632064064e-06,7.874066030311155e-07,0.0015626748506363253,0.01098073728870197,0.00041720425536195815,1.7888277374256134e-05
