 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,C26,H27,H28,C29,H30,H31,N32,H33,C34,N35,H36,H37,N38,H39,H40,C41,O42,O43,H44
N1,0.0,1.8492890439489946,1.8730754023298495,3.1032355101336804,0.09248723752544141,0.205181240660878,0.01853672888421576,0.007103300628160669,0.034065593487326865,0.0008838081957052157,0.001010871523077328,0.007582275497372601,0.000454374177860567,0.0001809731531297043,1.1045153333721913e-05,8.15053009330935e-05,0.24698888601532804,0.0469330306697479,0.03961857508187304,0.0023757634421596174,0.0064964326254716015,0.0005735963489869045,0.0016392739845620535,9.573895381209674e-05,2.225042466008631e-05,0.0003889956729812294,5.14832393908593e-05,1.263852760668982e-05,3.707036811115283e-05,4.872794140409198e-07,5.430947302875744e-06,2.8132171925543403e-05,3.916271255732795e-06,0.0002095350802491791,0.0001092725378669529,6.6663499753705224e-06,0.00011858873106740386,5.836758008109788e-05,2.5711737067224405e-06,4.9926370156661015e-05,0.0006190183858354736,8.893386308121004e-05,0.00017885562116337628,2.927667893248831e-05
H2,0.0,0.0,0.027513838200140528,0.10669312650402019,0.006556714822610443,0.032006413834137715,0.00107933666699922,0.0005486582350908709,0.00466317132898697,9.930253285794777e-05,2.0931259667955615e-05,0.0019817381805569134,6.248314483536799e-05,3.909999528128871e-05,1.4716261715896906e-06,1.041015899039266e-05,0.007739849280329336,0.0012524378378051537,0.000823366084421906,3.9629248087535984e-05,0.00017950823171763997,2.4829417381688756e-05,5.559122973708419e-05,2.528575546523193e-05,1.4458627894953224e-06,5.7497538535900006e-06,1.3943809378247352e-06,1.7920021442296985e-06,5.049104289112094e-07,1.879307398588992e-08,2.809138366366426e-08,1.4535701897688824e-06,1.6437168559590987e-07,5.710529824565214e-06,6.972825498330337e-06,2.3261036778965405e-06,2.020649154887977e-06,1.3922518233844272e-06,1.9895286751392405e-08,1.4966234374025333e-06,2.119250523435756e-05,1.4853332317432688e-06,7.620239384942273e-06,2.6244346271742103e-06
H3,0.0,0.0,0.0,0.10397917419872771,0.03668575523993001,0.009558177114083799,0.00021545593159189025,0.005037666453815426,0.0010070063914966454,4.8744019057744836e-05,0.0004932583237857724,0.0002455059468953191,5.360186965475133e-05,2.244053722755268e-05,2.1533918204141855e-06,1.1936322563244062e-05,0.013843105205211481,0.02843067088763762,0.002392852054044492,0.0008197773586022805,0.0003781636677999689,4.841005703082324e-05,1.4300097261221723e-05,1.8930095828650906e-06,1.771868317845815e-06,2.1844185977837327e-06,3.223069662272593e-07,2.1108158332339144e-07,1.6274761093226786e-06,1.547470052098987e-07,1.6179589001907857e-08,7.790062803714193e-06,8.169088900888966e-07,5.9636366674276076e-05,7.145141911502062e-05,1.7871818540626805e-06,6.636787705671665e-05,1.648455890912448e-05,2.4783852297094455e-06,5.6442261974209984e-05,4.971065827130694e-05,2.937486795961952e-05,5.316841129809902e-06,1.5485587583352611e-06
C4,0.0,0.0,0.0,0.0,2.010055004559722,2.7085276307719086,0.0966306145245075,0.08396575805664974,0.15933555000625804,0.005345441363145298,0.00921922693776045,0.045781767343344534,0.0024377968843137254,0.0010893234972169097,4.8171862428558754e-05,0.0003887982889760888,2.666881221730532,0.2566859174465655,0.23843881078423695,0.018177636910707062,0.036476521493038094,0.003923125511023029,0.003590362631727295,0.000421983244788926,8.453055603641069e-05,0.0009051852727730014,0.00010966289647607042,2.9625097500485253e-05,8.130409057463539e-05,7.485076798374735e-07,8.345856084890357e-06,0.00027300801269924957,1.0207153944508107e-05,0.0030344516453890136,0.0006272571575286212,7.879133297117313e-05,9.423760418214577e-05,0.0007592890387159157,3.4084153068825174e-05,0.00046115131584834046,0.003807947385239069,0.0004359530461310879,0.001114628440184895,0.00023236182935992833
H5,0.0,0.0,0.0,0.0,0.0,0.07848421530180394,0.004257839856675272,0.034052983663132474,0.009182410354323212,8.09272834683128e-05,0.004589070511259674,0.0012052187528173164,0.0006293667544792214,0.00024118359516123178,8.626935276145886e-06,0.0001185063588282631,0.09911835743409925,0.020816647322529414,0.013385872345022976,0.01234622995964818,0.0019844091088145888,0.00030227056075582404,8.150690467390032e-05,2.3200083260510596e-05,5.719633437539784e-06,2.3073049981059413e-05,4.750487601068443e-06,1.8266228554164599e-06,3.872119042291899e-06,2.9070362983496523e-07,6.126731444400235e-07,2.014859430843341e-05,4.4426227250315975e-06,0.0002527275973422949,0.00011982026500212406,1.1999676846619067e-05,3.6026714811399074e-06,7.748183961131527e-05,5.854961210749465e-06,6.710155737055246e-06,0.00010168930354503836,0.00014760444236161518,3.238299796726185e-05,1.1417003022762273e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0335351942027278,2.024684486277088,2.903078708332719,0.08421282796662588,0.08443455597517602,0.20470920004860763,0.01562583208589373,0.005268401921076693,0.0009123924652190141,0.0016046200939197064,0.1883501990818592,0.035227741651205416,0.032180727914828886,0.0012282944953769803,0.004395799173368908,0.00028950347318046354,0.0009202836173171358,0.00020706782865187456,2.5119593832445553e-05,6.075506952658849e-05,5.134149686503164e-06,4.556722216220166e-06,6.634461538507219e-06,2.706986965694824e-07,1.0155690238766724e-06,1.319557158317719e-05,2.9230127476242984e-06,0.00014008614882521364,9.944892558176599e-05,1.9205427926993757e-05,3.595029917724535e-05,5.66980434173886e-05,2.710012666717887e-06,5.351836837608204e-05,0.0009375581919645881,0.00011354382692942144,0.00028092657128428455,0.00010039861565880326
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024564635787214906,0.08628891297821817,0.03409979935664875,0.004642168741068264,0.01823321636200559,0.0007041106736089819,9.337512359453015e-05,0.00028599927395434044,6.831671694484953e-05,0.03034052318792324,0.005348457610617863,0.0036326367184135178,9.34809462593833e-05,0.0008722893557435718,7.720991528303855e-05,7.27601269460143e-05,1.0895540339506127e-05,3.401384616408265e-06,7.06025149288525e-06,1.5151314358696766e-07,9.126955395899472e-07,1.4597966849771993e-06,3.5864116121331335e-09,9.766056874305207e-08,3.4949687481855563e-06,3.107734203311452e-08,2.9787151004656565e-05,5.969629792157427e-06,9.399260489928452e-07,2.6484960664596713e-06,2.0639621113538453e-05,1.6274539911265151e-06,4.641465163990333e-06,0.0001931206540419783,2.0150491054748976e-05,5.3414400445372934e-05,1.4704845782587128e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08140589700689915,0.005112689908976398,0.033172615330202104,0.008982498612474243,0.0064918078619107256,0.007597869537191881,2.1476194610681176e-05,0.0006494313994584999,0.011684440596047674,0.010527973235219257,0.0018402730807061118,0.0006678569165543546,0.0001746098464707746,3.1857333590679104e-05,2.2458122447277518e-05,1.722541317583648e-06,1.1817897340726802e-06,3.267162082321029e-06,5.653729107102379e-08,4.1949882634284563e-07,7.964077408662007e-07,1.8725092143512256e-08,1.4958649208196562e-07,3.1826665134460086e-06,7.312634744405244e-07,3.5739635831921746e-05,1.9259441830343782e-05,2.434179131372005e-06,2.5377309631480216e-07,1.6544006323671034e-05,1.1204505416806398e-06,7.046770874352681e-05,2.358812833835877e-05,9.051715085361955e-06,3.558061953290448e-06,3.5686326049777506e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0617351698165303,2.029463378339784,2.845028669047017,0.11638101164929054,0.006198096597542557,0.010125511671065679,0.0276570675658685,0.01889838432664434,0.004222676609165171,0.008683164506614799,0.001553991033831581,0.0006704696242351565,0.0001187265510457225,0.0003376641691873322,3.333622607826214e-05,6.9700059844857165e-06,6.665980266395977e-05,7.0341299945875235e-06,4.7581238571403617e-07,3.857617336150421e-06,1.2722489972638584e-07,1.4013523024214436e-06,2.085901527962286e-06,4.861500179087486e-07,1.2657403480137441e-05,9.661997167190184e-06,1.866288590002263e-06,4.68976771095253e-06,4.67048975041906e-06,3.051810917309439e-07,8.156050379959368e-06,0.0002648896428503744,0.00018010031289523998,3.54241156658025e-05,7.2789041180021385e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02410543757004091,0.09222996650235349,0.010822376216053975,0.0006402998640187008,0.0051126223486051,0.00047308235042931024,0.010275897752635377,0.0004244470078251794,0.005747004088528129,0.00042767252330766503,0.00036665698015858617,7.568898755616615e-05,0.00019374093713220297,2.9899557983048553e-05,8.663823679588845e-06,2.8449969800004027e-05,1.0306390878511706e-06,2.917216971987102e-06,1.7692130294122421e-06,1.0119346716130906e-07,6.000055361443657e-07,1.4330181169475154e-06,1.8055620021328878e-07,1.1359947462707964e-06,3.1966885326584205e-06,6.730479729100125e-08,5.19102512308578e-07,5.140588880125918e-07,2.803955549968151e-07,4.4733563964172163e-07,0.00033149133553189714,0.0002433212866331802,4.053916725044182e-05,1.2270455496121713e-06
