,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26C,27H,28H,29C,30H,31H,32N,33H,34C,35N,36H,37H,38N,39H,40H,41C,42O,43O,44H
1N,0.0,1.0188329678704378,1.0190332700907239,1.4609397015335512,2.0740848868338375,2.4483810619070208,2.575798682960989,2.7104688069577874,3.835978560815976,4.234405013663409,4.113123063415286,5.271056611143809,5.670442728181153,5.131743242321684,5.902789116318607,6.670352203099561,2.489134826425466,2.9326734495442697,3.561922360403022,3.8061768549643014,4.854277833409362,5.031732631216831,5.410625697970207,4.760446512419427,5.748740415663203,6.7526771162562245,7.443276634258864,7.320175770301723,6.936681583193215,6.792839866160395,8.015828675290503,6.387570398427011,6.860565600174321,5.515032258581353,5.044752797004446,5.015630249568598,4.567754181132362,5.568128909683286,6.265252094552103,4.777350728187946,5.944889043796451,6.029807204329991,7.0852782600278,7.779842382359931
2H,0.0,0.0,1.6401263081320125,2.059379402299204,2.3463920717261484,3.350413925838364,3.5011875280857034,3.669451833528061,4.612721093689615,4.9168737333122206,4.752102978351817,6.164651576002289,6.61488943721246,6.1079506036645075,6.773204770989803,7.636357318325948,2.7556381475754654,3.229075022578819,3.597412678648256,3.820270316676092,4.831576593936716,5.154552783927686,5.108684899473013,4.35607949461223,5.336986669907475,6.4755381550335285,7.043683293470852,7.152842306368466,6.701297810872072,6.438985841994348,7.7927317286568485,6.351954134608358,6.938945909783264,5.539963756300487,4.886277418149685,4.671606596491062,4.471445606935134,5.821987596178687,6.597343747734376,5.140649295503864,5.972770384098116,6.050835214980639,7.1461942917940435,7.85214090886043
3H,0.0,0.0,0.0,2.039552920124823,2.923859598766512,2.7145005684992856,2.958733959155385,2.548781347679594,4.165816838462135,4.452504133164795,4.666701943674929,5.470081793919297,5.536906799194816,4.854945416307703,5.733597356633414,6.521454761918022,2.6386196207788495,2.621140179016549,3.9001190873782736,4.361033828077872,5.018088416227474,4.993810176623094,5.540394956560171,4.819499087513913,6.04550833197151,6.735566554080725,7.482867960998889,7.3232189782997095,6.694905661653582,6.5186511684254365,7.744715620655642,6.003963327585838,6.491259242965403,4.983203502260646,4.491718450477311,4.627975272912876,3.876028359408673,4.903770308548161,5.64557021847553,4.051506296158373,6.245007509599213,6.505679027007127,7.266274881262962,8.034834053630146
4C,0.0,0.0,0.0,0.0,1.097993502433151,1.545468121052252,2.137109790495658,2.1563586139360456,2.585145987801314,2.8751573814662956,2.823973446966026,4.246477476296813,4.799736874373006,4.504940240320665,4.9057891911656375,5.848962711220149,1.5370527321859824,2.4282105510886445,2.467715650486588,2.6103869473847974,3.842586335012646,4.054153915011559,4.7263199516621865,4.347459921432817,5.055353767903776,6.103867031659387,6.873213487198217,6.49204098186662,6.489780013814889,6.567999408024337,7.545414905540679,5.913425318235933,6.219484459746501,5.252883002622881,5.106180664651355,5.088022605726666,4.856877972111089,5.285334536422297,5.8049675459869,4.575442917802586,4.7318425243099,4.750687339641563,5.886683230574649,6.513196724090966
5H,0.0,0.0,0.0,0.0,0.0,2.1638056991962578,2.4923660217800623,3.0583318989346036,2.787188806167396,3.163683786578245,2.5791556765173524,4.486385288013492,5.38842651292072,5.2506220423409635,5.514239628407789,6.401717101162609,2.1641804089961467,3.2923766793310043,2.525831439190982,2.240602970121887,3.97940162597176,4.443633725317556,4.818098390173732,4.545052792282479,4.909599639137992,6.299830278587031,6.965992503588441,6.663027829515727,6.912646472981381,7.002110100559152,7.968805206578431,6.5216407923898565,6.825079561237262,6.016134693896622,5.846635238028405,5.67296601202708,5.695668019454038,6.189779732607858,6.681344617669298,5.558861695524408,4.621472647162655,4.378107249286314,5.890476608210928,6.40156987643191
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.094053443600429,1.0978012205076342,1.5330536703337554,2.191465142377772,2.1716244774792544,2.837337541560955,3.396298837590246,3.122281633723156,3.7130664152324577,4.396822653225985,2.52590714509377,3.1049575704737995,3.449201723161267,3.5408365262554073,4.668872218186826,4.639557175431401,5.832522107414265,5.589130523157161,6.253060802659839,7.089654470548151,7.968865511748553,7.308809828869096,7.402234904894075,7.61238697169558,8.396023586441043,6.592248726614886,6.7082918880883735,5.893493929053279,5.9802791073617065,6.171790112333885,5.6585637602956655,5.580895850340725,5.919410520508218,4.767559808832765,5.342816410719376,5.3324976374823025,6.361614507704843,6.9125866881526905
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7638880384411473,2.165569808692898,3.0891201618379336,2.521998576023048,2.995255250282288,3.7918925087809665,3.4531892869592964,4.359699118055523,4.645959746477939,3.4496679385124307,4.0481880521868785,4.353547221853612,4.308554462042646,5.6599427587036875,5.703061373920782,6.754800708529776,6.447150359495984,7.093321405300655,8.072871515253151,8.908875651420628,8.33448990812908,8.395382454735358,8.536587248192593,9.41078127467013,7.6139148979008,7.771654920363308,6.851264178163691,6.81921171263533,6.984420498262637,6.39964637608951,6.524038949670101,6.9049940383771125,5.653035836710947,6.29450042964115,6.157610516481101,7.36788129363129,7.8742008739616685
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1724375051892477,2.5405399334639234,3.081144138493633,3.074483216095666,3.0020283438396884,2.445304118863591,3.2954010875931212,4.006873147130597,2.728372338615097,2.840762048416526,3.8643883146109075,4.203452801282607,4.896334972278637,4.632215504937641,6.029348672435821,5.721526341391608,6.6149113824902726,7.139032273585882,8.082015373036109,7.366655012601535,7.229400223465226,7.4311148486840075,8.185682517285873,6.251217926409731,6.345128332629787,5.420989361394773,5.563092962343772,5.922770457959228,5.14951905537595,4.9046759892632705,5.2300623283130685,4.013419211875097,5.725539665496207,5.921537162552272,6.600123903076903,7.234454888129638
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0979708394418533,1.0968849368854328,1.834133796368741,2.8253718306558646,3.0801306992531283,2.9927832203182754,3.780034339351149,3.0958854094554904,3.793018930924993,3.521820073380334,3.406207065914589,4.539887669790917,4.5158508959354915,5.941311395208459,5.981022640677865,6.300723119418729,7.1251416440318485,8.030038261289157,7.120885990799771,7.621481418644609,8.027405990499359,8.53720786674008,6.826454032875495,6.743060701368234,6.377644062021131,6.726498776714561,6.9080257497112045,6.588305251936751,6.04714852225938,6.159869801193616,5.379195037813301,4.786131413870508,4.635185548619008,5.706946552733004,6.092493426150293
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7641240734777712,2.4196838053303877,2.9202797062951955,3.2809818975380725,2.668648727453668,3.9169828186271136,2.798023601137621,3.3784394917304614,3.017190393689159,3.052343303246917,3.7573575178286815,3.61899512666042,5.248775202714807,5.419025879843607,5.689713737754189,6.302352648508922,7.248513774879659,6.200110850962653,6.803266695018597,7.313525148210188,7.661310035151451,5.991327848398612,5.8137834976179334,5.683165464849851,6.200047995622118,6.4041331036336375,6.197672193842289,5.376148163006403,5.383457745248795,4.842831279515595,3.9365821046803395,3.9564289357668683,4.729684437656894,5.144769360613281
