,1N,2H,3H,4C,5H,6C,7H,8H,9C,10N,11C,12H,13C,14H,15N,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26S,27H,28C,29O,30O,31H
1N,0.0,1.0205222429852372,1.0220113914031126,1.4630079018621214,2.077257480401375,2.4569289773132903,2.471810470553021,2.859934958940427,3.7886403154477177,4.306840608269898,4.98769568207034,5.418818948148809,5.570684590984488,6.408211685217563,5.955342632268544,6.93034478800598,2.489274342985231,2.754262672670027,3.730630941583901,4.043684758716532,4.921842381609734,4.883221272716688,5.651050474004583,6.585793816115226,5.183859748425281,6.473961493318271,5.521157523190939,6.030289264488861,6.1457372962539365,7.169446118420378,7.863564943271755
2H,0.0,0.0,1.6082990524883403,2.0185244359667656,2.411107810148504,3.3323487802725094,3.4615552491759147,3.712581332615704,4.555616826608417,4.9606629116909415,5.741086673290089,6.176833837706447,6.2082558001640225,6.984152740702733,6.6522153459810545,7.614935198763492,2.542781389454625,2.3845801421766195,3.893101872992163,4.41532928514927,4.905134086261914,4.7770427536276205,5.416344092081517,6.304183008486422,4.778577975512082,6.344159563300217,5.46130043113567,6.1858679108378976,6.4878637513541975,7.218453069633233,7.998438713400087
3H,0.0,0.0,0.0,2.0310962656697784,2.9227557951241794,2.641291875786622,2.6793265244627165,2.6363239838199863,4.110511379971066,4.887240445334973,5.147760925752564,5.38417482058629,6.091832664943703,7.014279485257182,6.274671856159584,7.210187935242464,2.73207338454336,2.8635664123493276,3.9262595597137513,4.258096762899581,4.999776222805474,4.7838281800301905,5.917966468953888,6.765060725042952,5.517694469538123,6.936316637657037,6.108439098114484,6.017616175180441,6.124513958302923,7.107230966444742,7.772984104637149
4C,0.0,0.0,0.0,0.0,1.0990443488230635,1.5479231598725718,2.1213823043220272,2.1874766119016553,2.5722940638389837,3.120390433593167,3.741595591443503,4.257452263510611,4.3039560403151516,5.17287941187022,4.642826552201444,5.599690841502653,1.549700190653403,2.424297439646152,2.49725902421163,2.658266957478301,3.851009656223964,4.0799633603335765,4.628295652844323,5.631353070177969,4.35919424245963,5.249159945545363,4.262903935879469,4.847999857495362,4.875160893635476,6.071157086311424,6.714385109114171
5H,0.0,0.0,0.0,0.0,0.0,2.1416069900845964,2.535451035822841,3.0537775656028705,2.659477684087071,2.6767975316060393,3.9310073845267457,4.66326386535565,3.8920515672857787,4.599266532582699,4.5314346336606,5.502936601380355,2.1376108413112154,2.975362263762728,2.8642739222249105,2.9393930011016844,4.2130449087570225,4.633771934672452,4.689257477084996,5.75804595102981,4.364981137790339,4.9739362520909225,3.8117212226288486,5.2354263687406455,5.25924546929193,6.458620282365289,7.105650281769485
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0967812454849462,1.0985131641244017,1.5024487372311017,2.515848877329117,2.5988407556892463,3.0710329666867406,3.584341821297554,4.586927533251216,3.6720984681273476,4.621796130158297,2.6131970640959805,3.666254808439205,2.991252388190735,2.64289550747349,4.3812775068224274,4.699995878731759,5.439414089205838,6.408859312488941,5.437888587944228,5.8870821774142525,4.918941300462845,4.940571167069445,4.595396709039501,6.255203235780074,6.707665965435428
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7637632618992378,2.1308712907264566,2.8293881341120755,3.2617489897536425,3.7737949520590295,3.9653285561505287,4.885838545290849,4.210217974011961,5.171081721794545,3.4880701074629927,4.408767089340465,4.047572394637958,3.7208078766995594,5.448431830647096,5.716967497568955,6.453441000138601,7.442620789229186,6.3628180313941485,6.855279424069126,5.798318397266032,6.035643196365193,5.655572965203726,7.348521815269669,7.790941059926191
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1394060465202744,3.4102758567515896,2.738059980526695,2.8011852097835823,4.284797068847416,5.345603712294565,4.037078201632551,4.874047546708831,2.7948944833055016,3.724129353670485,3.07320534936631,2.771186163809743,4.277347069934788,4.421973011874611,5.554220682754865,6.4144103874674565,5.640799107296973,6.229326331318287,5.445752216250291,4.679567425373561,4.302817024067202,5.936247831108188,6.337487590347243
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3845343593785004,1.3775281175093597,2.250880447417026,2.1516274150643047,3.2064381289921413,2.1957012972044705,3.1757549981158246,3.3096889568547856,4.522060451171341,3.101399541461902,2.334996729064774,4.428758797844078,5.046389360963881,5.3868428195157705,6.363154168207292,5.599657232941746,5.396777139520197,4.4039988151219625,4.670835690084664,4.079623726719778,6.018204422704424,6.330688471508743
10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2611449804911583,3.3231459403023904,1.314406265435133,2.136906054227708,2.2185868082442797,3.1868719059241113,3.960892848971004,5.137504042759584,3.7737860076077046,3.0671952101756506,5.080119122040881,5.840714942383817,5.706388662662655,6.738740736817621,5.850858982049033,5.328896131984699,4.157835751070225,5.409764080528723,4.880024040690162,6.723259387381278,7.052941836451271
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079482293301811,2.20926297135166,3.24316754050653,1.3802635757812909,2.136517091575548,4.102974619431301,5.307469730355404,3.483305250877763,2.514533761229867,4.527916438564689,5.2078835058110595,5.599675220401764,6.450155401759776,6.056021542365731,5.506894116940395,4.747403010460552,4.304494073378602,3.416149690407359,5.591818795725766,5.6991702816469925
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23685992268276,4.222913343551675,2.1572920694209863,2.549768017479908,4.407825492447443,5.529302798478658,3.7023402221533743,2.795220720004975,4.531777931877137,5.088104095229253,5.7810061403523765,6.5109555409700635,6.332056790235676,5.886213944857005,5.326802138731764,4.058435954462425,3.0482715272188985,5.261940895068088,5.257955973237082
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0822919058354366,1.3656790862832886,2.130018479609987,4.895720453503753,6.098198791808865,4.378388602465373,3.5118184129552033,5.484594790117165,6.370340335400432,6.058507984010764,7.012432776259064,6.394913272024161,5.377431872533414,4.345640049219576,5.495060930900027,4.788258232050492,6.739403052672145,6.912011317717011
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1494166307376887,2.5526659254402815,5.754493376079381,6.918941879237523,5.2205469180988,4.403070540694752,6.2453084200680316,7.194873168877763,6.621663012757418,7.556986088001114,6.952648916025302,5.672529580173535,4.642881975084919,6.241673559245912,5.5652653214597345,7.414913165650275,7.5592341445966476
15N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009907171244429,5.013026382779633,6.2328426437321465,4.270961377102478,3.2747857135208838,5.217911029459414,6.06882613648161,6.023881081876566,6.870053577940369,6.539551021170872,5.494397018898769,4.709112421683702,4.894258218389774,3.9695306524996035,6.10325107047481,6.125543607942454
16H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8410682523188635,7.039511365642062,4.955155371069252,3.9513592917953737,5.711797674729948,6.59410393061456,6.4827218789684045,7.232048648143574,7.116340955360773,5.820897065712589,5.203258150683222,5.142532277831147,4.113188195018721,6.228659186829788,6.099230566634157
17C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2303957111096535,1.3671292579629477,2.0761181325731615,2.4457868822558235,2.5791146984031488,3.2454511924625478,4.177583463686462,3.0034327824003486,4.231942772664687,3.5544542080445614,3.6606543717638735,4.0041294352638355,4.753745077609395,5.50136410289736
18O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265619220558198,3.1703321392010575,2.752722032268889,2.468221351160968,3.2853484595409186,4.047961555756345,2.7492714826610127,4.620572919084287,4.148343514098567,4.159436719972516,4.7658322812877705,5.004851249536366,5.860606972954089
