,1N,2H,3H,4C,5H,6C,7H,8H,9S,10H,11C,12O,13N,14H,15C,16H,17C,18H,19O,20H,21C,22H,23H,24H,25C,26O,27O,28H
1N,0.0,1.0211386538816856,1.0212236292054142,1.47169094296421,2.089293183530707,2.4423240242647646,2.6443712621015423,2.7039378103590472,4.127514448394598,4.424380226205934,2.45203706844564,3.055563392460888,3.2973708451477277,3.2880699808732827,4.397560408563716,5.129430283261171,5.393902640606977,6.291592613195961,5.284273254925427,4.54774352221785,5.954358889881825,6.847651958127559,6.399620622495627,5.371486698018196,4.306729131897253,3.505773183135951,5.621455534504108,5.80043056369174
2H,0.0,0.0,1.6210563154197406,2.053155175985443,2.401040916145654,3.337167280300605,3.5950410647559283,3.630278058931125,4.878137771726687,5.0826568450488505,2.6167784340541593,3.3293760130965238,3.0874275020141932,2.9857352080658517,3.975704287967494,4.640810162823973,5.141271873001638,5.918846942382832,5.109706331798187,4.5215647742130916,5.905433022469488,6.834648618609716,6.294361162234231,5.4956426604912485,3.6307493924188514,2.7172360853839312,4.895414114730351,4.99867157477552
3H,0.0,0.0,0.0,2.0367911146580227,2.9304226692536512,2.6526115660643574,2.9774753426024545,2.4806422815340055,4.400428468434194,4.484089149225239,2.612731516376744,2.780740940569895,3.666888538226442,3.907404901436493,4.599162565820638,5.4786882028626405,5.3680228668360455,6.279266448970141,4.9931973921638795,4.1960804899908375,5.994640762846382,6.7778536986547175,6.596507816481404,5.403587974390029,4.399184721434899,3.563236655910599,5.664190150906088,5.780513058532369
4C,0.0,0.0,0.0,0.0,1.0971223235182845,1.5296091588284604,2.1472505255494854,2.1636450173273163,2.834298867801535,3.1246501001871274,1.5363572429086865,2.406200453466151,2.455566510784553,2.489750136910903,3.8156279755076534,4.477325355753725,4.705082082655667,5.690519955590766,4.821951532607877,4.062464208296864,4.935841745189732,5.859311143333207,5.298959606812148,4.2306047915060425,4.247306538779442,3.83124084374546,5.589909146613571,6.006053635062824
5H,0.0,0.0,0.0,0.0,0.0,2.1498605149974814,2.4673290360214057,3.0596880581642676,2.9997867211701066,3.5498549561451687,2.176546839394655,3.2810073741097576,2.5383614452306653,2.1443394636082216,3.960757555453118,4.371216111127583,5.049370597463136,5.960684522203241,5.434950359447127,4.790480530520551,5.192461443102425,6.2007600192750525,5.332019229873907,4.552019119977582,4.494721153983662,4.160555086489073,5.801730578044402,6.263027531097647
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.092754847744389,1.0933010374208976,1.8400530493586014,2.399723197372913,2.535639190852615,2.894239918468931,3.6620223236557474,3.808648233130682,5.014499206552163,5.706740547223198,5.595730317169037,6.660402769013926,5.570900145838118,4.6850157164657,5.520643143990027,6.306118933557453,5.951266783223842,4.598770648216113,5.595098187747117,5.220724800939674,6.917946583764914,7.360146258499666
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77212473617444,2.390284306447457,3.2963892170101823,3.4714626956748864,3.9191722579803123,4.504497691030784,4.466830622989099,5.90002215245815,6.532953705302262,6.611056206695088,7.656800021312741,6.600979498152284,5.718323542899963,6.566187324466743,7.378471578111903,6.933457676682369,5.653817031382302,6.374135474492502,5.8688518513781895,7.717432913875871,8.095681048567528
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4258600248114686,2.5385890099195114,2.7706520476869643,2.653242414024159,4.083223022604827,4.445498994585433,5.270420765635872,6.106453969392678,5.6347623001267015,6.713572633171401,5.342367247298457,4.386586862595309,5.625021913122234,6.2803192558541046,6.231775072885416,4.693226260444291,5.738653282205492,5.326637671049961,7.022333574880533,7.409560246234626
9S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3500802416859166,3.2973877083942433,3.6154915794671165,4.092850195154876,4.23952055708213,5.403790170862524,5.910610656595726,5.740194309289482,6.793760070961782,5.957911256858873,5.158577829754027,5.170053338523693,5.86835004432045,5.430674410711064,4.136515821561799,6.393688983401155,6.333889937309006,7.6293898815545145,8.251152314864767
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.946559944284436,2.8919903878543463,3.759580586353853,4.206173083341093,4.840337940371094,5.441718398053351,4.841395295759152,5.901310724444077,4.955163533775579,4.1740503421948585,4.162644970665293,4.722977567474932,4.588943753886645,3.0774127662221047,5.914166330057784,6.014647372249628,7.054708951911156,7.722865876577551
