 ,N1,H2,H3,C4,H5,C6,H7,H8,S9,H10,C11,O12,N13,H14,C15,H16,C17,H18,O19,H20,C21,H22,H23,H24,C25,O26,O27,H28
N1,0.0,1.990960170417515,2.00949208699123,3.0297650945649073,0.09096074341358407,0.1903745138383493,0.013637878800240588,0.007726768012002672,0.050879170483831164,0.000988671210762293,0.2743910375482721,0.06102305604761228,0.04306296685964778,0.002668435792369972,0.005628476410901487,0.00010221569643931172,0.0006971953856737545,4.431597141263399e-05,0.00043255005725056916,0.0007582870744446968,0.00046735962548030696,9.548751174870418e-06,4.301985912391615e-06,0.0006536498171186844,0.0031157548919553135,0.00940243872653549,0.0011261188782483444,0.0002761607708972047
H2,0.0,0.0,0.02722340453615546,0.10754736577512725,0.0048487458309616205,0.032119768794012016,0.0007713131089774894,0.0005171919229012278,0.006277729576684377,5.4113014333667664e-05,0.012094201243204927,0.0009066686733431029,0.0044535328627534065,0.00019596097847940364,0.0005579131048106811,3.061095877221476e-05,0.00020881394363181371,8.845662577305902e-06,1.4920559764042274e-05,1.3710324272997454e-05,4.100393595773966e-05,3.318534542717799e-07,1.2328554950258308e-06,9.730734795487805e-06,0.004757961819908063,0.032894474632761406,0.0020481731966295325,8.997986966607918e-05
H3,0.0,0.0,0.0,0.10190782760096906,0.03699021928321233,0.012109715662601994,0.00025658885303614376,0.006309884382199593,0.00221516339706318,3.960994710139332e-05,0.01289557764577276,0.015099268527556275,0.0017160201530164176,0.0003290049876707446,0.00015151380406275283,1.244068807615406e-05,3.451746970284386e-05,8.187330085451805e-06,0.000104007576400722,3.800939208087328e-05,5.1450318520385174e-05,3.136009184112609e-06,5.0157507900383536e-06,1.922646864271904e-05,0.0001245516854647688,0.0005563238730365017,4.2480840836467415e-05,1.726010455671556e-06
C4,0.0,0.0,0.0,0.0,2.0699550132142877,2.8209113138530015,0.09626609662185848,0.08875192839800072,0.20078508147478277,0.003303790605418966,2.7367731176757424,0.26337366544894236,0.23868170970394795,0.02721878323539384,0.035661357858296494,0.0017412931644491536,0.003333864761766031,0.0005665264001635251,0.004452262263708789,0.010776975941857003,0.0007929863250110969,4.502446627552281e-05,1.7113308260707782e-05,0.0007396058509105963,0.002295339710672778,0.0016245354546697427,0.0006056191554536378,0.0001388705522508138
H5,0.0,0.0,0.0,0.0,0.0,0.08343612574589288,0.004891827882491651,0.03362777926719529,0.015199636736237365,8.313052231190277e-05,0.09019126807765598,0.020855403861756328,0.012906779795139434,0.017063400554130803,0.001720238591095935,3.4147566553732744e-05,0.0003663294607356704,8.335629977040959e-05,0.0005290467801556398,0.00033136525181332033,5.923038258659474e-05,2.586881911348371e-06,5.626941424363707e-06,1.5200108493429454e-05,0.00010995619480813623,4.249842741510523e-05,3.301082007145517e-05,6.604615525152013e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.133023481239639,2.0910837760426695,2.860059559574687,0.05214243153493192,0.17470728896213808,0.03839960893640357,0.030778313278895936,0.002770616727280961,0.005003023540248536,0.0005891238373079144,0.0006171156847909198,0.00013077874667777323,0.0005294059663272649,0.00043110248440358934,0.00016214755260569869,8.754966248525342e-06,3.563046691024141e-06,0.00024414077899859166,0.0006117715307400184,0.0003829942632058575,8.354589820654124e-05,9.025894419423253e-06
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02621474247531763,0.08642846347685251,0.023284417695962345,0.028866504761518863,0.003730800908085641,0.0036329856063122,0.00013191218847841135,0.0009571130095324953,0.00010769221110562555,2.7643633074392326e-05,8.923520849801747e-06,3.10831017712454e-05,2.1312999364475615e-05,6.134600589258188e-05,2.965496099349707e-06,2.4704638335037998e-08,0.00015135495778673125,4.387150889284541e-05,3.7572590807166684e-05,1.4506016811632882e-05,2.68301649852809e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851805976817328,0.007693767831237208,0.011243012186698875,0.017942234105805643,0.0018094472115682825,0.0011578461658006134,0.00014083664448039102,3.394424199520962e-05,4.2951404737756604e-05,6.000129075145466e-06,0.00018912296750606128,4.782705039430013e-05,1.2476180365594836e-05,5.103088127622613e-07,1.3151014743861822e-06,5.3584761037228645e-06,7.079798294284956e-06,4.560629113026238e-06,2.3217760487526107e-06,1.646037706137804e-08
S9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0990579293309732,0.030386724217610586,0.012860667011201525,0.004570367320583066,0.0005468379319149008,0.0005886677509503169,2.2102934007284247e-05,0.00016515049407087035,6.456152302025675e-05,9.250365813102956e-05,4.4260144343444274e-05,0.0008471816952225,3.162439133352901e-05,1.307886506318745e-05,0.0015769412018807882,0.00025241125823352584,0.00021068582039289463,4.771816422920183e-05,9.73664076142633e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006266381132962406,0.008692326446623877,0.0010809263954612014,5.583674677955841e-06,0.00011154866662543839,1.5466286242826754e-06,0.00011989019427294245,5.2067300760905155e-05,3.0475936962481853e-05,1.7732142223447767e-06,0.0006414810888928368,5.376176379745523e-05,4.57362568810904e-05,0.0011690438855647134,5.6161084548866924e-05,5.822594821291993e-05,1.554984511509261e-05,1.7441665447481824e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7956245372071455,3.5810840479696635,0.1485792081855445,0.25259220133520677,0.022567936549735323,0.01950899363400946,0.002415314322853357,0.01921511341244403,0.034027769288299314,0.00813916293544259,0.0003873236176967776,0.00027664323167253535,0.008777610274464998,0.0433089581593015,0.02559553273114093,0.008945838609821066,0.0014497686789637365
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142540884070309,0.02826354231768835,0.03745859189183473,0.002262493262168541,0.02112235070364235,0.001726804356426248,0.10343958931740746,0.28300622865368985,0.008249607228335107,0.00017798626364551318,0.0005590743678679511,0.010626007446047692,0.011901429792147256,0.004413027720598893,0.0025702938846129952,0.0008532943375545443
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7822856556690434,2.7888585202083274,0.11061326842275065,0.14940849505319614,0.02347629987727684,0.015457732076682398,0.002199098456445503,0.024170997467700198,0.002769067502770728,0.0007118756021022854,0.004848006636049229,0.19518182124034406,0.035179594700972136,0.02883616169554959,0.004844321896215975
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10426781886687797,0.008958788228290437,0.02184468677592022,0.0007965035643162643,0.0016149118775120597,0.00011782139211624632,0.000772823357668595,5.6720616834926574e-05,1.7936823655473333e-05,4.6314362788457686e-05,0.005159628976573183,0.0030401119452202474,0.0008147042055857145,0.0001246705892492539
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9440010426130656,2.559098359342488,0.11161133570547754,0.21210279332294601,0.012340622617063368,0.16604963951381002,0.02999351441502074,0.007037268299542543,0.007790605392669736,2.732030229097409,0.27553778311223337,0.22000908033788946,0.054554554400568445
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09243297848070209,0.007632374544437104,0.02341127443671409,0.00041130759686835994,0.004958722504733171,0.0005434880060670721,0.0020379925484930173,3.297238803123825e-05,0.10635594316391717,0.030878185808425607,0.010490137482921491,0.0003889105818106753
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0162587198330426,3.1813555566652556,0.1161916150152108,2.875459447160598,0.09943817621804674,0.09358702860603829,0.0886968761980198,0.18356743057841932,0.03999044774851035,0.03153251132998863,0.002191295583462427
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10751115375166487,0.031028096858968457,0.08598256935841808,0.005960676126174347,0.0033501974836187554,0.03297491053263424,0.006439631121319511,0.0009947111131644037,0.014101051544643028,0.0004233290267199319
O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6634415794224309,0.2094576490168409,0.010092734867593545,0.0325967084879506,0.00723739295166026,0.055571628183664956,0.006461801930094491,0.007036588529806931,0.0004514647179879594
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011633575601471824,0.0002966942742905765,0.0005197808824497496,0.004447986013927485,0.0023404557582455965,0.0005326461273263972,0.0002669799176030496,3.5568175587918915e-05
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9883535591220785,2.118104793015771,2.0713246327647825,0.028980002176110103,0.006869831818784082,0.004988325577789859,0.0004775019758838095
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024744517004758437,0.025018847635501107,0.004283322109198018,0.0017747881295163692,0.0003186252928371047,6.44197259302981e-05
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02461632451726614,0.0008878933504177233,0.00045468242223434263,0.00018909279832501902,6.459558608895577e-06
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000460841512265997,0.00031626701361020526,0.0004949539652010504,0.00014220348868176913
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.897078308403067,3.4619675740773026,0.17205381824921873
O26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5090247701956419,0.06241311461221832
O27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.812307922614007
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
