,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24C,25C,26H,27C,28H,29C,30H,31C,32H,33C,34O,35H,36C,37O,38O,39H
1N,0.0,1.0219112405792838,1.0235378536866875,1.4733625388189908,2.0995131251883064,2.4590465579415706,2.596475761934091,2.6769226552438306,3.88829528055313,4.6075426707157385,4.270288705348239,4.506420525989533,5.389589113610251,4.475112428675458,2.486242145594252,2.77393191269189,3.6732569867325204,3.919838740682006,4.872733826496575,4.856387316971063,6.077154534601259,6.808559117039342,5.859643031820748,6.96020870187886,8.180342721124207,8.50090181720726,6.87596271110038,6.10595733409186,9.164689497694244,10.127215580210365,8.010535197909771,8.19176303727885,9.085800849138145,10.264109009769658,10.209321379014517,5.546554966122797,5.531454310991381,6.632768518134609,7.152225246309732
2H,0.0,0.0,1.6032045475483772,2.030131982204115,2.302591231276366,3.330615762783202,3.472792256706277,3.645071023296625,4.636282848466106,5.454088441383728,4.9590154472284995,5.032321644731167,5.941883936853275,4.7617888706667735,2.7225196395929014,2.914948100392743,3.8131500710353703,4.125244045416783,4.91129402654234,4.724696118259677,6.020547683421785,6.662469649107949,5.684090383374553,7.063891298168617,8.305021063059206,8.558544190841891,7.0814959351530655,6.307929801339483,9.38041450803472,10.344892119797038,8.306095546092664,8.545072321717592,9.37808623257938,10.613964299857786,10.600632780679707,5.789308218829434,5.9770368997825924,6.771117280566714,7.3927069211227945
3H,0.0,0.0,0.0,2.0068137197839384,2.8956251496985006,2.7938700777865297,3.1270922875033613,2.610790518074239,4.220985400279974,4.8858834809694125,4.413151645285964,5.093889412486829,6.043874428909153,5.092650916052326,2.4930944517894438,2.3321083518965975,3.828242133089328,4.2904733493117595,4.83731623013176,4.717362754729697,6.202777089456473,6.845588071025212,6.142382726394326,7.1233309335329436,8.24066367780117,8.467282021089648,7.181814167836257,6.528736082054694,9.25315457806076,10.157314671858211,8.313464662609414,8.578676170749986,9.282735522059369,10.466755529441718,10.477188521509397,5.2986051276069945,5.2493258041011535,6.288488455457372,6.7333623069474
4C,0.0,0.0,0.0,0.0,1.094329148038538,1.5466833805385602,2.127400474314381,2.158215021895702,2.639502042161651,3.5422955405648957,2.950135030575805,3.1817458829436402,4.206691244234733,3.0915016382687686,1.5456184561840904,2.4351054911981285,2.446683638084035,2.5173548332336217,3.798279277798423,4.059598593831636,4.903605719251984,5.756356210723026,4.725035869163082,5.623030066135712,6.868901583692289,7.289920004220921,5.439793333735821,4.667192392411128,7.784399924996823,8.770634983106907,6.544956555185064,6.721617292368999,7.6393983119253255,8.804845201999271,8.7390632554725,4.498752104528085,4.444769101287341,5.715007455192327,6.2438367851209815
5H,0.0,0.0,0.0,0.0,0.0,2.1458531202737685,2.441180735798198,3.0461135198321143,2.856911702639154,3.8094886667873165,3.3070153033483267,2.8182597829236875,3.769005405958294,2.4919385188500085,2.1540255883774817,3.212425980055809,2.570950183783433,2.3069055879006357,3.977385042108682,4.296314797380544,4.779849882572542,5.68337133064524,4.377063786592807,5.472957344665661,6.813084082675799,7.309176122205166,5.156476723707945,4.252667531162318,7.709604572050852,8.74455648269978,6.2800320304247155,6.384590926341334,7.4752975361018805,8.6421648573446,8.525416910735952,4.9360148771434496,5.002969282659618,6.151957305013054,6.77059852227349
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0974328411772571,1.1014740640472842,1.5444926342303995,2.15118070325341,2.1699064782901423,2.609937492800589,3.4448073240112107,3.1485097413011074,2.5706269550588057,3.389392506658913,3.2102209094539975,3.0247703223653013,4.516458723502869,5.02592627833723,5.589753310195165,6.536515336488776,5.56640432523213,5.948506736167178,7.11195611510299,7.66321758541294,5.5224599926404245,4.775209088160772,7.80331475074265,8.772186550440516,6.373616082898159,6.384195399692367,7.471682552613386,8.483187106962916,8.308995253372478,4.827087128265393,4.38137537604782,6.145633305001951,6.480293960139405
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7615662204834368,2.1737588579560874,2.446870566738285,3.071864935120744,2.8962046021775745,3.397824256781402,3.5963887124070903,3.479756090814023,4.2722021749159484,4.149116738425107,3.842435671130675,5.5178827990390085,5.993015776179618,6.512324785033498,7.48238386529799,6.369685759270216,6.854507639247289,8.063225787610335,8.66187076943821,6.302759722532723,5.457024877798335,8.707470304849652,9.699560681672947,7.093772983432344,6.969987341587152,8.268372762650637,9.222902709531581,8.95893831000914,5.914045682982112,5.468058912877904,7.233862600474654,7.577716402779519
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1708572697055035,2.4781620778496056,2.466979109132246,3.542780003793116,4.3442076966873895,4.110214258277625,2.8192582033354143,3.269477939294066,3.658137737494347,3.721736495892068,4.77811859163051,5.206023373697242,6.031481921465772,6.897386543519868,6.168265096772803,6.4063960659865025,7.446889711483636,7.912502388044851,6.117779331237967,5.507517485710122,8.13749853165666,9.03713126348537,6.928419792746009,7.00751211937413,7.8999274768752645,8.88609671747191,8.76518632596241,4.79931708848113,4.210681982241695,6.045157839533506,6.254241164795044
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962691590404956,1.0974357178061152,1.5564689591066079,2.407436557063793,2.4108712361727016,3.1716397983372207,4.159426986964439,3.1768066606240066,2.6589327672339858,4.33882578332519,5.133617354891584,5.124896198953046,6.155481938477722,5.189500493243236,5.097850604230906,6.198543982322774,6.902014123383657,4.432414886676579,3.741119578256384,6.682198259224217,7.654261238580282,5.069502059290444,4.9781389702893595,6.1806249373952875,7.091953456243589,6.851689355456637,4.504400686012498,3.9155211591765964,5.869481077049663,6.1356552269990345
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.770463899022708,2.1619381958856914,2.494984565712874,3.288706173542457,4.165237455097593,5.043887225321503,4.233160138412861,3.7250028796640473,5.314035670655531,6.131928717650603,6.081608416848269,7.106604496155345,6.2042677821871335,5.888541063229491,6.880244868267761,7.628188670956594,5.118792711019244,4.500502391613904,7.1934498624879915,8.116077967516635,5.515351236283632,5.276840003028442,6.570958295500787,7.314957740257617,6.982852053295955,5.278538660533628,4.503199855667242,6.616213396343387,6.753995695153392
