 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,C25,H26,C27,H28,C29,H30,C31,H32,C33,O34,H35,C36,O37,O38,H39
N1,0.0,2.0244156040453536,2.0124507150593622,3.018579311605249,0.08692882923884981,0.19647397027907595,0.017014737089454224,0.008492167539850604,0.03465599907033616,0.0026057815824434005,0.0005547602434874399,0.0027949399654471074,0.0014122210786420772,0.004029743825896492,0.2204645450309825,0.05914355662296278,0.034259949278041005,0.002304699470207505,0.007422822080022623,0.00026493996391951935,0.0014083570611884144,0.0002373268622505309,9.367157043249641e-05,7.055140537448601e-05,3.7125327265699615e-05,3.167467095055443e-06,7.20922073177005e-05,3.469634858133119e-05,8.397491311054606e-06,2.2210524619481475e-07,1.0163480077263198e-05,7.623721576255349e-07,1.8910052397069776e-05,4.506418151389857e-06,2.0112257859139504e-08,0.0005822706820623746,0.00010034047764297116,9.745189481082106e-05,2.3059953395465627e-05
H2,0.0,0.0,0.026169434298078054,0.10486609485085496,0.008630607392191791,0.03166829277433003,0.0007641782303369204,0.0009349813326604561,0.004479418533986146,0.0008357642817198307,5.852050883059512e-05,0.00017319642722168904,0.00014275232368876623,0.00020711409957496763,0.007743152789697949,0.0055917676052223975,0.0005872305884816464,3.795965531994128e-05,0.00016164618155423138,8.23497295376896e-06,9.250899829837955e-06,1.4172033548920382e-06,1.9931789281280032e-06,1.184075664406592e-06,7.600798557216848e-07,2.7829715643079567e-08,2.8906504014880596e-06,1.5792816581150504e-06,1.7161355614359053e-07,1.6367653898896606e-09,4.5139372439884085e-07,4.524821206608465e-08,4.341236410354554e-07,1.0698785490870222e-07,6.826204046461726e-10,3.289398600558879e-05,1.933558137157121e-05,7.877187123250806e-06,1.5809199509497773e-06
H3,0.0,0.0,0.0,0.10749037849518506,0.0337537430253374,0.007717637465727956,0.00019395692608559223,0.00449779450970178,0.0006476535503660008,7.859439034207938e-05,2.98678480712411e-05,0.0006281633587343904,0.00019737972147915173,0.00065312702372744,0.025611433314564058,0.07197338229182892,0.004115119417377078,0.00034420862626460824,0.0006126672388678811,5.682100008241875e-05,0.00010551864298025126,1.4397153605072432e-05,5.3825558832265585e-06,2.376914888213566e-05,7.069344264643007e-06,3.223214022352039e-07,1.2866359979768482e-05,5.3920152713882175e-06,1.48782050457541e-06,9.129948219666062e-08,1.3790431052651542e-06,1.8217431496658776e-07,2.790332997992806e-06,7.043202246981295e-07,8.614508884008387e-09,5.741913163315182e-05,1.681921492968641e-05,2.6844389725555473e-06,8.161069484646788e-07
C4,0.0,0.0,0.0,0.0,1.9994270915912862,2.742899119390788,0.09660588748810661,0.08185820496821061,0.14437742439457862,0.02862211756588584,0.0050505106028666535,0.018330611573842137,0.005428120374632389,0.03495640836422377,2.69339208888693,0.2736860248737608,0.22845935819335522,0.015613939853531766,0.03645821658916534,0.0034838369735996633,0.003974766581347294,0.0010765753262906852,0.0002755463910615319,0.00020990374833096404,8.64535373897024e-05,1.5152587878874968e-05,0.00029899878409511693,0.00022309816358689893,2.4416990173303788e-05,2.5491332111826637e-07,4.676597349546896e-05,4.586693065133929e-06,3.060263418877551e-05,7.321450404537688e-06,6.455000989280535e-08,0.004604817368202868,0.0007781541056692542,0.000894949962858313,0.00013152406129435246
H5,0.0,0.0,0.0,0.0,0.0,0.08265139120591292,0.005874102962507122,0.03503795636684326,0.005679214251520959,0.0003649879682710022,2.720420062063411e-05,0.011152904477248482,0.0025666599053367767,0.039119332483489866,0.0976797523921129,0.023808927744902064,0.01191758193142467,0.005214102576322155,0.0015586984110644853,7.479778125918379e-05,4.471649099113684e-05,3.7829628984908936e-07,2.2761782895175386e-05,3.143275544248425e-05,9.973457716250245e-06,2.336186665674589e-06,0.00014839238921537934,8.758774382888745e-05,4.062930705650558e-06,9.902833664199306e-09,1.9254677023794464e-05,2.665960482817198e-06,4.501168604287287e-06,7.537543569302585e-07,2.633142281993628e-08,0.000639628864396391,4.225889787057291e-05,0.00010333140208951264,2.272815083115276e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0893371568697896,2.0347114619832833,2.880836682458055,0.10041114030686615,0.08575180075888555,0.16461527177126814,0.039119034482291815,0.028520761591158572,0.1722663523422296,0.03361741892240237,0.0272696069055237,0.000705888699625179,0.0030339379643949116,0.0006577941171936885,0.000287193759941462,3.216928878879699e-05,5.423561533057786e-05,5.478692440771815e-05,1.618689694372899e-05,1.1544329643342621e-06,0.00016107580967716917,0.00016233234773133098,1.1130866417033425e-05,1.3156961609084306e-07,3.0706365785296286e-05,4.752197741542119e-06,5.21741858386382e-06,7.568498254645339e-07,4.490167504478393e-08,0.0013950261414864273,0.0005797757887576888,0.00025250795090377143,5.392465417319858e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02184139837752208,0.08262678005781265,0.006285566305304524,0.0339654574934547,0.006313538651850026,0.0028035013364158257,0.0007050383298454754,0.030357423472552103,0.005027085377335316,0.0036227673523077097,9.195200378075974e-05,0.0005267820652412603,0.00011655679719568823,4.189194391091e-05,7.914271665576678e-06,9.147181055269016e-06,1.0420512070785648e-05,2.190941139179614e-06,1.9892783709174466e-07,3.104266776765563e-05,1.4056749522373124e-05,4.5758889009039905e-06,3.4749934041400365e-09,9.18466821819841e-06,2.355358996730672e-07,8.957232031647777e-07,6.57555694338896e-08,2.817814870326174e-10,0.0002700771264614321,0.00014458549413798316,4.860254059724234e-05,5.603467004622331e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08588648288897494,0.004119738859427846,0.006019402743502322,0.029383295386071984,0.004886822287074599,0.003115032303789844,0.008323629292652734,0.0026962254232960614,0.000840052131904967,2.653642266059464e-05,0.00015684367513690844,7.813766532693833e-06,1.72773339111032e-05,3.6980768576277967e-06,1.3106707088539338e-06,2.7272449416582134e-06,9.694880465094258e-07,1.521649655167323e-07,4.8968731327647674e-06,2.661429388362002e-05,6.89751729066046e-07,1.2557331841023256e-08,2.1206590932187908e-06,1.5916703888230188e-07,3.0721920007970027e-07,4.617803295303702e-08,5.080807774504592e-09,2.937427174387608e-05,4.930304131023355e-05,8.35588571090895e-06,5.120868455943395e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.020483693246968,2.0110837113774016,2.66578243212334,0.294963143674424,0.26566483772673016,0.01322548600770787,0.003323738944327484,0.017833107587608504,0.008881047620876936,0.001511951920408261,0.0006284196377677187,0.00015898739550102015,1.5210819478417292e-05,3.4352927512748543e-05,0.00024263480128944304,4.7236378048834404e-05,6.68982951457231e-06,0.0014160456094430285,0.0029939000433329976,4.9320744466813116e-05,2.8432601029138027e-07,0.00021176079196524866,4.4552899441052674e-05,2.827184697928864e-05,4.987169404460645e-06,7.049328448749392e-07,0.00156856738389069,0.006330773091066888,0.0006661877893153617,0.0001425793583298418
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02508728330529575,0.08565229963657961,0.021256463197872666,0.023209715880988302,0.001788415682158817,0.000895006047712199,0.0009944828074732737,0.0005951099035199636,0.00011576951729264096,3.7697135486736144e-05,1.814276875844456e-05,2.881907725349464e-06,5.793104321583087e-06,1.9720873974504727e-05,6.691848201567652e-06,1.712744066351135e-06,0.00013229775067591376,0.00013746179855100848,4.232391404013214e-07,3.9200395152150236e-08,1.1277806816867297e-05,3.1275714293954593e-06,2.8161845380125783e-06,5.946808223633582e-07,2.8035325838615677e-08,6.605383282765054e-05,0.0001243988712857913,9.303821321582362e-06,8.367514103824192e-06
