 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,C24,C25,H26,C27,H28,C29,H30,C31,H32,C33,O34,H35,C36,O37,O38,H39
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08729293949361194,0.027491005661184342,0.012422478700860773,0.005115557668482484,0.0006940627899909568,0.015567075042869805,0.004338554092711888,0.0011332477106456018,0.0005709153604744888,9.39299291207174e-05,6.596371606715223e-07,1.2934897326566386e-05,0.0001693840958756354,2.1883667790767447e-05,1.767332081792361e-06,0.000662760319168898,9.972435788485612e-05,6.720402094972933e-05,4.9015181247114015e-08,0.00010938455996933882,3.3397190539741217e-06,1.32381864261788e-05,1.1462018789654138e-06,2.6147690679323432e-08,0.004075076070710448,0.022302080616005693,0.0016977503196751176,0.0001146776402478622
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.439109449458009,4.195905130491407,0.0030069716192354934,0.0011493569396618941,0.018215016573535303,0.04026243168857935,0.0023952691170773255,0.00035080658212982563,0.0003573341488668502,1.3031305162725104e-05,9.549440532863329e-05,0.0014447923086895464,0.0003861902830926134,6.246060862391545e-05,0.011886594478365486,0.01737460507244415,0.0001360653671673151,1.5631110530378578e-06,0.0014798708242259873,0.0003325495788117916,0.000316576323028811,6.548186395796685e-05,3.445338624175065e-06,0.00023036377599783275,0.0004958819567435768,9.720113816819032e-05,2.802553260528029e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523746944437987,0.0014149316690872243,0.0003513838142369108,0.007075281686384327,0.00969864514568497,0.0008206111703250862,0.00011769120965299251,0.00020613717266854126,7.171380175030606e-06,3.3111625456938576e-05,0.0005512047881259807,0.00016190830307490772,3.252146996424177e-05,0.005459326492572254,0.005333582408750259,6.199937186056326e-05,6.392999428728174e-07,0.0007720405531418187,0.00018131184307357273,0.00021578820714492075,4.148479608101496e-05,2.7419337184086956e-06,0.00015580905882600637,0.0003229431633132718,6.742772462884489e-05,3.981319127321914e-05
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013989299374624203,0.0038994703647873274,0.17016683909310856,0.38678219772858613,0.016159086497165187,0.0026196094848180973,0.0020664121725461337,6.999693679499153e-05,0.00041926132157532603,0.005972854954015283,0.0013364474088660844,0.00018549071843643183,0.05872560863098199,0.13121895696069186,0.00058188280867566,1.2590429017134142e-05,0.0064818683577439334,0.0005766846180743634,0.0013023001438867837,0.00024097040791812296,1.1798036463117612e-05,0.0007828685528294688,9.224711808998587e-05,0.00043072760170248525,0.00021262062438831553
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8222931829531515,3.6059852654321953,0.13298009593893156,0.297534903031192,0.025939483773944394,0.03270686294614336,0.0032097585179360344,0.0019243408942200002,0.002175018636854653,0.0008017300491506285,5.268247688317018e-05,0.0009754897419824715,0.000255736024079134,0.00019098786490046038,7.885075581359757e-06,0.00019221207153496955,4.3614839937422545e-06,0.00020896452916149832,5.1204527554554735e-05,8.417355292777984e-07,0.04442034562806435,0.009530434145648053,0.007488722525558933,0.0010525443283848634
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5427774447525996,0.018906588729417084,0.08079753642098397,0.03783628139118633,0.009675825347225234,0.000946527459114388,0.0010919992287818925,0.0019459456763789573,0.0005104547575491697,3.7896725359587435e-05,0.0006035451792252983,0.00017374262182157096,0.00013327124965296921,7.9211267181023e-06,0.00014051148366575616,4.3145514643239125e-06,0.00013198894788449267,3.139463796829334e-05,3.577525707898488e-07,0.027564664471130457,0.004931522479109787,0.003182709984321727,0.0006963520005159873
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5902673334060293,2.955179770141799,0.10248125991862367,0.17095024884005605,0.0201129556367321,0.01803683689894542,0.010076102859858771,0.0031439231362447723,0.00025057008800866143,0.004268644126097759,0.0017733424847217183,0.0007957842120584618,2.061903522787567e-05,0.0007625394863895602,8.644708753280383e-06,0.0005944703349010927,0.00017327254855294127,2.9707421210778406e-06,0.195866172458942,0.026132702629777155,0.02932434260942783,0.005088479669977275
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091301814338557,0.016744253274361576,0.010171249065803023,0.0004902947848717254,0.0021218835240619516,0.0009858693844539967,0.00018238647885604475,1.5727116223995807e-05,0.005842030742902349,0.00931597118026617,0.0002228481207693367,1.889582325942385e-06,0.0004847769198084162,2.667535198064286e-06,0.00035674313952838155,9.476302637745349e-05,2.0661203918859172e-06,0.004930880693713502,0.0003515835041800752,0.0013375239102791925,0.00044787608731544637
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83913920056768,2.334853525606324,0.09322808597493037,0.09167124655679282,0.15655711775475306,0.03588537609159939,0.0006197781083052689,0.03069903594472853,0.0004546972250258907,0.004750411822026124,0.00024684950411013595,0.003282966734187792,0.00011956977088178888,0.01082799311115848,0.002568106551172261,2.3105503177189846e-05,2.5896999747916505,0.26153113483904056,0.2143251237529892,0.05482627633066395
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09131764475373405,0.01002576763603047,0.0019008503069497529,0.02183679359320112,0.0024764960303205186,9.819678468514503e-05,0.003566967559521683,0.0001081419732298361,0.0005806515340218699,4.382595690199942e-05,0.00046948596340401494,2.5859116913107272e-05,0.0008167066392483768,0.00020268747862539627,7.709541484768323e-06,0.1137695224623807,0.030599794743263575,0.012562169799296807,0.0006485809590157654
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8892222662320342,1.8267899971692314,2.8509749186084745,0.24545155796504736,0.016070587015340365,0.2256820501220945,0.011616051686617501,0.03612092640025058,0.002458760830508,0.036492464014496254,0.0021511776262623794,0.020534535066257825,0.005149310164158552,0.00032468437151644824,0.18661225584197058,0.04455540852679213,0.025970738217081374,0.0019297358483201243
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025325471673846245,0.09669610382521832,0.020885387554802293,0.009224589802523608,0.0241859818006529,0.0007833871483002852,0.0018079592052611115,7.272559132331935e-05,0.002801822866558057,0.0007088742084571109,0.001338496878316775,0.00026987123073130004,9.287629684728849e-05,0.0028176733273943544,0.0004540221326587712,0.005523462919760358,0.00021450536151235156
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09419003724684538,0.02840296526835595,0.0005160657826186466,0.015409622728720374,0.0021010488176269604,0.0029354835665736934,0.0004837740466059337,0.0016656228648932458,4.268197599288648e-05,0.004659778494839006,0.00106420231700044,1.493707991273574e-05,0.02683913818205297,0.00409016625162506,0.00431532601875162,0.00046658286820355777
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.711695744543853,0.11937818996290628,3.4841399305651817,0.1261779746602023,0.3329723631733625,0.026328972935040662,0.32652580357572736,0.025681601392473885,0.2666878116096282,0.05175499827713427,0.0015802857857125652,0.0345185810492622,0.0056364711244182575,0.0047569909255971154,0.0005332248529699157
C25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7889362168820218,0.3319025429325475,0.026335260993944898,3.956339629245606,0.12757553561772284,0.29753817470292043,0.004004601292953547,0.3426844903537775,0.04095739293401787,0.003763786380347245,0.01017399708178296,0.0017707764381746788,0.008435677271061384,0.0008654134677148484
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028680995002811516,0.0016507953051179136,0.12907536579401158,0.008408949132496346,0.003600698633494659,0.00042132061979827107,0.026441049019729768,0.0030490884011229458,0.0013231363015973052,0.0008061608823251021,0.0004649468352388997,0.006383231510223908,0.0002966861109743313
C27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8854702581529463,0.3054758575491081,0.004016355161448715,3.9581031706956376,0.12722429221312104,0.3514581055100394,0.04456338469762916,0.0031630019035767676,0.004555503830577623,0.0012606220055146056,0.0008669882058140177,5.5660670388535394e-05
H28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003375240666207091,0.0003584456997525187,0.13806679657828214,0.0091117395273006,0.02482336006216146,0.0029324771121134185,0.0001850783236789777,6.868486928701678e-05,4.448918089727805e-05,1.7938959950281053e-05,1.073130952766732e-06
C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9514103150592497,0.32154969139176937,0.02760759983387695,3.468909817885634,0.29225569624066094,0.033417732307834735,0.0008930580155736556,0.00031153800269359544,0.0013479822754053628,0.00015271001347061386
H30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028161128605588726,0.0020305480820421717,0.13227326361373914,0.012290024614869832,0.0012022918167267083,7.395192923054239e-05,2.4374890170042463e-05,1.4944983528719646e-05,3.358890212634691e-07
C31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7769497705549353,3.707954938347944,0.3062087659814561,0.03442030987093436,0.0014122264177235389,0.0002891053775235103,0.0007242391405890836,9.904778745750686e-05
H32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13000068514668617,0.013233270866774838,0.019756769174590127,1.8221499077597514e-05,3.965190537691399e-06,2.446196229133335e-06,2.298554101276551e-06
C33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3307251361943457,0.13400183904987173,0.0016853114953575832,0.0002487127337490874,0.0002692796265045816,6.619500755000729e-05
O34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6583440448405888,0.00040292358131241435,5.4474006405902387e-05,4.579136418107754e-05,1.1500375731166024e-05
H35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.830671980065148e-06,6.586115728346442e-07,4.932605180751892e-06,1.4855588728046598e-06
C36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.358278440194829,3.3450485602115743,0.16935696377507847
O37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5040788247684441,0.078195879692733
O38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6461593891699362
H39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
