,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14N,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0201152121371866,1.0216419638821692,1.4641348112369508,2.0821024792671317,2.443876227334358,2.601342063143206,2.6773602730655193,3.854399062929828,4.596116026496376,4.243656862468049,4.406975322379962,4.653622729853498,5.111910181041827,5.450248438088723,5.830536800459104,2.485234718687162,2.833914158770347,3.6410408646927124,3.900035411686076,4.889227649261413,4.8379480650553,5.755613939630749,6.683537840593115,5.388954441149401,4.588758677851802,6.319306629515047,5.337721622094551,6.327107295033854,7.139068797631895,5.7006914963790365,6.893365930929847,5.923238617747549,6.0664051623678805,7.022576108806064,7.694246401983271
2H,0.0,0.0,1.6209339727826253,2.041702456084279,2.314899377890238,3.3322943023772056,3.4953923496166306,3.6461578145054627,4.618703718657558,5.457080943639596,4.931475544917639,4.972725837945786,5.198479872419286,5.493773577582483,5.841526942895477,6.126092899552038,2.7473435678731053,3.081204648528191,3.7312759902131716,4.015430204731246,4.91394973193635,4.890779106751894,5.518342891216064,6.4772402215436795,4.920467745395217,4.02403449116907,5.750624473032267,4.9052111348288525,6.062545232688104,6.757481106673785,5.406669144255979,6.762019044894908,6.124290917757181,6.3892784339684106,7.1900233786564725,7.937234804865655
3H,0.0,0.0,0.0,2.0177226936010144,2.9054850844418945,2.748054373662172,3.0779674428268113,2.564741043007635,4.176436680321295,4.836291324327768,4.407152141849402,5.00715760068475,5.385649262853395,5.699591151862356,5.8923788071628,6.509188864910886,2.544770637216687,2.4276657181394388,3.8727972087015967,4.344236988820986,4.92990988551411,4.653074433550226,5.8852509501378005,6.7072803287396265,5.480051033384437,4.816058381781445,6.447649415641111,5.226049732259231,6.67637916284911,7.4960825005690666,6.190908207201098,7.242276628003096,5.967695828244623,6.22475410627848,6.941412051136046,7.634527934142337
4C,0.0,0.0,0.0,0.0,1.0972874103634296,1.5453037645807666,2.1356219389926143,2.1596977224940352,2.6079117567115295,3.5256457637748824,2.9118148317584542,3.1180462873756496,3.616420118824765,3.7076186347714026,3.9903054025114058,4.493815226935009,1.5420505600960097,2.4189269438226875,2.475210770444508,2.583663378204994,3.8385693769289393,3.9971175604607794,4.86074253737855,5.796605308977978,4.8606990670391905,4.162863597000068,5.854771871472646,4.974349824619927,5.306760753297724,6.230063591101991,4.6985735701429965,5.716732097789938,4.678609414017115,4.681837461651654,5.873185914637523,6.4661371320854775
5H,0.0,0.0,0.0,0.0,0.0,2.159356424489813,2.456581333998229,3.0571917512746025,2.8390238864842807,3.8145164640453233,3.25787710149124,2.7635563682244606,3.0924047759416675,3.218687409963153,3.705366060896034,3.8264166186267885,2.1721344368261444,3.261953574459411,2.5641413158169915,2.2962255210460114,4.010085107179695,4.424523597109196,4.802636260697242,5.827480499767951,4.832569499199299,4.020906980640055,5.72626129139824,5.173839297361604,4.936846924057274,5.811625972009482,4.154143508255639,5.352213626142199,4.829102992387897,4.725121001775708,6.105189370527892,6.672848086050716
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0937272386890813,1.0975773613785933,1.540222334187847,2.1536209925781975,2.1909073824497285,2.5374159197438235,3.0151211963410374,3.541153908147615,3.827094517450878,4.400284311287122,2.5406747790959057,3.2159081476255675,3.3521966691295315,3.3098836711189468,4.595095870020371,4.731305013227829,5.867032550114282,6.705131094281213,6.13711882198667,5.56106853315017,7.171629789650843,6.214093026396356,6.2662327163529365,7.280974632899089,5.713662270502626,6.446423074274791,5.009525519171489,4.721035449197552,6.197615343738579,6.604347237371517
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7694262198473583,2.162269347913387,2.4640359221130947,3.081070670837284,2.7596891688160654,2.767858072277401,3.981078851796978,4.478685657037939,4.6872854608336985,3.4627112168341694,4.146031613989151,4.2635597103632605,4.087780180519848,5.587382138871045,5.769183001502256,6.769465830530743,7.664452543708212,6.952941592665291,6.264239128357838,7.947024935357614,7.075296827145531,7.047062201626562,8.027321703182405,6.376972246854072,7.247412087531283,6.022178038359101,5.6541017526179616,7.245354792889405,7.63028802914152
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.164025229604765,2.4651995546849337,2.511340463660143,3.477872672909499,4.013389477421884,4.42545461302872,4.534594926977006,5.346139344724601,2.7732261049794507,3.0218343802663465,3.8007385306381942,4.001384320809266,4.849994643865705,4.746500616903957,6.22668986355143,6.961423595111932,6.453635201611492,5.977032439001912,7.5272880485528475,6.347693054937508,6.84533771419326,7.866532704666656,6.418556837515714,7.032130270764728,5.244041879211291,5.0704940841945945,6.289060023944569,6.698587741175337
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0966337373145656,1.095153381547477,1.528941274044183,2.4148378720407933,2.457539693913142,2.6257666263392,3.3683148918851638,3.1043092130585848,3.9226206372317454,3.3428987847362617,3.0378548655136535,4.400067209439248,4.747004712823925,5.732187127220994,6.484603367260212,6.371128225683767,5.944213563574038,7.382307103711665,6.583864727421021,5.928731204443227,6.999251831447338,5.454634987003075,5.847704977968894,4.3536495722155255,3.7381735726760166,5.561637548441328,5.771982434786728
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7650614201246846,2.1242013028209987,2.712225101957195,3.162789552303451,3.3110973462566125,3.9628044444473374,4.085694377583489,4.75529558591627,4.394231918171645,4.107443437893325,5.352477930528457,5.629650949740272,6.738941920874059,7.429048779396998,7.424721397041758,7.02575545850028,8.446408213012672,7.590596105560527,6.937969890876024,8.016945973299737,6.494996968879092,6.77023209402277,5.129470093595965,4.404288708198778,6.244509070477226,6.331041868203431
