 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,N14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.9226033668884748,1.983052382133979,2.920005971275748,0.08489276565791548,0.20666780996052536,0.016645397738838552,0.008177980255491324,0.035562104566334254,0.002577352448450476,0.0006566436634236616,0.003670142886953498,0.000797537049478346,0.0005802578858254137,3.485642635181474e-05,1.8316847742005926e-05,0.22087629211373055,0.05255518019789378,0.0343508968446011,0.002286597177777905,0.0067557194957881955,0.0005651952004754879,0.0015355948459532254,0.00028710531861286803,0.00011706742106494528,6.536236852916488e-05,6.288882109739546e-06,1.2502081666476705e-05,8.919922039905825e-05,1.0137654882447222e-05,1.758087029668509e-05,1.4496148059706115e-06,0.0004613440441007255,8.320013082172006e-05,0.00013189290240148144,2.6130124950674016e-05
H2,0.0,0.0,0.02715590490786668,0.10581698747622958,0.007763329786681261,0.03236760544274642,0.0008203184569091082,0.0008191736299383301,0.004598564192663246,0.0007387544924366551,6.763716516089424e-05,0.00031776124763183144,0.00011866335927401828,0.00013046702449159842,1.649205820797306e-06,1.4061355071426362e-06,0.00733015288319061,0.00243472196816108,0.00044257938569880473,3.68841031472833e-05,0.00015589037209129408,5.337343235156666e-06,3.302421014361734e-05,1.4563256836686023e-05,5.95831123402224e-05,6.827216720250995e-05,7.781544864471357e-06,6.601625972546543e-07,2.9284419322817e-06,8.88165488044379e-07,5.545653365413017e-07,3.77404720808272e-08,2.294659501977936e-05,1.3296953785824073e-06,6.613371691832626e-06,2.063569609411786e-06
H3,0.0,0.0,0.0,0.10570254111457378,0.034967241351293366,0.008355338520606548,0.00017186057937634835,0.0046501039753452655,0.0006080793730625089,8.782396781681356e-05,3.31307424992211e-05,0.0011151916355821578,0.0001750694509577988,0.00019898372349835824,6.755844661476829e-07,1.1637848764900482e-05,0.020971893240542716,0.051218139222576786,0.003668252505176328,0.0006268428952416194,0.0005957088077284123,0.00010165177604926079,6.122905867222972e-05,4.2170509120254e-06,9.64235101308386e-06,4.259132579287339e-06,2.111871744148175e-07,2.0455654763384956e-06,2.973269198602857e-05,6.324716248506945e-06,5.901733968416423e-06,3.794837060144829e-07,4.400287024819427e-05,2.1394271935815112e-05,6.397420968307088e-06,3.028566644136532e-07
C4,0.0,0.0,0.0,0.0,1.928418228655941,2.7742051622336414,0.09438610054908736,0.0828615018979717,0.1501638304952258,0.027133813079452174,0.00574032270072844,0.022027287452834332,0.005877909173763601,0.004189759418747066,9.485619733173856e-05,0.00030292107953211467,2.3922848263489307,0.2748344558835238,0.22169410399596995,0.015986279297832695,0.035825673661042445,0.007400482913471951,0.0037856425708955727,0.0010005185042847309,0.0004012315754031853,0.0001379079038219544,2.3189180889504613e-05,0.00010943499839433102,0.000410379616251455,4.936249801912318e-05,8.159867170620672e-05,7.882180955043339e-06,0.003393189301778482,0.0003440815012458742,0.0010238409554842176,0.0002239169170247246
H5,0.0,0.0,0.0,0.0,0.0,0.08091127422468558,0.005281676534350854,0.035142532235869384,0.006452657706741638,0.0006369593837896037,3.9405096680544816e-05,0.012815680246607286,0.0037397401139619424,0.0015420412840182474,2.826133914646256e-05,6.343657037843897e-05,0.09532141408620576,0.023283973269161318,0.012223967375430411,0.008291279123236572,0.0019781912412042413,0.00028463015630020294,6.432341676143594e-05,3.853995690805689e-06,3.9020545090751035e-05,1.9514159448563717e-05,6.799169255389259e-06,1.137014012719817e-05,2.5548162658650675e-05,2.999552826121743e-06,6.672456176692876e-06,1.959809359242115e-07,0.00022410069629597018,2.4966137132320654e-05,7.032046649879664e-05,2.02184244189052e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.7025100469847136,1.9687905634524492,2.6557546943898225,0.09497784945728904,0.08163626678288871,0.19127809407533766,0.04369397984855658,0.03021188271707964,0.001371494486494651,0.002547073515376974,0.18047984723306953,0.036479913822700064,0.027055172248759002,0.0007149214237768264,0.0034892537227547565,0.00028134836066906477,0.000577192110788341,4.3705131539062414e-05,0.00012975846332018148,6.885065377049138e-05,2.828562515322375e-06,1.1113183674194005e-05,5.1502942780043415e-05,9.960690718902043e-06,1.5890885651126396e-05,3.834652964052054e-06,0.0013721121633697708,0.0005877042881530653,0.0003209923117776792,9.113825350615112e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024198025489585495,0.08932208448542267,0.0055190435572245455,0.033528834520364814,0.009991710734202686,0.01387047658147611,0.0018304844224703576,0.0003360868410946516,4.403781334905155e-05,0.029075572577568654,0.00563033004915614,0.003005815047414151,6.189282884805358e-05,0.0006412722466748733,0.00013625578282994155,3.2372849924522384e-05,1.0675530836667946e-05,5.482842915127684e-06,2.6536125870002536e-06,5.511025475968268e-07,7.5129894971937e-08,6.86768636604107e-06,1.8135944570563112e-06,2.633570010956987e-07,5.522978030469972e-07,0.00024212974112058916,0.0002155018855584112,4.7632938146580095e-05,8.893076162586055e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08966709234029535,0.004944950353115374,0.004391929153532814,0.02867058096638786,0.004724779045512717,0.0030554575182216714,8.691150183914864e-05,0.0009284527379516128,0.00952758387114283,0.005656459415093962,0.0012260787273413731,0.00018602458651373333,0.00013666190815064816,2.930409475898621e-05,3.666726216944305e-05,6.940645109976273e-06,4.209667550658658e-06,2.1578303848190927e-06,6.754168959677287e-07,1.0847594640317482e-06,4.362123716683541e-06,3.604588343364412e-07,6.126554206176138e-07,6.924271511721258e-08,1.3488621155799407e-05,2.147492735926626e-05,2.00886751855478e-06,6.527425173707968e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0672041282376377,1.7346602841949608,2.7462435398365885,0.2952850258968792,0.22307798277246113,0.01404589392268063,0.04401786198394808,0.01725637556501977,0.003558756512294814,0.012721917090875834,0.0017101774324183028,0.0009957844360195811,3.578042368790335e-05,0.0005013402192093203,3.813104315186777e-05,8.384364614191786e-05,4.577713903475278e-05,1.6786267114099473e-06,2.3215611453242246e-06,4.100520722696843e-05,6.5161871729557674e-06,2.1172916276901432e-05,8.463786303591903e-06,0.002039737206598391,0.005887326538230028,0.0006715144426762826,6.610579460331056e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02608736968292824,0.11101992790659376,0.021272822272294434,0.02422168740736419,0.000154287618967075,0.0011414442353099297,0.0016795093397667937,0.0005524050590632879,0.001031448224816378,0.00019981760375320512,0.00011094434231440076,5.477209887860823e-07,5.0747410757723266e-05,1.2577191041085456e-05,9.732930414618757e-06,7.519136540290461e-06,7.684214797798461e-08,2.7315081241319206e-07,3.307300709409766e-06,1.264967566028119e-06,2.24895717071405e-06,7.656526983534917e-07,8.973595433170445e-05,0.00012805371403057375,9.77608066732305e-06,4.505729561232741e-06
