 ,N1,H2,H3,C4,H5,C6,H7,H8,O9,H10,C11,O12,N13,H14,C15,H16,C17,H18,H19,C20,O21,O22,C23,O24,O25,H26
N1,0.0,1.9590151708481334,1.900685528371166,3.012491619920552,0.09624209923870142,0.2045005191480216,0.011307702496703431,0.03096096037220053,0.03423349209023058,0.0023839550014543853,0.1656871210228582,0.03712736865225774,0.06426826691468743,0.09493027022400413,0.007883894455522789,0.0011155968005559513,0.0007690388250855551,0.00021057769919941016,2.6206373245463155e-05,7.710838175389867e-05,2.799703806917464e-05,0.00014988070813633236,0.0012334740374897735,0.00015268578962852886,0.000317168862888198,9.421468160797364e-05
H2,0.0,0.0,0.0286778529454903,0.1004599821389709,0.037690816188332255,0.009599076294025788,0.005550049274002156,0.0005880700851781384,0.0006530730461373757,0.00022368813600404103,0.010777348523902441,0.001601690759946317,0.014824600013935041,0.003758333610589082,0.0008832832083618403,4.174329494710527e-05,0.00010092213579537823,8.099488321078319e-05,2.2675464088628416e-06,5.353238209382383e-06,5.288668842418076e-06,1.4935722875808466e-05,0.000684819124044167,8.335879903698107e-05,0.00010156423778540091,3.892197089294669e-05
H3,0.0,0.0,0.0,0.10855079634487708,0.00492605715010952,0.01293603633134277,0.0005027477487613563,0.0018731421323332498,0.04811199922117837,0.00028495309029219484,0.030858302303420015,0.005826463476736654,0.006317941935466753,0.0013870223880405597,0.000628638296761963,0.00016391595845921536,0.00010779325433696307,6.426633443856744e-06,6.669721223762082e-06,1.8979632433913096e-05,7.048813049359559e-06,2.2475677799338456e-05,0.00025213908010035535,1.56182530310911e-05,5.912889017400946e-05,1.9558902859984073e-05
C4,0.0,0.0,0.0,0.0,1.9716473023142158,2.6203653167953305,0.08520774499606998,0.09435042874791932,0.21195722434700065,0.01475859002492863,2.577304560961948,0.29213307004752986,0.22976911259788152,0.019925786675583312,0.036534752690447314,0.0027000267646586362,0.004078842161477941,0.0003798249741022719,0.00046947048480427966,0.0007153424979343403,0.0003962971885589778,0.00020398553850450862,0.0036373039726542433,0.0007910588875207902,0.00077588318248277,0.00014102266337145952
H5,0.0,0.0,0.0,0.0,0.0,0.08734165091985102,0.03550128808136366,0.0045646610502962925,0.011803617113486764,0.009458625131652187,0.09768514929288785,0.024352865248360334,0.017813294736977348,0.00027213693818106677,0.0012993820720128557,0.0002436607443019323,8.701034756086745e-05,2.772766815728467e-05,2.5713832954021854e-06,1.2380757723251534e-05,8.776723671055642e-06,2.6354152095398042e-05,0.0008299033913528042,0.0005528973442281426,0.00013454154818826058,4.2478336587770116e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0318169289078334,2.093121796951414,2.9249872207608756,0.10485133761860777,0.18021914260458763,0.065178152527534,0.025650260640214653,0.004889642681459749,0.004833908676135895,0.0002370554056703167,0.0009321168576831435,4.820864030929961e-05,7.404710303049455e-05,0.00012336999218010014,0.00011557538176734661,4.2884392602582366e-05,0.0006666470015141424,0.00012374670486423045,0.0001130349491227367,1.45802715068033e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02814983702458229,0.09770756938781355,0.0361049430949405,0.00633224656741449,0.0019658360545244946,0.0004708589781929895,6.889751164917968e-05,6.74219916345642e-05,6.342306908990736e-06,3.558506758372104e-06,6.504450553723728e-07,1.3823958511238743e-07,6.877506757430041e-07,5.006540372276547e-07,1.1496567161595195e-06,3.757833009898626e-05,1.70840534727823e-05,7.982718645882514e-06,2.43736132321537e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09964435176768904,0.009317203708197441,0.010619884301492188,0.029598940383017136,0.002051994833293991,2.9132904011852645e-05,0.00015074889407773462,2.2068793010809884e-05,2.8288523975072977e-05,5.930418687682959e-06,2.2446449028379334e-06,5.31698552808102e-06,2.7273622197343528e-06,1.659591223335255e-06,1.641987376199694e-05,2.9432359132108843e-06,1.651365744925748e-06,1.0534159036179602e-06
O9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8283955595474597,0.034657267670871794,0.007802836420063644,0.00706869595401366,0.0007793845253470932,0.0017812239529115814,2.4917992854422977e-05,0.00028952875406998424,3.274262598418343e-05,3.13860607806804e-05,4.5542927215314055e-05,3.7888651115675076e-05,7.2107362187393e-06,9.170971960412166e-05,2.069936839265568e-05,2.466242258303275e-05,5.90640569597678e-06
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001453849492570658,0.0004166298973564686,0.0006698250893431013,2.8190140122230645e-05,0.00014510396791722613,2.472595089120233e-06,1.4467144827778888e-05,3.699586377692299e-06,2.2444716700764644e-06,2.1264048840619054e-06,2.316262100454658e-06,4.833984782459666e-07,3.206646802844659e-05,4.87204282384468e-06,8.68757478678095e-06,3.546151027267186e-06
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.059384194536568,3.4377498586905038,0.14501713139041428,0.26028866635577264,0.018689749777229592,0.02951691503761178,0.0022500583312787814,0.002194396242485519,0.002864518221423501,0.0015839172934987156,0.001579469585326121,0.0436386125844323,0.0145106691199786,0.007419687613639092,0.0011000521116267814
O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555679063512288,0.025627221180816506,0.05411753535257183,0.020006458297593732,0.006984095539582666,0.0011168432948671647,0.0006785271987297392,0.0008475831122637945,0.00023373821753831792,0.0009662405104372135,0.019365724749122043,0.0035772945173030424,0.0025086794357672138,0.0006767223995707283
N13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8971395437430338,2.8310232884655457,0.09694674684163573,0.18367600885923124,0.025608291841571873,0.009889247902477472,0.017150190575329988,0.007555077828157161,0.008611274423356796,0.19863700039033166,0.03323309334945425,0.028122842492919076,0.005118078775881885
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09526104677586922,0.023044561400245245,0.020720255183744207,0.013314883818867695,0.0003344493808077331,0.0016333867309479277,0.0006644425494574113,0.0016795757989310767,0.005659648526010863,0.0022561483543930283,0.0011772186174168198,0.00035001570202619625
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.885563944605992,2.5906450874992153,0.08754317804247624,0.07994376565726236,0.15103061200052728,0.04847460923259875,0.09740613166367894,2.4565516838239,0.2654532502512988,0.20663823936191528,0.05503623835550342
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08667841533296083,0.006273533011270205,0.014085939006009518,0.045978422711012934,0.009376766692443361,0.1385313739235371,0.11773163377200935,0.03029386629524944,0.010160908334503671,0.000552304769946943
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0309591355285717,2.0407760848831353,2.375547894677561,0.3253885132787435,0.29519880123006653,0.21776880308684227,0.04527926472201883,0.028346754962932298,0.001595456829816766
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026657305355736627,0.07910036602268367,0.015884654310893698,0.02193911014999994,0.015878611666800824,0.0026066030806680685,0.004673258058478513,0.00010166949675727288
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07638913881398546,0.01594715628053356,0.023864328890430553,0.02541685365005475,0.0026174156767426737,0.005606804774818119,8.8202572452456e-05
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565682856412366,4.412408002503095,0.015359268535932225,0.004552242773916915,0.0021344712441730557,0.0003676271421096944
O21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5903701961923556,0.008005298630968757,0.002964641568540906,0.0009037407812982415,0.00026780383565061516
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014747435443078036,0.004728332361914403,0.0016306393730781271,0.00022655619145528494
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.883194891962722,3.40955085827662,0.16746256204609933
O24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5085427777159278,0.08022805224539586
O25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5264683559715992
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
