,1N,2H,3H,4C,5H,6C,7H,8O,9H,10C,11H,12H,13H,14C,15O,16N,17H,18C,19H,20C,21H,22C,23H,24H,25C,26H,27H,28H,29C,30H,31H,32H,33C,34O,35O,36H
1N,0.0,1.0183783271908289,1.022316602649068,1.4695089642632149,2.0940000465056485,2.434902692559787,2.7227319697240393,2.681606688153648,2.047969216181033,3.8160702033741005,4.25322865587488,4.084326723848701,4.573306800362568,2.4774695207173796,2.7934719586780927,3.64842481655296,3.9351816418311496,4.919078423819259,4.926495277668075,5.72969976862701,5.902249651685908,5.316939210705848,5.545600270533577,4.29675849940261,7.166089680400882,7.82127040099198,7.699845287646495,7.311620060652515,6.372504405960367,6.361553774894988,6.477567163294831,7.368314298423765,5.9171456201359325,6.150066052243206,6.85474355869313,7.5334018575105794
2H,0.0,0.0,1.6320140241077143,2.0581399178124142,2.2858553691403274,3.3104779710462897,3.704040849325813,3.48858810572921,2.807280914043968,4.560315425931973,4.9554677816642085,4.650406529864944,5.399880076440928,2.854478781691267,3.189841166551792,3.8503913416971423,4.122044873098347,5.0950541960985625,5.182688164043402,5.637946730330551,5.740258700214824,5.027447460427277,5.3367166908070685,3.947577909108968,7.114917077815814,7.645080706205979,7.731354631920165,7.328983203948649,5.884807271231259,5.76213548629418,5.93408194152834,6.929959650230129,6.22794197023208,6.4607378704675185,7.236352622924856,7.95560476649075
3H,0.0,0.0,0.0,2.0215074437711853,2.896866926977359,2.8275649726234495,2.710875770569809,3.277496225851015,2.6746963092910256,4.24556358971587,4.520317254126183,4.715344441659035,4.950919561130706,2.4686524152688682,2.3037035712490033,3.7953795195500493,4.307489795978553,4.864087940393569,4.646454465164877,5.71748332957554,6.0754857967035845,5.210358673675674,5.233891344301008,4.2595682330410565,7.056038730631765,7.737162612127706,7.652008573333584,7.049435181814674,6.3520457662343075,6.28900781049005,6.62789899882467,7.289476037797424,5.944430410366733,6.362345559702186,6.723992222625996,7.466447171495814
4C,0.0,0.0,0.0,0.0,1.0971123602670518,1.5599015903770785,2.1572749138609852,2.4085640883581267,2.332772840664841,2.587443541427431,2.8973298804576797,2.828220532629755,3.5208754440035013,1.5355504310822763,2.4077893863661215,2.465923118028498,2.5943642937193467,3.843740644986204,4.038117693505763,4.825457375319675,4.910855166981267,4.788761345873507,5.148694513049597,3.8807468774997522,6.250178208385165,6.993943084977421,6.629208359367554,6.487860754884304,5.968103877849614,6.209309007622449,5.990831699096448,6.902334448956953,4.632632727033542,4.745619096316123,5.6476417816750715,6.245795761752699
5H,0.0,0.0,0.0,0.0,0.0,2.1603013308538186,3.0494501220973604,2.692046277695233,2.6912271491907935,2.7515631411748105,3.148055691447587,2.5443443905397936,3.7405389033916725,2.183333242524986,3.2613549796639436,2.590155275435356,2.3488401565885666,4.047427725873373,4.501194917879807,4.82020529078843,4.659293553470781,4.850815501432423,5.423031664663198,3.930752121432883,6.305322462343217,6.962184272093313,6.631847624617251,6.719264312100854,5.848096094643492,6.134278499975992,5.67070698673803,6.817176931018296,4.749509556474208,4.6394066060424235,5.924583525265211,6.4540554428786
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.105647071282153,1.4128547097593163,1.9029153675913235,1.5240447206614138,2.1861175259020285,2.1663048907129228,2.151106329972679,2.5621449541410457,3.2472961904736732,3.3506565061456848,3.3132913776853328,4.590135781393051,4.713028295186466,5.84713774340236,5.943210589487725,6.06932605571854,6.352671069080998,5.2711705279175884,7.141693940764912,8.007493485064883,7.346792225364274,7.316848393348072,7.350349492867148,7.673459088408594,7.378186300157982,8.217332029865862,4.970935905398509,4.942798866461125,5.839877065208953,6.272603613254126
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0777532698121246,2.392652551816426,2.1586970260753424,2.4959207707925968,3.0746475980618704,2.508912391357786,2.696469264345217,2.9690447246627842,3.6679412311100994,3.8802641928346255,4.69002949613946,4.561159603390052,6.0542871316985645,6.337497396630421,6.235011043721138,6.3290997875982,5.5028712913818625,7.236917227852134,8.157735296116053,7.472615783885815,7.24609856379362,7.618010641811787,7.910155272045532,7.797000839273055,8.428603239441738,5.09184834852547,5.269276048459128,5.743182953540496,6.2172395487518335
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9801133774180719,2.3757720518661603,3.3436433502427056,2.6567613158158165,2.59114984230632,3.7697965684899173,4.414669688202943,4.591418741974866,4.432187744578147,5.918982788514355,6.080319087776725,7.076830938124636,7.075585028574787,7.185440204389092,7.517539615747198,6.2872778487389755,8.438346789133705,9.252813258331406,8.659227535453434,8.660007239743555,8.35585231616984,8.583318212424576,8.300711781953796,9.293487063229898,6.3095190560006555,6.160489060780952,7.223720733629723,7.613577647275836
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1807169749046205,4.043709626994312,3.4306939096134235,3.525226962406373,3.7597761795194975,4.270431200086467,4.754296133382448,4.720884590584986,6.10885935568822,6.204826366370714,7.1575938265197845,7.20047431702105,7.0538873712326025,7.347404606662893,6.08265225516572,8.569874038580064,9.32662502113224,8.907747292834037,8.762635047128803,8.161992829038734,8.266581988314277,8.144084758712157,9.14327542278283,6.714340678936395,6.677893002807807,7.644148091171205,8.131684486464753
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0948572185808105,1.0970343988694546,1.094621050331577,3.1832028071374645,4.059434643103192,3.3859583288375963,3.0262039616047587,4.462200901744292,4.787288176330642,5.7841059332094895,5.740375915666236,6.374439902316421,6.7642377875932915,5.741527656434172,6.949765084625755,7.863233307469569,6.927365679415938,7.225262801348336,7.650882204666081,8.163816294011163,7.574372853790091,8.424264082282196,4.372690362612206,4.051880354083125,5.247447858088269,5.466614595868638
