 ,N1,H2,H3,C4,H5,C6,H7,O8,H9,C10,H11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,C22,H23,H24,C25,H26,H27,H28,C29,H30,H31,H32,C33,O34,O35,H36
N1,0.0,1.8257075760753358,2.0066618859273473,2.778529692930972,0.0827017811693328,0.2032438695902553,0.006842912040032845,0.10055287850616507,0.19803664808858323,0.030991516282324466,0.0009999054192867396,0.0009142010912154275,0.0039936496105030805,0.21246560440249534,0.05850386461809051,0.034086762968264905,0.0024602783171572273,0.006549071023671887,0.0005174319843681552,0.0013009428634703363,3.3477472716758605e-05,0.00012959092936511152,6.0542108089034485e-06,0.00010157458417003884,0.00038744993901795866,9.747521726966024e-05,9.298362287246675e-06,5.016490264631024e-06,1.269398798084409e-05,1.0661532723332812e-06,3.3538106480879293e-07,3.818041610093026e-06,0.0005439283306705733,0.00013410120457557628,0.00012665721533396818,1.6837671035996316e-05
H2,0.0,0.0,0.028939696146857097,0.10213795179763596,0.00953548820842176,0.02898798530243618,0.0005479002477231099,0.003675874884324637,0.001337427035480454,0.003401636090373028,9.88168293616365e-05,1.6550669579062927e-05,0.0009740471278794072,0.005567692965870008,0.0014987459752860977,0.0003985602941852795,3.963455162114826e-05,0.00014547277318044394,1.1066164479878182e-05,4.084720397112829e-05,7.91702981173259e-07,5.399325930199872e-05,2.891367473223383e-06,9.867669608776275e-05,1.5670895923247663e-05,9.539602288111126e-07,4.6820452759277487e-07,4.912964630676697e-07,8.979684309906588e-06,1.8765619347327345e-07,2.7512234757054443e-07,3.2228452451210643e-06,1.4760315776185529e-05,2.3020687059949196e-06,4.13638588714349e-06,1.2565672113939996e-06
H3,0.0,0.0,0.0,0.10133460340253675,0.03176592371910969,0.005815001275817133,0.002834309300007387,0.0017417238134473934,0.001664829409144808,0.000759896731961307,1.624177124903703e-05,0.0003645452534757343,0.0002091770711796226,0.028481234080550366,0.0748309070614872,0.005086287925414323,0.0005801994977567837,0.0006708514203348503,0.00010216283464692388,7.207368193373753e-05,1.393478185085506e-05,2.517662964962586e-05,2.2882055812356583e-06,1.0969488247081216e-05,1.2013079876971311e-05,3.15057043809297e-06,4.648573390664268e-07,1.2211972721942743e-06,3.5821075947684022e-06,5.457320788604392e-07,2.442764437393663e-07,1.2535776774402763e-06,6.177715668354011e-05,4.153159106468074e-05,6.13993886744435e-06,1.0023933052494272e-06
C4,0.0,0.0,0.0,0.0,1.9797941713848044,2.657913271985196,0.08492614707710744,0.21826983168397235,0.035675524239810685,0.16080790238095605,0.004090445248905006,0.011206404752033494,0.031512892788831515,2.5706531595093804,0.2814518238307926,0.23010963994341094,0.015651036737073798,0.035446126236503644,0.005458741918370258,0.003770507008633961,0.00015745862596405757,0.0006524853324467172,6.699098305995577e-05,0.000516292694159981,0.0011914463972756417,0.00022464272538269547,3.16690138606468e-05,1.9323395263004528e-05,9.133067599856326e-05,7.002849892190355e-06,2.6806603659057515e-06,1.8537173048782662e-05,0.003295574617646402,0.000580547019182559,0.0009133108251297983,0.0001864120207863973
H5,0.0,0.0,0.0,0.0,0.0,0.07758291296501652,0.03574421758424973,0.009273614271835484,0.0014638793213865853,0.011322507101025336,5.407457528794346e-05,0.006048886908855744,0.0006178004783330415,0.09535075878503219,0.02361055941471435,0.011188586024925229,0.007917401865715545,0.0018584870540905296,0.00030521717214604394,6.451060992374025e-05,1.194604275167599e-05,7.11315685673064e-05,6.635135307409001e-06,5.0653902854858046e-05,9.004018757918786e-06,5.23847212052786e-07,4.877762638244576e-09,8.252167074118688e-07,1.2035146574884692e-05,1.418096644556499e-06,4.759198606318904e-07,3.571018316828045e-06,0.00016765571253563039,9.784196973761095e-05,5.1205600727022293e-05,1.846702139118861e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.98830189328697,3.007706449142626,0.1186139930085085,2.5701121249398757,0.09626006217732885,0.08727219175498235,0.10140878464493985,0.18186052445264614,0.03703836612210895,0.02635641081103876,0.0009637561978940168,0.0032085364617870926,0.00018396154868027814,0.0007676607363247823,2.248004032034956e-05,0.000235626463496591,7.049419854521233e-06,0.00028774910594764336,7.809493917712573e-05,1.1148868479304852e-05,1.3082437066991304e-06,1.889392395204581e-06,2.6938235738932503e-05,5.164157662163049e-06,4.4324158343655995e-07,1.0643354771300295e-05,0.0010870632176100126,0.0003294224627592157,0.00023772121611952135,8.517786592820986e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11140577751789449,0.007051310526692056,0.08354609411516734,0.004004086024575582,0.03686203206712402,0.004938789080282557,0.011594510265491964,0.006737287750050447,0.001382963825484751,0.00029018779380507453,0.0001329891660204474,1.0313832145669721e-05,3.806772354963961e-05,9.90133775857771e-07,1.2424753648598852e-05,6.48994574303785e-07,1.254089281110815e-05,7.372402882843687e-06,6.830443135541486e-07,1.4379655888241416e-07,1.1909905572871082e-07,3.770859920537717e-06,1.1628894758253239e-07,8.297815345947868e-08,7.825761869639791e-07,9.367850056563043e-06,6.591826464230621e-06,1.744365688560734e-06,4.131053923384087e-07
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6633819762941777,0.2006973816903111,0.029640431054558602,0.00943543289944948,0.010876370783311717,0.04078281985185542,0.009661886070492204,0.005881489879030519,0.0002820686025774011,0.001022063790970501,0.0001095437219230666,0.00014335374773327691,5.293312881793355e-06,3.851722868040974e-05,1.1711682084136754e-06,5.046734859326385e-05,1.0513490064659181e-05,9.01600609948261e-07,6.982144689082759e-07,6.275736226246664e-07,5.723660245593454e-06,1.0393499640937165e-06,4.077578215078148e-07,1.0286139997539578e-06,0.0004242359162499876,0.00014034350061391254,8.864037531312874e-05,2.5025837790626504e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03334712657734018,0.002506961718116152,0.0007212163539267458,0.0007018424986124927,0.005608173378074954,0.0012300088048411428,0.0008463191046778062,3.0515953065135548e-05,0.00018268808055266206,6.641784445537979e-06,1.1539334456078798e-05,1.7391472750816206e-07,4.0250806699893005e-06,8.321598077287717e-08,6.698221723944187e-07,4.533744031975928e-06,8.843263070712482e-07,2.3001946658496308e-07,1.0783109294365545e-07,4.363095604809075e-07,7.501002130538836e-08,1.2183330344583965e-08,1.5615642068311786e-07,4.711865403173032e-05,1.2070869537916806e-05,1.1186944036789548e-05,2.844122209078037e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0412693952869763,2.0274758593798303,2.0355269479980795,0.013967358807798813,0.003056769659187067,0.013792378978467495,0.0067566949082662475,0.0010846855990024051,3.912843179054715e-05,0.000466572381904104,1.1152832426031267e-05,0.00012834651843163236,6.775011685888899e-06,7.702918676888437e-05,7.115425923508167e-05,1.45330497351992e-05,5.827553169801547e-06,1.7356865167350577e-06,1.2591619286031475e-05,1.5054596300689838e-06,5.420819506607444e-07,8.517757709380902e-06,0.0017911871573934035,0.0024598140362662446,0.00024382328170481637,2.9154055428026737e-05
