 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,H13,H14,C15,H16,H17,N18,H19,H20,H21,C22,O23,N24,H25,C26,H27,H28,C29,O30,O31,H32
N1,0.0,2.031012697533688,1.900552499346027,2.956994484512024,0.09097551545297533,0.2110679463494398,0.01209708319293612,0.011041858602164667,0.03686724104849812,0.002093702650082907,0.0027095470507578767,0.002835876637697521,0.00010577409132395132,0.000656643253952538,0.0007815447326003089,6.220407275181472e-05,1.4529629581594428e-05,0.00017103126322622064,1.5088853997258234e-05,3.035382907023987e-06,9.001860648005788e-05,0.27662746545269357,0.05690719915771006,0.04144673191850627,0.0018469422265182667,0.006522306517435128,0.00045972079566791724,0.0012395174357247019,0.001100620680456077,0.00016551949777793284,0.00014835172222747717,1.9707353530185046e-05
H2,0.0,0.0,0.027746132184827355,0.10689192070286302,0.006494420794298517,0.03258150439472429,0.00047236420592744466,0.0010764793500885883,0.00479372590050875,8.922601374261596e-05,0.0007523810772773754,0.0003222534661999621,4.257205030722133e-06,0.00013758646478922998,0.00013955459034209472,8.110653799464629e-06,2.9105671035534186e-06,3.19415346273777e-05,2.1020215514866436e-06,4.5586344699088954e-08,8.302438871954365e-07,0.007658164000286072,0.00048070980859893364,0.0026251600066855563,2.710351218881968e-05,0.00024004285933520997,8.861490630618363e-06,3.053794444474178e-05,0.00011236829544913896,1.928625848290899e-05,1.516066236717517e-05,4.9718183907643265e-06
H3,0.0,0.0,0.0,0.1042703625138407,0.03629045699657718,0.009923884678283201,0.00016003085537685813,0.006166493819640184,0.000785084864293295,0.0006238615213807197,0.0001283164739735998,0.00012133074902831442,1.5660462222344407e-05,1.8296145577467726e-05,1.2424008843603396e-05,7.781658444949713e-06,1.1798300294518782e-06,1.8038142859388984e-06,6.325568846499152e-08,6.495662092653731e-07,6.123204965735596e-06,0.013665836321924973,0.01625235415728077,0.0019811519641045328,0.00042347359050687317,0.00021452737477367645,3.529302554250435e-05,1.0508696895561442e-05,1.89004975471585e-05,1.9262240471440428e-05,5.554203222457588e-06,1.0887679113835702e-06
C4,0.0,0.0,0.0,0.0,1.9278060486470767,2.7948691052732366,0.10217191502658074,0.08491052158238688,0.163747796358651,0.021744135468670045,0.01971868085110451,0.010742151343099707,0.0007102293183871566,0.0012347094792035662,0.0017578136112604281,6.414613062499797e-05,0.00010388397343730205,0.00037843789721228593,2.538597878665172e-05,2.2138458150355866e-05,0.00034121599018144266,2.6685087814720205,0.26247495605571475,0.2297907050205043,0.020637108143890193,0.037184835299378605,0.0060790343741006225,0.001401065442468652,0.004087246948895146,0.0006270288016292647,0.0011966011693050338,0.0002585377074614259
H5,0.0,0.0,0.0,0.0,0.0,0.0794362158382933,0.0071201674855494446,0.03254316246896671,0.006366983421293382,0.0037737506670441068,0.00012455394423471766,0.0008421586632942901,0.0002673795725085526,8.183898375313525e-05,8.44560390191873e-05,1.037908477363736e-05,5.361490988065043e-06,1.0337621211164993e-05,7.283490093268341e-07,3.5980374859523323e-06,7.96276590375733e-06,0.09843697359836301,0.02111472326890218,0.013815425591155561,0.014828333737682886,0.0021983617803842392,0.0003580312230435645,3.557323081704311e-05,0.00010724812057505417,2.6160868580760166e-05,4.177479880562718e-05,8.2650742772028e-06
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9963009881499465,1.8894638103123953,2.6468685617712753,0.07925630800897632,0.08479869411485175,0.17765337554010843,0.0045795610509883344,0.01553929076665117,0.032306278848196146,0.0021392466867163895,0.0013317090719375813,0.0036943364380159494,0.00045035270463567034,0.0001025833512500185,0.00016427766622095774,0.17025283736000787,0.02871902709294495,0.02898935292367015,0.0018975397461866716,0.004905368140017463,0.0004471985504261866,0.00012766736780767118,0.00116837786499005,0.00016215809653333246,0.00032279472171661827,0.0001126889132312403
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025261388137260754,0.08712836946642488,0.0016249353977475511,0.011383223835664813,0.020991638497280696,0.00010149693478078703,0.0010915337460843944,0.0031465284859752973,0.00017233064189148273,0.00043828343105634104,0.0004693696356515842,6.243181483878146e-05,1.118825262613754e-05,5.7426924213288544e-05,0.02943320807206362,0.00392049400718486,0.003106400869404058,6.310648745255776e-05,0.0008030584407716646,9.672101241298137e-05,3.5883443473716525e-05,0.00011446564284200988,1.9129435503861814e-05,4.013054741780486e-05,1.2442212301122524e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0802502884333165,0.024918335890897314,0.00151081609024728,0.02417047156703822,0.002530694772064024,0.002986026476900383,0.002220176550086883,0.0010047025883808125,4.312655922555919e-05,0.00019388353209437437,4.050765715324367e-05,2.7986865791529425e-05,5.494606314382366e-07,0.006499024391198427,0.006592724523425519,0.0011433247806921232,0.0009813479144216153,0.0001634466081901209,1.947298358384586e-05,1.7616001962927896e-05,1.03022694568633e-05,4.268502004634023e-06,2.8271331767859564e-06,1.6349863019016198e-08
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6932217831542307,1.780194872139937,2.878564227379298,0.08087353330474423,0.08071306334263029,0.17077025304420249,0.025151031633462217,0.007983664075863928,0.02323440590517821,0.002669890364029648,0.0018497489750585183,0.00042759614540677227,0.017226035039551807,0.0048432625904052395,0.0040019179534896004,0.00021561757388910419,0.000512938925661538,8.581694532339146e-05,5.775636870641865e-05,0.00024936519074847396,0.00029674768572493515,6.947742234388044e-05,1.4086439325322608e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024187745232586044,0.07778793225788161,0.029691162701701357,0.00240443809040225,0.01643377005289981,0.010331158603137602,0.0003231302742907616,0.0011112696661195187,0.00017758307324022837,0.0001639881301536139,6.860136838682251e-05,0.004581404895518837,0.000677362656096081,0.004341874918487143,0.0002838514842384843,0.00032979378879050003,0.00010400132933297002,6.923018106874679e-05,0.0002683857537069123,0.00045843030883729874,7.494727279788727e-05,1.2209521492723141e-05
