,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13H,14H,15C,16H,17H,18N,19H,20H,21H,22C,23O,24N,25H,26C,27H,28H,29C,30O,31O,32H
1N,0.0,1.0184241602405986,1.0195306833686604,1.462700191041558,2.0755509913506884,2.441820788776568,2.641265345925915,2.6155069717036135,3.849250805853567,4.055907171436084,4.5721151160899565,4.641456242649755,5.067983857906303,4.204534185383617,5.949122551770592,6.082406325292023,6.826659997443687,6.381839311261999,7.359995924413961,6.452979464095224,5.9045518999524935,2.4738088960827347,3.064895525246642,3.3920818522156617,3.48935008133938,4.579411171236224,4.549534454038705,5.0428138698251574,5.772659992951607,5.967503369550529,6.896539198163477,7.653449328011855
2H,0.0,0.0,1.641055078080974,2.0681759241961544,2.3504746515480712,3.3465100747853054,3.5338149926057913,3.6007362327784582,4.6403547234992635,4.661486905238797,5.406120239572648,5.431816654998994,5.957307010131651,4.91844910833733,6.634407677363534,6.6882441481740145,7.576631169436217,6.93440744640585,7.879602672211411,7.040543264298249,6.3316003170259005,2.7420622594910844,3.4317486014715746,3.312241538449362,3.286283603230617,4.380275279659545,4.3827963954386515,4.632326618267345,5.726099800460703,6.121229226846489,6.721258868764768,7.555197329846915
3H,0.0,0.0,0.0,2.0465433152782113,2.929109680755252,2.723536124076132,3.0880365887416112,2.4738719762044656,4.130472812997952,4.509553380099616,4.898060655846695,4.619541575592855,4.91175364922356,4.035831136394326,5.999388998308381,6.306556760133624,6.829628915113995,6.316318489193109,7.324527024971082,6.224587588654225,5.896243794426494,2.6306520113626832,2.7876019992681136,3.7459433499997195,4.081184554335609,4.741952710873274,4.475754300152355,5.28970386886117,5.922503413937745,6.096110186224802,7.050796864247478,7.794752830300458
4C,0.0,0.0,0.0,0.0,1.0989226286572644,1.5414370391823058,2.1249167368167283,2.158527746140865,2.596837682517079,2.635858402911812,3.4439774560942,3.4762527125661116,4.109827038439966,3.1550649641730955,4.643664013783554,4.671124981404736,5.572203833586806,5.1404289561236585,6.0815121582036955,5.363139989460775,4.660366208575513,1.5402543540066207,2.4376809746992025,2.4716931712529293,2.590108136699806,3.825041608114165,4.009385574578333,4.458772107486177,4.7649181317282086,4.779289571351254,5.979852940189698,6.638448063259079
5H,0.0,0.0,0.0,0.0,0.0,2.1528700670032834,2.3945949821441577,3.0484161888238224,2.8841816036398207,2.568896231754891,3.579661939007436,4.035831904740927,4.77214348550663,3.8953146900949904,4.994195762744153,4.777488866376534,5.940663259845511,5.570820012493686,6.42581035256365,5.965292359995768,5.028097912499363,2.1629241235710315,3.2950831051248763,2.5144201693726917,2.194141604960475,3.954719744639219,4.4020791330363584,4.4180156624442315,4.853350195194079,4.920977362616644,5.990022560484117,6.650322311138645
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0937110622190154,1.0977105377441274,1.5447084714436214,2.176028943200979,2.1796220859341684,2.562276853251203,2.9309275714528424,2.627807989311887,3.924076326881963,4.089142097293476,4.657613708269596,4.7788405601987245,5.7295428929838526,4.958885697384415,4.613641389363003,2.564549711833002,3.025027945561531,3.6462202347410897,3.8404730814253347,4.931717170802789,5.062124290808452,5.7260508793151175,5.56060301392768,5.241606218554272,6.864394517584191,7.372894636416395
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.753836651947515,2.1882581589839027,2.75510314360483,2.3435782504296228,3.4319488989018363,3.6391036365878144,3.6682098644088224,4.73652331346098,4.799711463219078,5.364228771187325,5.746929972993368,6.660671694757482,5.9656363881007595,5.623200696722895,3.4721643742433272,4.044335111071334,4.442787193315437,4.439833514321741,5.811274680861756,6.003385070472943,6.508459960566619,6.501051294722109,6.211251113680797,7.780998798690891,8.308199781638645
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177338753083446,3.0308476524765573,2.75567948984958,2.5906916458140694,2.63184492564351,2.464414972532434,4.111660908362729,4.541742435791347,4.7385423217700975,4.850382788215775,5.847162831112898,4.800990392841994,4.792657744193739,2.877079319992513,2.900331497918409,4.164311119834903,4.554524528966673,5.291850356342903,5.195475748327202,6.149278431020027,5.9407546692568625,5.606852901142873,7.250379434608353,7.753202790475605
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.100425778074843,1.0958295290317517,1.543379117437345,2.1729400160473906,2.1504572841059533,2.58493761957633,2.629344338889178,3.2929169375948804,3.7014464310891095,4.5461448199956305,4.084116763414728,3.7022119593097766,3.049048459654415,3.4416582619677003,3.837680617897763,4.04763525549661,4.988329807979452,5.267126373365612,5.878647791735908,5.187823780624585,4.570945791620682,6.495371096993285,6.820553062664084
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7529390330347827,2.1735183611825906,3.0626280565995434,2.6296735466545336,2.6896025726245396,2.3233655329794054,3.549985739365826,3.65511874248855,4.3952996086582115,4.258942362657341,3.4455053837900995,2.908099096222159,3.566581326876508,3.302419891163894,3.349586164142549,4.4530717371036515,4.942409851552267,5.26259283639772,4.559448588076631,3.980883708020989,5.811702387732992,6.12814886376762
