 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,H13,C14,H15,C16,H17,C18,H19,C20,O21,N22,H23,C24,H25,C26,H27,H28,C29,N30,C31,H32,C33,H34,N35,H36,C37,O38,O39,H40
N1,0.0,1.953249445480313,2.0229825410385915,3.0194050886134542,0.09093731670330574,0.19281170553703164,0.03237983743027584,0.0034866457294332465,0.029491466762752536,0.004183694220771361,0.00030538891286058245,0.0058490086958015025,0.0002096470365631209,0.0006993056155980976,4.5181269999972073e-05,0.0011567428740520552,0.00011239294885023732,0.0014135277517298706,5.224170592565969e-06,0.23102749609564097,0.053573421488454995,0.034568704742248685,0.0023490423800706095,0.00739899237876368,0.00018158246771160513,0.0012859673208262534,4.435911120337366e-05,2.5094170971184937e-05,0.0003880106942642375,5.364354998455001e-05,0.0001586637689622722,6.884985677135802e-07,1.485973428218268e-05,4.514133757904659e-07,4.598064560107362e-05,3.5129164380753863e-06,0.0007932739361677654,0.00012901562261257576,8.884988515772685e-05,9.5738477321472e-06
H2,0.0,0.0,0.026845538737698904,0.10958616635736973,0.007807999045385872,0.03285346693378477,0.0019310464233825986,0.00022803240653934687,0.004273776681510633,0.0006868350016163705,3.639785680764618e-05,0.0009941972934959242,4.623277000681547e-05,9.89156852141404e-05,1.6877449257490795e-05,0.00020826870312617984,3.8070732556017006e-05,0.0002480396069208801,6.592518317916074e-07,0.008057134618869033,0.006130828469668614,0.0007148602979774044,1.8601874684387454e-05,0.00018601963866793358,5.504425320213002e-06,1.638379082746777e-05,1.7257997331210362e-06,1.038141981490881e-06,4.637260120787801e-06,1.2602052599230973e-06,3.3186077634805855e-06,5.903860289535601e-09,8.010171361760854e-07,1.2153997142050343e-08,8.264594686391291e-07,5.848699080601705e-09,4.017034140613163e-05,3.44069110697065e-05,6.134174351801747e-06,1.1528072376698617e-06
H3,0.0,0.0,0.0,0.10683585798083406,0.03641308694960643,0.006814154931479743,0.00045662643767085953,0.002400658857739657,0.0009023247735185924,0.0004077724452425935,4.6550795028688086e-05,0.00015286286473403798,8.867747676166715e-06,0.0001179628092742302,1.109272741395273e-05,4.315383106401338e-05,4.548061690368144e-06,1.800333274026844e-05,3.0133328299264406e-07,0.02029221540915127,0.051846459753213114,0.0034762415155522586,0.00041281386034519585,0.0004248924578101887,1.4461292604295295e-05,9.293845650393262e-05,5.32595466373742e-06,7.0625225123688296e-06,1.239555844723128e-05,1.8475198289014116e-06,6.098055148506809e-06,2.1421992624226505e-08,1.1821231783448738e-06,2.981423552483875e-08,1.612262633621242e-06,1.0007027140268576e-07,0.00010017232264647458,2.968571408945575e-05,2.7025534934388418e-05,7.219111048950566e-07
C4,0.0,0.0,0.0,0.0,2.0839003144014114,2.707338417273178,0.09396598880528884,0.08050662663259711,0.16761930356703597,0.034986103275361335,0.0013404763447883994,0.0338020819328754,0.0005510375376476251,0.004216383831692289,0.00012240211647962518,0.004519381138738565,0.00017768724264399793,0.013042967465408561,4.1796686707007424e-05,2.7049251949631268,0.28282974842769393,0.21442203551565112,0.012273413127192323,0.034790471813468976,0.001618737078176169,0.004047292529085006,0.00017005215870558033,9.353319323968101e-05,0.0013270916887374862,0.00013880463342957894,0.0004240144940508006,1.5270760094221458e-06,4.383133202939815e-05,1.2922825320949016e-06,0.00012279543150053862,7.804832888202995e-06,0.006164444807399944,0.0015269489979651413,0.0009880214964072404,6.719655236575584e-05
H5,0.0,0.0,0.0,0.0,0.0,0.07789592690219371,0.002497654884029199,0.031737709659417135,0.01438835302022734,0.0067777073491464,0.0015885046273769188,0.001309084028711771,0.00014776103379299244,0.0007264176174470727,5.679240032718802e-05,0.0006419351050384048,2.1889523187601512e-05,0.0005936470138019345,1.0548619642891666e-05,0.0953174593103725,0.026044737432340037,0.010023160399679543,0.0032510595301042944,0.00129294809519509,6.541133220316908e-05,5.171588193553234e-05,1.277778655284223e-05,4.8584080383218264e-06,1.1098104365059314e-05,4.153211651480859e-06,5.557543691248057e-06,1.3206633786566613e-08,2.7536367848135512e-06,2.3174633767553132e-08,1.2782102836172982e-06,5.356274312973142e-09,0.0006041965476661915,5.734505790633282e-05,8.289493195701159e-05,2.345803456371698e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0877760384646997,2.0349673524578806,2.8209173030893133,0.23829296994227217,0.014451143082571116,0.23786898180337257,0.013920050286031493,0.036167943630246335,0.0026153470666918643,0.03537669893154377,0.002574058964761816,0.021571331350726114,0.0005172127078021393,0.18400112752950074,0.039826646817091485,0.025127362435632017,0.00194952924549463,0.002553576925005796,0.0006194584457549501,0.00030148987392636384,3.251626762434956e-05,2.9586210454679573e-05,5.76258052955303e-05,1.4474437493625092e-05,2.1710505853422823e-05,1.2289275019838897e-07,5.91381973463756e-06,2.374626071333097e-07,5.591019234335581e-06,2.8184357081517675e-07,0.0012937113022468694,0.0008411364492992984,0.00022908987489932142,2.4098746425615936e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025507286896248926,0.10081032452720717,0.018590554378145274,0.0045439087497538555,0.028326933516538144,0.0004979455139031419,0.001936922723486889,4.9126083741191096e-05,0.003012477027752869,0.0005479724826555898,0.005087583814603169,2.1350108807105528e-05,0.028124262742830197,0.0043937559212891,0.004559505060659053,0.00031747586393926497,0.0005154994928953105,0.00012317679031692563,6.814366669583016e-05,7.525194711588412e-06,1.34118380874515e-05,1.9059855692615812e-05,3.7119309733713024e-06,5.819874808965508e-06,2.9261384204559704e-08,1.6941020144489727e-06,1.2477317001824417e-07,9.209799208820257e-07,2.3511882885074442e-08,0.0003361038237990055,5.160770729906172e-05,7.232974381921053e-05,4.197451490384196e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09730795526358338,0.024836855933219493,0.0007713834084743798,0.016457497587168968,0.005845322247362672,0.0029196424323072456,0.0007334558000453573,0.0014988557654478374,6.32341642281542e-05,0.0017796350250676163,3.374553441748418e-05,0.015910451315271468,0.004419624804453348,0.001324082343428623,0.00010314448119186359,0.00012592304713776592,5.225692569776896e-06,2.3869267182563547e-05,1.2135256413081663e-06,1.6997275369412534e-06,6.499342175558809e-06,7.831316604089977e-07,2.3486238283076943e-06,1.0733891109282467e-08,3.0547573381944915e-07,5.097184008207023e-09,5.943582570555606e-07,3.702260520377365e-08,0.00022622605659128325,0.0007640895562684991,7.927847182609415e-05,1.3296736967038925e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.754099023845973,0.12621164101092108,3.7198439526708906,0.1274239061583724,0.32705000890307656,0.026541170572353723,0.32867751618318497,0.02639603661653367,0.3007506077090517,0.004039500819602804,0.009665412629113135,0.003161091893352161,0.013564431440809682,0.03116139549775765,0.001409515569306491,0.0004387327892477755,0.0003589988723347315,4.7223405419405395e-06,0.00019087155102948117,4.4942369296002704e-05,2.6661020318813344e-05,7.637192108833624e-06,6.940993282356089e-07,8.48868108266343e-06,1.3540363186237414e-06,2.3556589894835334e-06,9.663793210101801e-08,0.0005185016195716763,0.002254667567196736,0.00017760790674455074,2.5359897392052133e-05
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96661506758877,0.3245849719857312,0.027657507235170353,3.841184841989168,0.13126126579598485,0.31680696913559225,0.003559373736510718,0.3336939755259666,0.027253826975217166,0.0027796668818947934,0.0016417791615576799,0.0027593206587184366,0.0036453884854644736,0.0005092676554386832,8.919293690046182e-05,0.00027347498085128485,3.1623303522465562e-06,0.0005898387725951082,2.496596211037927e-05,1.0613530895250967e-05,4.128706898837153e-06,6.851462892587534e-07,2.6124825627804604e-06,2.2835328916670505e-07,1.308348559880823e-06,4.84052357085929e-08,0.00011910437750015102,0.00042609921688702146,4.089277735043473e-05,1.0772409829162832e-05
