,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13H,14C,15H,16C,17H,18C,19H,20C,21O,22N,23H,24C,25H,26C,27H,28H,29C,30N,31C,32H,33C,34H,35N,36H,37C,38O,39O,40H
1N,0.0,1.0206091458639208,1.0221791981372563,1.462587567265803,2.0815698161761502,2.4636588517596367,2.4720325096517093,2.846250663226125,3.810014320437014,4.433495576742376,4.127363306502044,4.84583054993285,4.882268384056188,5.784911795838753,6.442595161335586,6.107802122187204,6.954343277838971,6.509535357114669,7.574445087403666,2.4875466489800733,2.7721042327251837,3.7087114870373807,4.010705028837026,4.926243883899325,5.099552803247831,6.150516818269402,6.154433893222008,6.306543503949231,7.440434168893613,7.921708966657475,8.49046331364599,8.751394951476039,9.123809107798051,9.889415367478911,9.479388877565226,10.406609635369039,5.316831084181984,5.391974436947434,6.104304122377887,6.542897177085711
2H,0.0,0.0,1.6080073696349177,2.0305328494446506,2.3135357668659986,3.347319063590225,3.415263242410943,3.774565069103644,4.558820945839245,5.0728268868012405,4.708932712736238,5.567287872139162,5.610777133395318,6.368811934059693,6.96026409953348,6.770647609912375,7.607227116860813,7.120981488580272,8.155542930925,2.7189878493720046,2.8794053524946364,3.8683576423546384,4.274353684333909,5.007966629783405,4.977816689021507,6.239024372883945,6.13044868406627,6.5541972330608775,7.468870674449524,7.780073201273157,8.616326681271065,8.995266757856294,9.008166319196306,9.69521074191093,9.506357799577357,10.460701191802418,5.583363374833738,5.864600308346851,6.248694958994528,6.787854573105465
3H,0.0,0.0,0.0,2.0156345113300906,2.904564341380438,2.7667584304945803,2.8709766129355017,2.742158798825348,4.2244622277108395,5.074923161998084,4.898301173770979,5.073188571422157,4.895406823614307,6.419998215240835,7.168923883946882,6.419812881735945,7.169202323559305,7.002290870610804,8.08147451945052,2.548850375299566,2.406450698517859,3.899312467476978,4.3659260162201905,4.918217660927499,5.053254193589344,6.28174733854117,6.444268466649285,6.456512125058379,7.466847905583321,7.939819122449089,8.444291715209872,8.689175149144047,9.072661982570434,9.820584161513619,9.393335413171387,10.282938979240203,5.042633318745007,5.087723504755992,5.692094878738982,6.024646218782129
4C,0.0,0.0,0.0,0.0,1.0974035755392482,1.559173775994614,2.1281170156238227,2.1772482020483914,2.597040007510134,3.3419598354975735,3.3151673397019077,3.5389864209467885,3.6546402489107086,4.604399684910046,5.3628326852252695,4.749792864462402,5.584945539609044,5.192458147005809,6.246325725632755,1.5444314324997273,2.424543269313359,2.481352435579409,2.6031669596902116,3.8393053608089174,4.236398720250148,4.897602791714022,4.904716003819942,4.945114623616907,6.27300719903245,6.899556803872066,7.290218009057346,7.495803581969637,8.107545380852972,8.95249980764526,8.365268618322107,9.292227335332834,4.350156773144605,4.3738976984833124,5.350964182204269,5.845114200563587
5H,0.0,0.0,0.0,0.0,0.0,2.1675168412403485,2.5726939402021043,3.0568306529057603,2.699078107525514,3.0003269915603172,2.829492839993532,3.7542550451535317,4.122407978658332,4.171015550568728,4.78256170129181,4.742709863895663,5.653900161763398,4.920047898496066,5.915847415757178,2.167813553913123,3.2059654634426242,2.649255986913157,2.5139078726887285,4.088192617239035,4.455563392442643,4.89932055457196,4.668549039525191,4.9652476705935324,6.33281646838127,6.912849593166493,7.4289599638831,7.680107917836395,8.17578552867659,9.00844045128788,8.499270916492499,9.4572301609412,4.907890470671177,5.0247813675090205,5.95250872870786,6.551726167654407
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0954614154030307,1.0972418746951476,1.5160071452752009,2.5290573455250556,2.7178034702464164,2.551172141817661,2.759707158140991,3.8205789715124205,4.682030502501405,3.8348104377426817,4.703221435753046,4.336351384231253,5.423474713573299,2.5543504287232306,3.376273359988093,3.194258688180369,2.998388921614284,4.4587821778901,5.133656626533418,5.336413400120511,5.502528744575479,5.062118445907465,6.731657997308751,7.600487390753595,7.53555436479894,7.517065400357922,8.723603560306689,9.66137896273426,8.745038455217149,9.601418709412556,4.624160170171309,4.225848231610027,5.772863232468117,6.074105075889354
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635053316181168,2.14926868764462,2.697339438950178,2.5162509527996972,3.3616768156180417,3.6856222565988532,4.058025424742936,4.7575223746032265,4.526844361303406,5.460421475379874,4.809953480656225,5.874895693407784,3.436717767042123,4.152608670050371,4.201999756592058,3.98758005230017,5.512181934622394,6.124704617691963,6.396278403712274,6.493540427137694,6.120339720809249,7.808375904085148,8.648999148950562,8.62676065709009,8.597659609392426,9.792825398076602,10.717814086183381,9.836824497746424,10.696290508014098,5.684934150230412,5.265886961452956,6.790200884400401,7.061175464040273
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1580561802324216,3.4036913030220037,3.728713786270249,2.679379489815446,2.471422070884705,4.5721133453464375,5.515510130659492,4.061311936781903,4.749854728216976,4.838338414673786,5.906023125786037,2.670263555717727,3.169752086306661,3.4040421351448886,3.404355651804207,4.4215042423430875,5.114630289255044,5.422791389401364,5.793643564106006,5.127940086520231,6.697617709719488,7.602076631629623,7.380398277480337,7.30147650578675,8.636412539893488,9.575718300404779,8.57312129002946,9.37573011771028,4.2205618343521305,3.6616447782564943,5.286597631148589,5.433640828956744
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4046572410837994,2.1571124045631977,1.4040879329512677,2.1586622727274847,2.4379580667174348,3.418704612414698,2.434915932897709,3.415245666186675,2.820500799553573,3.9076388928773755,3.282257565176192,4.323114829878863,3.2941657246334786,2.6626870936877713,4.4810136991347385,5.348101981808821,4.923870327441291,5.033429952535144,4.402884938699048,6.353782890298818,7.37827544143992,7.049444530812252,6.909395992011253,8.463454340598144,9.465080722714884,8.349315128067989,9.174527546544073,4.7592811490280065,4.249540123297612,6.0594961571460155,6.383765483451275
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0885162255147263,2.4119189417067295,3.399647319588719,1.395433493891948,2.153451254773181,2.7838106300495022,3.871303020989413,2.4194870099089822,3.4056206691300677,4.277495451133242,5.413849501758875,4.183791750025145,3.3856848194518836,5.442460597855162,6.257962089375787,5.662872804990468,5.533983793606624,5.131923218329934,7.127305563362881,8.112975379662101,7.868327830038319,7.7415143204803165,9.237528956806498,10.227388872341756,9.166223685601974,10.00629441386452,5.961283979634975,5.541172902385805,7.273989973574016,7.673803902558363
