 ,N1,H2,H3,C4,H5,C6,H7,H8,H9,C10,O11,N12,H13,C14,H15,C16,H17,H18,C19,O20,O21,C22,O23,O24,H25
N1,0.0,1.919192288099537,1.9411008023592964,2.918208344791752,0.08669964181799095,0.19449496242045128,0.031099757763645264,0.011644951896891742,0.00851211828692433,0.2209702184876717,0.057906236816176335,0.035428460398551104,0.003029515949368067,0.006635704171047391,0.00030414059489569656,0.0012155620821041602,0.00013275469890050573,0.00014397732314386236,0.00013229836119807437,5.10788410503088e-05,0.00010126790895183951,0.0006777976278238007,0.00018705545798770873,7.213740082789855e-05,1.010538517243198e-05
H2,0.0,0.0,0.02698599763162357,0.10638612930410074,0.007673412630884613,0.033420142733281755,0.0026839618183294167,0.0005612487521102771,0.001017565699470202,0.007869579559587447,0.0030456804066399945,0.0005502243187861522,4.833349353550176e-05,0.00016335982301041163,1.4699745694013444e-06,1.2466007419775771e-05,1.7734705630712e-06,1.5828487127667046e-06,2.125753547854714e-06,1.4620861165104415e-06,2.9041475545499296e-06,3.4877604436989174e-05,4.096061600367129e-05,7.40903350948674e-06,1.567519080536428e-06
H3,0.0,0.0,0.0,0.10654621503171802,0.03610784365174502,0.008951689681601316,0.00023270018849119722,0.0001706435033830278,0.004947384058530124,0.025282142533361585,0.0707807368717227,0.004534513075416524,0.0008316315723766454,0.00045698422325635146,4.344980724901859e-05,9.051334184928539e-05,1.7455984054226548e-05,5.314827074887063e-06,1.1459536040758778e-05,1.8952138390870843e-06,4.870302920734204e-06,4.198772596308853e-05,1.6948292667851028e-05,4.606867148537752e-06,2.7888860154590134e-07
C4,0.0,0.0,0.0,0.0,2.001727155333838,2.7663854291137553,0.08742517196038402,0.0885043226454314,0.08580772128582304,2.610440022152673,0.28873854701922463,0.2354201356613768,0.019715090215717934,0.036601492920394274,0.0028850040787939957,0.0038937065945340577,0.000387028478670004,0.0006349860902139515,0.0005439347734382538,0.00025405214289866973,0.0003138490382491449,0.003465000304895993,0.0011808397382187946,0.0007387332348299247,0.00013521280557493576
H5,0.0,0.0,0.0,0.0,0.0,0.08437427332561909,0.0036317213471372956,0.005370983235234883,0.03564249044709511,0.08775526134907352,0.023316361873888858,0.012492363451241273,0.010564270932888586,0.0019163396343673256,0.00015473929993015112,8.748558097737558e-05,2.859267894317341e-05,1.592592234578305e-05,8.877053553568715e-06,3.2488005324848857e-05,9.376786570425288e-06,0.00036525305321033485,2.0430888544087367e-05,9.14219644779779e-05,2.6968581107844614e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9539314080697787,2.009570264817001,2.050902522757928,0.191679663858352,0.040822631025180627,0.032101710257679536,0.0013047191229346167,0.003505949311524731,0.0005124411694792386,0.00033200239670064247,4.032692389788206e-05,3.388237985579856e-05,4.3805487744214e-05,4.122351992664336e-05,2.419208752026808e-05,0.0017850165920787059,0.003529004330451939,0.0005614420592365832,0.00010353342987245995
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024820127445909446,0.024213169342627072,0.00934539748443286,0.0019454407695871367,0.004151684338669082,0.0008222354298064172,0.0004744911984166933,0.00018456702298763616,5.3052686510790537e-05,1.1372329025149952e-06,9.554357414121029e-07,1.2409704210236683e-05,1.4502329211518727e-05,6.815369276269578e-06,0.0012018684164170068,0.008055173240509972,0.0006370984050733108,4.752624374049219e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02365767747648273,0.03104372057210658,0.006685879638774539,0.0037620476317290485,0.0002058479683100245,0.0006782068786475026,8.3220874562695e-05,4.1119071681139374e-05,5.048213230773868e-06,1.192424763929445e-05,1.9259508512448065e-06,3.480831399560458e-06,6.256271667393065e-07,0.00032667408044972923,0.0002410322179844382,0.00011528462765275638,2.266068481970862e-05
H9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010797270542751702,0.007329782525809958,0.0013079111204148397,7.648843218599488e-05,0.00010251528466076465,5.352138263470252e-06,1.803927338839273e-05,1.7968835805959316e-06,3.933458967209091e-06,3.7666974936900743e-06,2.0315286949346145e-06,1.887990036530951e-06,2.994750628371179e-05,9.491196871447283e-05,8.456443603588326e-06,3.890392732408543e-07
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.995603951197942,3.580977093164606,0.1426065110100173,0.25774643753085014,0.016195303342799505,0.029618491475407183,0.002251640240855446,0.0026628506423018727,0.0022638902199836053,0.0012626834706135626,0.0012690404939655342,0.04348488753918325,0.014197209575701364,0.007756790513415587,0.001084859891632095
