,1N,2H,3H,4C,5H,6C,7H,8H,9H,10C,11O,12N,13H,14C,15H,16C,17H,18H,19C,20O,21O,22C,23O,24O,25H
1N,0.0,1.0219527536494515,1.0240815610211698,1.4695747978594083,2.0889085302722123,2.4556085869976396,3.415330325891911,2.7033749949712096,2.7011757931502434,2.4953015912501315,2.8251518506262996,3.6338553165164265,3.8687621967740777,4.931211879721251,5.042996664370373,6.053957489099126,5.842838316831906,6.887823724497917,6.845637787753252,6.556418140644793,7.888868871600076,5.55687005049364,5.42156638042468,6.726198486767665,7.200764037121504
2H,0.0,0.0,1.6094395867860047,2.0308881410901254,2.3117428229028105,3.333244471480795,4.182866675987072,3.600665704612818,3.6568117327417706,2.731377342411872,3.0550903350939618,3.702810096028685,3.967003282234242,4.955468458358238,4.941995209932539,5.939709394985299,5.685216426607159,6.874195641809568,6.530526774304175,6.176710385041841,7.534763421013117,5.825605384348224,5.884969670006765,6.9407915525403165,7.528573776649947
3H,0.0,0.0,0.0,1.997835126408757,2.892102245586834,2.7384578175258127,3.6961308449359604,3.1702498341600815,2.5723665404096066,2.5084347705365717,2.366903039432685,3.820761014249693,4.276339692013104,4.930558160062522,4.8924616539693195,6.215188709362336,6.182499658039396,7.030432087740644,6.941805332803804,6.511044882704159,8.068872620540693,5.425252362315968,5.320311243545666,6.481727673731482,6.919955881040324
4C,0.0,0.0,0.0,0.0,1.0988082679726188,1.5363626750126063,2.1854802690763275,2.1731648504223307,2.165604721166061,1.5447947628310466,2.4084390670559546,2.4569785513262117,2.5422797762172498,3.8388782440881637,4.214462204805849,4.9197361560586454,4.678336706783643,5.650663522904289,5.943521259283303,5.8673003853045875,6.948727418454195,4.375330549711206,4.155502577756835,5.644353890213174,6.0895686211947835
5H,0.0,0.0,0.0,0.0,0.0,2.16163043555217,2.5332133945347683,2.4898202477518,3.067634877362763,2.1796504509331887,3.2631124773217755,2.5542773833232735,2.2588424083493557,4.012089839867243,4.509969594651909,4.78264110565401,4.30402881972348,5.527937471560607,5.81547817535154,5.904797901124991,6.682952169143102,4.733948815253197,4.565044235357156,6.040868724888167,6.541885172760885
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.095721747034646,1.095368240929318,1.0964074707055211,2.501353368194543,3.1543020975875153,3.2895842091534027,3.2367645740443076,4.500157452106226,5.047066421082252,5.6442677728829,5.459666748706804,6.148438803893703,6.891561539323676,6.920046111932662,7.881031626680934,4.541043473561702,3.9126518801494177,5.823560251657038,6.031275392583054
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7926292488645772,1.7673805654682178,2.7224277875913914,3.50528057653199,3.0903433669932046,2.870980220133494,4.143685763182479,4.880213123635097,5.17012332824074,4.987724601093391,5.510554679089455,6.565701883723956,6.759645494554898,7.483202603510734,3.979070278798284,3.190150571493774,5.27937486820647,5.407274781483781
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7798283509641641,3.464220717506404,4.13393290227349,4.21776899973392,4.0103203451018485,5.505004288066988,6.072017431305262,6.548298348864028,6.238584388733057,7.052584722171363,7.8013232011042355,7.867626048863578,8.736912797931366,5.588271504773809,4.907039819835215,6.8867675706603855,7.07025327818896
9H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7438644919527406,2.9588268736768266,3.746403619969786,3.939496224792107,4.7635987884892526,5.16832896012217,6.086514042028057,6.081287308748567,6.5636789535864395,7.274114857192397,7.1656249764795055,8.348413609179584,4.602220799998119,3.9391295723713586,5.761309956838289,5.880922661446834
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304101598321748,1.3571577199632914,2.030842023294329,2.4798789971865203,2.717649961232017,3.7682379306925693,3.8173346832113464,4.529963726405716,4.704386440169943,4.5210825502793615,5.817124554264646,3.106315599465121,3.207145317730386,4.271495018111546,4.821354893789014
11O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29026336591988,3.1579140742872034,2.8722406168770713,2.70364725144071,4.329221702833214,4.63006869756295,5.068677975998892,5.035582315636337,4.576090650466702,6.244593424563144,3.2921402790794385,3.503820217957615,4.195538753167915,4.716601155873017
12N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0114404108091126,1.4584334127187581,2.0926447271160717,2.488742177544914,2.4805230405719385,3.2559563226969046,3.604734399293807,3.7124700321593083,4.630705937474136,2.4260242933347067,2.7719809156099546,3.624577254670425,4.282501663470219
