 ,N1,H2,H3,C4,H5,H6,C7,O8,N9,H10,C11,H12,C13,H14,H15,C16,H17,H18,S19,C20,H21,H22,H23,C24,O25,O26,H27
N1,0.0,2.0113622060260417,1.7246820328036354,2.823828706772294,0.10052340479647826,0.09258899833942658,0.22694092457001636,0.04241268182411584,0.035504127653889064,0.0026029881918979703,0.007912603899229126,0.00035501131157777976,0.00048118020583307053,0.00018118483098128468,1.615235370389101e-05,0.00011776944436739378,5.096574098972795e-06,1.6740419392924366e-06,4.516097967878496e-05,1.6726949282896975e-06,3.794871195061944e-08,4.978329735116915e-07,5.960351818767862e-07,0.001426348949042644,0.00014346350594496293,0.000439671204294792,0.00013821200546937362
H2,0.0,0.0,0.02661367017552485,0.10452122713402068,0.0046011800735554775,0.03638014293170899,0.015651859668679546,0.03448093094392202,0.0026563078172024968,0.0006946040521698116,0.00039239310470085,2.785429417762053e-05,2.864215594067243e-05,7.120298922691504e-06,5.551960819971669e-07,2.5488028851938793e-06,2.854119585116166e-07,3.251800835268881e-07,1.0920276674042384e-06,4.066298686655756e-08,3.587796504334051e-09,1.921416581396329e-09,3.00981104484066e-08,7.66497266821986e-05,3.2379202142163166e-05,1.169601303452339e-05,3.5095357735492883e-06
H3,0.0,0.0,0.0,0.10756314803958411,0.0359986939692436,0.0069885350175529215,0.008422026701205176,0.007604685058692939,0.0010136163538984055,0.00013949161899740048,0.00020569403722092705,1.677538293032299e-05,6.350503212249059e-05,7.989330726543287e-06,3.538016757120843e-06,8.929337376506474e-06,1.7340083686701036e-06,5.351054375157815e-07,3.7083210306931846e-06,1.698331608679382e-07,3.2889935219770905e-09,2.425704392905459e-08,9.931806088658846e-08,7.733582293001362e-06,3.540907073773525e-06,3.04231499992369e-06,2.60891456660417e-07
C4,0.0,0.0,0.0,0.0,1.8440587465334486,2.1358011287029663,2.5986801289182533,0.2802982628351308,0.22262609421120916,0.014105475820364921,0.03674459335250374,0.003715366513245222,0.0033665036489375078,0.0008645697995661727,8.523518589353962e-05,0.0007869388425688628,1.5332291744218907e-05,1.4768365225847901e-05,0.00022633604982059963,9.976481927326253e-06,3.492962370454933e-07,1.3523183761687818e-06,5.264659574732988e-06,0.004611140840142691,0.0004892710390111826,0.0013320148320225683,0.0002776678011812139
H5,0.0,0.0,0.0,0.0,0.0,0.02591604841739814,0.10747648185809089,0.029828008595131683,0.013672778872910407,0.0007041397584701681,0.0012684809848904077,0.00034839296190547486,0.0006884776884528154,0.0001004032197702287,1.8964737289905997e-05,0.00010685371700835944,5.192751814542262e-06,5.814728038844308e-06,4.477392365886956e-05,2.219198793507182e-06,1.4343449139531117e-07,4.2803171451666344e-08,1.7855627918450523e-06,8.365441250135497e-05,9.166255942272272e-06,2.4742943419475694e-05,5.366827028563392e-06
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.09793030583633544,0.029295073697453988,0.01069250188222104,0.005226173732358896,0.0013225000745822335,7.829858537622414e-05,0.0005447251725734237,5.6901576797052655e-05,3.139360565063143e-06,0.00010181790703911453,8.080945512745075e-07,1.3792100257425943e-06,4.645415091131255e-05,1.5985628625259096e-06,4.371574724437721e-08,3.4276878224659413e-07,1.486956764384928e-06,8.062213359361081e-05,2.5621365239758553e-05,1.334262361429861e-05,6.5113500413716e-07
C7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6060149166768305,3.1733309241665775,0.13051307115640653,0.26409169869337457,0.022813556897488763,0.036593834892538035,0.008433381365241077,0.0006471737559026192,0.0045978663363942796,0.0003719338560199681,0.00010215755190734477,0.00165789611307951,7.918901862360994e-05,4.4964224714671985e-06,5.926014220447584e-06,5.595916764478126e-05,0.02869048977323929,0.006874670382922138,0.0055370066517745065,0.0012279975627813577
O8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529111429537173,0.025683761023595708,0.06727885339586111,0.03238373268785599,0.020495885421297697,0.015394044785320471,0.0006734526559323273,0.00260923281592379,0.00016855871073384598,7.406344075089333e-05,0.0009663849602973631,3.711927593855191e-05,1.1065032718970969e-06,5.260402354156923e-06,1.478879992755644e-05,0.00847394781325192,0.004156637798515862,0.0011638482984478449,0.0002717918504027139
N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7841047994227341,2.8041640567401878,0.10011091803451155,0.19593886677998193,0.010765836592542044,0.006095409289774145,0.031381310081045666,0.00039164206493680354,0.0008035862764274038,0.007368484779664779,0.0004097997078656851,5.331122632568075e-06,6.82902676378827e-05,0.00016050330251404787,0.2024995047338936,0.05785237044101986,0.028473460122993538,0.005479519016177381
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09680571126290216,0.02076648096210909,0.006776382099645151,0.0002488149302297682,0.0006853902640095999,0.0013446491967815666,3.3422366727542396e-05,0.0002112839659877963,0.0005445948498155051,3.000338327407981e-05,9.184266824835419e-07,1.1190879227740425e-05,7.133738001874335e-06,0.0323430722542879,0.07556998050580432,0.005240866459484184,0.00015736597006710262
C11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0642554521228376,2.548179332857087,0.09769424935316184,0.08149673751287811,0.1516519888618124,0.004736883524745883,0.008350997598407073,0.045339329846919255,0.0022577802608351183,4.101961976421542e-05,0.0003871349618826958,0.001129034115394223,2.678099654424046,0.27436757077923746,0.21885934879181618,0.0539877797642252
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07765071428253645,0.004412163720951323,0.03175309896226386,0.010039175120926891,0.0001451211755352233,0.005029884819874653,0.0012361185545148867,0.0006433362536046872,6.956043604455786e-06,0.00010664085866296524,0.00027240829626840046,0.11208613705700166,0.0278048124761211,0.011013645120251603,0.0009316242751271631
