,1N,2H,3H,4C,5H,6H,7C,8O,9N,10H,11C,12H,13C,14H,15H,16C,17H,18H,19S,20C,21H,22H,23H,24C,25O,26O,27H
1N,0.0,1.0203169539183385,1.0198505755311855,1.4541569782500954,2.087887366604209,2.0929189043217873,2.518424412146381,2.8202975806108364,3.7294744571020386,4.021108135883458,4.972712017220221,5.007785483352962,5.660265634526716,5.07680197346572,6.0241369707721635,6.962429807357468,7.667955842781788,6.894358776730051,8.030045187050403,8.787790836378763,9.318218197995316,9.597128246988678,8.19378025579383,6.0414331438958735,6.175058328060925,7.139029311788039,7.8195827234402815
2H,0.0,0.0,1.610664648722781,2.015480985649884,2.430763047689583,2.923944922221546,2.6234922122870414,2.5372109443128643,3.950182821106492,4.430981389332032,5.032847896720162,4.997175119586494,5.493454567034308,4.751334798943733,5.930780315469668,6.706348960844654,7.5193871639375685,6.577013509613712,7.610817500683555,8.497615503846133,9.11217796037194,9.241490023519397,7.961256382508421,6.2797286443868146,6.568402053714982,7.307861285727535,8.071997720669795
3H,0.0,0.0,0.0,2.026303313328255,2.93035877819326,2.367580434735917,2.750150293923266,2.8815166982357705,3.9427158472600277,4.289766865974008,5.072958770046387,4.921110375170697,5.948282980810446,5.440798237041148,6.437835505138663,7.148050495098598,7.803279747276504,6.955107414784128,8.353850688499895,9.220289666010828,9.680682519872299,10.077172209662992,8.70506882724927,6.0831765125937824,6.277231444678438,7.078586504530011,7.753673739328168
4C,0.0,0.0,0.0,0.0,1.0995990578624866,1.0979426633738882,1.5400330018889699,2.4253712760991273,2.4574757045491356,2.610374119309789,3.8332077664209763,4.107124706672401,4.572292675370256,4.16074902982304,4.802622895832113,5.9832789826333945,6.5921464073895635,6.084148735588935,7.1365010024495135,7.695847604505696,8.154438763939162,8.557046196176774,7.043285268778976,4.785096109551226,4.817739504915483,5.978408301234812,6.6050542528697
5H,0.0,0.0,0.0,0.0,0.0,1.7562515879154572,2.1473981973482292,3.0386223951194506,2.794050786922363,2.7914165179069372,4.160891242091445,4.645477125438496,4.603164658565412,4.137142608205496,4.617446866633601,6.089008842708959,6.727975468632209,6.346978327916835,7.03787750840861,7.4188795661985605,7.953193985801125,8.208389400186235,6.659477242045831,5.093445190014809,5.024601372604216,6.3551345990776476,6.954770087856632
6H,0.0,0.0,0.0,0.0,0.0,0.0,2.1744645471120005,3.2080924769838375,2.6511342119767947,2.4544690602606547,4.064535438392308,4.38666327351235,5.047030716874563,4.845638195187386,5.198086919693734,6.4636576174184235,6.922570352159671,6.6066811936243095,7.766066044926581,8.193702939377696,8.537136966321476,9.110817660966326,7.511864161705243,4.6970013037174505,4.508675951718654,5.922291712868971,6.418726673657119
7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2277287041321217,1.3640731577502494,2.0802797025989603,2.463499162855964,2.6244466720135273,3.235890112403882,2.872482167628819,3.701896766204488,4.545770675766066,5.174162722610961,4.56877610298203,5.812390218181978,6.534252016470105,6.947630101435678,7.44256779967885,6.026350216179246,3.657402384549275,4.022341996445075,4.72117591985943,5.466255262605409
8O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2734628693798387,3.1807955385662354,2.8000574302465964,2.550054513151459,3.3307182207344113,2.745829829234383,4.0622789828172365,4.362849604056207,5.1325072831771195,4.1296185213226115,5.5278139967925775,6.56711707622103,7.0427311526062075,7.421804201723299,6.222204579567787,4.200784463586963,4.835556653548457,5.017085118101393,5.8781575764045835
9N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0129937865003151,1.4528130740353495,2.080476295680772,2.4866730463373177,2.5932897562339763,2.783588943192625,3.8597830970227265,4.271889810348654,4.104956230395978,5.2940284493539425,5.753659651095193,6.013051716824883,6.742563169861622,5.219455435914579,2.390222388142601,2.691231210764706,3.5825122205778364,4.250689225847572
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108322396451458,2.8900566325955337,3.108364893755922,3.365167099405801,3.0857957731130425,4.5030927468048105,4.756023654509336,4.893766080490981,5.911946985992299,6.09457877300231,6.278026572898222,7.088736859176769,5.4451071326343286,2.439069577159513,2.2470423219533813,3.767874764153995,4.234839466383345
11C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0958418415141031,1.5575038327624904,2.134017656370662,2.1728391748687583,2.6030073493458024,2.8958486913796717,2.8401509456451177,4.257402183928346,4.820779626377385,4.944927903573829,5.865126152694326,4.507604861708891,1.5211994619228504,2.4250613339253486,2.389691596953464,3.220076874101037
12H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168378602506163,2.517095448546129,3.064084373360851,2.754277823791183,3.098175253767638,2.5488403841686003,4.473622174254482,5.369739151419018,5.480132798989385,6.387403753155421,5.234204687363137,2.148904265385362,3.192743235583264,2.557876706367987,3.4788433236692082
13C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0939316526133624,1.0971875307432168,1.5325655904545648,2.1929245100523773,2.1673475930843447,2.827539233591493,3.41392023873524,3.7493891624130584,4.40570482771452,3.1327544087395793,2.5551687096494624,3.398207809685998,3.109195396512214,3.9313424309913008
14H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7654704238903312,2.1512799491528165,3.07859391550593,2.487795978941666,2.9807566779740924,3.839377807208136,4.414226709534415,4.682071471717917,3.5242978853881244,3.4495140488755642,4.23139762314478,4.0917241894078895,4.955192529834641
15H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181287853882907,2.5665681146894928,3.0839499279756897,3.0550506664779293,3.0239779627296106,3.366432434226556,4.009530054648816,2.4450615943328966,2.730982699582937,3.2394028783189097,3.4347114334129403,4.065691971026236
16C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0940487462076336,1.0961212487423189,1.836949854385372,2.823740841780988,2.9925997972475247,3.7819878480996603,3.0669215479056255,3.226186623904171,4.258193514399549,3.1194006205814566,3.9367244598320195
17H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7611512430502092,2.4208976029115057,2.8945664469823433,2.646369742990414,3.9021298224592393,3.228948233698046,2.9707253792202994,3.9631579181168894,2.5113384951504942,3.1770944202625584
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.366356916523326,3.751996874650852,3.9178348512912002,4.605344858776493,4.098636625876763,3.6269806536465197,4.781952582236639,3.369247699496878,4.26944218682248
19S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.828434270686236,2.4465474775465137,2.383823323523882,2.4593348703278,4.926905157247375,5.822440773259015,4.840021424055458,5.5488194664230335
20C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095152779026814,1.0936292394206402,1.0941356266533566,5.089751940523501,5.6880889080365655,5.080337069514787,5.542201772045518
21H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7778597786268249,1.7905062843386996,4.90296887083951,5.469109619120776,4.677896005965248,4.991327869071619
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7749864128269588,6.181371764802054,6.754557056392461,6.156046463087678,6.5972576869168975
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7856904919845995,5.209768592587568,5.048984182567177,5.4888099348846024
24C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2138044984373426,1.3491777610162246,1.8771077097906963
25O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251957245471079,2.286798022705619
26O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772584165824213
27H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
