 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,O22,H23,C24,H25,H26,H27,C28,O29,O30,H31
N1,0.0,1.989518008476542,1.93561675719213,3.094544099848653,0.08893624218818774,0.20258588171399267,0.0388302213855497,0.0026438958288157455,0.02751019899372764,0.005592584672847262,0.004932593092639187,0.0001383527708137544,0.0007860483017471109,0.21974004881743558,0.052999902784015375,0.03366883684320712,0.0027113855354816696,0.0073721258095513775,0.00026148031496253665,0.001355012481013801,0.00029576270396225457,0.00012400623867313276,2.9216842569956825e-05,0.00010033794139899244,3.359316181894556e-06,7.468639213747963e-07,1.4505949670118312e-05,0.0003950239915910536,0.00018385819010949267,7.243622140426509e-05,1.73708173438758e-05
H2,0.0,0.0,0.02735655603296605,0.1137065633723382,0.009840344188066341,0.03184462821092082,0.002079152121224226,0.00014414180092625628,0.0038393908428562273,0.0005607785317771619,0.001255131261516662,1.7387668487911512e-05,0.0001633902004025689,0.005744473566362762,0.004581984387508786,0.0006652879878651374,0.00011897760469459229,0.00020761612928099638,7.206480155286243e-06,1.2075966638214197e-05,3.266338405083502e-06,2.171335354184123e-06,1.0510316963419086e-06,3.766614029676596e-06,9.61380615116525e-07,1.36280058349314e-08,1.224925443077396e-06,3.193651504429518e-05,2.350051195187941e-05,7.90516413107234e-06,1.067080915628793e-06
H3,0.0,0.0,0.0,0.1074932428945321,0.03416953639888942,0.005047993771180814,0.000677122317976897,0.0008413733066190421,0.0011729695691182762,0.0006062598208210757,0.00020231994818609156,1.8042750072000402e-05,1.480835033884631e-05,0.025417139537434963,0.062207276826448554,0.004316734811643741,0.00039191232543500654,0.0004644314138002592,3.2635101197886485e-05,9.577993475795576e-05,1.3836010449352898e-05,2.775137099575442e-05,1.6709988514218566e-05,7.853576588945366e-06,5.3637234653791666e-08,2.8335906909759956e-07,1.791764020708797e-06,3.58445228488824e-05,1.529369019426241e-05,3.4909146497952293e-06,1.697210071371913e-06
C4,0.0,0.0,0.0,0.0,2.0857249592791267,2.7274755595770452,0.08553809856498629,0.07586096862004443,0.1663092769665349,0.031429911643087116,0.030068082550451916,0.0017000535857960575,0.0038429913065838317,2.686702090748749,0.28417638537653817,0.22170691271943693,0.01744643809413482,0.036027972266243935,0.0021847273418943436,0.0044306910144081,0.0014039906418319426,0.00043907943525403614,0.00016638363816867674,0.0003954366632005768,2.3085634488939633e-05,2.585143509481469e-06,0.00011484177146758867,0.003450370542846831,0.0021542822016359514,0.0006744984528688769,0.00010313254499494384
H5,0.0,0.0,0.0,0.0,0.0,0.07739838291184387,0.0016519287401863814,0.025071614055768743,0.019536941549622933,0.010610636628956338,0.0021180048592448486,0.0001735797097599523,0.0001792693976587767,0.09408639899377058,0.026317398255696567,0.009940187797572775,0.0033094994246567477,0.001444568260385859,1.903217013943248e-05,4.115601650633849e-05,5.759570353092158e-06,9.688002469698809e-06,2.1792436601497656e-05,2.9385481105648203e-05,4.291029384484446e-06,2.603558735270184e-07,2.2736455942196088e-05,0.0005788697845097168,0.00014063454444346313,9.123964233992421e-05,2.340253645960466e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.0032804999712095,2.0382884002747907,2.748743530031952,0.27237763787769986,0.24321318978160567,0.01700152276777822,0.04310031922981317,0.18177412081842723,0.03896347898038871,0.031120167567761856,0.004075567282769699,0.003050388737504489,0.0007346901979714549,0.0003283619094133772,3.847923663014008e-05,0.00019212696143842967,0.0010045384218307918,7.48514395777361e-05,4.4903645164406925e-06,1.0340466465308396e-06,3.2495088681860906e-05,0.0032603431875877498,0.012164793847124086,0.0011532814913104844,0.000144354034417149
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02865928040650556,0.11175179608117425,0.02443593449836312,0.014050659030882429,0.008710465686946778,0.0017817981669192573,0.021455697723296918,0.003005209037899581,0.0057798710557517285,0.0004327856205834646,0.0005705252907586278,0.00020003702465176687,3.3572924999170084e-05,3.5439075634080552e-06,2.132846822111567e-05,6.488726921993759e-06,1.560792467636407e-05,6.256141757976508e-07,1.525144499581188e-07,9.73840218532196e-06,0.00047822003405006974,0.0005364385791517545,0.00015646543470537733,4.173698549769789e-05
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12203650621248574,0.026201996803459804,0.02184496014664772,0.00018981787110994297,0.00010282151966034547,0.022075651716003897,0.0038639656419617863,0.0020515736618832436,0.0004295181167657258,0.00032850002239381837,3.5150936636529906e-05,8.900741512407606e-05,1.6104010371886801e-06,6.540721102088476e-05,0.0001364104781693687,1.0775457597977933e-05,2.636603447125907e-06,9.33807010161658e-07,3.894879703425502e-06,0.004254408365588658,0.0315204811243911,0.001710792672141137,6.581397776561637e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6096171906048875,3.6573800680453656,0.13538937464791168,0.14982399621510767,0.009686095266553701,0.004039321245047023,0.015258416197978436,0.03384655225076694,0.0019296639933676918,0.0004470592735388301,0.00042988395642468147,0.0001529742683221702,0.0030647437412049394,0.008564003273415555,8.813307976129892e-05,3.3260922469580123e-06,5.892391065076552e-06,7.481664127206855e-05,0.00043671522649735284,0.001555788456912316,0.00015312777885601037,1.5868441195276972e-05
O10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5443589770586432,0.03182559990261602,0.027878526120092673,0.009616133000684257,0.002756557556016396,0.09451653715105504,0.23630582280513523,0.00825112731045348,0.0019078242606056506,0.0019834280669504406,0.0005618946404878367,0.0145214548829787,0.05999248388706724,0.0003804106692679443,1.413910749525904e-05,2.607236579588168e-05,0.00029932806255172917,0.0003593086582009686,0.0004584715422679894,0.00013681445400473558,3.9811320698746044e-05
