 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,O10,N11,H12,H13,C14,O15,N16,H17,C18,H19,C20,H21,O22,H23,C24,H25,H26,H27,C28,O29,O30,H31
N11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7697254159273477,1.826268925144369,0.0031157147892268144,0.0012434580862933364,0.004175292026822736,0.007672385843299878,0.00042499192626097027,7.844207292206917e-05,0.00012648934657452648,4.5293769276866236e-05,0.0010048670359236872,0.003002753622805998,2.2217424929568685e-05,1.3517404185980908e-06,1.382465072197192e-06,2.7351596217028984e-05,9.9062287929913e-05,0.00020522904195187375,2.7707790836759005e-05,5.77170353321943e-06
H12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03788230214436683,0.0005982855250776797,0.00026783743429004137,0.0010308919640212855,0.00026270406536976765,0.00010655615252896933,5.3346016451572e-05,1.4550107298894055e-05,3.3098027538702723e-06,5.673414719187253e-05,9.939701158412362e-05,3.815671642981577e-06,2.70968690596618e-07,2.1789863136056908e-07,3.2695714111685703e-06,9.739422228927097e-06,6.739432935942702e-06,2.8243888204881884e-06,6.44710973718432e-07
H13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005836741939224677,0.00028186814865105436,0.0003963897572414332,0.00010739059239561755,4.545408923661842e-05,2.047556791584526e-05,5.018776020104809e-06,7.569182458588841e-08,1.5029652330911247e-05,7.540668997818578e-05,3.171720379668841e-07,3.8569542226696285e-08,1.8097812137796154e-08,7.472794694152185e-08,8.99249370134303e-06,7.71332883986453e-06,2.8392540329935656e-06,4.5785068158998854e-07
C14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.437736530628403,3.615674808607944,0.1442030847949478,0.2757035341886571,0.015949519451078364,0.031214510632158715,0.0037581830184747478,0.003970840822517835,0.0011756798791698886,0.004143980141086745,0.0003717009973793761,7.01236992028953e-05,0.0015495296126777358,0.04879066479061156,0.022143663259743387,0.008554197278096143,0.0011765318101404354
O15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5198160958134211,0.02235024477784886,0.0633250414290581,0.02000750743722779,0.006674589397001773,0.0005245211492116431,0.0023340138451819897,0.0010750117352914534,0.002515917594132208,0.0004278749227155654,1.571178546866392e-05,0.0013188331455891156,0.021258651667309322,0.006526397526008473,0.003149617637369116,0.0008254453541249873
N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.496178835540955,2.8326371529332617,0.09980776073700293,0.17059735252833028,0.022293650638910867,0.023894319973839576,0.0067277246700025994,0.029366724681615858,0.0027971932881811767,0.0005772482106058963,0.015587856090490515,0.19619133226330696,0.03171139971782755,0.02894316058909606,0.005170341478564877
H17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09961988169369673,0.023301300741332076,0.012645914746397313,0.001821042212581503,0.02000506192246143,0.01665694505420401,0.0030176292927516224,0.00018547481040087632,0.00017898023069684577,0.0034273975788328137,0.004567618941597629,0.0024288495180856406,0.0008852720308947237,0.0002656961529901025
C18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.871227411394141,2.7645508214265937,0.09521323575553797,0.20932433828463615,0.007482417893508786,0.16486652326705944,0.0296346098700504,0.006671804213661758,0.008382469151057226,2.61105095925858,0.26434534016161587,0.21631654964737942,0.05460498926504764
H19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0931307937440411,0.004245557066960393,0.026619505532587073,0.00015764959823161284,0.006223265144560619,0.0006917896625855402,0.0025238559099869384,4.577808657213467e-05,0.10637973018419,0.028374408068807866,0.010950763864879698,0.0004935953725608844
C20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.939912515347467,3.0205976998394988,0.10654555652040332,2.8016447312402684,0.09698443680756541,0.09697375276285536,0.08871172286896045,0.18636461695317041,0.039202486231362604,0.030249283980765138,0.002058162408778319
H21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10330756841516153,0.034907093044716175,0.0879594184935849,0.005560026704354071,0.003539080475139178,0.03391949794756299,0.009875824166919012,0.001424043181135315,0.01546409807673832,0.0003180591875209249
O22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7816003794084672,0.20574634454330415,0.010245506856926379,0.03252733289338994,0.0079795162793308,0.04302296921913126,0.006090150309594915,0.004368245570878365,0.0002952393478964366
H23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014318291663285465,0.00033033859312991964,0.0008754868062730292,0.006000211665623478,0.0008336996227181759,0.0006141512513637704,0.0002979426503053606,3.855609942737814e-05
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.183634021714452,2.0005996727272652,1.9750996586445462,0.029807192325808363,0.007024959385032975,0.004656658968703362,0.0004451636351360255
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02503199105645204,0.024094908614991528,0.004062856466215958,0.001625095160664558,0.0003026911419524714,6.500961961108942e-05
H26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024886647268790085,0.0008485497093801975,0.00042096109226819056,0.00012927482395108658,7.3768704620391645e-06
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001112322782034214,0.0001862605235350978,0.0004412894187664218,0.00014855740887509405
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.078211324452948,3.4654287902055763,0.1659829484483456
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133486443270215,0.06735677484877156
O30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7080877503141436
H31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
