,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12C,13O,14O,15C,16O,17N,18H,19C,20H,21C,22H,23H,24O,25H,26C,27O,28O,29H
1N,0.0,1.0218940797978824,1.023534568484644,1.4719919563057098,2.092620189261673,2.460785772909684,2.6267088836952737,2.65410920284392,3.89200000101149,4.600563408459062,4.271502799735148,4.5046618633137,5.031562307347439,4.868105907250194,2.4915405815490477,2.7897179679804127,3.6702954137934563,3.927064411548149,4.933783813233361,5.1756221349443745,6.097134405298007,7.018462242496669,6.111292536588223,6.404449886819976,5.828473523070057,5.421981594191139,5.262734081180457,6.559825084422396,6.998309209775161
2H,0.0,0.0,1.603245807047244,2.0296427403310484,2.296515986017716,3.333742119081992,3.4971688210740015,3.6263209331902204,4.6445299436905065,5.4519619482380985,4.9667798918277395,5.038980437696758,5.573973788320217,5.198356808936739,2.7264439175994224,2.925553975251271,3.8188832214868222,4.152402298096145,5.026407080138775,5.077805027498131,6.178222617030886,7.066477548823282,6.049142992871559,6.670717855157128,6.1346109021774895,5.712137296937948,5.7559718416039605,6.7502395424481705,7.288744391909658
3H,0.0,0.0,0.0,2.0037134342629948,2.890867038292315,2.7906534457523904,3.1622365060732416,2.586321669082836,4.205062272067644,4.862943776780745,4.389552569599718,5.07587768337364,5.721554234476741,5.4174439547457895,2.500356595152463,2.3548077240854806,3.830986386225491,4.292229480911341,4.905876419357527,5.082249703516545,6.232856170605004,7.061323367304891,6.386483816206159,6.593985340312629,6.136610121655214,5.154334503621434,4.935131756783547,6.201328551885014,6.549851332177465
4C,0.0,0.0,0.0,0.0,1.0968579451500013,1.550013366649057,2.1313757351872598,2.1576300051956565,2.644500072942394,3.5393312397387047,2.9659382072143594,3.172189543475824,3.9015926462238766,3.4426861532209254,1.5459991702179492,2.4381221958992745,2.4321675599410857,2.5153979521397183,3.8021144574551493,4.2676593625436245,4.807413083534819,5.788031663183862,4.865891771970564,4.985450461584437,4.369323433067967,4.375112819328267,4.231623873338916,5.625039959809395,6.105322199871829
5H,0.0,0.0,0.0,0.0,0.0,2.153405775492194,2.4237590621800686,3.0484789174889197,2.8916198121401226,3.8288061741345265,3.3608032123961933,2.839050525480742,3.432001063732302,2.965629337360485,2.1578190427741504,3.2148024740264614,2.5625286939845635,2.3323967467964293,3.99804147805533,4.452015424343917,4.726478115122186,5.770199157468815,4.557350914369783,4.8990711866190795,4.1743261741038244,4.868990489794913,4.879065171440848,6.107818278296963,6.693661032856377
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0962670594225477,1.1005766274142708,1.5455029401493632,2.1410267318383727,2.1789398998129172,2.5887378160533463,3.1919208015740574,3.364693770744373,2.5709550629285403,3.394076334526302,3.1810559516167656,2.983695522390988,4.4221458416553405,5.149516020625354,5.259890229867695,6.244340870789775,5.514605126648419,5.032000115349581,4.337182365058649,4.629937809895067,4.105573056455173,5.9715593720778335,6.264189246901423
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7661051446308569,2.1671608331300614,2.425339474319584,3.0716244727786277,2.8469912717847663,3.0115331912252272,3.832352059304643,3.4812429293518345,4.294994891838852,4.102600496959647,3.7761994870656252,5.42047305783482,6.1208579573937545,6.167263228270038,7.192594268793181,6.310482936237903,5.881339288107188,5.088610577495608,5.715712931492521,5.188074126614851,7.0609211355564625,7.359055412352109
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171293109313183,2.4686185861148675,2.477329614993609,3.5273563574055316,4.148957951394282,4.279053499531239,2.8408476603623307,3.294932538395724,3.6639953322138448,3.7052751999166142,4.718647619040709,5.400872322387543,5.734633614733598,6.62254063079989,6.140401196582503,5.5347358140932315,4.975205254407907,4.603575766325006,3.895846111850554,5.877256879328013,6.025125256963143
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972414617587227,1.0943087434317753,1.5553046332593472,2.397491277046751,2.4258300252036014,3.1446563259324485,4.121992580561554,3.1150834454112353,2.5872059595328887,4.124620954761273,5.076522014358906,4.571934516725563,5.543078880918389,4.933727376855345,3.9811345254556527,3.2348362854547315,4.258759945778854,3.6749569268933526,5.616136837978093,5.87556617445079
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7711115914090385,2.156907634183115,2.56186121618686,3.235728502744316,4.144491350001974,5.015143265559929,4.181107150199831,3.655528830350227,5.093178432326022,6.077294789635211,5.471373707742688,6.387990334067883,5.899261211673621,4.70167617501729,3.983393425058505,5.022883663260126,4.250766431077085,6.342851222963731,6.468923474285717
11H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1981572529862765,3.2637750448745537,2.571672454462292,2.898820597440457,3.7461435941697374,2.673872062640225,2.3428835805816757,3.3731424231105405,4.384195126850347,3.8560378206560144,4.729473697990966,4.420669047727195,3.2643855653759353,2.7277971353531982,3.2742389597060533,2.634903612024401,4.607219499976198,4.82043151418879
12C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237165146751127,1.2974964897944539,3.7381833620886087,4.916677495045818,3.313691766868789,2.393945881526164,4.35527201822948,5.28774960357458,4.369411303070047,5.413330669616978,4.442310000528367,3.6995095451880355,2.739670634891041,4.908621164579909,4.627404247517821,6.217808047483748,6.640549037836135
13O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2575014569730483,4.767353460488049,5.944530744515168,4.4677929267094525,3.5390600522648836,5.567582507583464,6.466932173688668,5.512496471445708,6.553790012012479,5.476881926981088,4.786457519480563,3.803930226524175,6.141213293444737,5.807969953266069,7.45319969443548,7.858392240560396
14O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.570393417839004,4.76545611285711,2.7279176511513383,1.6871161895999292,3.5722853742171754,4.462786384020091,3.297107147895394,4.3492098443590095,3.2279473994965824,2.7379598291638154,1.75507866006785,4.396076728243769,4.422308085245829,5.596701300051593,6.153615187483376
15C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2360663408184713,1.3534355289186006,2.0563410754413107,2.4562024335113968,2.814239105633872,3.733115832286126,4.581500810641722,3.9405107775432997,4.196646171406887,3.8602619170935792,3.027663107652092,3.1506264511733177,4.177578592754475,4.729390483478971
16O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2881778768691303,3.1899485783520944,2.8459470091414563,2.870213759718538,4.347879464133312,4.992023839385379,4.658666246833402,4.980174694405296,4.828504956668918,3.0596775578536675,3.2173814752197982,3.951369328731008,4.421354242185711
17N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0457807155503767,1.440721077983388,2.1002407636747153,2.4309544895486286,3.3673197538254094,2.63246176039067,2.9387429308398083,2.662630067963286,2.474383380703023,2.8874659607398594,3.634090628763463,4.322504144118786
18H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125179063658895,2.9336719229913406,2.4840952826351614,3.5593438448840926,2.5418753604386533,2.586755982992504,1.9936078838694362,3.122985610535131,3.3651355028197125,4.334103396217332,4.981686743320753
19C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0987717233367147,1.555490625757428,2.167448341210504,2.151545893750553,2.472344683188863,2.723280990542624,1.527476598745551,2.4634182449408346,2.378445787103227,3.2005333954597517
20H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172036960576162,2.4467327065961366,2.4687553027976565,3.38578207806755,3.7022478456248513,2.1235017872859623,3.211525121844695,2.458758930442898,3.387523531427007
21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969150467191873,1.1038153628282583,1.4003037312550686,1.961523243935385,2.512841340299211,3.3593172668968823,3.0557212617685594,3.849451424880531
22H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.779918754113167,2.0240713724184936,2.854852694508461,2.7384820630647733,3.7156154171844196,2.7617128175253045,3.5460692475000752
23H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088090275879188,2.3107804369710583,3.4481839745006932,4.310173147344009,3.983104334363557,4.8471308130284445
24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980940808905101,2.9343658483758306,3.331119119220621,3.6792633058890996,4.225209792522067
25H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3521879087898103,3.5642071502604424,4.340714319954145,4.883108373816283
26C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2077014681359532,1.3681277414083806,1.8701684387642346
27O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.249073557452512,2.247829478099337
