 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,C12,O13,O14,C15,O16,N17,H18,C19,H20,C21,H22,H23,O24,H25,C26,O27,O28,H29
N1,0.0,2.008685698799555,2.0059187018672953,3.0094768492771755,0.08756486433869282,0.19428446267129837,0.014502582074770065,0.009384231289575329,0.034405593590304026,0.002489778137909182,0.0004921499006305119,0.0025563466720254224,0.0007756020321854074,0.0011004292195538473,0.21745097658502194,0.055440993000044986,0.03519645734636233,0.0025829833562861504,0.007363321123424013,0.00025462114858731955,0.0011040136707328868,0.00027057425095811105,3.351237223014891e-05,0.00011595845019822526,4.629620854268435e-05,0.0006642314801138249,0.00014281520086209532,8.2874401344038e-05,1.939581854271122e-05
H2,0.0,0.0,0.02626474758670172,0.10415924264964938,0.0085686350114349,0.031946574385098625,0.0006129997594557235,0.0010831029050100138,0.0044952431491060985,0.000784005096720497,5.570816799993494e-05,0.00019726615784032564,0.00012130436637414199,0.00012641626271203688,0.0077574988557838065,0.00549640318604061,0.0006022104977205789,4.716718477482118e-05,0.0001892090311506056,3.1708719601120094e-06,1.1944357511617376e-05,2.3129381681030736e-06,9.308400417129548e-07,2.8181406411809107e-06,3.14689171676541e-06,3.528971105049017e-05,3.5796286742106886e-05,9.147124581221355e-06,1.6012073302817953e-06
H3,0.0,0.0,0.0,0.10631321762416679,0.0344857620822534,0.007904041760701808,0.00018602468912143344,0.004789237152680315,0.0006253283219410655,7.308936669248034e-05,3.1564112639825836e-05,0.00083575116418666,0.0001143216782065748,0.0002457047675585855,0.024943988437497122,0.06754323013212549,0.004116641396349818,0.0005362468214555882,0.00046677617726198495,1.708672226130581e-05,9.677447005740358e-05,1.5882658762178536e-05,6.75312175002496e-06,2.5100260680366304e-05,2.9728434620679423e-06,8.467525383371033e-05,4.250313201337175e-05,4.284429961587399e-06,4.5584666596987233e-07
C4,0.0,0.0,0.0,0.0,2.0262997293197786,2.7259863711282586,0.09764207431745686,0.08204697878581069,0.14451057262377703,0.02864493130729162,0.004895710693064936,0.016877144713534825,0.0036808738787042217,0.009953178331050333,2.7195711587433062,0.2766831873431971,0.23766053949568544,0.01574792082058807,0.037542040767729046,0.001753016339257174,0.0038275232961943184,0.001335836276214808,0.00014217104999847407,0.00038131403412422493,0.000223150549072626,0.005086584679013156,0.0012214916200947307,0.0008280476558349403,0.0001034199581043671
H5,0.0,0.0,0.0,0.0,0.0,0.08124457192078827,0.006427597925151574,0.035041657357216094,0.005378427800054375,0.00037161399418650376,1.5404373827188067e-05,0.00940987913568514,0.0006093116693839384,0.006810417539201419,0.09799016740608946,0.02492279640359074,0.012449035055963509,0.005242903662822318,0.0016263715468831652,5.701472961150422e-05,7.331600223059453e-05,7.307102040998714e-06,1.2211381205773364e-05,5.6902131154279445e-05,8.420246055562686e-05,0.0006504557179383141,4.902907336423734e-05,0.00010838865783047158,2.685394686596787e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,2.101596365310617,2.050357039758209,2.8732953230002605,0.10127557153680966,0.08493361726907178,0.16718846976445156,0.041705883226787074,0.030878080121672258,0.17460185452119747,0.03432261506544461,0.028201651435666414,0.0009479820648323756,0.002883181934023177,0.0006890133279956467,0.0002885495603637267,4.873025991836144e-05,3.570065574032277e-05,0.0002481976377530781,0.0002302682622239427,0.001380534953675211,0.001004432614852821,0.00024980670478443046,3.973464192075227e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02209982460626536,0.08327653205139862,0.006626285390991082,0.033450598451544744,0.00725798733986438,0.008515713050739948,0.001181041722495002,0.030027375724402727,0.00520628491129993,0.003374037328953916,4.041585459502173e-05,0.00048627497660302943,8.504348563809216e-05,5.124690882918337e-05,1.2838376076906854e-05,8.727533318264591e-06,5.181961547584546e-05,0.0001159604349909582,0.00032537211463901095,0.00016482396645123298,5.7868194383692284e-05,3.5316302635646224e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08631177665575085,0.004394093404697319,0.005539296874075728,0.029340871920435774,0.00528309063993726,0.0033429547448264874,0.007405135067642288,0.00227093071374318,0.0007745125058309377,5.2603464243405895e-05,0.0001236412658394137,1.2159557558399925e-05,1.592310540776687e-05,1.119648201042267e-06,7.510255988218972e-07,1.2002703793756453e-05,7.433722891247996e-06,6.0056489859849904e-05,0.00018821742943164743,2.1041579151725998e-05,1.286284144308425e-06
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9973673235734533,2.015620098567813,2.6817940508396427,0.300733954488811,0.2613401442957951,0.01466693289829843,0.003628345344559289,0.020616023359144683,0.010950124714371068,0.0017142960384474715,0.0007735102994057552,0.00032749142913529594,3.666327921814094e-05,6.991900564146114e-05,0.002038875695326167,0.0020452420890217926,0.0024919090378719977,0.011469755408913748,0.0009885011604337246,0.00019835277646962357
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025931285087624767,0.0871220253383953,0.018508769803184832,0.022773585381276162,0.0019740446292195735,0.001011014330833282,0.0015391856192830122,0.0008285367475286964,0.00017563442397072748,5.416530705826261e-05,2.3552736893028836e-05,9.36074518120833e-07,7.482615950182847e-06,7.304217399362045e-05,0.00020520281455249645,0.00012592553861812128,0.00021629043174442586,1.588333385504903e-05,1.2357609347146692e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08121184660964786,0.02517078954426455,0.011672882227372616,0.00490572452762672,0.0006046936403290015,0.013542796724316686,0.004333197197980088,0.0014467235784401122,0.0007302484708859858,0.00043547988254322156,5.651021348507257e-05,1.9117036031079948e-05,0.0043262091581632856,0.0015522371776508503,0.006412461287005566,0.03507258361649335,0.0022564424822555385,0.00011398901115744486
C12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72011437608941,4.02258451059088,0.0034891856900490514,0.0012646499502871333,0.018351811439720978,0.04613998655625373,0.0024770264311551327,0.00030953395544197626,0.0025985826895638386,0.0003758011595391686,0.0003557163931258156,0.01695364701507951,0.03869500755405564,0.00036224603110815434,0.0009812152185523781,0.00013922091548684845,3.118877312779933e-05
O13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5545593233756158,0.001551462871859255,0.0005630000090239423,0.00826925272947504,0.012914584494550407,0.0008913385602326296,0.00011524322449230073,0.0013367767407000825,0.00018912387999392433,0.00017059751371450993,0.008416152010578173,0.016848484867659996,0.00025909844025595596,0.0006438825503035511,9.485772018962002e-05,5.197939634327131e-05
O14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014180782581561815,0.004189659353232761,0.1442740440855265,0.33213371479033194,0.0122276115518265,0.0016646751198683418,0.01230600506005973,0.0015349065795231542,0.001324494129451903,0.11500271646566441,0.34255042940773783,0.0007434054707735616,0.00018029256058531284,0.0003267423197047814,0.0001749588193061813
C15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912065581965577,3.5618028269298465,0.1352635827351859,0.27620317015315465,0.01893324061452284,0.03051155456318322,0.004335310501101697,0.0011200974124023766,0.003184956807752104,0.0006295346456026696,0.04881704165469192,0.016158017517171386,0.007721053707007958,0.0009320583892863388
O16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356964362630917,0.020568900719832972,0.06482040618696924,0.016210334335644894,0.008386123666981132,0.0007495426639454461,0.000827986259311464,0.0019266534768405397,0.0005167591246968417,0.037137367558617795,0.009404934690525626,0.0037376233185628938,0.0007342486686949812
N17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.602275006193167,2.952643542503449,0.10048351613748152,0.18187396842637021,0.023922101309981736,0.012010355892275282,0.021563410438087502,0.005510078186686473,0.1895283907943541,0.025093126516317732,0.028410921789324806,0.005059094553248378
H18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09837872179553375,0.01389816966902302,0.01940046406818452,0.001516980110462196,0.002366313229194672,0.011102663701382132,0.016894211601144127,0.006391531483541324,0.000300830542442454,0.0015226335112918932,0.0005916023376646429
C19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.707977773688599,2.5553230281722343,0.09012001569408712,0.09442198603486318,0.22487566992320182,0.007169049716383213,2.6296242742193163,0.26245926036911127,0.2163232754939024,0.055308059923958486
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09436999350840591,0.004335501564661115,0.003866660026649038,0.026952599863585447,0.00014420889287691807,0.11158251233424266,0.028244733387826515,0.013945176440993023,0.0009307110823588705
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161982623199533,1.945314215222179,2.943923282611976,0.11259748236219347,0.19422027450315932,0.04279936117350505,0.026169192922586446,0.0018345523361117388
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025192823936456277,0.10730794644606267,0.028322186314531095,0.008737619954675147,0.0010464990459184698,0.009253970490037844,0.00016863691486590504
