,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11H,12S,13C,14H,15H,16H,17C,18O,19N,20H,21C,22H,23C,24H,25H,26S,27H,28C,29O,30O,31H
1N,0.0,1.0196722584846625,1.0213174180904057,1.4743942247778163,2.077685398644901,2.4617305827295537,2.5998309658889642,2.7410967528215036,3.843423033018418,4.1978200148184595,4.141982914994307,5.300703804374624,5.5667117456118005,6.585600892959413,5.72682511090348,5.000991392430249,2.469149173981564,3.2212476399072254,3.1698821591225608,3.022731617090249,4.274747867210549,4.4357540117343675,5.6255071208520375,6.435369280704068,5.869776403238038,6.232395791940316,5.686729279796344,4.438646354331874,3.870052767560655,5.712313965116669,6.0047465705725
2H,0.0,0.0,1.6300750701725024,2.0494181679575103,2.317813189277283,3.3459675969916702,3.5081888467427915,3.699617520238927,4.592189038393047,4.848070022511162,4.748121641426472,6.175627490237361,6.441174921168182,7.486518947838424,6.493499583469489,5.907619659379543,2.6574613467576444,3.036275287136826,3.535909880157297,3.609823534948733,4.410866675003986,4.339618195967837,5.8626362690560505,6.561813687694931,6.103095322051795,6.711878225298471,6.299301923621541,4.525360659065935,4.036348523468089,5.6859860109746005,5.964139922906763
3H,0.0,0.0,0.0,2.062730187638929,2.932732350369403,2.764604473802717,3.0359625971084805,2.626985620041024,4.195512123895295,4.4262094247649415,4.7117315778024595,5.500499946083846,5.934368886756395,6.8884904909463645,6.25858775804587,5.337206717309182,2.6489914735014444,3.5386586951853136,2.8953466439931335,2.5346577210246055,3.862304502085577,4.197915433578128,5.221043704841015,5.983442560026632,5.640700968416637,5.676203680117796,5.261967742660571,3.7448171403904795,3.0045228103145587,5.023488173901904,5.220076265644222
4C,0.0,0.0,0.0,0.0,1.095064903062746,1.5377284400163689,2.1262638001440597,2.1859314407578045,2.56581059470341,2.8246746974857913,2.81965640334904,4.236689002601778,4.756062861788638,5.812246173121814,4.834565771835911,4.456426112452246,1.5393387340724216,2.4205984946636616,2.477158422885595,2.5622120859831914,3.796636493750712,3.949440482549479,4.92720403428131,5.85074833085105,4.933688770650942,5.590624691746115,4.860822251972057,4.452864811021135,4.221488787237336,5.7387001607095565,6.242478811065164
5H,0.0,0.0,0.0,0.0,0.0,2.1585101554698536,2.466695186139589,3.078677744994971,2.786464104714407,3.142033043382956,2.594090563717936,4.5291453076667745,4.826623909415237,5.917995582952833,4.655228242017612,4.609135341970756,2.1076284667087535,2.501775328537839,3.325402035771965,3.585829765016112,4.553575145755003,4.495200746476558,5.64184006515372,6.539797525998063,5.486854529471056,6.459897297898936,5.689151537937832,5.335376870008637,5.188474957427986,6.56046899691534,7.106608607628086
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0952481935779523,1.0991999189809893,1.532605833925065,2.1752053879369178,2.1783209794143796,2.8418673564023007,3.3788689650512986,4.3852355058728625,3.679880480484034,3.096518001914347,2.6066238176370145,3.664589900347026,2.9673376539518657,2.6642293009419515,4.415457886192708,4.8594977880867924,5.232480600479073,6.270902695907694,5.206563522175693,5.41763153817179,4.419608386630856,5.082179384920789,4.780085253041598,6.405798570128449,6.893521633273714
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7493955253467792,2.175828889541627,3.0849756757675446,2.531457062088989,3.0822707169496053,2.984175142999052,3.994829866983042,3.253305406954867,2.424765676847559,3.5037940166724972,4.47944348088969,3.9813781660412424,3.60024210628222,5.417751745291822,5.832364135204996,6.302463070364347,7.329600326749252,6.300983772836871,6.419843925439414,5.407706346001459,5.945520728362316,5.48446704030772,7.288992704093954,7.695231186321612
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.162042813286672,2.5344593220060365,3.0787942442929457,2.9820269274779734,3.7414280578067456,4.600877763972399,4.303541326521445,3.382754381070063,2.9080000345741333,4.105415399285731,2.7604673983467882,2.114028036275769,4.126107683664744,4.7880623606063315,4.868665379381161,5.894961086728333,5.0228639780207,4.758736161117053,3.804559516589617,4.586749551774326,4.185467406677925,5.905530597090468,6.318667210885673
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957941852639448,1.0971792641708131,1.835485287758731,2.8282951242857037,3.7844851466612814,2.989772947222257,3.078118539551352,3.1441785576494508,3.9873728941244084,3.4510572068537533,3.380873163764036,4.8097083652137815,5.210491251598023,5.251546734239085,6.330631007691565,4.9375666795903435,5.399689393979949,4.213780525484453,5.807856098518194,5.771840969436633,7.039907226613351,7.6687135266249316
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7631413424849576,2.3595787661316345,3.7590382304236982,4.608039888265532,3.936523441836035,4.099055102683326,2.819489217203261,3.5754019350593946,2.9040477968981415,3.0257219254613728,4.10394647471273,4.504219604159547,4.33800633411505,5.408759295467647,3.919123709920647,4.57342659942421,3.416291944486038,5.270938871894525,5.446439052101836,6.4057996942220825,7.119517822269345
