 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,H10,H11,S12,C13,H14,H15,H16,C17,O18,N19,H20,C21,H22,C23,H24,H25,S26,H27,C28,O29,O30,H31
N1,0.0,1.870755294139141,1.8343435241178017,2.9737260390352125,0.0960827111681517,0.20180070440813613,0.01717102344623156,0.006903351253193857,0.03541451335110579,0.0010311098651818451,0.0008404012569046548,0.007974155971157637,0.00046171541166770136,8.329931961270631e-05,8.690686605916653e-06,0.00013545868872699707,0.26336574591473644,0.06328274227133188,0.037568515819514224,0.005143715565408491,0.00510641662198523,0.0005839610188446143,0.0009744051829446015,7.435438296854446e-05,8.432963461912912e-05,0.0001335957948983349,4.581716400098301e-05,0.0022275588955601444,0.0038293164144326958,0.0007135378857469066,0.00021052921062547636
H2,0.0,0.0,0.027048176611131902,0.10650669388055822,0.007152254263302682,0.03167772051752604,0.000810338374242825,0.0005150213900635414,0.004510864711676055,7.233026829589484e-05,3.2000167076828845e-05,0.001881811255460164,6.233956771140026e-05,1.0295136803062377e-05,1.339489285490103e-06,3.870306936692991e-05,0.010769584206164362,0.007181048363556486,0.0008086284931617671,0.0001437030138258244,7.054829708752486e-05,4.593729709734262e-06,8.942067011963317e-06,1.0609088441082548e-06,2.561228564790241e-07,3.3303963351549726e-06,4.6714659651669876e-07,3.445648843969362e-05,9.400458443220572e-05,7.793456600291293e-06,5.058587528861125e-07
H3,0.0,0.0,0.0,0.09916515100623069,0.03493423209370139,0.008197193661089952,0.00017239427788440231,0.003677141385302063,0.0009400315741129317,4.696615830024342e-05,0.0004391534728549473,0.00019573815618978418,1.4221843320672e-05,1.5491730498418121e-07,1.4976621760531827e-06,4.115319530040296e-06,0.011544751828068911,0.000767817513018576,0.01032723100850863,0.0034446055208261495,0.001179165445366337,1.3338230654191818e-05,0.000636352511026006,5.5602564120960096e-05,4.025036966615048e-06,3.419356926981365e-05,1.0235511036960077e-05,0.003266153775120184,0.01699976096203093,0.0013752976077107126,8.512996348764013e-05
C4,0.0,0.0,0.0,0.0,1.9458666984202915,2.7118804814438797,0.0989496294821881,0.08424668602888263,0.16792204787860715,0.007493796028002819,0.007616786715990642,0.04490594998836081,0.002343007309180037,0.0003459154253224739,4.8434337015956785e-05,0.0010791955492366334,2.6204554918574536,0.2830737611795897,0.20969132667863122,0.011586068407668626,0.03445556023086019,0.00706009814449815,0.004403564276214689,0.0011298621995280422,0.00014342076769180423,0.00046720279904804984,7.322106477691825e-05,0.0022424893824762038,0.0006340093857391538,0.0007072397564799882,0.00017094773041570477
H5,0.0,0.0,0.0,0.0,0.0,0.08662361257672957,0.004949523671890388,0.03519590428807229,0.008755377083872973,0.00012696024840286313,0.004381400629583476,0.001779030440486995,6.551420081768455e-05,4.017148877322185e-06,1.9740924760869305e-05,4.360128020408638e-06,0.10999471497229063,0.019123228896903655,0.020978817921738502,0.0026741805354877357,0.0031064752098082238,0.00012157004525881199,0.0008851124623792117,0.00016856963501199473,1.9747986543805496e-05,6.113840253885172e-05,4.418562501218304e-06,0.000189082334378865,0.00015596947510454484,6.082561673170783e-05,2.257663195370796e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.9943776662013506,1.9913922139456401,2.8121532424788303,0.08637336598156042,0.08289462408484283,0.1978945803649741,0.01668661074974187,0.001649682559689225,0.000894456095466345,0.005736700122956684,0.15979425110388082,0.03639257346827024,0.027906614492080456,0.02220152948503462,0.004396970771158928,0.0013083491033000216,0.0003711647404662649,4.7832896441057926e-05,3.0867514879462377e-05,0.00018470433820937104,6.97612320865737e-05,0.0004849708983086509,0.00018725885568762063,0.00012113156439416684,2.2021314486031507e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02401038022386137,0.08523968557994133,0.033885585743225866,0.005314094532162805,0.009208907594732696,0.006685586505067342,0.0006228537013615032,1.6810793698862625e-05,0.008115158119861743,0.02915594590266557,0.0042210683961713125,0.0037645790761283715,0.001057670054979587,0.0003927652043778096,0.00046930842371217807,7.992913515986189e-05,1.2831834605986359e-05,1.6005263919982582e-05,3.43150528966385e-05,1.455747489331749e-05,3.2535152647339416e-05,1.0566535195599691e-05,5.11853524343131e-06,1.9226213283651816e-06
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08037035649696422,0.004488375415494517,0.03368333606333218,0.018897967901721047,0.0007304686087350465,6.001985015458011e-05,0.0002853083915348442,7.934567622491784e-05,0.007655390515328264,0.0006669827824155039,0.008437146233608583,0.02204576524308144,0.001257325592595393,0.0003905065440528155,6.414001279830828e-05,1.5732335569618172e-05,2.1813241055657073e-06,7.717869039836067e-05,2.1271758633645277e-05,9.08820847527192e-05,8.695483459952857e-05,3.547262736391943e-05,5.857622169536114e-07
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0004397118227004,1.9774884237802617,2.711288256722911,0.11816163153811067,0.02749120482176648,0.009929541432015965,0.006120462224513568,0.016066580606446945,0.0022904204697174607,0.010672669448205607,0.0011492366948335775,0.0009896623481279454,9.761974569988396e-05,0.00029870868921481886,2.2752377904500243e-05,2.357612497805306e-05,0.00023522600831465262,0.0002690677198144975,0.00041962772322562403,5.586399514789786e-05,7.609808282958708e-05,1.9596015547684864e-05
H10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02490437698487491,0.0924363476129858,0.026009021402925048,0.0012650921033572349,0.0004104933755293416,0.000240738764828885,0.00931268265990326,0.0006595670382778529,0.013668919100135568,8.483318883434343e-05,0.0007818864202886466,9.827624604952234e-05,0.0003822387484420098,3.312203889938026e-05,7.78267310546088e-05,0.0004006368235258684,0.000396156803569081,0.00045382375352764903,5.408025199427069e-05,7.795262343468501e-05,2.5232511410067104e-05
H11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0923072874260834,0.010340554369386856,0.00041453917105194193,0.004747318125709832,0.0006366484919977378,0.0004966999461384347,4.449096648251327e-05,0.0003906304641477787,0.0004900189737113703,5.8429120788794364e-05,2.9018958651594318e-06,7.943601988857907e-06,7.712892258204818e-07,1.2397309385736577e-06,7.487289921725981e-06,8.308370989640324e-06,3.2634338619219605e-05,6.771970320618159e-06,5.314969874103959e-06,6.396523783980257e-07
S12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7476269778307234,0.09149302519576752,0.09612174197595913,0.0984315529871509,0.0022913349403808764,0.00044529930350569943,0.0007842374585445566,8.698513572424904e-05,0.00011414476158499998,6.0632581343478265e-06,4.60838367122296e-05,1.0593424026872356e-05,4.887247954887819e-06,0.00028091674731501454,0.00033699966694755723,3.210808725111203e-05,8.068128039440126e-06,7.414987506289272e-06,1.3679743516847864e-06
C13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9799483921384124,2.0785499438614465,2.038470128657362,0.0010672001545639076,0.0002528182429916634,0.0003880456821458711,2.531145967987758e-05,5.2429757922412e-05,1.1534678700075851e-05,1.807230105999036e-05,1.2595088999534099e-06,1.4691394821797488e-06,2.3022376771986153e-05,2.167862723267966e-05,1.5633198137715576e-05,2.7269251935066463e-06,2.8926902597564697e-06,5.559998128568111e-07
H14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025652300066894895,0.02527492914441898,0.0001835278594992662,3.6275804265462064e-05,9.03130011055131e-05,7.132355449357419e-06,1.2139837162195022e-05,2.6567098851959514e-06,5.014892202170884e-06,4.526589942877024e-07,1.9232683423631158e-07,2.031542287062038e-06,5.448920636919041e-07,3.2861411678464236e-06,3.9530713313862265e-07,6.408487727149748e-07,1.4673329129522017e-07
H15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024332166986672954,1.25159745854031e-05,3.6353814019118857e-06,2.301179771335704e-05,4.293801191490587e-06,2.083824936160994e-06,3.13129746798424e-07,1.0468462463553152e-06,1.8334971962907787e-07,2.341603089206501e-08,7.063229818138339e-06,2.176809122333978e-05,9.404363661147386e-07,1.05569812003381e-07,1.994997183007996e-07,5.305952188727758e-08
H16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029287971514957434,0.0001672914170943729,4.408582497439362e-05,5.271429966757779e-06,4.456942846342571e-06,5.892412885399878e-06,1.8790830622616994e-06,3.969178123952588e-07,1.5467982739103547e-07,1.4170674620395118e-06,8.94545379326317e-07,3.2651407733119697e-07,1.034311863934434e-07,2.0800081879102095e-08,7.4097477043011395e-09
C17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.818855416855321,3.4466857052053563,0.13091796926376775,0.2714785290195133,0.032097547629379886,0.03101161611513159,0.0028710000119096524,0.000904678028008199,0.004377527517429397,0.0007122544726994029,0.03135035340159434,0.005473689325315043,0.006138394624777416,0.0012938643826932994
O18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257450083559186,0.026089035597918753,0.0774913852255611,0.06679516189993262,0.00822217017299856,0.000993538480365097,0.0004884308685069172,0.00399647205840007,0.0008281955858622236,0.012579267483090559,0.003503540397749888,0.0020904093824481162,0.00039485775923064903
N19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6345496368694836,2.8578042895396565,0.09970330363838209,0.18434495388294164,0.026790346497963857,0.0075282864110176595,0.030514133047614522,0.007863048546078444,0.20297224814772288,0.04592291473968119,0.028570602686571467,0.0049238316784874225
H20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09830184644255191,0.02892392759164597,0.004657513872241892,0.00016928992405285115,6.077743281074355e-05,0.011956131496601352,0.0013578753845300273,0.021309643197632733,0.03910957328370168,0.0031343184450615125,0.00010387492461205738
C21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9250457207897034,2.7898365983154747,0.09498139775988834,0.0942362092405491,0.1884634859295005,0.0035615819179017905,2.7603233683113295,0.2780083292878804,0.21613668318075502,0.05394238854703859
H22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08985347452434489,0.0040941126620546164,0.005539875630363733,0.03948023824166602,7.62466692445507e-05,0.10972075996982844,0.0297377757091819,0.010116863289547973,0.00030715055170826844
C23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9732894608786131,2.127606829484687,2.823642486429801,0.05091854940769447,0.17408102427926,0.04188257482011977,0.03313007557875053,0.0025135866814965935
H24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028252375923762507,0.08322017268258586,0.02409822384859206,0.007752103160597379,0.0013095146780123246,0.016836412777613274,0.0004498263947387837
H25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08775256919443586,0.006752283493088651,0.027240590453316837,0.004493113577440311,0.004068404375799806,0.00029460059542762984
S26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9152415214955456,0.037299765357252684,0.006896134434602755,0.00831732109534511,0.0005107189087744102
H27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005772700023864985,5.505423688956235e-05,0.0010722211765130663,1.581513725179562e-05
C28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.149053225817058,3.4890483169578395,0.16863273108616295
O29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5103434340136594,0.06421330733143571
