,1N,2H,3H,4C,5H,6C,7H,8H,9C,10C,11H,12C,13N,14H,15C,16C,17H,18C,19H,20C,21H,22C,23H,24C,25O,26N,27H,28C,29H,30C,31H,32H,33C,34C,35H,36C,37H,38C,39H,40C,41H,42C,43H,44C,45O,46O,47H
1N,0.0,1.0178214936946182,1.018634195751187,1.4676665448387365,2.081560207009814,2.43250019578553,2.494256752901887,2.7187645665103495,3.8193080540051447,4.519708363044601,4.427780951134868,5.024419004687777,5.841391130229259,6.637588665565011,6.12021205401473,5.570246398812461,5.120869615115337,7.428438435369132,8.287938437243197,6.958245278460607,7.561917257699047,7.770126938553515,8.841104886038245,2.54303938905898,3.574848935672788,2.924296219265125,2.523730053778135,4.275386383549885,4.671881874938619,5.3899761180628065,5.34254002929669,6.307107679366551,5.815367174678066,6.843754835371226,7.2899642291039894,5.600496060940956,5.05352016454083,7.565587445110336,8.460551016245732,6.45646670411142,6.612467932383624,7.3944651281486875,8.185461170918442,4.639517254105383,4.21960337441502,5.918324079638293,6.297987833996503
2H,0.0,0.0,1.645357093176567,2.074732337856935,2.481163112381713,3.3402227917664256,3.4915675604678755,3.5962805596248137,4.638569273315171,5.151428150863118,4.8662106965193965,5.925050950247659,6.517398410586399,7.233830083350932,6.9385631207985385,6.549499142622887,6.12607902408857,8.282617841977888,9.094179090780713,7.937577948796112,8.56357166769489,8.702341373465936,9.780697166993724,2.681234476545579,3.5914615663865974,2.958060846004973,2.5656444641656653,4.103617847766716,4.429441047369253,5.407894573522006,5.439486000419987,6.206746227120264,6.020780360336617,6.981108082792928,7.280998267392234,6.035537256348329,5.572264523334059,7.82165686074232,8.664457666301145,6.985329728141496,7.2700773956268385,7.824954175925827,8.668797510227009,4.206913646770063,3.7180669808364657,5.410609958114316,5.70171504319722
3H,0.0,0.0,0.0,2.075107510257279,2.9415342702954352,2.5677610731114857,2.6173813157226546,2.433903856709375,4.055158638542931,4.945475098358473,4.989381790474827,5.107542740384453,6.209377151628478,7.064554702128751,6.321413722020076,5.452030685035859,4.860017413654126,7.566429151590002,8.488194872225897,6.831766810971707,7.333763067623664,7.765311705938318,8.814682775754264,2.925550006412527,4.101738784186007,2.87177194638005,2.188090822875574,4.208055033358478,4.823276844754344,5.137612725052921,4.8899735934013,6.0718739950901295,5.6588815429254185,6.82719469125591,7.313361895205449,5.3710063638429935,4.6684326659336755,7.605460216652009,8.566921520244822,6.324960052307249,6.4408012872121825,7.386443552752372,8.21741709174858,4.4800234095480835,3.9308016807193953,5.815863678900628,6.14731015933697
4C,0.0,0.0,0.0,0.0,1.0955505942634505,1.5432676973290398,2.1236075688796987,2.1581765232711603,2.605166982893373,3.1020838933864674,2.973689304980393,3.967922126569304,4.456728904975338,5.211558385783387,4.887684522839264,4.799807984215254,4.618527149935778,6.250877096125575,7.03433376847238,6.157354890790972,6.9153219185767,6.771206775041641,7.857605668202521,1.5458924556872486,2.4325975595921183,2.466494498995965,2.5751339283069603,3.8340613261931553,4.027908316417705,4.838693834853161,4.9906122877093075,5.809762440660714,4.925869666634461,5.815452158373715,6.345669190451163,4.64306224991485,4.287929810700399,6.371726252651569,7.230856971050153,5.316423144341877,5.493116531733439,6.150556500630321,6.879943021523001,4.650622523014053,4.609064474878752,5.854363517338947,6.435607019180319
5H,0.0,0.0,0.0,0.0,0.0,2.1623062622407,2.5140115051777383,3.059662451511798,2.7989036768171385,2.9606372330431685,2.657225025750996,4.173882824055919,4.289729896608991,4.943222407190237,4.895184108775584,5.145192444340085,5.100019596449785,6.266393631257712,6.959508291976786,6.4402761457867195,7.262242538917666,6.914453051181417,7.99029184437305,2.1071844037024428,2.4957825494828927,3.3124629351776087,3.5523301473100926,4.540806093098918,4.500589722871936,5.6344958851326465,5.921411239018978,6.551370539923947,5.613790099438959,6.316529530126127,6.801062297105554,5.377970068060152,5.163727009272877,6.75583678562781,7.512545321192627,5.880666882496269,6.047728392054989,6.556356561347105,7.189357094476721,5.361473782734229,5.379824891485111,6.467367387639286,7.057282289359527
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.099124748365661,1.102769154755818,1.5041472669679692,2.600881562352725,3.0281900209663,2.6083305696712547,3.727388020930954,4.650566653312988,3.76163437817228,3.277692116081097,3.089155218821477,5.033199433577833,5.931970647156844,4.651358346379738,5.3789985133626566,5.371782225283697,6.450044763351896,2.5703069325154146,3.3829892882097696,3.213526361125939,3.252964355548334,4.58680084813996,4.914660884738451,5.171866525276214,5.1521782655583,6.242343752907152,4.962081753173755,5.935845564482708,6.681611377488276,4.251820324500602,3.7459065032193313,6.269774830815066,7.201555923937421,4.698461660306478,4.5868903004627954,5.721061077424333,6.33414356364618,5.579438679076271,5.552912786419646,6.81486980191036,7.443965770940965
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754415365402427,2.139553757514233,3.312506157219397,3.8137701074385713,2.8796264299593934,4.299578033225591,5.252083106889528,4.137755178494723,3.2230939136186585,2.8313386513946366,5.291103237601305,6.24492425591858,4.579143277509167,5.181424265051773,5.448465745418242,6.492159904031727,3.4764662812318172,4.307726175811995,4.10136564019675,3.948798350770339,5.526026754565514,5.892823102099428,6.165524818461545,6.0528556173423125,7.236236160896929,6.027921919932146,7.030505671694111,7.775596687463588,5.266981554679501,4.665385778850848,7.343142518789451,8.271497155556792,5.669144611587958,5.428895418118017,6.728582905272764,7.279262535766965,6.369715477301327,6.174573479790871,7.65211075436467,8.20392303582549
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1426055052189605,3.2917406463700085,3.754471429588025,2.9196297345876476,4.299890540860861,5.231030700330602,4.161743486792825,3.2925908829211945,2.9182437447536977,5.325445568875831,6.272022555183553,4.645671577673966,5.256428528999174,5.500239395321637,6.54553774991529,2.7938853160690527,3.7736159888179377,2.942382464559128,2.818856703405542,4.259885138408424,4.801187226802975,4.6159625055052045,4.40283969333809,5.706391950175302,4.4916737374780915,5.635235896728421,6.415946392750472,3.692360538948291,2.9717309364364377,6.065036650185036,7.0759130300780955,4.312216916116283,4.191707481177173,5.4963269938912775,6.19182466054963,5.206082738037406,5.138732582034655,6.4660217667557465,7.070975525789647
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3735949448522031,2.2212393909469466,1.4448161582256989,2.256315279661381,3.2198958836015894,2.3107309781743877,2.62393561877547,2.9633474951550407,3.6511419511075047,4.480504428219773,3.82285973500477,4.748568414434589,4.21921916438469,5.304425752552371,3.1923982263982658,3.542339814485198,4.016332304472595,4.348480236564612,5.179314628362643,5.303177960103132,5.543408885512697,5.6811650500222095,6.588571425116828,4.917842936755113,5.6441830648320455,6.494970346204893,4.048618842876112,3.8192515690383186,5.643528686675061,6.493432860022687,4.038252888479016,3.7901637405608493,4.905548417601174,5.317452964698922,6.420943697981328,6.6261918684031,7.530701397606024,8.278310212464955
10C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0804498381886212,2.2566919479792036,1.3834210210836946,2.125551516567577,2.256316243317557,3.6489648273105844,4.2128859058137795,3.6300500391948782,4.172234759688445,4.5992050802410995,5.632309468838598,4.591206686649549,5.619726533180585,3.261467479190355,3.1029336443426403,4.2998378637461405,4.889043099899531,5.2305019866154945,5.072831382836323,5.630456318457452,6.016376185781674,6.574741100880184,4.828499790562566,5.226852066100067,6.012239558986056,4.172154351876788,4.295504729750161,5.056990272817262,5.748778163219842,3.948485585531784,3.8921895496696135,4.4379260434418315,4.7494756247974275,6.583076406968506,6.987999680051225,7.534591185031923,8.357082450617265
