 ,N1,H2,H3,C4,H5,C6,H7,H8,C9,C10,H11,C12,N13,H14,C15,C16,H17,C18,H19,C20,H21,C22,H23,C24,O25,N26,H27,C28,H29,C30,H31,H32,C33,C34,H35,C36,H37,C38,H39,C40,H41,C42,H43,C44,O45,O46,H47
N1,0.0,1.9720814266273083,1.7454956839191127,2.643270284700396,0.09951339379692703,0.19570362021430238,0.023845884666557904,0.008584096639254746,0.03123457838140245,0.004401259098074317,0.0004570955924813047,0.00503588859766517,0.0008315395085020244,2.754414769867708e-05,0.0013072454764751634,0.00044227031945774653,0.0001027097094978835,0.00029585894915619415,6.043153840584736e-05,0.00011632715856323139,6.561244716207781e-06,0.00011299708564081745,1.5697223536559335e-06,0.21640567961037765,0.0441368912326061,0.04516842364171231,0.05674208562046956,0.005518131738781115,0.001264317421961314,0.0009203992344399836,3.90179301529292e-05,0.00011840349957137342,0.00010547595601297088,2.3414034563642994e-05,2.4232147726177544e-06,7.180488282178266e-05,2.2706746979128667e-05,1.3847803950972626e-05,2.970687662529059e-08,1.5583685190778684e-05,3.942930008049572e-07,9.183094452136498e-06,1.4550226368204022e-07,0.0013307635073158408,0.0006219903428408002,0.000291320566913951,5.331536779795698e-05
H2,0.0,0.0,0.027693749138740564,0.09977658304863435,0.003074686437023688,0.03202323555471054,0.0019454832205942907,0.00028374937440078796,0.004870924431900736,0.0004095696464432308,7.974763934304185e-05,0.001082929091736462,9.365534433170009e-05,1.5397101683412018e-05,0.0002634698201826602,7.09270597984979e-05,1.8156131923241503e-05,6.066869810961162e-05,1.663680047370164e-05,9.743744427193057e-06,4.504501758262336e-07,1.1453515589288088e-05,1.2100796498160094e-07,0.01144718392466404,0.0009780325872298379,0.006602609217746247,0.001278944378068747,0.0004896729608679928,3.201844161093703e-05,0.00034897139818723666,3.5561636806402674e-06,2.5723658834797547e-05,3.418604594429553e-05,4.624000192521294e-06,2.664130462903813e-07,1.1418224394432741e-05,3.100633584551815e-06,8.875121324636304e-06,3.702304196551154e-08,7.318568805536607e-06,5.249625467662611e-08,9.856795439855404e-07,7.631812515285219e-08,0.0004362738083371065,0.001239971404779605,0.00015308976155481435,1.4589007766518947e-05
H3,0.0,0.0,0.0,0.10288246400033696,0.034889597744604206,0.02034273894238714,0.0012965978844787784,0.008032451270871599,0.0014253620504867115,0.0009414953483090072,0.00011705722723998058,0.00022231509450321152,0.00016172577186490678,2.48186536115913e-05,6.175475093672667e-05,5.2998215653632386e-05,1.672249445627827e-05,1.0747345770445449e-05,2.5200897104671327e-06,1.0359388769032307e-05,7.267287824852531e-07,1.0132361247805477e-05,6.398532079732178e-07,0.004250399829018425,0.0011408449619886296,0.005701048800708874,0.014091379093648548,0.001039243024865466,0.0003526191685010449,7.693879974546292e-05,1.1185780366185227e-05,2.5431939548736793e-05,6.205285927762816e-06,3.4059043403367184e-06,1.0673234185354374e-07,1.0869414930003707e-05,3.1670331901434423e-06,1.0389087038431555e-06,2.8410453323246543e-08,1.6870809448343849e-06,6.616610903620312e-08,1.7295639614944847e-06,1.3245796992578107e-07,8.659736612592894e-05,8.336613512927027e-05,3.021348932019663e-05,1.1880284049858858e-06
C4,0.0,0.0,0.0,0.0,1.7676277152454951,2.7658581089786036,0.09490137288679668,0.08190882066307537,0.16437877124552172,0.02003121291869875,0.0031567000332082262,0.026721815063908583,0.002662622791331032,0.0001974312173951276,0.005285541604664101,0.002547285583283848,0.0007064255954027931,0.001010489599504616,0.00019714155530237143,0.0003691206996874752,3.968615711680279e-05,0.0004387966993769088,1.7773091457673473e-05,2.6095674761837455,0.2829105213280053,0.21393093587754083,0.013716103333671903,0.03664053457832009,0.006080714677734078,0.003330665509380437,0.00015738329920766958,0.0009754195817048839,0.0003464701119971214,6.989740613562445e-05,5.692074934504632e-06,0.0003147387932603829,0.00023993479281170238,2.126140064542814e-05,2.9798186340634913e-07,5.4668938324176075e-05,2.459663640763665e-06,2.2228886675967896e-05,6.296941337247119e-07,0.0033854102297541933,0.0004601884880757745,0.001004418572981558,0.00022625332091785744
H5,0.0,0.0,0.0,0.0,0.0,0.08047320220011434,0.00387575085991565,0.035602069142831816,0.009313979090648239,0.0066206802159176625,0.0024815891249119204,0.000669915551879896,0.000790973735217193,4.5530436839413824e-05,0.0006284889413301631,0.00034341388509973036,7.191796182159926e-05,7.51473777456102e-05,3.5632621460113256e-06,4.148975846041125e-05,1.8888208288547759e-06,0.00017959330429162534,1.4217542225747337e-06,0.11116123895035557,0.019623621626758125,0.02222140628888225,0.0032449887113532583,0.0033173592038107103,7.705354067644166e-05,0.00015318350045812057,9.542806779005986e-06,3.2975471823570857e-05,3.8570581926355985e-05,1.0573647168499178e-05,3.2753200773782964e-07,8.44868507579033e-05,9.744494996999364e-05,1.94486040838715e-06,7.061539397668071e-08,1.043158673763589e-05,4.457566260551715e-07,5.446830872002373e-06,4.0993237782060987e-07,0.0009179859225134646,5.964425949356311e-05,0.00022894107985260703,8.379779799505549e-05
C6,0.0,0.0,0.0,0.0,0.0,0.0,1.987251478848893,1.7892285208503191,2.620598365499677,0.24525641973305448,0.005467383283568772,0.19615796692183357,0.04722356252503951,0.002527992454200212,0.032850153024863105,0.016058466980530872,0.0034579916062780214,0.00510969609046219,0.0010501413994838948,0.0037475641533050996,0.0001454850534587937,0.0024525329338246638,7.359935524564598e-05,0.173751027049154,0.03812824741730356,0.024872373487349442,0.0009925741144476419,0.003082708908056786,0.0005685443130876155,0.0009556897006184062,3.4699129080717483e-05,0.00010095304663471083,0.0003022275421774856,7.513794810931618e-05,9.837389055356027e-06,0.001420025464559549,0.0012739448916063711,0.00010815351634188564,8.184584334713918e-07,0.0003617623189291902,1.646931023202569e-05,8.73053316638589e-05,4.255153463361694e-06,0.000505769508175713,6.639890658671765e-05,0.00010898014198561234,3.054051592299434e-05
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020831928679075684,0.10072780773085532,0.04212767576557175,0.00012046350497496583,0.011118869044447477,0.008547003043561485,0.00029483854669143383,0.002152595870072105,0.0030108907197785584,0.001590038104778424,0.0005546968902767624,2.2342013350051815e-05,0.0010735596180098117,1.936066651286872e-05,0.0008600671662011283,1.0829428497283189e-05,0.030867690424268845,0.004512510719530516,0.004045232231462803,0.00019674356137033833,0.0005954566235986114,0.0002247972872346793,0.00027454531158954687,6.86199296384693e-06,5.027441583882464e-05,3.6079993501969554e-05,7.128300449688041e-06,1.5402650712648125e-06,0.00011302478682861938,8.750602964457954e-05,1.00144684358483e-05,3.474888821131117e-08,8.084660313201208e-05,4.395157253034299e-06,3.137744528902697e-05,3.41761877464819e-07,3.852373473578474e-05,7.811481069652793e-06,4.54601089383555e-06,7.819446874446356e-07
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09432328039496207,0.043188215826121645,0.00030717051715201116,0.010388302342304812,0.008980005436413974,0.00037690920198696354,0.002092233684517275,0.002439659593023169,0.0009153196730606883,0.000513987248025316,9.409244107860815e-06,0.001060862488903247,1.1279224576998814e-05,0.0008074549809111708,7.1941951904630486e-06,0.01010019121464012,0.0012154384577911514,0.00815133664147405,0.0014302062286066786,0.000695510051914372,0.00017442977865766984,0.00015548381270380496,3.264297403315908e-05,1.0245370486883232e-05,0.0002873419448925496,0.00011436297781330929,1.6705228220281754e-05,0.0015739725148349315,0.002079604674373625,0.00010504751153761482,1.8978056002261212e-06,0.00028587403470625716,9.08349402650721e-06,6.62713613230892e-05,7.831698136007148e-06,0.00022404206434445406,3.552223152780698e-05,5.7819169805295445e-05,1.9654400840174446e-05
C9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235204937596245,0.1233151091254765,3.220623733317099,0.48897210201591734,0.02599786457779807,0.3425615123318917,0.23074275747574166,0.00807300686372403,0.038816541959985296,0.0037008304897849786,0.0706299660753823,0.0029326064532853025,0.026992913678694108,0.0003571434596676415,0.01331091991860997,0.005549796758339512,0.0017216189712455643,0.00019859828213064645,0.00027081363114453416,2.26125466760152e-05,6.80946550669359e-05,3.595470744244267e-06,1.4149731649037989e-05,0.0004516645272749642,0.00022273482862687766,8.455208087010391e-07,0.002515957419766901,0.0002464380811615374,0.0002769603960851297,1.1076431896128724e-06,0.0022536621279801716,0.00031627293213909446,0.000681759891274003,1.0976933316975135e-05,3.3028170754123565e-05,1.135816101099918e-05,5.7426154064788015e-06,1.2889514809932834e-06
C10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.002372906397694,0.39187781489615026,3.3355243587790593,0.11211944831877052,0.4502186547709674,0.11250492012812663,0.0008086707321235398,0.07564837245266559,0.0006774406223837293,0.03067615617711203,0.0009502765208186936,0.07697616412393096,0.0008893188155241205,0.01629469428342581,0.03684386625858063,0.0029379583848246626,0.00017761133904758974,0.0003913521906717121,0.0001626025289575006,7.598028986864624e-05,1.77606589506496e-05,9.842053864561606e-06,0.0003136518476970773,0.0002480956461653472,6.590819423557548e-07,0.0020644812479919117,7.142609027055435e-05,0.0001519521657918077,3.345450529934624e-07,0.0031798074249339142,0.00022899356804373383,0.0007632820036980459,8.159753119407753e-06,5.6791358139185455e-05,2.2261020941952148e-05,5.627479634756627e-06,1.5826541960306528e-06
