,1N,2H,3H,4C,5H,6C,7H,8H,9C,10H,11C,12H,13H,14H,15C,16H,17H,18H,19C,20O,21N,22H,23C,24H,25C,26H,27C,28H,29H,30C,31H,32H,33H,34C,35H,36H,37H,38C,39O,40O,41H
1N,0.0,1.020645987638329,1.0217186727339111,1.4673173897665026,2.0796365070326734,2.445036922925609,2.5681350885982877,2.6823435300482075,3.8681420257891013,4.193137875596949,4.457868826634752,5.514855460072059,4.206615153868542,4.572153816928663,4.958984633962401,5.088543060803327,5.058653881030147,5.928401546153182,2.484362544948505,2.8721254806190375,3.5904081043887666,3.845963573551199,4.883613677111862,4.937854074111976,5.656264101872189,5.847157931577911,5.225524012848192,4.329901592467626,6.077271472348519,7.096227328750412,7.2520665661316945,7.711951901803468,7.665249910854644,5.416215468064886,4.778509993642339,5.539061642296806,6.4342799118223875,5.893215170821089,6.097646333849235,6.8736005935725535,7.549885601121858
2H,0.0,0.0,1.621928678031103,2.0457371839779768,2.33260142711276,3.3386716191059453,3.4976086435316396,3.6316078724582206,4.642834369638595,4.853942365557399,5.067085858822608,6.105486816382079,4.615659202053461,5.220895012616378,5.856380831540284,6.027841448147852,5.992224041522471,6.775519565495274,2.7221073442919868,3.125149468595921,3.6163870858410614,3.882166157957504,4.853024592394749,4.985039820225279,5.348527583218966,5.491591211502604,4.708118407921378,3.7258620999746523,5.444884261529462,6.818142085956192,7.042482506984493,7.308133921104349,7.468774149737871,4.973824596601145,4.5054954405893515,4.964467963736769,6.044619412394204,6.007562098332312,6.235943963982764,7.045631375742956,7.7690267872632806
3H,0.0,0.0,0.0,2.0193425659473947,2.907619571848593,2.7079486763585447,2.971282324977899,2.5148400295732563,4.169193028296232,4.383507597715039,5.0427947314398445,6.05533893746626,4.910636210345159,5.230145873323764,5.089657619975589,5.283222483950198,4.966119028930555,6.095326687428218,2.564534702975119,2.484334152721559,3.856119411606195,4.329163810691837,4.96722617259506,4.794687789479467,5.796490545520803,6.167871994015611,5.290054822458856,4.515506838587284,6.20187912858664,7.136010011339895,7.137947357260332,7.776406401805372,7.76610580650951,5.188233551240261,4.418838823395483,5.276359328977023,6.157916886666932,6.051733404611057,6.430858914110219,6.877074690037135,7.612442961713814
4C,0.0,0.0,0.0,0.0,1.0972017636956388,1.5437273378334422,2.1379259298559363,2.1416137299303566,2.628968391396282,2.829519276236816,3.2047110736088937,4.201022069327768,2.9261193103514476,3.5725601569380476,3.9440192930891986,4.280904275630844,4.1834603503003285,4.789949942492787,1.5405560821880226,2.413586406282112,2.470711366033903,2.5935902224390786,3.84909747403931,4.045182880543544,4.845117814475904,4.969819996960254,4.810731244615567,4.031033234673211,5.736509738674418,6.262996308539091,6.477553913586998,6.998106062576492,6.670744125473704,5.212518849579412,4.567174108090019,5.614259409469073,6.139758690933284,4.626561269151271,4.727426676498239,5.650903099252738,6.243312136057899
5H,0.0,0.0,0.0,0.0,0.0,2.1744403733991087,2.509990494489301,3.056185205823656,2.863075945323348,3.128945853527329,2.8689907713052687,3.863424058693522,2.2881972869057297,3.178706037635495,4.304673495167097,4.572017444725313,4.780004805838412,5.0235474839297956,2.1753014375972906,3.278408756861732,2.544049269848499,2.2613935940023655,4.001027389509912,4.466072867339189,4.822764683704687,4.700508795980217,4.875649022871871,4.017954104247521,5.678298637253087,6.300345074694519,6.6927023740437885,6.970056231358065,6.63078137230697,5.5735006040269255,5.107865258795069,5.977985594085495,6.513956044317899,4.647514429296478,4.505840760720322,5.829263408377081,6.337201723876561
6C,0.0,0.0,0.0,0.0,0.0,0.0,1.0977198847151386,1.098953813578484,1.5425481900590106,2.160711593993323,2.562001514163442,3.514132117638111,2.854275734140613,2.819729901160792,2.5210369610203194,2.7853174233319393,2.7656056381241143,3.4869116561694287,2.522307660298755,3.11407366263653,3.416978786815577,3.4504519541455267,4.634827689638796,4.703603001649163,5.903745553007262,6.065090287283261,6.09693846481879,5.439223673168989,7.083471625849223,7.19019667090817,7.306698913682775,8.049985066718826,7.455774604817301,6.382014404416368,5.594693306972142,6.872732445350743,7.207393506451453,5.0539386666606685,5.065402359213753,5.9047522428863575,6.3570601092808365
7H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7634582672685777,2.1748815451717993,3.0706739563930974,2.7824247915669065,3.788944578578729,3.158466046101769,2.592343601620652,2.8129958869761658,2.631407598851981,3.182005908946191,3.814893128947001,3.449523344072192,4.0421498906291236,4.339319574299572,4.2497081979384195,5.641938901337058,5.761124480380358,6.829355781176127,6.905953090243361,6.930407929920954,6.168035340925575,7.867905761129116,8.175794178034566,8.339108426837637,8.993788761278381,8.449321516707727,7.251995950857291,6.492564439339574,7.644646936593224,8.136341720222715,6.059236560022431,5.957997134373359,6.959534200868203,7.372586888967205
8H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166699962968852,2.52964092826485,3.4975602840660835,4.328604025953744,3.8739790984174656,3.7848066626415573,2.6675204412796933,3.000965286810687,2.4527179608548417,3.6926743534832562,2.699656483154234,2.831663701095161,3.8122282599058286,4.097820910379937,4.838605587228846,4.653514012989536,6.167887514148523,6.510036292094973,6.281046694820915,5.715944518761249,7.3245773352646095,7.3551519320755085,7.308332954550017,8.243527376228801,7.6827123286068755,6.301494237213435,5.388773951692835,6.770442854543865,7.071718039297881,5.34190169722977,5.564362968619193,5.998070998157339,6.514025138838799
9C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1002502633905193,1.5377502404574455,2.1839017781276784,2.2045183468087535,2.1838552173356574,1.5372109127285007,2.184559876103095,2.189344290420034,2.18723617856839,3.1458389459059397,3.8613576270040064,3.5272326131647755,3.327622391021645,4.53130803890546,4.724901332270811,5.92790621345511,5.993330889709783,6.495674870783219,5.989973612557035,7.469231894805607,7.0645666338864554,7.227273295174477,8.009875919059574,7.102268319596148,6.931787868000955,6.193822973778987,7.605606238661018,7.624070806729204,4.462935125495105,4.252969735764053,5.239747751472401,5.480029346190332
10H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1476979487592214,2.49813937054708,2.509294927839831,3.0708886345198225,2.142823572988831,3.068100411269293,2.4904697905748097,2.4954400939877956,2.764149162295488,3.4110726730981145,2.909658595358078,2.8371077530912148,3.6565657370750775,3.814975254507086,5.131164881532349,5.280700240650977,5.8497641805689256,5.503563116276301,6.8402175105970695,6.143666455293172,6.259217983465799,7.134770483097645,6.136335747940252,6.260195125709691,5.537491843576418,7.039732593168024,6.847814758202718,3.4661342787879628,3.3875584721014236,4.15637692440926,4.417775755326764
